,Approach_100-125_yards_RTP_Score_RANK THIS WEEK,Approach_100-125_yards_RTP_Score_RANK LAST WEEK,Approach_100-125_yards_RTP_Score_PLAYER NAME,Approach_100-125_yards_RTP_Score_ROUNDS,Approach_100-125_yards_RTP_Score_AVG RTP
0,1,1,Justin Leonard,89,-0.336
1,2,2,Chris Riley,73,-0.33
2,3,3,Rory Sabbatini,79,-0.314
3,4,4,Ryan Moore,80,-0.29600000000000004
4,5,5,Ben Curtis,78,-0.29100000000000004
5,6,6,Garrett Willis,82,-0.28
6,T7,T7,Adam Scott,70,-0.272
7,T7,T7,Dean Wilson,54,-0.272
8,T9,T9,Brendon de Jonge,114,-0.263
9,T9,T9,Spencer Levin,110,-0.263
10,11,11,Charley Hoffman,85,-0.252
11,T12,T12,Matt Every,60,-0.25
12,T12,T12,Phil Mickelson,76,-0.25
13,14,14,Brent Delahoussaye,57,-0.247
14,15,15,Freddie Jacobson,83,-0.24600000000000002
15,T16,T16,Tom Pernice Jr.,74,-0.245
16,T16,T16,Vijay Singh,75,-0.245
17,18,18,Stewart Cink,84,-0.244
18,19,19,Jerry Kelly,99,-0.237
19,20,20,George McNeill,79,-0.23600000000000002
20,T21,T21,Jim Furyk,76,-0.235
21,T21,T21,Skip Kendall,58,-0.235
22,23,23,Ernie Els,72,-0.23399999999999999
23,24,24,Webb Simpson,98,-0.228
24,25,25,Robert Allenby,76,-0.226
25,T26,T26,Charles Howell III,103,-0.225
26,T26,T26,Nick Watney,91,-0.225
27,28,28,Brenden Pappas,66,-0.22399999999999998
28,29,29,Brian Gay,101,-0.22
29,30,30,David Duval,71,-0.217
30,T31,T31,Bryce Molder,84,-0.21600000000000003
31,T31,T31,Cameron Tringale,55,-0.21600000000000003
32,T33,T33,Mathew Goggin,85,-0.214
33,T33,T33,Jeff Maggert,76,-0.214
34,35,35,Camilo Villegas,78,-0.21100000000000002
35,36,36,Ryan Palmer,84,-0.20800000000000002
36,T37,T37,Stuart Appleby,101,-0.207
37,T37,T37,Chad Collins,87,-0.207
38,T37,T37,J.B. Holmes,100,-0.207
39,T40,T40,Luke Donald,71,-0.205
40,T40,T40,Mike Weir,59,-0.205
41,T40,T40,Y.E. Yang,72,-0.205
42,43,43,Woody Austin,93,-0.203
43,44,44,D.A. Points,90,-0.20199999999999999
44,45,45,Bo Van Pelt,104,-0.201
45,T46,T46,Scott Piercy,88,-0.2
46,T46,T46,Kevin Stadler,86,-0.2
47,T48,T48,Tim Clark,88,-0.196
48,T48,T48,David Toms,86,-0.196
49,50,50,Billy Mayfair,78,-0.195
50,51,51,Aron Price,70,-0.193
51,52,52,Heath Slocum,97,-0.191
52,T53,T53,Rory McIlroy,54,-0.18899999999999997
53,T53,T53,Scott Verplank,74,-0.18899999999999997
54,55,55,Marc Leishman,87,-0.188
55,56,56,Jeff Overton,89,-0.18600000000000003
56,T57,T57,Zach Johnson,93,-0.184
57,T57,T57,Jarrod Lyle,54,-0.184
58,T57,T57,Will MacKenzie,72,-0.184
59,T57,T57,Carl Pettersson,99,-0.184
60,T57,T57,Paul Stankowski,62,-0.184
61,T62,T62,Ben Crane,85,-0.183
62,T62,T62,Richard Johnson,90,-0.183
63,64,64,Charlie Wi,95,-0.182
64,T65,T65,Ryuji Imada,90,-0.18
65,T65,T65,Jeff Quinney,91,-0.18
66,T65,T65,Justin Rose,78,-0.18
67,68,68,Tim Petrovic,105,-0.179
68,69,69,John Mallinger,78,-0.177
69,T70,T70,Paul Goydos,78,-0.17600000000000002
70,T70,T70,Dustin Johnson,83,-0.17600000000000002
71,72,72,K.J. Choi,82,-0.174
72,73,73,Sean O'Hair,84,-0.172
