,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Davis Love III,79,19.5,93193.0,133
1,T2,T2,Robert Garrigus,71,20.0,107338.0,149
2,T2,T2,Cliff Kresge,50,20.0,44625.0,62
3,4,4,Tim Clark,88,20.2,45034.0,62
4,5,5,Phil Mickelson,76,20.4,107362.0,146
5,6,6,Steve Stricker,73,20.8,62818.0,84
6,7,7,Dustin Johnson,83,20.9,133381.0,177
7,8,8,Garth Mulroy,53,21.1,71431.0,94
8,9,9,Graham DeLaet,88,21.3,137346.0,179
9,T10,T10,Kevin Streelman,90,21.4,121488.0,158
10,T10,T10,Bo Van Pelt,104,21.4,141870.0,184
11,T12,T12,Chris Couch,66,21.6,111240.0,143
12,T12,T12,Trevor Immelman,55,21.6,43541.0,56
13,T12,T12,Ryan Palmer,84,21.6,107064.0,138
14,15,15,Brendon de Jonge,114,21.7,122144.0,156
15,16,16,Charles Warren,64,21.8,103403.0,132
16,17,17,Charley Hoffman,85,21.9,149456.0,190
17,T18,T18,Stewart Cink,84,22.0,102341.0,129
18,T18,T18,Matt Kuchar,97,22.0,110698.0,140
19,T20,T20,Robert Allenby,76,22.1,93817.0,118
20,T20,T20,Adam Scott,70,22.1,89162.0,112
21,22,22,Cameron Tringale,55,22.2,73399.0,92
22,T23,T23,Paul Casey,64,22.3,64288.0,80
23,T23,T23,Jason Dufner,87,22.3,99669.0,124
24,T23,T23,Marc Leishman,87,22.3,114970.0,143
25,T23,T23,Brett Quigley,96,22.3,114641.0,143
26,T23,T23,Bubba Watson,77,22.3,133851.0,167
27,28,28,Henrik Bjornstad,72,22.5,102002.0,126
28,T29,T29,Jarrod Lyle,54,22.6,70803.0,87
29,T29,T29,Kevin Sutherland,86,22.6,110783.0,136
30,T29,T29,Camilo Villegas,78,22.6,96133.0,118
31,T32,T32,Mark Calcavecchia,50,22.7,52239.0,64
32,T32,T32,J.B. Holmes,100,22.7,179073.0,219
