,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
122,123,123,George McNeill,79,20.47,26,127,-28,28 Under
123,124,124,Kris Blanks,91,20.44,28,137,-25,25 Under
124,T125,T125,Ian Poulter,55,20.37,11,54,-13,13 Under
125,T125,T125,Dean Wilson,54,20.37,11,54,-10,10 Under
126,127,127,Briny Baird,87,20.35,23,113,-24,24 Under
127,T128,T128,Rory McIlroy,54,20.2,20,99,-23,23 Under
128,T128,T128,David Toms,86,20.2,20,99,-21,21 Under
129,130,130,Kenny Perry,69,20.19,21,104,-20,20 Under
130,131,131,Chad Campbell,94,20.16,25,124,-27,27 Under
131,132,132,Ángel Cabrera,64,20.15,27,134,-28,28 Under
132,133,133,David Lutterus,69,20.0,20,100,-19,19 Under
133,134,134,Joe Ogilvie,99,19.87,30,151,-28,28 Under
134,135,135,Webb Simpson,98,19.85,26,131,-25,25 Under
135,136,136,Roger Tambellini,77,19.64,22,112,-22,22 Under
136,137,137,Rod Pampling,77,19.55,26,133,-27,27 Under
137,138,138,Aaron Baddeley,94,19.53,42,215,-48,48 Under
138,139,139,Nathan Green,86,19.49,23,118,-23,23 Under
139,140,140,Jeev Milkha Singh,59,19.48,15,77,-14,14 Under
140,141,141,Steve Lowery,67,19.42,20,103,-17,17 Under
141,142,142,J.P. Hayes,79,19.35,18,93,-18,18 Under
142,143,143,Jerod Turner,54,19.15,9,47,-10,10 Under
143,T144,T144,Jason Bohn,84,18.75,21,112,-22,22 Under
144,T144,T144,Garrett Willis,82,18.75,24,128,-25,25 Under
145,146,146,Martin Flores,75,18.67,28,150,-29,29 Under
146,147,147,Ryuji Imada,90,18.58,21,113,-21,21 Under
147,T148,T148,Chad Collins,87,18.52,20,108,-19,19 Under
148,T148,T148,Nicholas Thompson,88,18.52,30,162,-25,25 Under
149,150,150,Richard Johnson,90,18.39,16,87,-22,22 Under
150,151,151,Justin Bolli,55,18.37,9,49,-8,8 Under
151,152,152,Jimmy Walker,82,18.32,24,131,-25,25 Under
152,153,153,Chris Tidland,77,18.03,22,122,-21,21 Under
153,154,154,Ted Purdy,86,18.01,29,161,-30,30 Under
154,155,155,Chris Riley,73,17.95,14,78,-17,17 Under
155,156,156,Michael Sim,64,17.81,13,73,-14,14 Under
156,157,157,Brian Davis,101,17.78,24,135,-26,26 Under
157,158,158,Tim Petrovic,105,17.73,25,141,-26,26 Under
158,159,159,Brandt Snedeker,89,17.65,18,102,-17,17 Under
159,160,160,Vance Veazey,58,17.54,10,57,-10,10 Under
160,161,161,Steve Wheatcroft,74,17.48,18,103,-20,20 Under
161,162,162,Charles Howell III,103,17.28,28,162,-29,29 Under
162,163,163,Steve Flesch,78,17.24,15,87,-16,16 Under
163,164,164,Heath Slocum,97,17.14,18,105,-18,18 Under
164,165,165,Stephen Ames,75,16.98,18,106,-20,20 Under
165,T166,T166,Greg Chalmers,93,16.94,21,124,-24,24 Under
166,T166,T166,Zach Johnson,93,16.94,21,124,-21,21 Under
167,T168,T168,Cameron Beckman,68,16.67,15,90,-14,14 Under
168,T168,T168,Luke Donald,71,16.67,10,60,-10,10 Under
169,170,170,Charlie Wi,95,16.39,20,122,-20,20 Under
170,171,171,Chris DiMarco,88,16.35,17,104,-17,17 Under
171,172,172,Andrew McLardy,52,16.18,11,68,-12,12 Under
172,173,173,Brenden Pappas,66,16.13,15,93,-14,14 Under
173,174,174,Jason Day,82,16.08,23,143,-24,24 Under
174,175,175,Brad Faxon,58,15.79,6,38,-6,6 Under
175,176,176,Mark Wilson,87,15.32,19,124,-19,19 Under
176,177,177,Skip Kendall,58,15.25,9,59,-8,8 Under
177,178,178,Brent Delahoussaye,57,15.22,7,46,-7,7 Under
178,179,179,Steve Elkington,74,15.15,15,99,-15,15 Under
179,180,180,Ben Crane,85,15.05,14,93,-15,15 Under
180,181,181,Scott Verplank,74,14.86,11,74,-11,11 Under
181,182,182,Ben Curtis,78,14.49,10,69,-12,12 Under
182,183,183,Jeff Maggert,76,14.46,12,83,-14,14 Under
183,184,184,Chris Wilson,65,14.43,14,97,-13,13 Under
184,185,185,Lee Janzen,77,14.14,14,99,-15,15 Under
185,186,186,Tom Pernice Jr.,74,13.64,9,66,-10,10 Under
186,187,187,Paul Goydos,78,13.51,10,74,-9,9 Under
187,188,188,Shaun Micheel,70,13.04,9,69,-8,8 Under
188,189,189,Omar Uresti,74,12.96,7,54,-7,7 Under
189,190,190,Justin Leonard,89,12.33,9,73,-9,9 Under
190,191,191,Brian Gay,101,10.29,7,68,-8,8 Under
191,192,192,Kevin Johnson,62,9.52,6,63,-7,7 Under
