,Approach_250-275_yards_RTP_RANK THIS WEEK,Approach_250-275_yards_RTP_RANK LAST WEEK,Approach_250-275_yards_RTP_PLAYER NAME,Approach_250-275_yards_RTP_ROUNDS,Approach_250-275_yards_RTP_AVG RTP
0,1,1,Matt Bettencourt,91,-0.92
1,2,2,Rory Sabbatini,79,-0.85
2,3,3,Steve Flesch,78,-0.833
3,4,4,Justin Bolli,55,-0.813
4,5,5,Paul Stankowski,62,-0.8059999999999999
5,6,6,Rich Barcelo,70,-0.8
6,7,7,Bubba Watson,77,-0.7859999999999999
7,8,8,Stewart Cink,84,-0.769
8,9,9,Blake Adams,84,-0.765
9,10,10,Justin Leonard,89,-0.762
10,T11,T11,Steve Elkington,74,-0.75
11,T11,T11,Bill Haas,87,-0.75
12,T11,T11,Brandt Snedeker,89,-0.75
13,14,14,Justin Rose,78,-0.7390000000000001
14,T15,T15,Geoff Ogilvy,62,-0.733
15,T15,T15,Ryan Palmer,84,-0.733
16,T17,T17,Charley Hoffman,85,-0.727
17,T17,T17,Cliff Kresge,50,-0.727
18,19,19,Phil Mickelson,76,-0.722
19,20,20,Charles Howell III,103,-0.7190000000000001
20,21,21,Jeff Gove,57,-0.7140000000000001
21,22,22,Woody Austin,93,-0.6970000000000001
22,23,23,Alex Prugh,88,-0.696
23,24,24,Michael Sim,64,-0.6920000000000001
24,25,25,Jason Dufner,87,-0.688
25,T26,T26,Henrik Bjornstad,72,-0.679
26,T26,T26,Joe Ogilvie,99,-0.679
27,T28,T28,Trevor Immelman,55,-0.667
28,T28,T28,Shaun Micheel,70,-0.667
29,T28,T28,Ryan Moore,80,-0.667
30,T31,T31,J.B. Holmes,100,-0.657
31,T31,T31,John Senden,103,-0.657
32,33,33,Mathew Goggin,85,-0.6559999999999999
33,T34,T34,Michael Bradley,77,-0.65
34,T34,T34,Jason Day,82,-0.65
35,36,36,Rod Pampling,77,-0.649
36,T37,T37,Luke Donald,71,-0.647
37,T37,T37,Mike Weir,59,-0.647
38,39,39,Kevin Sutherland,86,-0.643
39,40,40,Troy Merritt,86,-0.636
40,41,41,Vaughn Taylor,87,-0.633
41,T42,T42,Retief Goosen,75,-0.632
42,T42,T42,Steve Marino,81,-0.632
43,44,44,D.J. Trahan,92,-0.63
44,45,45,Briny Baird,87,-0.629
45,46,46,Chris Tidland,77,-0.621
46,T47,T47,Paul Casey,64,-0.615
47,T47,T47,Bob Estes,79,-0.615
48,T49,T49,Ben Crane,85,-0.609
49,T49,T49,Greg Owen,69,-0.609
50,T49,T49,Carl Pettersson,99,-0.609
51,52,52,Josh Teater,101,-0.606
52,T53,T53,Robert Allenby,76,-0.6
53,T53,T53,Greg Kraft,52,-0.6
54,T53,T53,Derek Lamely,81,-0.6
55,T53,T53,Y.E. Yang,72,-0.6
56,57,57,Jonathan Byrd,85,-0.595
57,58,58,Tom Gillis,97,-0.5920000000000001
58,59,59,Roger Tambellini,77,-0.591
59,T60,T60,Jarrod Lyle,54,-0.588
60,T60,T60,Adam Scott,70,-0.588
61,T62,T62,Aron Price,70,-0.586
62,T62,T62,Bo Van Pelt,104,-0.586
63,64,64,John Mallinger,78,-0.583
64,T65,T65,Mark Calcavecchia,50,-0.579
65,T65,T65,Rickie Fowler,98,-0.579
66,67,67,Heath Slocum,97,-0.5710000000000001
67,T68,T68,Graham DeLaet,88,-0.568
68,T68,T68,Jerry Kelly,99,-0.568
69,T68,T68,John Merrick,109,-0.568
70,T68,T68,James Nitties,92,-0.568
71,T72,T72,Chris Couch,66,-0.565
72,T72,T72,Martin Flores,75,-0.565
73,T72,T72,Kevin Streelman,90,-0.565
74,T72,T72,David Toms,86,-0.565
75,76,76,K.J. Choi,82,-0.563
76,T77,T77,Chad Collins,87,-0.56
77,T77,T77,Michael Letzig,84,-0.56
78,T77,T77,D.A. Points,90,-0.56
79,T80,T80,Cameron Beckman,68,-0.556
80,T80,T80,Tim Clark,88,-0.556
81,T80,T80,Ernie Els,72,-0.556
82,T83,T83,Martin Laird,91,-0.545
83,T83,T83,Marc Leishman,87,-0.545
84,85,85,Brendon de Jonge,114,-0.5429999999999999
85,T86,T86,Billy Mayfair,78,-0.5379999999999999
86,T86,T86,Mark Wilson,87,-0.5379999999999999
87,T88,T88,Ricky Barnes,103,-0.536
88,T88,T88,Matt Kuchar,97,-0.536
89,T90,T90,Aaron Baddeley,94,-0.5329999999999999
90,T90,T90,Hunter Mahan,85,-0.5329999999999999
91,T90,T90,Brett Quigley,96,-0.5329999999999999
92,T90,T90,Steve Stricker,73,-0.5329999999999999
93,T90,T90,Johnson Wagner,85,-0.5329999999999999
94,T95,T95,Ted Purdy,86,-0.531
95,T95,T95,Chris Stroud,90,-0.531
96,97,97,George McNeill,79,-0.529
97,98,98,Daniel Chopra,74,-0.526
98,99,99,Jim Furyk,76,-0.524
99,100,100,Steve Wheatcroft,74,-0.522
100,101,101,Lee Janzen,77,-0.52
101,102,102,Pat Perez,90,-0.515
102,103,103,J.J. Henry,92,-0.514
103,T104,T104,Ben Curtis,78,-0.5
104,T104,T104,Paul Goydos,78,-0.5
105,T104,T104,Padraig Harrington,57,-0.5
106,T104,T104,Richard Johnson,90,-0.5
107,T104,T104,Matt Jones,89,-0.5
108,T104,T104,Skip Kendall,58,-0.5
109,T104,T104,Chris Riley,73,-0.5
110,T104,T104,John Rollins,81,-0.5
111,T104,T104,Roland Thatcher,72,-0.5
112,T104,T104,Camilo Villegas,78,-0.5
113,114,114,Tim Petrovic,105,-0.48700000000000004
114,115,115,Brian Davis,101,-0.484
115,116,116,Michael Connell,89,-0.48100000000000004
116,T117,T117,Cameron Percy,73,-0.48
117,T117,T117,Scott Piercy,88,-0.48
118,T119,T119,Stephen Ames,75,-0.478
119,T119,T119,Webb Simpson,98,-0.478
120,121,121,Garrett Willis,82,-0.474
121,122,122,Vance Veazey,58,-0.467
122,123,123,Troy Matteson,84,-0.46399999999999997
123,T124,T124,Matt Every,60,-0.462
124,T124,T124,Garth Mulroy,53,-0.462
125,T126,T126,David Duval,71,-0.455
126,T126,T126,Sergio Garcia,58,-0.455
127,T126,T126,Lucas Glover,75,-0.455
128,T126,T126,Zach Johnson,93,-0.455
129,T130,T130,Brent Delahoussaye,57,-0.444
130,T130,T130,Brad Faxon,58,-0.444
131,T130,T130,Nathan Green,86,-0.444
132,133,133,Kevin Na,94,-0.44
133,T134,T134,Kevin Stadler,86,-0.43799999999999994
134,T134,T134,Brett Wetterich,54,-0.43799999999999994
135,136,136,Davis Love III,79,-0.435
136,T137,T137,Stuart Appleby,101,-0.429
137,T137,T137,Cameron Tringale,55,-0.429
138,T137,T137,Jay Williamson,76,-0.429
139,140,140,Greg Chalmers,93,-0.424
140,T141,T141,Kris Blanks,91,-0.423
141,T141,T141,Joe Durant,67,-0.423
142,143,143,Ángel Cabrera,64,-0.42100000000000004
143,144,144,Charlie Wi,95,-0.41700000000000004
144,145,145,Chris DiMarco,88,-0.414
145,146,146,Bill Lunde,79,-0.41200000000000003
146,147,147,Sean O'Hair,84,-0.409
147,148,148,James Driscoll,78,-0.40700000000000003
148,149,149,Will MacKenzie,72,-0.406
149,T150,T150,Rocco Mediate,71,-0.4
150,T150,T150,Kenny Perry,69,-0.4
151,T150,T150,Nicholas Thompson,88,-0.4
152,T153,T153,Jason Bohn,84,-0.389
153,T153,T153,Kevin Johnson,62,-0.389
154,T153,T153,Jimmy Walker,82,-0.389
155,T156,T156,John Daly,63,-0.385
156,T156,T156,Omar Uresti,74,-0.385
157,T156,T156,Dean Wilson,54,-0.385
158,159,159,Jeev Milkha Singh,59,-0.381
159,160,160,Andres Romero,73,-0.37
160,T161,T161,Tim Herron,79,-0.364
161,T161,T161,Tom Pernice Jr.,74,-0.364
162,163,163,Jeff Quinney,91,-0.36
163,164,164,Boo Weekley,88,-0.353
164,165,165,David Lutterus,69,-0.35
165,T166,T166,Chad Campbell,94,-0.33299999999999996
166,T166,T166,Spencer Levin,110,-0.33299999999999996
