,Rough_Proximity_RANK THIS WEEK,Rough_Proximity_RANK LAST WEEK,Rough_Proximity_PLAYER NAME,Rough_Proximity_ROUNDS,Rough_Proximity_AVG,Rough_Proximity_TOTAL DISTANCE (INCHES),Rough_Proximity_ATTEMPTS,Rough_Proximity_TOTAL DISTANCE (FEET),Rough_Proximity_RELATIVE TO PAR
0,1,1,Geoff Ogilvy,62,"37' 0""",89618,202,7468.1669999999995,11.0
1,2,2,Chris Couch,66,"38' 0""",88874,195,7406.1669999999995,15.0
2,3,3,Nick Watney,91,"38' 3""",114641,250,9553.417,11.0
3,4,4,Padraig Harrington,57,"38' 4""",86541,188,7211.75,4.0
4,5,5,Phil Mickelson,76,"38' 5""",134223,291,11185.25,17.0
5,6,6,Roland Thatcher,72,"38' 7""",119415,258,9951.25,28.0
6,T7,T7,Greg Chalmers,93,"38' 9""",160489,345,13374.083,26.0
7,T7,T7,Graham DeLaet,88,"38' 9""",125894,271,10491.167,7.0
8,T9,T9,Ben Crane,85,"38' 10""",94209,202,7850.75,14.0
9,T9,T9,Jay Williamson,76,"38' 10""",89561,192,7463.4169999999995,27.0
10,T11,T11,Woody Austin,93,"38' 11""",129917,278,10826.417,12.0
11,T11,T11,Jonathan Byrd,85,"38' 11""",137720,295,11476.667,6.0
12,13,13,D.J. Trahan,92,"39' 0""",149315,319,12442.917,16.0
13,14,14,Brent Delahoussaye,57,"39' 2""",67244,143,5603.6669999999995,27.0
14,T15,T15,Garth Mulroy,53,"39' 3""",70631,150,5885.9169999999995,18.0
15,T15,T15,Cameron Percy,73,"39' 3""",110150,234,9179.167,9.0
16,T17,T17,Daniel Chopra,74,"39' 4""",150178,318,12514.833,34.0
17,T17,T17,Robert Garrigus,71,"39' 4""",123135,261,10261.25,32.0
18,19,19,Y.E. Yang,72,"39' 5""",102168,216,8514.0,26.0
19,20,20,Rickie Fowler,98,"39' 6""",146451,309,12204.25,26.0
20,T21,T21,Rocco Mediate,71,"39' 7""",84543,178,7045.25,33.0
21,T21,T21,Bubba Watson,77,"39' 7""",131935,278,10994.583,-16.0
22,23,23,John Daly,63,"39' 8""",103812,218,8651.0,18.0
23,T24,T24,Ernie Els,72,"39' 9""",109778,230,9148.167,6.0
24,T24,T24,Davis Love III,79,"39' 9""",99608,209,8300.667,13.0
25,T24,T24,Cameron Tringale,55,"39' 9""",83063,174,6921.9169999999995,20.0
26,T27,T27,Tim Clark,88,"39' 10""",82714,173,6892.8330000000005,9.0
27,T27,T27,Steve Flesch,78,"39' 10""",102304,214,8525.333,28.0
28,T27,T27,Kenny Perry,69,"39' 10""",80228,168,6685.6669999999995,24.0
29,30,30,Chris Riley,73,"39' 11""",96185,201,8015.4169999999995,34.0
30,31,31,Rory Sabbatini,79,"40' 0""",122355,255,10196.25,13.0
31,32,32,Stuart Appleby,101,"40' 1""",168762,351,14063.5,44.0
32,T33,T33,Webb Simpson,98,"40' 2""",172101,357,14341.75,19.0
33,T33,T33,Heath Slocum,97,"40' 2""",94059,195,7838.25,16.0
34,T33,T33,Omar Uresti,74,"40' 2""",77083,160,6423.5830000000005,20.0
35,T36,T36,Troy Matteson,84,"40' 3""",142914,296,11909.5,31.0
36,T36,T36,Rory McIlroy,54,"40' 3""",75282,156,6273.5,3.0
37,T36,T36,John Senden,103,"40' 3""",139095,288,11591.25,19.0
38,T36,T36,Steve Wheatcroft,74,"40' 3""",95577,198,7964.75,43.0
39,T40,T40,Dustin Johnson,83,"40' 4""",132746,274,11062.167,15.0
40,T40,T40,Hunter Mahan,85,"40' 4""",113747,235,9478.917,15.0
41,T40,T40,Ryan Palmer,84,"40' 4""",140010,289,11667.5,20.0
42,43,43,Rod Pampling,77,"40' 5""",114483,236,9540.25,27.0
43,T44,T44,Bill Haas,87,"40' 6""",120035,247,10002.917,8.0
44,T44,T44,Charley Hoffman,85,"40' 6""",127343,262,10611.917,30.0
45,T46,T46,Steve Elkington,74,"40' 8""",93269,191,7772.4169999999995,13.0
46,T46,T46,Cliff Kresge,50,"40' 8""",67894,139,5657.8330000000005,16.0
47,T46,T46,Will MacKenzie,72,"40' 8""",109413,224,9117.75,21.0
48,T49,T49,Chris DiMarco,88,"40' 9""",114367,234,9530.583,13.0
49,T49,T49,Nicholas Thompson,88,"40' 9""",129120,264,10760.0,50.0
50,51,51,Charles Warren,64,"40' 10""",90229,184,7519.0830000000005,27.0
51,T52,T52,Kris Blanks,91,"40' 11""",117271,239,9772.583,37.0
52,T52,T52,Bob Estes,79,"40' 11""",134536,274,11211.333,18.0
53,T52,T52,Chris Wilson,65,"40' 11""",98142,200,8178.5,39.0
54,55,55,Andrew McLardy,52,"41' 0""",80667,164,6722.25,14.0
55,T56,T56,Steve Stricker,73,"41' 1""",95703,194,7975.25,-4.0
56,T56,T56,Johnson Wagner,85,"41' 1""",118735,241,9894.583,30.0
57,T58,T58,Spencer Levin,110,"41' 2""",165071,334,13755.917,27.0
58,T58,T58,Andres Romero,73,"41' 2""",148561,301,12380.083,36.0
