,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Bubba Watson,77,26.28,36,137
1,2,2,Aaron Baddeley,94,25.17,38,151
2,3,3,Luke Donald,71,24.44,22,90
3,4,4,Rory McIlroy,54,24.29,17,70
4,5,5,Sergio Garcia,58,23.08,15,65
5,6,6,George McNeill,79,22.86,32,140
6,7,7,Jonathan Byrd,85,22.6,33,146
7,8,8,Greg Chalmers,93,21.77,27,124
8,9,9,Nick Watney,91,21.0,21,100
9,10,10,Charles Howell III,103,20.67,31,150
10,11,11,Brandt Snedeker,89,20.66,25,121
11,12,12,Vijay Singh,75,20.43,19,93
12,13,13,Mark Calcavecchia,50,20.31,13,64
13,14,14,Ben Crane,85,20.22,18,89
14,15,15,J.B. Holmes,100,19.9,39,196
15,16,16,Troy Merritt,86,19.85,26,131
16,17,17,Stewart Cink,84,19.64,22,112
17,18,18,Graham DeLaet,88,19.4,26,134
18,19,19,Ernie Els,72,19.39,19,98
19,20,20,Hunter Mahan,85,18.81,19,101
20,21,21,Jason Bohn,84,18.7,23,123
21,T22,T22,J.J. Henry,92,18.66,25,134
22,T22,T22,Dustin Johnson,83,18.66,25,134
23,T24,T24,Robert Garrigus,71,18.52,20,108
24,T24,T24,Davis Love III,79,18.52,20,108
25,26,26,K.J. Choi,82,18.28,17,93
26,T27,T27,Paul Casey,64,18.18,16,88
27,T27,T27,Nathan Green,86,18.18,26,143
28,29,29,Will MacKenzie,72,17.54,20,114
29,30,30,Michael Letzig,84,17.39,24,138
30,31,31,Garth Mulroy,53,17.33,13,75
31,32,32,Jimmy Walker,82,17.29,23,133
32,33,33,Marc Leishman,87,17.19,22,128
33,34,34,John Rollins,81,17.17,17,99
34,35,35,James Nitties,92,17.09,20,117
35,T36,T36,Chris Couch,66,16.98,18,106
36,T36,T36,Phil Mickelson,76,16.98,27,159
37,38,38,Justin Rose,78,16.92,22,130
38,39,39,Bill Lunde,79,16.84,16,95
39,40,40,Scott McCarron,90,16.79,22,131
40,T41,T41,Martin Flores,75,16.67,26,156
41,T41,T41,Matt Jones,89,16.67,26,156
42,43,43,Martin Laird,91,16.55,24,145
43,44,44,Bill Haas,87,16.54,21,127
44,45,45,Cameron Tringale,55,16.48,15,91
45,46,46,D.A. Points,90,16.43,23,140
46,47,47,Stephen Ames,75,16.36,18,110
47,48,48,Robert Allenby,76,16.33,16,98
48,49,49,Ryan Palmer,84,16.28,21,129
49,50,50,Cameron Percy,73,16.16,16,99
50,T51,T51,Jeff Overton,89,16.13,25,155
51,T51,T51,Michael Sim,64,16.13,15,93
52,53,53,John Senden,103,16.08,23,143
53,54,54,Lucas Glover,75,16.04,17,106
54,T55,T55,Mathias Grönberg,61,15.96,15,94
55,T55,T55,Zach Johnson,93,15.96,15,94
56,57,57,Justin Leonard,89,15.89,17,107
57,58,58,Ángel Cabrera,64,15.84,16,101
58,59,59,Rickie Fowler,98,15.83,22,139
59,T60,T60,Jason Day,82,15.79,21,133
60,T60,T60,Steve Lowery,67,15.79,15,95
61,T60,T60,Adam Scott,70,15.79,15,95
62,63,63,Tim Clark,88,15.73,14,89
63,64,64,Steve Stricker,73,15.63,15,96
64,65,65,Geoff Ogilvy,62,15.56,14,90
65,66,66,Carl Pettersson,99,15.48,24,155
66,67,67,Paul Stankowski,62,15.46,15,97
67,68,68,Y.E. Yang,72,15.45,17,110
68,69,69,Pat Perez,90,15.27,20,131
69,70,70,Camilo Villegas,78,15.25,18,118
70,71,71,Matt Every,60,15.22,14,92
71,72,72,Derek Lamely,81,15.0,21,140
72,73,73,D.J. Trahan,92,14.94,23,154
73,74,74,James Driscoll,78,14.93,20,134
74,75,75,Kris Blanks,91,14.91,17,114
75,76,76,Jerry Kelly,99,14.88,18,121
76,77,77,Steve Wheatcroft,74,14.85,15,101
77,T78,T78,Jarrod Lyle,54,14.71,10,68
78,T78,T78,Brett Wetterich,54,14.71,15,102
79,80,80,Scott Piercy,88,14.69,21,143
80,81,81,Bo Van Pelt,104,14.6,20,137
81,82,82,Roger Tambellini,77,14.58,14,96
82,83,83,Chris DiMarco,88,14.56,15,103
83,84,84,Tom Gillis,97,14.5,19,131
84,85,85,Joe Ogilvie,99,14.48,21,145
85,86,86,Jerod Turner,54,14.47,11,76
86,87,87,Jay Williamson,76,14.43,14,97
87,88,88,Steve Flesch,78,14.41,17,118
88,T89,T89,Brian Davis,101,14.4,18,125
89,T89,T89,Tim Petrovic,105,14.4,18,125
90,T91,T91,John Merrick,109,14.29,19,133
91,T91,T91,Tom Pernice Jr.,74,14.29,15,105
92,T93,T93,Jason Dufner,87,14.15,15,106
93,T93,T93,Rory Sabbatini,79,14.15,15,106
94,95,95,Jeff Maggert,76,14.14,14,99
95,96,96,Daniel Chopra,74,14.09,21,149
96,97,97,Jeff Quinney,91,14.06,18,128
97,98,98,Garrett Willis,82,14.05,17,121
98,99,99,Chris Stroud,90,14.04,16,114
99,100,100,Michael Connell,89,14.0,21,150
100,101,101,Bryce Molder,84,13.95,12,86
101,102,102,Padraig Harrington,57,13.68,13,95
102,103,103,Webb Simpson,98,13.47,26,193
103,104,104,Brian Gay,101,13.46,14,104
104,105,105,Kevin Stadler,86,13.43,18,134
105,106,106,Brett Quigley,96,13.4,26,194
