,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Andrew McLardy,52,"35' 0""",70,2447.667,-4.00
1,2,2,Roland Thatcher,72,"35' 4""",128,4518.25,+10.00
2,3,3,Padraig Harrington,57,"35' 10""",93,3328.667,-2.00
3,4,4,Bill Haas,87,"35' 11""",120,4311.083,-1.00
4,5,5,D.J. Trahan,92,"36' 1""",165,5951.3330000000005,+2.00
5,6,6,Rocco Mediate,71,"36' 10""",93,3424.083,+19.00
6,T7,T7,Ben Crane,85,"37' 1""",113,4194.833,+11.00
7,T7,T7,Omar Uresti,74,"37' 1""",73,2704.333,+2.00
8,9,9,Woody Austin,93,"37' 2""",139,5161.417,+2.00
9,10,10,Geoff Ogilvy,62,"37' 4""",112,4179.583,+5.00
10,11,11,Webb Simpson,98,"38' 0""",164,6231.3330000000005,+10.00
11,T12,T12,John Daly,63,"38' 1""",115,4384.25,E
12,T12,T12,Nick Watney,91,"38' 1""",150,5714.0,+2.00
13,14,14,Bubba Watson,77,"38' 3""",141,5388.9169999999995,-2.00
14,T15,T15,Chris Couch,66,"38' 4""",89,3409.25,+11.00
15,T15,T15,Phil Mickelson,76,"38' 4""",132,5063.833,+5.00
16,T15,T15,Garth Mulroy,53,"38' 4""",75,2872.667,+15.00
17,18,18,Jonathan Byrd,85,"38' 5""",149,5721.0,+11.00
18,T19,T19,Brent Delahoussaye,57,"38' 6""",80,3082.0,+13.00
19,T19,T19,Nicholas Thompson,88,"38' 6""",138,5312.5830000000005,+16.00
20,21,21,Rory Sabbatini,79,"38' 7""",149,5748.4169999999995,+1.00
21,22,22,John Senden,103,"38' 8""",145,5602.4169999999995,+7.00
22,23,23,Graham DeLaet,88,"38' 10""",137,5315.4169999999995,+9.00
23,24,24,Chris Tidland,77,"39' 0""",128,4989.417,+3.00
24,25,25,Rickie Fowler,98,"39' 1""",170,6645.8330000000005,+14.00
25,T26,T26,Steve Flesch,78,"39' 3""",96,3764.0,+3.00
26,T26,T26,Camilo Villegas,78,"39' 3""",101,3962.75,+3.00
27,T28,T28,Tim Clark,88,"39' 4""",84,3301.333,+6.00
28,T28,T28,Brian Davis,101,"39' 4""",163,6415.3330000000005,+19.00
29,30,30,K.J. Choi,82,"39' 5""",100,3938.25,+5.00
30,31,31,Justin Bolli,55,"39' 6""",42,1658.6670000000001,+5.00
31,T32,T32,Troy Matteson,84,"39' 7""",168,6643.5830000000005,+22.00
32,T32,T32,Heath Slocum,97,"39' 7""",105,4153.083,+9.00
33,34,34,David Duval,71,"39' 8""",86,3409.5,+6.00
34,T35,T35,Charley Hoffman,85,"39' 9""",147,5848.8330000000005,+20.00
35,T35,T35,Andres Romero,73,"39' 9""",164,6519.5830000000005,+14.00
36,T35,T35,Justin Rose,78,"39' 9""",120,4769.417,-10.00
37,T35,T35,Vaughn Taylor,87,"39' 9""",131,5208.833,+13.00
38,T39,T39,Jim Furyk,76,"40' 0""",83,3320.833,-2.00
39,T39,T39,Robert Garrigus,71,"40' 0""",153,6123.1669999999995,+22.00
40,T39,T39,Jarrod Lyle,54,"40' 0""",79,3158.333,+3.00
41,T39,T39,Pat Perez,90,"40' 0""",125,4999.167,+25.00
42,43,43,Tom Pernice Jr.,74,"40' 1""",88,3525.083,+5.00
43,44,44,Alex Prugh,88,"40' 2""",160,6425.6669999999995,+11.00
44,T45,T45,Kenny Perry,69,"40' 3""",71,2855.667,+8.00
45,T45,T45,Chris Riley,73,"40' 3""",122,4911.667,+16.00
