,Approaches_from_125-150_yards_RANK THIS WEEK,Approaches_from_125-150_yards_RANK LAST WEEK,Approaches_from_125-150_yards_PLAYER NAME,Approaches_from_125-150_yards_ROUNDS,Approaches_from_125-150_yards_AVG,Approaches_from_125-150_yards_TOTAL DISTANCE (FEET),Approaches_from_125-150_yards_# OF ATTEMPTS,Approaches_from_125-150_yards_RELATIVE TO PAR
0,1,1,Scott Verplank,74,"19' 8""",2403.833,122,-21
1,T2,T2,Mark Calcavecchia,50,"19' 9""",1104.167,56,+3
2,T2,T2,Phil Mickelson,76,"19' 9""",1838.0,93,-10
3,T2,T2,Nick Watney,91,"19' 9""",2963.417,150,-31
4,5,5,Justin Leonard,89,"19' 11""",3467.083,174,-34
5,T6,T6,Cliff Kresge,50,"20' 2""",2295.417,114,-15
6,T6,T6,Mike Weir,59,"20' 2""",1449.0,72,-15
7,8,8,Brett Quigley,96,"20' 3""",3463.083,171,-25
8,T9,T9,Steve Stricker,73,"20' 5""",2141.333,105,-23
9,T9,T9,David Toms,86,"20' 5""",3485.917,171,-28
10,T11,T11,Brendon de Jonge,114,"20' 7""",3992.667,194,-24
11,T11,T11,Steve Flesch,78,"20' 7""",2820.333,137,-11
12,T11,T11,Adam Scott,70,"20' 7""",2081.083,101,-8
13,14,14,Brandt Snedeker,89,"20' 8""",3062.167,148,-36
14,15,15,Kevin Na,94,"20' 9""",3170.917,153,-35
15,T16,T16,Brian Gay,101,"20' 10""",3521.0,169,-27
16,T16,T16,Rocco Mediate,71,"20' 10""",2857.917,137,-17
17,T18,T18,Luke Donald,71,"21' 1""",2086.167,99,-14
18,T18,T18,Richard Johnson,90,"21' 1""",3584.667,170,-23
19,T18,T18,Omar Uresti,74,"21' 1""",2511.75,119,-10
20,T21,T21,J.P. Hayes,79,"21' 2""",3176.583,150,-26
21,T21,T21,Cameron Percy,73,"21' 2""",2562.0,121,-24
22,T21,T21,Jeff Quinney,91,"21' 2""",3829.5,181,-28
23,T24,T24,Trevor Immelman,55,"21' 3""",1871.9170000000001,88,-15
24,T24,T24,Ian Poulter,55,"21' 3""",1656.8329999999999,78,-13
25,T26,T26,Woody Austin,93,"21' 4""",4012.167,188,-14
26,T26,T26,Tim Clark,88,"21' 4""",2945.25,138,-18
27,T28,T28,Chad Campbell,94,"21' 5""",4220.083,197,-29
28,T28,T28,Joe Durant,67,"21' 5""",2974.917,139,-21
29,T28,T28,Zach Johnson,93,"21' 5""",3642.333,170,-29
30,T31,T31,Charley Hoffman,85,"21' 6""",3716.5,173,-27
31,T31,T31,Jerry Kelly,99,"21' 6""",4531.75,211,-17
32,T31,T31,Vance Veazey,58,"21' 6""",2153.667,100,-13
33,34,34,Josh Teater,101,"21' 7""",3883.917,180,-18
34,35,35,Carl Pettersson,99,"21' 8""",4008.583,185,-25
35,36,36,Jeff Maggert,76,"21' 9""",2931.0,135,-12
36,T37,T37,Cameron Beckman,68,"21' 10""",2729.667,125,-14
37,T37,T37,Tom Pernice Jr.,74,"21' 10""",3013.0,138,-18
38,T37,T37,Y.E. Yang,72,"21' 10""",2684.25,123,-19
39,T40,T40,Ryan Moore,80,"21' 11""",2831.083,129,-17
40,T40,T40,Rory Sabbatini,79,"21' 11""",2893.75,132,-9
41,T42,T42,Alex Cejka,81,"22' 0""",2681.25,122,-12
42,T42,T42,Lee Janzen,77,"22' 0""",3680.333,167,-23
43,T44,T44,Lucas Glover,75,"22' 1""",2782.583,126,-18
44,T44,T44,Tim Petrovic,105,"22' 1""",4654.25,211,-39
45,T44,T44,Kevin Stadler,86,"22' 1""",3423.583,155,-15
46,T44,T44,Johnson Wagner,85,"22' 1""",3684.333,167,-27
47,T44,T44,Jay Williamson,76,"22' 1""",3119.25,141,-6
48,T49,T49,Robert Allenby,76,"22' 2""",2922.833,132,-20
49,T49,T49,Ben Curtis,78,"22' 2""",3236.833,146,-18
50,T49,T49,Heath Slocum,97,"22' 2""",3880.5,175,-22
51,T49,T49,Dean Wilson,54,"22' 2""",2487.083,112,-16
52,T53,T53,Stewart Cink,84,"22' 3""",2934.5,132,-15
53,T53,T53,Chris DiMarco,88,"22' 3""",3734.083,168,-20
54,T53,T53,Skip Kendall,58,"22' 3""",2473.833,111,-13
55,T53,T53,John Merrick,109,"22' 3""",4670.167,210,-31
56,T53,T53,Chris Stroud,90,"22' 3""",3298.75,148,-4
57,T58,T58,Pat Perez,90,"22' 4""",3993.833,179,-17
58,T58,T58,D.J. Trahan,92,"22' 4""",3210.167,144,-5
59,T60,T60,Brian Davis,101,"22' 5""",4243.0,189,-14
60,T60,T60,Brent Delahoussaye,57,"22' 5""",2132.917,95,-5
61,T60,T60,David Duval,71,"22' 5""",2490.667,111,-15
