,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,D.J. Trahan,92,62.5,310,496
1,2,2,Bubba Watson,77,62.05,296,477
2,3,3,Jonathan Byrd,85,60.66,276,455
3,4,4,Bill Haas,87,60.0,261,435
4,5,5,Troy Matteson,84,59.74,279,467
5,6,6,Adam Scott,70,59.6,211,354
6,7,7,Cameron Percy,73,59.59,233,391
7,8,8,Nick Watney,91,59.18,274,463
8,9,9,Kris Blanks,91,59.01,226,383
9,10,10,Kevin Sutherland,86,58.99,233,395
10,11,11,Garth Mulroy,53,58.96,158,268
11,12,12,Chris Couch,66,58.28,183,314
12,13,13,Hunter Mahan,85,58.2,220,378
13,14,14,Graham DeLaet,88,58.06,234,403
14,15,15,Chris Tidland,77,57.56,217,377
15,16,16,Robert Garrigus,71,57.46,231,402
16,17,17,John Senden,103,57.29,271,473
17,18,18,Geoff Ogilvy,62,57.18,203,355
18,19,19,Davis Love III,79,56.93,226,397
19,20,20,Kevin Stadler,86,56.82,229,403
20,21,21,Phil Mickelson,76,56.8,288,507
21,22,22,Ángel Cabrera,64,56.79,230,405
22,23,23,Charles Howell III,103,56.64,354,625
23,24,24,Mark Wilson,87,56.51,204,361
24,25,25,Rory Sabbatini,79,56.5,239,423
25,T26,T26,Freddie Jacobson,83,56.49,248,439
26,T26,T26,Greg Owen,69,56.49,209,370
27,28,28,John Rollins,81,56.47,227,402
28,29,29,Brett Wetterich,54,56.29,179,318
29,30,30,Nicholas Thompson,88,56.19,236,420
30,31,31,Kevin Streelman,90,56.07,231,412
31,32,32,George McNeill,79,56.04,283,505
32,33,33,Tim Herron,79,56.03,265,473
33,34,34,Sean O'Hair,84,56.01,233,416
34,T35,T35,Mark Calcavecchia,50,56.0,126,225
35,T35,T35,Daniel Chopra,74,56.0,280,500
36,37,37,Roger Tambellini,77,55.99,201,359
37,T38,T38,Will MacKenzie,72,55.92,189,338
38,T38,T38,Chris Stroud,90,55.92,236,422
39,40,40,Joe Ogilvie,99,55.89,294,526
40,41,41,Boo Weekley,88,55.86,205,367
41,42,42,Ricky Barnes,103,55.76,334,599
42,43,43,Omar Uresti,74,55.75,126,226
43,44,44,Steve Stricker,73,55.63,178,320
44,45,45,Billy Mayfair,78,55.52,161,290
45,T46,T46,Stephen Ames,75,55.49,192,346
46,T46,T46,Rickie Fowler,98,55.49,273,492
47,48,48,Brett Quigley,96,55.43,291,525
48,49,49,Heath Slocum,97,55.4,200,361
49,50,50,Cameron Tringale,55,55.32,156,282
