,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Dustin Johnson,83,72.0,144,56
1,2,2,Graham DeLaet,88,69.03,156,70
2,3,3,J.B. Holmes,100,67.78,183,87
3,4,4,Garth Mulroy,53,65.41,87,46
4,5,5,Ángel Cabrera,64,65.38,102,54
5,6,6,Chris Couch,66,65.08,123,66
6,7,7,Charles Warren,64,64.71,110,60
7,8,8,Rory McIlroy,54,64.52,80,44
8,9,9,Brett Wetterich,54,64.38,103,57
9,10,10,Phil Mickelson,76,64.21,122,68
10,11,11,Martin Laird,91,64.2,156,87
11,12,12,Robert Garrigus,71,63.69,114,65
12,13,13,John Daly,63,63.43,85,49
13,14,14,Charley Hoffman,85,63.18,151,88
14,15,15,Bubba Watson,77,62.38,131,79
15,16,16,Lucas Glover,75,62.37,116,70
16,17,17,Aaron Baddeley,94,62.32,172,104
17,18,18,Mathias Grönberg,61,61.49,91,57
18,19,19,D.J. Trahan,92,61.39,159,100
19,20,20,Boo Weekley,88,60.93,131,84
20,21,21,Nick Watney,91,60.81,135,87
21,22,22,James Driscoll,78,60.44,136,89
22,23,23,Henrik Bjornstad,72,60.22,112,74
23,24,24,Martin Flores,75,59.8,122,82
24,T25,T25,Marc Leishman,87,59.52,125,85
25,T25,T25,Camilo Villegas,78,59.52,100,68
26,27,27,Bo Van Pelt,104,59.02,157,109
27,28,28,Scott Piercy,88,58.66,149,105
28,29,29,Ted Purdy,86,58.65,139,98
29,30,30,Retief Goosen,75,58.33,91,65
30,31,31,Ryan Moore,80,58.2,110,79
31,32,32,Matt Every,60,57.86,92,67
32,33,33,Matt Bettencourt,91,57.46,131,97
33,34,34,Kevin Stadler,86,57.26,134,100
34,T35,T35,Bill Haas,87,57.14,136,102
35,T35,T35,Hunter Mahan,85,57.14,120,90
36,37,37,Scott McCarron,90,57.09,149,112
37,38,38,Rory Sabbatini,79,57.01,126,95
38,39,39,Tom Gillis,97,56.99,163,123
39,40,40,John Rollins,81,56.96,131,99
40,41,41,Troy Matteson,84,56.61,137,105
41,42,42,Davis Love III,79,56.5,113,87
42,43,43,Nicholas Thompson,88,56.38,137,106
43,44,44,Mark Calcavecchia,50,56.07,60,47
44,45,45,Alex Prugh,88,56.05,139,109
45,46,46,John Senden,103,55.8,154,122
46,47,47,Mathew Goggin,85,55.74,131,104
47,48,48,Cameron Percy,73,55.56,105,84
48,49,49,Andres Romero,73,55.26,126,102
49,50,50,Jason Day,82,55.19,117,95
50,51,51,Paul Stankowski,62,55.13,86,70
51,52,52,Cameron Tringale,55,54.93,78,64
52,53,53,Will MacKenzie,72,54.81,114,94
53,54,54,Jarrod Lyle,54,54.35,75,63
54,55,55,Daniel Chopra,74,54.29,114,96
55,56,56,Kevin Streelman,90,54.03,134,114
56,57,57,Adam Scott,70,53.45,93,81
57,58,58,Sergio Garcia,58,53.39,63,55
58,59,59,Troy Merritt,86,53.36,127,111
59,60,60,Sean O'Hair,84,53.33,112,98
60,61,61,Roland Thatcher,72,53.3,113,99
61,T62,T62,Matt Jones,89,53.23,132,116
62,T62,T62,Aron Price,70,53.23,99,87
63,64,64,Paul Casey,64,53.17,67,59
64,65,65,Rod Pampling,77,53.1,120,106
65,66,66,Derek Lamely,81,53.06,104,92
66,67,67,Jimmy Walker,82,53.02,114,101
67,68,68,John Merrick,109,52.86,148,132
68,69,69,Robert Allenby,76,52.69,98,88
