,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Jay Williamson,76,158.2,6224604.0,1093
1,2,2,John Daly,63,158.4,4790129.0,840
2,3,3,Greg Kraft,52,159.3,3991266.0,696
3,4,4,Alex Prugh,88,159.4,8227480.0,1434
4,5,5,Jerod Turner,54,159.9,4122724.0,716
5,T6,T6,Michael Bradley,77,160.1,7033452.0,1220
6,T6,T6,Omar Uresti,74,160.1,6304630.0,1094
7,8,8,Blake Adams,84,160.3,7769842.0,1346
8,T9,T9,Justin Bolli,55,160.4,4319380.0,748
9,T9,T9,J.P. Hayes,79,160.4,7033526.0,1218
10,T11,T11,Andrew McLardy,52,160.5,4541246.0,786
11,T11,T11,Webb Simpson,98,160.5,9479492.0,1641
12,T13,T13,Greg Owen,69,160.6,6409981.0,1109
13,T13,T13,Brian Stuard,81,160.6,7331257.0,1268
14,T15,T15,Jeff Gove,57,160.7,4570715.0,790
15,T15,T15,Josh Teater,101,160.7,9532782.0,1648
16,T15,T15,Chris Wilson,65,160.7,5351459.0,925
17,T18,T18,Joe Durant,67,160.8,5927009.0,1024
18,T18,T18,Tim Herron,79,160.8,7130851.0,1232
19,20,20,Brent Delahoussaye,57,160.9,4882411.0,843
20,T21,T21,Matt Bettencourt,91,161.0,7229728.0,1247
21,T21,T21,Daniel Chopra,74,161.0,6918709.0,1194
22,T23,T23,Tim Clark,88,161.1,7053249.0,1216
23,T23,T23,Jeff Overton,89,161.1,7378820.0,1272
24,T23,T23,Carl Pettersson,99,161.1,8610600.0,1485
25,26,26,Cameron Tringale,55,161.2,4654208.0,802
26,T27,T27,Michael Connell,89,161.3,8025662.0,1382
27,T27,T27,David Toms,86,161.3,7301276.0,1257
28,T29,T29,Robert Garrigus,71,161.4,6327022.0,1089
29,T29,T29,Justin Leonard,89,161.4,7511747.0,1293
30,T31,T31,Brian Gay,101,161.6,8557788.0,1471
31,T31,T31,Skip Kendall,58,161.6,5113694.0,879
32,T31,T31,Michael Sim,64,161.6,5527947.0,950
33,T31,T31,Jeev Milkha Singh,59,161.6,5417588.0,931
34,T31,T31,Vance Veazey,58,161.6,4998442.0,859
35,T36,T36,Graham DeLaet,88,161.7,7917854.0,1360
36,T36,T36,Matt Every,60,161.7,5298443.0,910
37,T36,T36,Rickie Fowler,98,161.7,8646176.0,1485
38,T36,T36,Boo Weekley,88,161.7,7703690.0,1323
39,T40,T40,Bob Estes,79,161.8,7402975.0,1271
40,T40,T40,Freddie Jacobson,83,161.8,8048365.0,1382
41,T40,T40,Brett Wetterich,54,161.8,5515823.0,947
42,T43,T43,Craig Bowden,56,161.9,4988051.0,856
43,T43,T43,Cliff Kresge,50,161.9,4704463.0,807
44,T43,T43,Jeff Maggert,76,161.9,6580686.0,1129
45,T43,T43,Vijay Singh,75,161.9,5957022.0,1022
46,T43,T43,Heath Slocum,97,161.9,7628194.0,1309
47,48,48,Jeff Quinney,91,162.0,8335648.0,1429
48,T49,T49,Chris DiMarco,88,162.1,8151750.0,1397
49,T49,T49,Brad Faxon,58,162.1,5019690.0,860
50,T49,T49,Charles Howell III,103,162.1,9381646.0,1608
51,T52,T52,Jarrod Lyle,54,162.2,4801010.0,822
52,T52,T52,Charles Warren,64,162.2,5729325.0,981
