,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Tim Clark,88,"30' 3""",36737.0,1216,102
1,2,2,Jay Williamson,76,"30' 9""",33630.917,1093,43
2,3,3,Joe Durant,67,"31' 7""",32320.25,1024,3
3,4,4,Cliff Kresge,50,"32' 0""",25843.25,807,104
4,5,5,Omar Uresti,74,"32' 2""",35195.083,1094,63
5,6,6,K.J. Choi,82,"32' 4""",35427.75,1095,56
6,T7,T7,Brendon de Jonge,114,"32' 6""",53124.083,1634,17
7,T7,T7,Steve Stricker,73,"32' 6""",32611.167,1004,60
8,T9,T9,Chad Campbell,94,"32' 8""",47453.667,1452,39
9,T9,T9,David Toms,86,"32' 8""",41068.5,1257,87
10,T11,T11,Rickie Fowler,98,"32' 9""",48583.0,1485,22
11,T11,T11,Heath Slocum,97,"32' 9""",42915.917,1309,32
12,13,13,Brian Gay,101,"32' 10""",48345.167,1471,171
13,14,14,Dean Wilson,54,"32' 11""",27732.417,843,42
14,T15,T15,Rocco Mediate,71,"33' 0""",35968.917,1091,35
15,T15,T15,Kenny Perry,69,"33' 0""",33125.75,1005,40
16,T17,T17,Spencer Levin,110,"33' 1""",58160.583,1757,23
17,T17,T17,Tom Pernice Jr.,74,"33' 1""",34334.833,1039,25
18,19,19,Jeff Quinney,91,"33' 2""",47387.0,1429,148
19,T20,T20,Alex Cejka,81,"33' 3""",40236.5,1209,109
20,T20,T20,Ben Crane,85,"33' 3""",39219.833,1180,63
21,T20,T20,Boo Weekley,88,"33' 3""",43970.583,1323,17
22,T23,T23,Paul Goydos,78,"33' 4""",39303.25,1178,134
23,T23,T23,Davis Love III,79,"33' 4""",39487.167,1184,13
24,T25,T25,Luke Donald,71,"33' 6""",31870.667,951,152
25,T25,T25,John Mallinger,78,"33' 6""",38944.417,1162,94
26,27,27,Briny Baird,87,"33' 7""",47655.25,1418,33
27,T28,T28,Robert Garrigus,71,"33' 8""",36668.5,1089,86
28,T28,T28,Geoff Ogilvy,62,"33' 8""",30198.25,896,83
29,T28,T28,Pat Perez,90,"33' 8""",49989.583,1486,43
30,T31,T31,Jason Bohn,84,"33' 9""",44786.5,1326,79
31,T31,T31,Brent Delahoussaye,57,"33' 9""",28472.5,843,98
32,T31,T31,Jim Furyk,76,"33' 9""",36370.083,1077,93
33,T31,T31,Justin Rose,78,"33' 9""",42277.75,1254,119
34,T35,T35,Bob Estes,79,"33' 10""",42959.333,1271,79
35,T35,T35,Phil Mickelson,76,"33' 10""",34355.083,1015,155
36,T35,T35,Brandt Snedeker,89,"33' 10""",45353.25,1342,182
37,T35,T35,Charles Warren,64,"33' 10""",33219.417,981,4
38,39,39,Woody Austin,93,"33' 11""",50410.5,1486,72
39,T40,T40,Cameron Beckman,68,"34' 0""",36009.833,1059,122
40,T40,T40,Michael Connell,89,"34' 0""",46962.0,1382,95
41,T40,T40,Billy Mayfair,78,"34' 0""",39533.333,1162,29
42,T40,T40,Vijay Singh,75,"34' 0""",34754.75,1022,51
43,T44,T44,Richard Johnson,90,"34' 1""",44640.667,1309,58
44,T44,T44,Troy Matteson,84,"34' 1""",47600.833,1398,5
45,T44,T44,Kevin Na,94,"34' 1""",46456.917,1362,137
46,T44,T44,Chris Riley,73,"34' 1""",38337.75,1124,92
47,T44,T44,Adam Scott,70,"34' 1""",31852.417,935,31
48,T44,T44,John Senden,103,"34' 1""",53106.417,1557,1
49,T50,T50,Kris Blanks,91,"34' 2""",45383.167,1328,8
50,T50,T50,Michael Bradley,77,"34' 2""",41687.5,1220,49
51,T50,T50,Justin Leonard,89,"34' 2""",44194.333,1293,156
52,T50,T50,Vaughn Taylor,87,"34' 2""",48379.0,1417,59
53,T50,T50,Scott Verplank,74,"34' 2""",34339.833,1004,168
54,T55,T55,Freddie Jacobson,83,"34' 3""",47389.583,1382,78
55,T55,T55,Carl Pettersson,99,"34' 3""",50846.917,1485,169
56,T55,T55,Webb Simpson,98,"34' 3""",56264.667,1641,121
57,T55,T55,Paul Stankowski,62,"34' 3""",32540.0,950,9
58,T55,T55,Brett Wetterich,54,"34' 3""",32458.333,947,68
59,T60,T60,Ricky Barnes,103,"34' 4""",51063.333,1486,62
60,T60,T60,David Duval,71,"34' 4""",34338.083,999,124
61,T60,T60,Trevor Immelman,55,"34' 4""",26448.167,771,126
62,T60,T60,Michael Letzig,84,"34' 4""",49206.0,1433,72
63,T60,T60,Cameron Percy,73,"34' 4""",36185.25,1053,11
64,T60,T60,Aron Price,70,"34' 4""",38111.5,1110,10
65,T60,T60,Nick Watney,91,"34' 4""",42510.75,1237,30
66,T67,T67,Graham DeLaet,88,"34' 5""",46824.333,1360,6
67,T67,T67,Chris DiMarco,88,"34' 5""",48039.417,1397,91
68,T67,T67,Bill Haas,87,"34' 5""",46368.667,1346,21
69,T67,T67,Zach Johnson,93,"34' 5""",46325.083,1346,111
70,T67,T67,Marc Leishman,87,"34' 5""",44221.0,1286,104
71,T67,T67,Jeff Maggert,76,"34' 5""",38815.083,1129,100
72,T67,T67,D.J. Trahan,92,"34' 5""",50543.0,1469,7
73,T74,T74,Jonathan Byrd,85,"34' 6""",50716.417,1471,20
74,T74,T74,Jerry Kelly,99,"34' 6""",50823.083,1472,88
75,T74,T74,Chris Stroud,90,"34' 6""",44642.75,1294,36
76,T74,T74,Y.E. Yang,72,"34' 6""",35741.083,1035,134
77,T78,T78,Paul Casey,64,"34' 7""",27410.25,792,48
78,T78,T78,Jason Dufner,87,"34' 7""",42651.0,1234,104
