,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,John Daly,63,154.2,3542492.0,638
1,2,2,Robert Garrigus,71,155.3,4689994.0,839
2,3,3,Dustin Johnson,83,158.8,4984130.0,872
3,4,4,J.B. Holmes,100,160.1,7009951.0,1216
4,5,5,Graham DeLaet,88,160.3,6042547.0,1047
5,6,6,Bubba Watson,77,161.1,5312025.0,916
6,7,7,Brett Wetterich,54,162.2,4245939.0,727
7,8,8,Ángel Cabrera,64,162.4,4167514.0,713
8,9,9,Charles Warren,64,163.2,4477042.0,762
9,10,10,D.J. Trahan,92,164.6,6714985.0,1133
10,11,11,Martin Flores,75,164.8,5107058.0,861
11,12,12,Troy Matteson,84,165.0,6444751.0,1085
12,13,13,Alex Prugh,88,165.2,6516587.0,1096
13,14,14,Aaron Baddeley,94,166.1,7157653.0,1197
14,15,15,Scott Piercy,88,166.2,6598974.0,1103
15,16,16,Charley Hoffman,85,166.5,6355029.0,1060
16,17,17,Marc Leishman,87,166.8,5921699.0,986
17,T18,T18,Martin Laird,91,166.9,6548416.0,1090
18,T18,T18,Jeff Overton,89,166.9,5859025.0,975
19,20,20,Phil Mickelson,76,167.2,4665349.0,775
20,21,21,John Rollins,81,167.5,6277788.0,1041
21,22,22,Boo Weekley,88,167.6,6203435.0,1028
22,T23,T23,Rory McIlroy,54,167.8,3333640.0,552
23,T23,T23,Nick Watney,91,167.8,5764382.0,954
24,25,25,Cameron Tringale,55,168.2,3741893.0,618
25,T26,T26,Mathias Grönberg,61,168.3,4167537.0,688
26,T26,T26,Vijay Singh,75,168.3,4792390.0,791
27,28,28,Daniel Chopra,74,168.4,5475844.0,903
28,29,29,Davis Love III,79,168.5,5533075.0,912
29,30,30,Jarrod Lyle,54,168.8,3858254.0,635
30,31,31,Bo Van Pelt,104,168.9,7352473.0,1209
31,32,32,Jason Day,82,169.4,5933663.0,973
32,T33,T33,James Driscoll,78,169.6,6155780.0,1008
33,T33,T33,Kenny Perry,69,169.6,4761316.0,780
34,T33,T33,Andres Romero,73,169.6,6038183.0,989
35,36,36,Ryan Palmer,84,169.7,5939712.0,972
36,37,37,Cameron Percy,73,169.8,4895730.0,801
37,T38,T38,Chris Couch,66,169.9,4972099.0,813
38,T38,T38,Garth Mulroy,53,169.9,3517427.0,575
39,40,40,Matt Every,60,170.0,4246169.0,694
40,T41,T41,Paul Casey,64,170.4,3765604.0,614
41,T41,T41,Rory Sabbatini,79,170.4,5651375.0,921
42,43,43,Josh Teater,101,170.6,7792615.0,1269
43,44,44,Stewart Cink,84,170.8,5551856.0,903
44,45,45,Jeev Milkha Singh,59,171.2,4405715.0,715
45,46,46,Blake Adams,84,171.4,6369378.0,1032
46,47,47,Lucas Glover,75,171.5,5030719.0,815
47,48,48,Rickie Fowler,98,171.6,7060978.0,1143
48,T49,T49,Joe Durant,67,171.7,4883863.0,790
49,T49,T49,Retief Goosen,75,171.7,4537599.0,734
50,T49,T49,Tim Herron,79,171.7,5830187.0,943
51,T49,T49,Derek Lamely,81,171.7,5364129.0,868
52,T49,T49,Chris Wilson,65,171.7,4401189.0,712
53,T54,T54,Charles Howell III,103,171.9,7599574.0,1228
54,T54,T54,Kevin Stadler,86,171.9,6114525.0,988
55,T56,T56,Jonathan Byrd,85,172.0,6991411.0,1129
56,T56,T56,Michael Letzig,84,172.0,6800107.0,1098
57,58,58,Matt Bettencourt,91,172.1,5959886.0,962
58,59,59,Will MacKenzie,72,172.2,5827601.0,940
59,60,60,Ted Purdy,86,172.5,6316856.0,1017
60,T61,T61,Jeff Gove,57,172.6,3765576.0,606
61,T61,T61,Steve Lowery,67,172.6,4746918.0,764
62,T63,T63,Hunter Mahan,85,172.7,5750041.0,925
63,T63,T63,Paul Stankowski,62,172.7,4520861.0,727
64,T63,T63,Roger Tambellini,77,172.7,5267273.0,847
65,T66,T66,Andrew McLardy,52,172.9,3771918.0,606
66,T66,T66,Sean O'Hair,84,172.9,5614024.0,902
67,T66,T66,Kevin Streelman,90,172.9,6882393.0,1106
68,T69,T69,Bill Haas,87,173.0,6432211.0,1033
69,T69,T69,Matt Jones,89,173.0,6831365.0,1097
70,T71,T71,Stuart Appleby,101,173.1,7422087.0,1191
71,T71,T71,J.J. Henry,92,173.1,6800600.0,1091
72,T71,T71,Greg Owen,69,173.1,5260174.0,844
73,74,74,Sergio Garcia,58,173.2,3092385.0,496
74,T75,T75,Ryan Moore,80,173.3,5266073.0,844
75,T75,T75,Nicholas Thompson,88,173.3,6627224.0,1062
76,T77,T77,Steve Marino,81,173.4,5435599.0,871
77,T77,T77,Chris Stroud,90,173.4,6140756.0,984
78,79,79,George McNeill,79,173.5,5988571.0,959
79,80,80,Jimmy Walker,82,173.6,5937997.0,950
80,81,81,Roland Thatcher,72,173.7,5795167.0,927
81,T82,T82,Mathew Goggin,85,173.8,6527192.0,1043
82,T82,T82,Troy Merritt,86,173.8,6545599.0,1046
83,84,84,Joe Ogilvie,99,173.9,7413995.0,1184
84,T85,T85,John Merrick,109,174.0,7954934.0,1270
85,T85,T85,Pat Perez,90,174.0,7140755.0,1140
86,T85,T85,Steve Wheatcroft,74,174.0,4947874.0,790
87,T88,T88,David Lutterus,69,174.3,4800623.0,765
88,T88,T88,Camilo Villegas,78,174.3,4850013.0,773
89,90,90,John Senden,103,174.5,7564447.0,1204
90,91,91,Brenden Pappas,66,174.8,4663605.0,741
91,T92,T92,Matt Kuchar,97,175.0,6539889.0,1038
92,T92,T92,Brian Stuard,81,175.0,6122109.0,972
93,T94,T94,Brendon de Jonge,114,175.2,7891915.0,1251
94,T94,T94,Bill Lunde,79,175.2,5706449.0,905
95,T94,T94,Scott McCarron,90,175.2,7171458.0,1137
96,T97,T97,Henrik Bjornstad,72,175.3,5104954.0,809
97,T97,T97,Webb Simpson,98,175.3,7921347.0,1255
98,T97,T97,Chris Tidland,77,175.3,5969191.0,946
99,100,100,Padraig Harrington,57,175.4,3794081.0,601
100,T101,T101,Tom Gillis,97,175.5,7826395.0,1239
101,T101,T101,Y.E. Yang,72,175.5,5103515.0,808
102,T103,T103,Cameron Beckman,68,175.6,5120912.0,810
103,T103,T103,Adam Scott,70,175.6,4539911.0,718
104,105,105,Robert Allenby,76,175.7,5377261.0,850
105,106,106,Kris Blanks,91,176.1,6472493.0,1021
106,107,107,Jay Williamson,76,176.4,5348387.0,842
107,108,108,Carl Pettersson,99,176.5,7218758.0,1136
108,T109,T109,Chad Campbell,94,176.6,7082547.0,1114
109,T109,T109,Steve Elkington,74,176.6,5175845.0,814
110,T111,T111,Rich Barcelo,70,177.0,4977196.0,781
111,T111,T111,Ricky Barnes,103,177.0,7225026.0,1134
