,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Rocco Mediate,71,"11' 11""",310.58299999999997,26,-2
1,2,2,Cliff Kresge,50,"12' 7""",125.417,10,+2
2,3,3,Mark Calcavecchia,50,"14' 5""",172.75,12,+2
3,4,4,Steve Stricker,73,"16' 7""",315.33299999999997,19,-5
4,5,5,Jim Furyk,76,"17' 0""",238.333,14,-1
5,6,6,Cameron Percy,73,"17' 4""",537.8330000000001,31,-4
6,T7,T7,Garth Mulroy,53,"17' 6""",315.5,18,E
7,T7,T7,Roland Thatcher,72,"17' 6""",559.5830000000001,32,+8
8,9,9,Kevin Sutherland,86,"17' 8""",529.5,30,-7
9,10,10,Steve Flesch,78,"17' 11""",466.667,26,+6
10,T11,T11,Ricky Barnes,103,"18' 0""",738.6669999999999,41,-6
11,T11,T11,J.J. Henry,92,"18' 0""",396.667,22,-4
12,T13,T13,Padraig Harrington,57,"18' 1""",434.5,24,-2
13,T13,T13,Will MacKenzie,72,"18' 1""",579.6669999999999,32,-7
14,T15,T15,John Mallinger,78,"18' 3""",438.25,24,+2
15,T15,T15,Mike Weir,59,"18' 3""",492.25,27,+5
16,17,17,Michael Sim,64,"18' 4""",658.6669999999999,36,+1
17,18,18,Pat Perez,90,"18' 5""",607.1669999999999,33,+2
18,T19,T19,Brent Delahoussaye,57,"18' 7""",204.583,11,+1
19,T19,T19,Tim Herron,79,"18' 7""",763.3330000000001,41,+3
20,21,21,Vijay Singh,75,"18' 8""",596.5830000000001,32,E
21,22,22,Vance Veazey,58,"18' 9""",375.0,20,+2
22,23,23,Dean Wilson,54,"18' 10""",244.833,13,-3
23,24,24,Ben Curtis,78,"18' 11""",472.917,25,+3
24,25,25,Woody Austin,93,"19' 1""",802.0830000000001,42,-5
25,T26,T26,Henrik Bjornstad,72,"19' 3""",326.58299999999997,17,+6
26,T26,T26,Roger Tambellini,77,"19' 3""",384.75,20,+2
27,T26,T26,Charlie Wi,95,"19' 3""",481.667,25,+3
28,T29,T29,Paul Goydos,78,"19' 5""",466.25,24,+9
29,T29,T29,Chris Riley,73,"19' 5""",465.667,24,+6
30,T31,T31,Ben Crane,85,"19' 11""",778.0830000000001,39,E
31,T31,T31,Paul Stankowski,62,"19' 11""",358.917,18,-6
32,33,33,Craig Bowden,56,"20' 0""",520.0830000000001,26,+8
33,34,34,Mathew Goggin,85,"20' 2""",604.1669999999999,30,+4
34,35,35,Michael Letzig,84,"20' 5""",816.5830000000001,40,+11
35,T36,T36,Michael Connell,89,"20' 6""",615.0,30,+1
36,T36,T36,Dustin Johnson,83,"20' 6""",821.4169999999999,40,+2
37,T36,T36,David Toms,86,"20' 6""",593.5,29,-1
38,T36,T36,Jimmy Walker,82,"20' 6""",677.25,33,+2
39,T40,T40,Freddie Jacobson,83,"20' 7""",864.5830000000001,42,+3
40,T40,T40,Rory Sabbatini,79,"20' 7""",821.75,40,-1
41,T40,T40,Garrett Willis,82,"20' 7""",617.8330000000001,30,+8
42,T43,T43,Joe Ogilvie,99,"20' 8""",950.4169999999999,46,+3
43,T43,T43,Tim Petrovic,105,"20' 8""",970.8330000000001,47,E
44,45,45,David Duval,71,"20' 9""",602.4169999999999,29,+4
45,T46,T46,Billy Mayfair,78,"20' 10""",437.25,21,-1
46,T46,T46,Phil Mickelson,76,"20' 10""",938.0,45,-2
47,48,48,Hunter Mahan,85,"20' 11""",627.5830000000001,30,E
48,49,49,J.P. Hayes,79,"21' 2""",697.75,33,+6
49,50,50,Jeff Quinney,91,"21' 4""",896.75,42,+11
50,T51,T51,Chad Collins,87,"21' 5""",685.25,32,+7
51,T51,T51,Jason Day,82,"21' 5""",812.75,38,+7
52,T51,T51,Derek Lamely,81,"21' 5""",857.9169999999999,40,E
53,54,54,Kevin Stadler,86,"21' 7""",712.25,33,-3
54,T55,T55,Tom Gillis,97,"21' 8""",889.5,41,+3
55,T55,T55,Webb Simpson,98,"21' 8""",1016.5830000000001,47,+7
56,T57,T57,Robert Garrigus,71,"21' 9""",847.25,39,+2
57,T57,T57,Zach Johnson,93,"21' 9""",543.4169999999999,25,+1
58,T57,T57,Chris Stroud,90,"21' 9""",804.4169999999999,37,-6
59,60,60,Matt Kuchar,97,"21' 10""",763.8330000000001,35,+3
60,61,61,Steve Elkington,74,"21' 11""",416.667,19,-1
61,62,62,Heath Slocum,97,"22' 0""",636.8330000000001,29,+1
62,T63,T63,Tom Pernice Jr.,74,"22' 2""",554.8330000000001,25,-4
63,T63,T63,D.A. Points,90,"22' 2""",710.3330000000001,32,+1
64,T65,T65,Chad Campbell,94,"22' 3""",601.25,27,+5
65,T65,T65,D.J. Trahan,92,"22' 3""",1155.0,52,+3
66,T67,T67,Bob Estes,79,"22' 4""",805.1669999999999,36,E
67,T67,T67,Bill Lunde,79,"22' 4""",737.0,33,+6
68,T67,T67,Brett Quigley,96,"22' 4""",917.0830000000001,41,+10
69,70,70,Jason Dufner,87,"22' 5""",628.0830000000001,28,+4
70,T71,T71,Matt Jones,89,"22' 6""",899.3330000000001,40,+7
71,T71,T71,Steve Marino,81,"22' 6""",696.8330000000001,31,E
72,T71,T71,Brett Wetterich,54,"22' 6""",810.0,36,+2
73,T74,T74,Spencer Levin,110,"22' 7""",969.3330000000001,43,+3
74,T74,T74,Jay Williamson,76,"22' 7""",428.417,19,+3
75,T76,T76,K.J. Choi,82,"22' 8""",657.75,29,+8
76,T76,T76,Martin Laird,91,"22' 8""",1156.333,51,+2
77,T78,T78,Skip Kendall,58,"22' 10""",364.75,16,+6
78,T78,T78,Aron Price,70,"22' 10""",524.3330000000001,23,+6
79,T78,T78,Jeev Milkha Singh,59,"22' 10""",503.083,22,+1
80,T81,T81,Jason Bohn,84,"22' 11""",732.25,32,+2
81,T81,T81,Bill Haas,87,"22' 11""",573.8330000000001,25,-1
82,T81,T81,Troy Merritt,86,"22' 11""",895.0,39,+14
83,T81,T81,Brandt Snedeker,89,"22' 11""",894.8330000000001,39,+1
84,T81,T81,Camilo Villegas,78,"22' 11""",549.6669999999999,24,+1
85,86,86,Johnson Wagner,85,"23' 1""",645.75,28,+9
86,87,87,Brenden Pappas,66,"23' 3""",581.9169999999999,25,+3
87,T88,T88,Aaron Baddeley,94,"23' 4""",1024.917,44,-5
88,T88,T88,Brendon de Jonge,114,"23' 4""",675.6669999999999,29,+2
89,T88,T88,Chris DiMarco,88,"23' 4""",770.6669999999999,33,+5
90,T88,T88,Justin Leonard,89,"23' 4""",489.917,21,+3
91,T88,T88,Bubba Watson,77,"23' 4""",1328.4170000000001,57,-3
92,T93,T93,Matt Bettencourt,91,"23' 5""",1101.833,47,+11
93,T93,T93,Rory McIlroy,54,"23' 5""",445.083,19,E
94,T93,T93,Rod Pampling,77,"23' 5""",679.6669999999999,29,+4
95,96,96,Blake Adams,84,"23' 6""",775.5830000000001,33,+3
96,T97,T97,Ernie Els,72,"23' 8""",686.1669999999999,29,+3
97,T97,T97,Jerry Kelly,99,"23' 8""",567.6669999999999,24,+5
98,T97,T97,Davis Love III,79,"23' 8""",663.3330000000001,28,+5
99,T97,T97,Mark Wilson,87,"23' 8""",782.25,33,+2
100,101,101,Geoff Ogilvy,62,"23' 9""",712.9169999999999,30,+9
101,T102,T102,Rickie Fowler,98,"23' 11""",1125.667,47,-1
102,T102,T102,Marc Leishman,87,"23' 11""",837.6669999999999,35,+4
103,T102,T102,David Lutterus,69,"23' 11""",788.8330000000001,33,+4
104,T105,T105,J.B. Holmes,100,"24' 0""",1463.4170000000001,61,-1
105,T105,T105,Troy Matteson,84,"24' 0""",815.0,34,+5
106,107,107,Greg Chalmers,93,"24' 2""",1206.417,50,-2
107,T108,T108,Charles Howell III,103,"24' 3""",995.3330000000001,41,+4
108,T108,T108,John Merrick,109,"24' 3""",945.1669999999999,39,+4
109,T108,T108,Cameron Tringale,55,"24' 3""",653.9169999999999,27,+5
110,111,111,Kris Blanks,91,"24' 4""",876.1669999999999,36,+8
111,T112,T112,Briny Baird,87,"24' 6""",611.5830000000001,25,-1
112,T112,T112,Brad Faxon,58,"24' 6""",392.333,16,+2
113,114,114,Sean O'Hair,84,"24' 7""",984.25,40,-4
114,T115,T115,Robert Allenby,76,"24' 8""",591.6669999999999,24,E
115,T115,T115,Nick Watney,91,"24' 8""",814.6669999999999,33,+6
116,T117,T117,Kevin Johnson,62,"24' 9""",644.1669999999999,26,+12
117,T117,T117,Bryce Molder,84,"24' 9""",543.9169999999999,22,E
118,T119,T119,Michael Bradley,77,"24' 10""",720.8330000000001,29,E
119,T119,T119,Kevin Na,94,"24' 10""",794.5830000000001,32,+2
120,T121,T121,Cameron Beckman,68,"24' 11""",721.5,29,+3
121,T121,T121,Jonathan Byrd,85,"24' 11""",923.25,37,+3
122,T121,T121,Daniel Chopra,74,"24' 11""",1094.583,44,+15
123,T121,T121,Stewart Cink,84,"24' 11""",823.25,33,+6
124,T125,T125,Lucas Glover,75,"25' 1""",627.4169999999999,25,E
125,T125,T125,Bo Van Pelt,104,"25' 1""",927.4169999999999,37,+7
126,T127,T127,Graham DeLaet,88,"25' 2""",882.0,35,+3
127,T127,T127,Ryan Moore,80,"25' 2""",703.8330000000001,28,+2
128,T127,T127,Justin Rose,78,"25' 2""",930.0,37,+1
129,T130,T130,Chris Couch,66,"25' 3""",657.4169999999999,26,+9
130,T130,T130,Charley Hoffman,85,"25' 3""",833.5,33,+7
131,T132,T132,Alex Cejka,81,"25' 6""",458.417,18,+3
132,T132,T132,Greg Owen,69,"25' 6""",663.8330000000001,26,-1
133,T134,T134,Martin Flores,75,"25' 7""",920.0,36,+3
134,T134,T134,Sergio Garcia,58,"25' 7""",460.917,18,+2
135,T134,T134,Ryuji Imada,90,"25' 7""",1021.8330000000001,40,-4
136,T137,T137,Stephen Ames,75,"25' 8""",666.75,26,+4
137,T137,T137,Ángel Cabrera,64,"25' 8""",1053.667,41,+4
138,T137,T137,Scott Verplank,74,"25' 8""",486.917,19,+5
139,T140,T140,Jeff Gove,57,"25' 9""",283.25,11,+4
140,T140,T140,Kevin Streelman,90,"25' 9""",771.5830000000001,30,+8
141,142,142,Scott Piercy,88,"25' 10""",1422.0829999999999,55,E
142,T143,T143,James Driscoll,78,"25' 11""",1271.417,49,+1
143,T143,T143,Matt Every,60,"25' 11""",856.0,33,+8
144,145,145,Stuart Appleby,101,"26' 0""",1221.583,47,+3
145,T146,T146,Brian Davis,101,"26' 2""",1202.833,46,+4
146,T146,T146,Alex Prugh,88,"26' 2""",1572.0829999999999,60,+8
147,T146,T146,Josh Teater,101,"26' 2""",1123.833,43,+13
148,T146,T146,Chris Tidland,77,"26' 2""",862.6669999999999,33,+2
149,T150,T150,Carl Pettersson,99,"26' 4""",975.5,37,+9
150,T150,T150,Brian Stuard,81,"26' 4""",895.5830000000001,34,+11
151,T150,T150,Charles Warren,64,"26' 4""",764.5830000000001,29,+4
152,T153,T153,Jeff Overton,89,"26' 5""",1452.0,55,+2
153,T153,T153,John Senden,103,"26' 5""",872.4169999999999,33,+5
154,T155,T155,Trevor Immelman,55,"26' 6""",529.5830000000001,20,+6
155,T155,T155,Ryan Palmer,84,"26' 6""",1220.833,46,+10
156,157,157,Chris Wilson,65,"26' 7""",849.5,32,+13
157,158,158,Andres Romero,73,"26' 8""",960.6669999999999,36,+2
158,159,159,Steve Wheatcroft,74,"26' 10""",1073.167,40,+15
159,T160,T160,John Daly,63,"26' 11""",1131.333,42,+12
160,T160,T160,Brian Gay,101,"26' 11""",592.75,22,+1
161,T162,T162,Greg Kraft,52,"27' 0""",243.25,9,-1
162,T162,T162,Ted Purdy,86,"27' 0""",918.9169999999999,34,+8
163,T162,T162,John Rollins,81,"27' 0""",1081.333,40,-4
164,T165,T165,Rich Barcelo,70,"27' 1""",1028.333,38,+5
165,T165,T165,Shaun Micheel,70,"27' 1""",678.0830000000001,25,+3
166,167,167,James Nitties,92,"27' 2""",951.5,35,+9
167,T168,T168,Paul Casey,64,"27' 3""",435.75,16,+6
168,T168,T168,Andrew McLardy,52,"27' 3""",599.75,22,+2
169,170,170,Lee Janzen,77,"27' 6""",605.0830000000001,22,+6
170,171,171,Jarrod Lyle,54,"27' 7""",330.667,12,E
171,T172,T172,Vaughn Taylor,87,"27' 10""",918.8330000000001,33,+5
172,T172,T172,Omar Uresti,74,"27' 10""",780.1669999999999,28,+6
173,174,174,Luke Donald,71,"28' 1""",618.1669999999999,22,-1
174,175,175,Justin Bolli,55,"28' 2""",281.75,10,E
175,176,176,Joe Durant,67,"28' 4""",481.083,17,+5
176,177,177,Nathan Green,86,"28' 6""",1055.167,37,+5
177,178,178,Kenny Perry,69,"28' 8""",917.25,32,E
178,T179,T179,Mathias Grönberg,61,"29' 0""",609.6669999999999,21,+4
179,T179,T179,Nicholas Thompson,88,"29' 0""",812.6669999999999,28,+8
180,181,181,Jerod Turner,54,"29' 1""",873.25,30,+10
181,182,182,Retief Goosen,75,"29' 2""",759.0,26,+1
182,183,183,Y.E. Yang,72,"29' 4""",909.8330000000001,31,+15
183,184,184,Tim Clark,88,"29' 10""",566.1669999999999,19,+2
184,185,185,George McNeill,79,"30' 3""",907.1669999999999,30,+8
185,186,186,Scott McCarron,90,"30' 5""",699.3330000000001,23,+7
186,187,187,Richard Johnson,90,"31' 1""",653.4169999999999,21,+6
187,188,188,Boo Weekley,88,"31' 11""",830.25,26,+8
188,189,189,Steve Lowery,67,"32' 1""",931.3330000000001,29,+8
189,T190,T190,Jeff Maggert,76,"33' 1""",727.0,22,+4
190,T190,T190,Ian Poulter,55,"33' 1""",660.8330000000001,20,+8
191,192,192,Adam Scott,70,"35' 10""",609.5830000000001,17,-2
