,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,T1,T1,Greg Chalmers,93,"34' 10""",124,4316.917,-4.00
1,T1,T1,Jeff Gove,57,"34' 10""",73,2540.917,+13.00
2,3,3,Y.E. Yang,72,"35' 7""",110,3915.333,+11.00
3,4,4,Jay Williamson,76,"35' 11""",97,3483.5,+11.00
4,5,5,Ernie Els,72,"36' 5""",98,3572.25,-1.00
5,6,6,Geoff Ogilvy,62,"36' 6""",90,3288.583,+6.00
6,7,7,Steve Wheatcroft,74,"36' 10""",101,3716.75,+23.00
7,8,8,Cameron Percy,73,"37' 1""",99,3674.917,-1.00
8,9,9,Freddie Jacobson,83,"37' 6""",128,4804.833,+12.00
9,T10,T10,Chris Couch,66,"37' 8""",106,3996.917,+4.00
10,T10,T10,Dustin Johnson,83,"37' 8""",134,5051.75,+8.00
11,T12,T12,Daniel Chopra,74,"37' 9""",149,5626.5830000000005,+17.00
12,T12,T12,Cliff Kresge,50,"37' 9""",69,2603.5,+14.00
13,14,14,Vijay Singh,75,"37' 10""",93,3520.667,-2.00
14,T15,T15,Davis Love III,79,"38' 3""",108,4130.75,+4.00
15,T15,T15,Johnson Wagner,85,"38' 3""",122,4671.5,+18.00
16,T17,T17,Robert Garrigus,71,"38' 4""",108,4138.083,+10.00
17,T17,T17,Rory McIlroy,54,"38' 4""",70,2681.667,-9.00
18,T17,T17,Rod Pampling,77,"38' 4""",128,4911.333,+14.00
19,T17,T17,Cameron Tringale,55,"38' 4""",91,3488.833,+10.00
20,21,21,Nick Watney,91,"38' 5""",100,3839.417,+9.00
21,22,22,Phil Mickelson,76,"38' 6""",159,6121.4169999999995,+12.00
22,T23,T23,Chris DiMarco,88,"38' 7""",103,3973.083,-2.00
23,T23,T23,Will MacKenzie,72,"38' 7""",114,4402.25,-2.00
24,T25,T25,Graham DeLaet,88,"38' 8""",134,5175.75,-2.00
25,T25,T25,Chris Wilson,65,"38' 8""",98,3786.0,+18.00
26,27,27,Charles Warren,64,"38' 11""",95,3695.417,+18.00
27,28,28,Henrik Bjornstad,72,"39' 1""",86,3359.417,+23.00
28,29,29,Craig Bowden,56,"39' 2""",66,2582.333,+8.00
