,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Vijay Singh,79,37.31,50,134,-49,49 Under
1,2,2,Davis Love III,70,35.0,35,100,-33,33 Under
2,3,3,Alex Prugh,82,34.85,46,132,-46,46 Under
3,4,4,Justin Hicks,60,34.55,19,55,-15,15 Under
4,5,5,Boo Weekley,66,34.27,49,143,-46,46 Under
5,6,6,Gary Woodland,93,33.15,60,181,-61,61 Under
6,7,7,Brendan Steele,89,33.11,50,151,-52,52 Under
7,8,8,Jhonattan Vegas,84,32.07,59,184,-56,56 Under
8,9,9,Brandt Jobe,100,31.97,47,147,-44,44 Under
9,10,10,Retief Goosen,50,31.88,22,69,-22,22 Under
10,11,11,Scott Stallings,84,31.2,39,125,-36,36 Under
11,12,12,Zack Miller,86,31.13,47,151,-48,48 Under
12,13,13,J.B. Holmes,57,30.6,41,134,-44,44 Under
13,14,14,Jason Dufner,78,30.39,31,102,-31,31 Under
14,15,15,Stewart Cink,72,30.21,29,96,-29,29 Under
15,16,16,Stuart Appleby,65,30.11,28,93,-27,27 Under
16,17,17,Bubba Watson,85,29.41,55,187,-62,62 Under
17,18,18,John Senden,94,29.19,54,185,-59,59 Under
18,19,19,Robert Karlsson,61,29.17,28,96,-29,29 Under
19,20,20,Lee Janzen,62,29.11,23,79,-24,24 Under
20,21,21,Scott Gutschewski,67,28.97,31,107,-29,29 Under
21,22,22,Robert Garrigus,83,28.92,59,204,-59,59 Under
22,23,23,Charley Hoffman,93,28.91,61,211,-61,61 Under
23,24,24,Ángel Cabrera,50,28.41,25,88,-29,29 Under
24,25,25,Jonathan Byrd,83,28.3,45,159,-48,48 Under
25,26,26,Phil Mickelson,79,28.19,42,149,-40,40 Under
26,27,27,Briny Baird,60,28.17,20,71,-17,17 Under
27,28,28,Chad Campbell,99,27.89,41,147,-38,38 Under
28,29,29,Webb Simpson,98,27.87,51,183,-59,59 Under
29,30,30,Steve Marino,76,27.78,35,126,-38,38 Under
30,31,31,Dustin Johnson,72,27.74,43,155,-45,45 Under
31,32,32,D.A. Points,89,27.7,41,148,-46,46 Under
32,33,33,Steve Stricker,70,27.66,26,94,-28,28 Under
33,34,34,John Rollins,85,27.45,42,153,-42,42 Under
34,35,35,Kevin Streelman,90,27.4,40,146,-42,42 Under
35,36,36,Chris Couch,73,27.33,47,172,-47,47 Under
36,37,37,Troy Merritt,63,27.18,28,103,-23,23 Under
37,38,38,James Driscoll,71,27.01,37,137,-35,35 Under
38,39,39,Geoff Ogilvy,69,26.97,24,89,-25,25 Under
39,40,40,Michael Connell,76,26.88,25,93,-24,24 Under
40,41,41,Charl Schwartzel,58,26.74,23,86,-22,22 Under
41,T42,T42,Kris Blanks,92,26.47,36,136,-33,33 Under
42,T42,T42,Jim Renner,65,26.47,27,102,-25,25 Under
43,44,44,Y.E. Yang,63,26.25,21,80,-22,22 Under
44,45,45,Jarrod Lyle,83,26.02,32,123,-35,35 Under
45,46,46,Heath Slocum,89,26.0,26,100,-28,28 Under
46,47,47,Martin Laird,77,25.95,41,158,-44,44 Under
47,T48,T48,John Merrick,71,25.93,28,108,-28,28 Under
48,T48,T48,Adam Scott,60,25.93,28,108,-28,28 Under
49,50,50,Sean O'Hair,71,25.71,27,105,-30,30 Under
50,51,51,Tommy Gainey,104,25.54,47,184,-43,43 Under
51,52,52,Joe Durant,71,25.53,24,94,-21,21 Under
52,53,53,D.J. Trahan,91,25.38,50,197,-48,48 Under
53,54,54,Chris Stroud,88,25.34,37,146,-33,33 Under
54,55,55,Harrison Frazar,58,25.32,20,79,-20,20 Under
55,56,56,George McNeill,69,25.22,29,115,-31,31 Under
56,T57,T57,Spencer Levin,113,25.0,40,160,-40,40 Under
57,T57,T57,Troy Matteson,91,25.0,43,172,-40,40 Under
58,59,59,Nick Watney,80,24.84,38,153,-43,43 Under
59,60,60,Trevor Immelman,84,24.76,26,105,-24,24 Under
60,61,61,Will Strickler,51,24.72,22,89,-25,25 Under
61,62,62,Carl Pettersson,95,24.71,42,170,-46,46 Under
62,T63,T63,Bill Lunde,92,24.68,39,158,-40,40 Under
63,T63,T63,Alexandre Rocha,65,24.68,19,77,-20,20 Under
64,65,65,Lucas Glover,74,24.58,29,118,-35,35 Under
65,66,66,Daniel Summerhays,75,24.53,26,106,-31,31 Under
66,67,67,Bryce Molder,82,24.47,23,94,-22,22 Under
67,68,68,Dean Wilson,62,24.32,18,74,-14,14 Under
68,69,69,Ian Poulter,52,24.19,15,62,-16,16 Under
69,70,70,Tag Ridings,87,24.14,42,174,-48,48 Under
70,71,71,J.J. Henry,96,24.12,41,170,-39,39 Under
71,72,72,Jim Herman,69,24.11,27,112,-27,27 Under
72,73,73,Kevin Stadler,88,24.05,38,158,-35,35 Under
73,74,74,Keegan Bradley,91,24.03,37,154,-39,39 Under
74,75,75,Joe Ogilvie,75,23.76,24,101,-26,26 Under
75,76,76,J.P. Hayes,56,23.75,19,80,-20,20 Under
76,T77,T77,Brian Gay,90,23.73,14,59,-14,14 Under
77,T77,T77,Nate Smith,66,23.73,14,59,-16,16 Under
78,79,79,Bobby Gates,82,23.61,34,144,-42,42 Under
79,T80,T80,Jerry Kelly,85,23.6,21,89,-20,20 Under
80,T80,T80,Scott Piercy,78,23.6,38,161,-39,39 Under
81,82,82,Scott McCarron,65,23.58,25,106,-29,29 Under
82,83,83,Steven Bowditch,86,23.44,45,192,-46,46 Under
83,84,84,Derek Lamely,65,23.39,29,124,-31,31 Under
84,85,85,David Hearn,88,23.36,25,107,-27,27 Under
85,86,86,Hunter Haas,96,23.21,39,168,-37,37 Under
86,87,87,Justin Rose,79,23.19,32,138,-31,31 Under
87,88,88,Kevin Kisner,70,23.17,19,82,-23,23 Under
88,89,89,Ben Martin,74,23.14,28,121,-31,31 Under
89,T90,T90,Charles Howell III,108,23.08,42,182,-43,43 Under
90,T90,T90,Bo Van Pelt,92,23.08,39,169,-37,37 Under
91,T92,T92,Andres Gonzales,60,22.97,17,74,-16,16 Under
92,T92,T92,Josh Teater,104,22.97,48,209,-53,53 Under
93,94,94,Matt Bettencourt,84,22.93,36,157,-38,38 Under
