,Average_Distance_after_Going_for_it_Shot_RANK THIS WEEK,Average_Distance_after_Going_for_it_Shot_RANK LAST WEEK,Average_Distance_after_Going_for_it_Shot_PLAYER NAME,Average_Distance_after_Going_for_it_Shot_ROUNDS,Average_Distance_after_Going_for_it_Shot_AVG,Average_Distance_after_Going_for_it_Shot_TOTAL DIST AFTER GFG SHOT,Average_Distance_after_Going_for_it_Shot_TOTAL GFG SHOTS
0,1,1,Davis Love III,70,19.1,68668.0,100
1,2,2,Chad Campbell,99,19.4,102457.0,147
2,T3,T3,Brandt Jobe,100,20.3,107530.0,147
3,T3,T3,Gary Woodland,93,20.3,132541.0,181
4,5,5,Zack Miller,86,20.4,111022.0,151
5,6,6,Chris Couch,73,20.5,127167.0,172
6,7,7,Webb Simpson,98,20.6,135459.0,183
7,8,8,Brendan Steele,89,20.7,112358.0,151
8,9,9,George McNeill,69,20.8,86088.0,115
9,10,10,Robert Karlsson,61,20.9,72380.0,96
10,11,11,Ángel Cabrera,50,21.3,67523.0,88
11,T12,T12,Kevin Chappell,78,21.6,105891.0,136
12,T12,T12,Scott Stallings,84,21.6,97057.0,125
13,T14,T14,Alex Prugh,82,21.7,103091.0,132
14,T14,T14,Vijay Singh,79,21.7,104570.0,134
15,T14,T14,Steve Stricker,70,21.7,73285.0,94
16,17,17,Jason Dufner,78,21.9,80428.0,102
17,T18,T18,Scott Piercy,78,22.0,127600.0,161
18,T18,T18,Will Strickler,51,22.0,70504.0,89
19,T20,T20,Robert Garrigus,83,22.1,162128.0,204
20,T20,T20,John Senden,94,22.1,147163.0,185
21,T20,T20,Nick Watney,80,22.1,121811.0,153
22,23,23,Stewart Cink,72,22.3,77064.0,96
23,T24,T24,Harrison Frazar,58,22.4,63719.0,79
24,T24,T24,Charley Hoffman,93,22.4,170194.0,211
25,T24,T24,Chris Stroud,88,22.4,117927.0,146
26,T27,T27,Rickie Fowler,84,22.5,111004.0,137
27,T27,T27,Jim Herman,69,22.5,90558.0,112
28,T27,T27,John Merrick,71,22.5,87372.0,108
29,T30,T30,Bobby Gates,82,22.6,116908.0,144
30,T30,T30,Troy Matteson,91,22.6,139782.0,172
31,T30,T30,Josh Teater,104,22.6,169958.0,209
32,T30,T30,Bo Van Pelt,92,22.6,137711.0,169
33,T34,T34,Heath Slocum,89,22.7,81833.0,100
34,T34,T34,Bubba Watson,85,22.7,152564.0,187
35,T36,T36,Bill Haas,93,22.8,143631.0,175
36,T36,T36,Sung Kang,63,22.8,84372.0,103
37,T36,T36,Steve Marino,76,22.8,103203.0,126
38,T36,T36,Phil Mickelson,79,22.8,122248.0,149
39,T36,T36,Brandt Snedeker,85,22.8,96669.0,118
40,T36,T36,Kyle Stanley,98,22.8,160098.0,195
41,T36,T36,Kevin Streelman,90,22.8,119723.0,146
42,T43,T43,Martin Laird,77,22.9,130497.0,158
43,T43,T43,William McGirt,103,22.9,117180.0,142
44,T45,T45,Jonathan Byrd,83,23.0,131599.0,159
45,T45,T45,Freddie Jacobson,92,23.0,95248.0,115
46,T45,T45,Carl Pettersson,95,23.0,140720.0,170
47,T45,T45,Jim Renner,65,23.0,84386.0,102
48,T45,T45,Camilo Villegas,69,23.0,83672.0,101
49,T50,T50,Keegan Bradley,91,23.1,128305.0,154
50,T50,T50,Brendon de Jonge,105,23.1,126255.0,152
51,T50,T50,J.J. Henry,96,23.1,141328.0,170
52,T50,T50,Ian Poulter,52,23.1,51453.0,62
53,54,54,John Rollins,85,23.2,127531.0,153
54,T55,T55,Woody Austin,59,23.3,64517.0,77
55,T55,T55,K.J. Choi,77,23.3,75414.0,90
56,T55,T55,David Duval,67,23.3,85538.0,102
57,T55,T55,Tom Gillis,55,23.3,77853.0,93
58,T55,T55,Scott Gutschewski,67,23.3,89585.0,107
59,T55,T55,Martin Piller,63,23.3,70472.0,84
60,T61,T61,Ernie Els,71,23.4,97593.0,116
61,T61,T61,Trevor Immelman,84,23.4,88539.0,105
62,T61,T61,Jerry Kelly,85,23.4,75094.0,89
63,T61,T61,Bill Lunde,92,23.4,133026.0,158
64,T61,T61,Ben Martin,74,23.4,101808.0,121
65,T61,T61,Roland Thatcher,67,23.4,89988.0,107
66,T67,T67,Jason Day,76,23.5,118445.0,140
67,T67,T67,Matt Jones,71,23.5,114911.0,136
68,T67,T67,Charl Schwartzel,58,23.5,72691.0,86
69,T67,T67,Boo Weekley,66,23.5,120831.0,143
70,T71,T71,J.B. Holmes,57,23.6,113761.0,134
71,T71,T71,Hunter Mahan,92,23.6,139457.0,164
72,T71,T71,Adam Scott,60,23.6,91847.0,108
73,T74,T74,Kris Blanks,92,23.7,116243.0,136
74,T74,T74,Luke Donald,73,23.7,70693.0,83
75,T74,T74,Retief Goosen,50,23.7,58778.0,69
76,T74,T74,Alexandre Rocha,65,23.7,65820.0,77
77,T74,T74,Y.E. Yang,63,23.7,68368.0,80
78,79,79,Andres Romero,77,23.8,134661.0,157
79,T80,T80,Kevin Na,84,24.0,112226.0,130
80,T80,T80,Tim Petrovic,88,24.0,107147.0,124
81,T80,T80,Dean Wilson,62,24.0,63878.0,74
82,T83,T83,David Hearn,88,24.1,92828.0,107
83,T83,T83,Charles Howell III,108,24.1,158023.0,182
84,T83,T83,Justin Rose,79,24.1,119557.0,138
85,T83,T83,Kevin Stadler,88,24.1,137084.0,158
86,T87,T87,Stephen Ames,69,24.2,71367.0,82
87,T87,T87,Michael Connell,76,24.2,81166.0,93
88,T87,T87,Shaun Micheel,77,24.2,76821.0,88
89,T87,T87,D.A. Points,89,24.2,129050.0,148
90,T91,T91,Shane Bertsch,62,24.3,63937.0,73
91,T91,T91,Matt Bettencourt,84,24.3,137340.0,157
92,T91,T91,Justin Leonard,82,24.3,82349.0,94
93,T91,T91,Joe Ogilvie,75,24.3,88533.0,101
94,T91,T91,Chez Reavie,92,24.3,135678.0,155
95,T91,T91,Cameron Tringale,110,24.3,179868.0,206
96,T97,T97,D.J. Brigman,67,24.4,81852.0,93
97,T97,T97,Marc Leishman,87,24.4,145769.0,166
98,T97,T97,Jarrod Lyle,83,24.4,107975.0,123
99,T97,T97,Scott McCarron,65,24.4,93240.0,106
100,T101,T101,Aaron Baddeley,77,24.5,135012.0,153
101,T101,T101,Kent Jones,76,24.5,74854.0,85
102,T101,T101,Rory Sabbatini,85,24.5,112682.0,128
103,T101,T101,Marc Turnesa,54,24.5,49451.0,56
104,T101,T101,Jhonattan Vegas,84,24.5,162241.0,184
105,T106,T106,Nathan Green,81,24.6,107114.0,121
