,Approaches__100_yards-Rgh_RTP_RANK THIS WEEK,Approaches__100_yards-Rgh_RTP_RANK LAST WEEK,Approaches__100_yards-Rgh_RTP_PLAYER NAME,Approaches__100_yards-Rgh_RTP_ROUNDS,Approaches__100_yards-Rgh_RTP_AVG RTP
0,1,1,J.B. Holmes,57,-0.006
1,2,2,Chris Couch,73,-0.005
2,3,3,Phil Mickelson,79,0.005
3,4,4,Luke Donald,73,0.006999999999999999
4,5,5,Aaron Baddeley,77,0.008
5,6,6,Trevor Immelman,84,0.013999999999999999
6,7,7,Rickie Fowler,84,0.017
7,8,8,Ian Poulter,52,0.02
8,9,9,Stewart Cink,72,0.023
9,T10,T10,Sergio Garcia,61,0.026000000000000002
10,T10,T10,Padraig Harrington,60,0.026000000000000002
11,12,12,Retief Goosen,50,0.031
12,T13,T13,Kevin Na,84,0.033
13,T13,T13,Rory Sabbatini,85,0.033
14,15,15,Robert Garrigus,83,0.039
15,16,16,Charles Howell III,108,0.042
16,17,17,Steve Stricker,70,0.044000000000000004
17,T18,T18,Dustin Johnson,72,0.045
18,T18,T18,Bubba Watson,85,0.045
19,20,20,Nick Watney,80,0.046
20,21,21,Brandt Snedeker,85,0.047
21,22,22,Gary Woodland,93,0.049
22,23,23,Ben Crane,76,0.05
23,24,24,Shane Bertsch,62,0.053
24,25,25,Davis Love III,70,0.057
25,26,26,David Toms,78,0.06
26,27,27,Bill Haas,93,0.064
27,28,28,Matt Kuchar,94,0.067
28,T29,T29,Stephen Ames,69,0.07
29,T29,T29,Graeme McDowell,50,0.07
30,31,31,William McGirt,103,0.071
31,T32,T32,Jonathan Byrd,83,0.075
32,T32,T32,Harrison Frazar,58,0.075
33,T32,T32,Carl Pettersson,95,0.075
34,35,35,Bo Van Pelt,92,0.078
35,36,36,Steve Marino,76,0.079
36,37,37,David Mathis,83,0.081
37,38,38,Jhonattan Vegas,84,0.08199999999999999
38,39,39,Y.E. Yang,63,0.086
39,T40,T40,Martin Laird,77,0.08900000000000001
40,T40,T40,Billy Mayfair,94,0.08900000000000001
41,42,42,Michael Bradley,74,0.09
42,43,43,Jim Herman,69,0.091
43,T44,T44,Charley Hoffman,93,0.092
44,T44,T44,John Rollins,85,0.092
45,T44,T44,Cameron Tringale,110,0.092
46,47,47,Brendon de Jonge,105,0.09300000000000001
47,T48,T48,Joseph Bramlett,73,0.094
48,T48,T48,Geoff Ogilvy,69,0.094
49,T48,T48,Webb Simpson,98,0.094
50,T51,T51,Greg Chalmers,88,0.095
51,T51,T51,John Senden,94,0.095
52,53,53,Tommy Gainey,104,0.1
53,54,54,Kevin Streelman,90,0.102
54,T55,T55,George McNeill,69,0.10400000000000001
55,T55,T55,Scott Piercy,78,0.10400000000000001
56,T55,T55,Justin Rose,79,0.10400000000000001
57,T58,T58,Hunter Haas,96,0.105
58,T58,T58,Bill Lunde,92,0.105
59,T58,T58,Kyle Stanley,98,0.105
60,T61,T61,Robert Karlsson,61,0.107
61,T61,T61,Marc Leishman,87,0.107
62,T61,T61,Justin Leonard,82,0.107
63,64,64,Jason Dufner,78,0.10800000000000001
64,T65,T65,Tim Herron,85,0.109
65,T65,T65,Nick O'Hern,89,0.109
66,T65,T65,Joe Ogilvie,75,0.109
67,T68,T68,Alex Cejka,59,0.11
68,T68,T68,Charlie Wi,83,0.11
69,70,70,Woody Austin,59,0.111
70,71,71,Rod Pampling,72,0.11199999999999999
71,T72,T72,Andres Gonzales,60,0.113
72,T72,T72,Matt Jones,71,0.113
73,T72,T72,Kevin Kisner,70,0.113
74,T72,T72,Heath Slocum,89,0.113
75,76,76,Chris Stroud,88,0.114
76,77,77,Ben Curtis,66,0.11599999999999999
77,78,78,Matt Bettencourt,84,0.11699999999999999
78,79,79,Adam Scott,60,0.11800000000000001
79,80,80,Vijay Singh,79,0.122
80,81,81,Kevin Stadler,88,0.12300000000000001
81,82,82,Spencer Levin,113,0.125
82,83,83,J.J. Henry,96,0.126
83,84,84,D.J. Trahan,91,0.127
84,T85,T85,K.J. Choi,77,0.128
85,T85,T85,Josh Teater,104,0.128
86,87,87,Freddie Jacobson,92,0.13
87,88,88,Ryan Palmer,82,0.132
88,T89,T89,Stuart Appleby,65,0.133
89,T89,T89,Bryce Molder,82,0.133
90,T89,T89,Ryan Moore,79,0.133
91,92,92,Chris Kirk,87,0.134
92,93,93,Steven Bowditch,86,0.135
93,T94,T94,Kevin Chappell,78,0.136
94,T94,T94,Brandt Jobe,100,0.136
95,T94,T94,Marc Turnesa,54,0.136
96,T97,T97,Derek Lamely,65,0.138
97,T97,T97,Pat Perez,76,0.138
98,99,99,Michael Putnam,67,0.139
99,T100,T100,Chad Campbell,99,0.141
100,T100,T100,Lucas Glover,74,0.141
101,T100,T100,Hunter Mahan,92,0.141
102,T100,T100,Shaun Micheel,77,0.141
103,T100,T100,Mark Wilson,89,0.141
104,105,105,Steve Elkington,50,0.14300000000000002
105,T106,T106,Brian Davis,105,0.14400000000000002
106,T106,T106,David Duval,67,0.14400000000000002
107,108,108,Bio Kim,71,0.147
108,T109,T109,Anthony Kim,72,0.14800000000000002
109,T109,T109,Jim Renner,65,0.14800000000000002
110,T111,T111,D.J. Brigman,67,0.149
111,T111,T111,Brian Gay,90,0.149
112,T111,T111,Zack Miller,86,0.149
113,114,114,Ricky Barnes,78,0.15
114,T115,T115,Chris DiMarco,93,0.151
115,T115,T115,Sean O'Hair,71,0.151
116,117,117,Briny Baird,60,0.152
117,T118,T118,Kris Blanks,92,0.153
118,T118,T118,Ryuji Imada,83,0.153
119,T118,T118,Johnson Wagner,81,0.153
120,121,121,Colt Knost,80,0.154
121,T122,T122,Zach Johnson,79,0.155
122,T122,T122,D.A. Points,89,0.155
123,T124,T124,Jim Furyk,87,0.156
124,T124,T124,Fabián Gómez,84,0.156
125,T124,T124,Jeff Overton,92,0.156
126,T124,T124,Charl Schwartzel,58,0.156
127,T128,T128,Keegan Bradley,91,0.157
128,T128,T128,J.P. Hayes,56,0.157
129,130,130,Paul Stankowski,78,0.158
130,131,131,Scott Stallings,84,0.159
131,132,132,Vaughn Taylor,89,0.16
132,133,133,Robert Allenby,84,0.161
133,134,134,Matt McQuillan,59,0.162
134,135,135,Blake Adams,116,0.163
135,T136,T136,Nathan Green,81,0.16699999999999998
136,T136,T136,Scott McCarron,65,0.16699999999999998
137,138,138,Troy Matteson,91,0.16899999999999998
138,T139,T139,Jason Day,76,0.171
139,T139,T139,Jimmy Walker,79,0.171
140,141,141,James Driscoll,71,0.172
141,T142,T142,Cameron Beckman,71,0.17300000000000001
142,T142,T142,Andres Romero,77,0.17300000000000001
143,144,144,Chez Reavie,92,0.174
144,145,145,Bobby Gates,82,0.175
145,146,146,Chris Riley,76,0.17600000000000002
146,T147,T147,Paul Goydos,81,0.18100000000000002
147,T147,T147,Camilo Villegas,69,0.18100000000000002
148,T147,T147,Boo Weekley,66,0.18100000000000002
149,150,150,Ángel Cabrera,50,0.182
150,151,151,Ernie Els,71,0.183
151,152,152,David Hearn,88,0.184
152,153,153,Tag Ridings,87,0.187
153,154,154,Jason Bohn,74,0.18899999999999997
154,T155,T155,Steve Flesch,88,0.19
155,T155,T155,Aron Price,58,0.19
156,T157,T157,Jarrod Lyle,83,0.196
157,T157,T157,Dean Wilson,62,0.196
158,159,159,Alexandre Rocha,65,0.198
159,160,160,Michael Connell,76,0.19899999999999998
160,T161,T161,Sung Kang,63,0.2
161,T161,T161,John Merrick,71,0.2
162,163,163,Billy Horschel,75,0.201
163,164,164,Tim Petrovic,88,0.205
164,165,165,Garrett Willis,71,0.20600000000000002
165,166,166,Michael Thompson,79,0.209
166,167,167,Richard Johnson,64,0.213
167,T168,T168,Joe Durant,71,0.215
168,T168,T168,Kent Jones,76,0.215
169,170,170,Will Strickler,51,0.217
170,171,171,Troy Merritt,63,0.218
171,172,172,Tom Gillis,55,0.228
172,T173,T173,Jerry Kelly,85,0.23399999999999999
173,T173,T173,Roland Thatcher,67,0.23399999999999999
174,175,175,Rocco Mediate,53,0.242
175,176,176,Lee Janzen,62,0.255
176,177,177,Ben Martin,74,0.26
177,178,178,Arjun Atwal,91,0.263
178,179,179,Alex Prugh,82,0.268
179,180,180,Nate Smith,66,0.27
180,181,181,Martin Piller,63,0.272
181,182,182,Brendan Steele,89,0.284
182,183,183,Scott Gutschewski,67,0.285
183,184,184,Daniel Summerhays,75,0.293
184,185,185,Justin Hicks,60,0.337
185,186,186,Rich Beem,53,0.349
