,Proximity_to_Hole_RANK THIS WEEK,Proximity_to_Hole_RANK LAST WEEK,Proximity_to_Hole_PLAYER NAME,Proximity_to_Hole_ROUNDS,Proximity_to_Hole_AVG,Proximity_to_Hole_TOTAL DISTANCE (FEET),Proximity_to_Hole_# OF ATTEMPTS,Proximity_to_Hole_GIR RANK
0,1,1,Heath Slocum,89,"31' 11""",42282.667,1324,2
1,2,2,Paul Goydos,81,"32' 0""",42511.0,1328,120
2,3,3,Chad Campbell,99,"32' 2""",50161.167,1561,4
3,4,4,Joe Durant,71,"32' 3""",36973.25,1145,3
4,T5,T5,Shane Bertsch,62,"32' 7""",30389.583,932,126
5,T5,T5,David Toms,78,"32' 7""",34498.167,1058,6
6,T7,T7,Jason Dufner,78,"32' 8""",37991.583,1162,52
7,T7,T7,Brian Gay,90,"32' 8""",43322.5,1327,145
8,9,9,Luke Donald,73,"32' 10""",30569.25,930,41
9,T10,T10,Alex Cejka,59,"33' 1""",27633.75,835,74
10,T10,T10,Jim Furyk,87,"33' 1""",41573.417,1256,38
11,T10,T10,Brandt Jobe,100,"33' 1""",47948.75,1448,14
12,T13,T13,Woody Austin,59,"33' 2""",29834.75,900,54
13,T13,T13,Chris Kirk,87,"33' 2""",45713.167,1378,58
14,15,15,Davis Love III,70,"33' 3""",30904.583,929,28
15,16,16,Kris Blanks,92,"33' 5""",49720.5,1488,20
16,17,17,Jason Bohn,74,"33' 6""",40126.917,1199,42
17,T18,T18,Chez Reavie,92,"33' 7""",49375.167,1471,26
18,T18,T18,Kevin Stadler,88,"33' 7""",43834.583,1304,33
19,T20,T20,Stephen Ames,69,"33' 8""",36105.917,1073,101
20,T20,T20,David Hearn,88,"33' 8""",45861.667,1362,21
21,22,22,Steve Stricker,70,"33' 9""",32146.417,953,78
22,23,23,Zach Johnson,79,"33' 10""",38921.583,1149,67
23,T24,T24,Brian Davis,105,"33' 11""",55915.25,1649,40
24,T24,T24,David Mathis,83,"33' 11""",42379.0,1251,129
25,T24,T24,Ian Poulter,52,"33' 11""",23784.583,702,96
26,T24,T24,Webb Simpson,98,"33' 11""",50540.0,1490,8
27,T24,T24,Scott Stallings,84,"33' 11""",41999.5,1238,60
28,T29,T29,Briny Baird,60,"34' 0""",29821.167,878,15
29,T29,T29,Chris DiMarco,93,"34' 0""",50064.333,1471,106
30,T29,T29,Rickie Fowler,84,"34' 0""",40068.833,1178,120
31,T29,T29,Matt Kuchar,94,"34' 0""",43215.667,1271,50
32,T33,T33,John Rollins,85,"34' 1""",43781.917,1285,16
33,T33,T33,Vijay Singh,79,"34' 1""",44012.333,1290,63
34,T35,T35,K.J. Choi,77,"34' 3""",35616.417,1041,81
35,T35,T35,Chris Stroud,88,"34' 3""",47786.333,1396,48
36,T35,T35,Y.E. Yang,63,"34' 3""",25623.083,748,162
37,T38,T38,Brendon de Jonge,105,"34' 4""",56423.667,1643,65
38,T38,T38,Andres Gonzales,60,"34' 4""",28217.667,821,123
39,T38,T38,Nick O'Hern,89,"34' 4""",46777.167,1362,58
40,T38,T38,Geoff Ogilvy,69,"34' 4""",33224.75,968,157
41,T38,T38,Alex Prugh,82,"34' 4""",43474.417,1267,80
42,T43,T43,Brandt Snedeker,85,"34' 5""",41271.25,1200,113
43,T43,T43,Vaughn Taylor,89,"34' 5""",51088.0,1484,76
44,T45,T45,Tommy Gainey,104,"34' 6""",56252.417,1632,48
45,T45,T45,Tom Gillis,55,"34' 6""",30779.583,893,68
46,T45,T45,Lucas Glover,74,"34' 6""",37619.667,1091,82
47,T45,T45,Spencer Levin,113,"34' 6""",58211.417,1686,35
48,T45,T45,Pat Perez,76,"34' 6""",43327.417,1255,100
49,T45,T45,Brendan Steele,89,"34' 6""",47514.25,1378,99
50,T45,T45,Dean Wilson,62,"34' 6""",35184.917,1020,157
51,T45,T45,Mark Wilson,89,"34' 6""",43198.333,1253,77
52,T53,T53,Stewart Cink,72,"34' 7""",32130.083,929,128
53,T53,T53,Ben Curtis,66,"34' 7""",38447.167,1113,87
54,T53,T53,Retief Goosen,50,"34' 7""",24727.5,715,125
55,T53,T53,Aron Price,58,"34' 7""",30494.083,882,46
56,T57,T57,Ricky Barnes,78,"34' 8""",39766.25,1148,62
57,T57,T57,Kevin Chappell,78,"34' 8""",37650.333,1086,114
58,T57,T57,Ernie Els,71,"34' 8""",36753.583,1059,7
59,T57,T57,Justin Leonard,82,"34' 8""",45962.75,1325,112
60,T57,T57,Boo Weekley,66,"34' 8""",35419.0,1021,1
61,T62,T62,Dustin Johnson,72,"34' 9""",33289.417,959,27
62,T62,T62,Carl Pettersson,95,"34' 9""",56063.583,1613,89
63,T62,T62,Kyle Stanley,98,"34' 9""",49674.917,1429,30
64,T65,T65,Graeme McDowell,50,"34' 10""",22982.0,659,75
65,T65,T65,Bryce Molder,82,"34' 10""",44265.333,1271,108
66,T65,T65,D.J. Trahan,91,"34' 10""",51743.417,1487,17
67,T68,T68,Robert Garrigus,83,"34' 11""",42921.25,1229,72
68,T68,T68,Michael Thompson,79,"34' 11""",43207.25,1236,101
69,T68,T68,Marc Turnesa,54,"34' 11""",28808.667,825,95
70,T71,T71,Michael Bradley,74,"35' 0""",36971.667,1056,37
71,T71,T71,Michael Connell,76,"35' 0""",45078.333,1289,138
72,T71,T71,Jerry Kelly,85,"35' 0""",42566.083,1217,70
73,T71,T71,George McNeill,69,"35' 0""",36425.333,1041,132
74,T71,T71,Chris Riley,76,"35' 0""",42620.0,1219,115
75,T71,T71,Kevin Streelman,90,"35' 0""",44603.917,1274,94
76,T71,T71,Nick Watney,80,"35' 0""",38910.667,1113,54
77,T78,T78,Sung Kang,63,"35' 1""",32156.167,916,116
78,T78,T78,Matt McQuillan,59,"35' 1""",30291.833,863,157
79,T80,T80,Troy Matteson,91,"35' 2""",50953.25,1449,92
80,T80,T80,Billy Mayfair,94,"35' 2""",53645.75,1525,23
81,T80,T80,Phil Mickelson,79,"35' 2""",36467.75,1037,51
82,T83,T83,Harrison Frazar,58,"35' 3""",26394.667,749,164
83,T83,T83,Kent Jones,76,"35' 3""",42362.917,1201,73
84,T83,T83,Rory Sabbatini,85,"35' 3""",38607.917,1095,85
85,T86,T86,Justin Hicks,60,"35' 4""",27660.667,783,90
86,T86,T86,Lee Janzen,62,"35' 4""",31692.75,898,153
87,T86,T86,John Merrick,71,"35' 4""",38024.667,1076,24
88,T89,T89,Cameron Beckman,71,"35' 5""",40635.833,1147,151
89,T89,T89,Ben Crane,76,"35' 5""",39385.417,1111,68
90,T89,T89,John Senden,94,"35' 5""",51336.667,1449,5
91,T92,T92,Jim Herman,69,"35' 6""",36260.25,1021,36
92,T92,T92,Bill Lunde,92,"35' 6""",49044.917,1382,13
93,T92,T92,Jim Renner,65,"35' 6""",33598.833,946,107
94,T92,T92,Justin Rose,79,"35' 6""",40112.0,1129,10
95,T92,T92,Gary Woodland,93,"35' 6""",44488.167,1253,12
96,T97,T97,Robert Allenby,84,"35' 7""",44742.5,1257,39
97,T97,T97,Keegan Bradley,91,"35' 7""",48920.333,1375,83
98,T97,T97,J.P. Hayes,56,"35' 7""",30533.167,858,178
99,T97,T97,Ryan Moore,79,"35' 7""",38348.333,1077,155
100,T97,T97,Sean O'Hair,71,"35' 7""",38309.083,1077,152
101,T97,T97,Scott Piercy,78,"35' 7""",40058.833,1126,85
102,T97,T97,Bo Van Pelt,92,"35' 7""",45320.75,1273,34
103,T104,T104,Chris Couch,73,"35' 8""",43251.833,1213,109
104,T104,T104,David Duval,67,"35' 8""",37055.583,1040,135
105,T104,T104,Sergio Garcia,61,"35' 8""",28769.833,806,56
106,T107,T107,Jonathan Byrd,83,"35' 9""",46180.417,1291,91
107,T107,T107,Charley Hoffman,93,"35' 9""",47173.25,1318,57
108,T107,T107,Freddie Jacobson,92,"35' 9""",44827.0,1254,143
109,T107,T107,Adam Scott,60,"35' 9""",28737.417,804,32
110,T107,T107,Camilo Villegas,69,"35' 9""",36526.833,1021,163
111,T112,T112,Scott Gutschewski,67,"35' 10""",35335.667,985,160
112,T112,T112,Hunter Haas,96,"35' 10""",54590.833,1522,71
113,T112,T112,William McGirt,103,"35' 10""",58898.083,1644,25
114,115,115,Trevor Immelman,84,"35' 11""",43057.917,1200,31
115,T116,T116,Shaun Micheel,77,"36' 0""",41734.667,1160,154
116,T116,T116,Bubba Watson,85,"36' 0""",37973.0,1055,9
117,T116,T116,Garrett Willis,71,"36' 0""",41179.0,1144,124
118,T119,T119,Robert Karlsson,61,"36' 1""",29136.0,807,148
119,T119,T119,Kevin Na,84,"36' 1""",44065.25,1221,180
120,T119,T119,Paul Stankowski,78,"36' 1""",41941.083,1162,104
121,T122,T122,Stuart Appleby,65,"36' 2""",38857.25,1074,175
122,T122,T122,Richard Johnson,64,"36' 2""",35007.583,967,146
123,T122,T122,Josh Teater,104,"36' 2""",59615.583,1647,53
124,T122,T122,Roland Thatcher,67,"36' 2""",39565.667,1093,130
125,T126,T126,Fabián Gómez,84,"36' 3""",44648.167,1233,104
126,T126,T126,Billy Horschel,75,"36' 3""",40212.917,1110,47
127,T126,T126,Johnson Wagner,81,"36' 3""",45460.25,1253,45
128,T129,T129,Padraig Harrington,60,"36' 4""",29322.083,807,133
129,T129,T129,J.B. Holmes,57,"36' 4""",30715.917,846,63
130,131,131,Nate Smith,66,"36' 5""",34548.917,948,177
131,T132,T132,Arjun Atwal,91,"36' 6""",54313.083,1489,149
132,T132,T132,Martin Laird,77,"36' 6""",40297.333,1105,61
133,T132,T132,Marc Leishman,87,"36' 6""",52086.083,1427,122
134,T135,T135,Blake Adams,116,"36' 7""",68677.917,1878,97
135,T135,T135,Bobby Gates,82,"36' 7""",43952.333,1201,118
136,T135,T135,Steve Marino,76,"36' 7""",40673.417,1113,88
137,T135,T135,Ben Martin,74,"36' 7""",42435.417,1161,117
138,T135,T135,Rocco Mediate,53,"36' 7""",31350.833,857,168
139,T135,T135,Joe Ogilvie,75,"36' 7""",39943.25,1093,161
140,T135,T135,D.A. Points,89,"36' 7""",48371.583,1321,110
141,T142,T142,Ángel Cabrera,50,"36' 8""",22761.083,621,137
142,T142,T142,Tim Herron,85,"36' 8""",50514.583,1379,92
143,T142,T142,Rod Pampling,72,"36' 8""",39458.083,1075,84
144,T142,T142,Tim Petrovic,88,"36' 8""",50628.833,1381,167
145,146,146,Jimmy Walker,79,"36' 9""",50090.667,1364,136
146,T147,T147,Joseph Bramlett,73,"36' 10""",40302.083,1094,103
147,T147,T147,Colt Knost,80,"36' 10""",44116.667,1197,171
148,T147,T147,Hunter Mahan,92,"36' 10""",50236.167,1363,22
149,T147,T147,Zack Miller,86,"36' 10""",49375.167,1340,174
150,151,151,Charles Howell III,108,"36' 11""",60188.417,1630,19
151,T152,T152,Greg Chalmers,88,"37' 0""",52313.5,1415,179
152,T152,T152,Troy Merritt,63,"37' 0""",37673.667,1019,133
153,T152,T152,Andres Romero,77,"37' 0""",45123.167,1219,146
154,T155,T155,Matt Bettencourt,84,"37' 1""",50890.75,1373,169
155,T155,T155,Bill Haas,93,"37' 1""",47841.5,1291,11
156,T155,T155,Ryuji Imada,83,"37' 1""",50511.833,1363,130
157,T158,T158,Alexandre Rocha,65,"37' 2""",32609.583,878,29
158,T158,T158,Daniel Summerhays,75,"37' 2""",43887.0,1181,150
159,T160,T160,Rich Beem,53,"37' 3""",30682.25,824,172
160,T160,T160,Steve Flesch,88,"37' 3""",52016.5,1395,185
161,T160,T160,Jeff Overton,92,"37' 3""",48763.333,1308,119
162,T163,T163,Aaron Baddeley,77,"37' 5""",41516.167,1110,97
163,T163,T163,Steve Elkington,50,"37' 5""",28146.333,753,66
164,T163,T163,Kevin Kisner,70,"37' 5""",38182.0,1021,184
165,T163,T163,Michael Putnam,67,"37' 5""",35336.083,944,127
166,T167,T167,Ryan Palmer,82,"37' 6""",40355.583,1076,139
167,T167,T167,Martin Piller,63,"37' 6""",34885.583,930,181
168,T167,T167,Tag Ridings,87,"37' 6""",49627.5,1322,142
169,170,170,Charl Schwartzel,58,"37' 7""",26915.583,716,79
170,T171,T171,D.J. Brigman,67,"37' 8""",37018.417,983,182
171,T171,T171,Nathan Green,81,"37' 8""",47154.667,1253,166
172,T171,T171,J.J. Henry,96,"37' 8""",53437.75,1418,18
173,T174,T174,Jarrod Lyle,83,"37' 9""",48606.917,1287,172
174,T174,T174,Charlie Wi,83,"37' 9""",51993.5,1376,140
175,176,176,Jason Day,76,"37' 10""",40009.083,1058,110
176,T177,T177,Matt Jones,71,"38' 0""",43477.0,1144,165
177,T177,T177,Derek Lamely,65,"38' 0""",39342.667,1035,156
178,T179,T179,Steven Bowditch,86,"38' 1""",53020.417,1392,141
179,T179,T179,Anthony Kim,72,"38' 1""",39716.833,1042,176
180,181,181,Cameron Tringale,110,"38' 2""",66299.75,1739,42
181,182,182,Jhonattan Vegas,84,"38' 3""",47916.583,1253,44
182,183,183,James Driscoll,71,"38' 6""",41975.917,1091,144
183,184,184,Will Strickler,51,"38' 11""",29928.917,769,170
184,185,185,Bio Kim,71,"39' 9""",41438.667,1042,186
185,186,186,Scott McCarron,65,"39' 11""",38420.833,962,183
