,Going_for_the_Green_-_Birdie_or_Better_RANK THIS WEEK,Going_for_the_Green_-_Birdie_or_Better_RANK LAST WEEK,Going_for_the_Green_-_Birdie_or_Better_PLAYER NAME,Going_for_the_Green_-_Birdie_or_Better_ROUNDS,Going_for_the_Green_-_Birdie_or_Better_%,Going_for_the_Green_-_Birdie_or_Better_# OF BIRDIE OR BETTER,Going_for_the_Green_-_Birdie_or_Better_ATTEMPTS,Going_for_the_Green_-_Birdie_or_Better_RTP-SUCCESSES,Going_for_the_Green_-_Birdie_or_Better_RTP-NOT GOING FOR THE GRN
0,1,1,Retief Goosen,50,72.46,50,69,-51,+12.00
1,2,2,Steve Stricker,70,69.15,65,94,-69,-32.00
2,3,3,Trevor Immelman,84,68.57,72,105,-76,+1.00
3,4,4,Vijay Singh,79,67.91,91,134,-94,-5.00
4,5,5,Brian Gay,90,67.8,40,59,-41,-46.00
5,6,6,Adam Scott,60,67.59,73,108,-78,+1.00
6,7,7,Luke Donald,73,67.47,56,83,-58,-30.00
7,8,8,Justin Rose,79,66.67,92,138,-96,-7.00
8,T9,T9,Lucas Glover,74,66.1,78,118,-87,-14.00
9,T9,T9,Brandt Snedeker,85,66.1,78,118,-85,-13.00
10,11,11,Brendon de Jonge,105,65.79,100,152,-105,-16.00
11,12,12,Bio Kim,71,65.77,73,111,-76,+8.00
12,13,13,Joe Ogilvie,75,65.35,66,101,-71,+8.00
13,14,14,Jerry Kelly,85,65.17,58,89,-63,-21.00
14,15,15,Phil Mickelson,79,65.1,97,149,-102,E
15,16,16,Jonathan Byrd,83,64.78,103,159,-109,-11.00
16,17,17,Webb Simpson,98,64.48,118,183,-129,-24.00
17,18,18,Nate Smith,66,64.41,38,59,-42,-6.00
18,19,19,Chris Riley,76,63.95,55,86,-58,-13.00
19,20,20,Y.E. Yang,63,63.75,51,80,-52,E
20,21,21,George McNeill,69,63.48,73,115,-78,+4.00
21,22,22,Jarrod Lyle,83,63.41,78,123,-84,-3.00
22,23,23,Blake Adams,116,63.37,109,172,-113,-21.00
23,24,24,Nick O'Hern,89,63.33,57,90,-61,-37.00
24,25,25,Dustin Johnson,72,63.23,98,155,-105,+11.00
25,26,26,Andres Romero,77,63.06,99,157,-106,+11.00
26,27,27,Heath Slocum,89,63.0,63,100,-67,-13.00
27,28,28,Brendan Steele,89,62.91,95,151,-102,-12.00
28,T29,T29,Jason Dufner,78,62.75,64,102,-67,-17.00
29,T29,T29,Zach Johnson,79,62.75,64,102,-69,-34.00
30,T29,T29,Nick Watney,80,62.75,96,153,-104,-4.00
31,32,32,Charley Hoffman,93,62.56,132,211,-139,+13.00
32,33,33,Chris Stroud,88,62.33,91,146,-98,-9.00
33,34,34,D.A. Points,89,62.16,92,148,-101,-5.00
