,Approach_200-225_yards_RTP_RANK THIS WEEK,Approach_200-225_yards_RTP_RANK LAST WEEK,Approach_200-225_yards_RTP_PLAYER NAME,Approach_200-225_yards_RTP_ROUNDS,Approach_200-225_yards_RTP_AVG RTP
0,1,1,Dustin Johnson,72,-.172
1,2,2,Robert Karlsson,61,-.169
2,T3,T3,Jason Day,76,-.168
3,T3,T3,Nick Watney,80,-.168
4,5,5,J.B. Holmes,57,-.161
5,6,6,Brandt Jobe,100,-.115
6,7,7,Gary Woodland,93,-.095
7,T8,T8,Chris Kirk,87,-.088
8,T8,T8,Vijay Singh,79,-.088
9,10,10,Cameron Tringale,110,-.086
10,11,11,Padraig Harrington,60,-.085
11,12,12,Steven Bowditch,86,-.082
12,13,13,Martin Laird,77,-.075
13,14,14,Adam Scott,60,-.074
14,15,15,Bobby Gates,82,-.073
15,16,16,Aaron Baddeley,77,-.071
16,T17,T17,Charley Hoffman,93,-.068
17,T17,T17,Zach Johnson,79,-.068
18,19,19,Ryan Palmer,82,-.067
19,20,20,Nate Smith,66,-.066
20,21,21,Trevor Immelman,84,-.065
21,T22,T22,Phil Mickelson,79,-.063
22,T22,T22,Tag Ridings,87,-.063
23,24,24,Y.E. Yang,63,-.061
24,T25,T25,Chez Reavie,92,-.060
25,T25,T25,D.J. Trahan,91,-.060
26,27,27,Jim Furyk,87,-.059
27,28,28,Chris Couch,73,-.058
28,29,29,David Toms,78,-.056
29,30,30,Brandt Snedeker,85,-.055
30,T31,T31,Troy Merritt,63,-.054
31,T31,T31,Josh Teater,104,-.054
32,33,33,Davis Love III,70,-.053
33,34,34,Heath Slocum,89,-.052
34,35,35,Rickie Fowler,84,-.051
35,36,36,Mark Wilson,89,-.049
36,T37,T37,Brendon de Jonge,105,-.047
37,T37,T37,Luke Donald,73,-.047
38,T37,T37,Ernie Els,71,-.047
39,T40,T40,Blake Adams,116,-.045
40,T40,T40,Matt Kuchar,94,-.045
41,42,42,Steve Flesch,88,-.043
42,T43,T43,Joe Ogilvie,75,-.042
43,T43,T43,John Senden,94,-.042
44,45,45,Ángel Cabrera,50,-.040
45,46,46,Steve Stricker,70,-.038
46,47,47,Charl Schwartzel,58,-.037
47,48,48,Freddie Jacobson,92,-.034
48,49,49,Ian Poulter,52,-.030
49,T50,T50,Bill Haas,93,-.029
50,T50,T50,Shaun Micheel,77,-.029
51,52,52,Ryan Moore,79,-.028
52,T53,T53,Steve Elkington,50,-.026
53,T53,T53,Nathan Green,81,-.026
54,T53,T53,Scott Stallings,84,-.026
55,56,56,Jimmy Walker,79,-.025
56,57,57,Sergio Garcia,61,-.024
57,58,58,Shane Bertsch,62,-.023
58,T59,T59,Jim Herman,69,-.022
59,T59,T59,Webb Simpson,98,-.022
60,T61,T61,Tommy Gainey,104,-.021
61,T61,T61,Boo Weekley,66,-.021
62,63,63,Vaughn Taylor,89,-.020
63,64,64,Andres Romero,77,-.019
64,65,65,Kevin Na,84,-.018
65,T66,T66,Matt Bettencourt,84,-.016
66,T66,T66,K.J. Choi,77,-.016
67,68,68,Zack Miller,86,-.015
68,T69,T69,Graeme McDowell,50,-.014
69,T69,T69,D.A. Points,89,-.014
70,71,71,J.J. Henry,96,-.013
71,T72,T72,Briny Baird,60,-.012
72,T72,T72,Matt McQuillan,59,-.012
73,T72,T72,Michael Putnam,67,-.012
74,75,75,Scott Gutschewski,67,-.011
75,T76,T76,Steve Marino,76,-.010
76,T76,T76,Rory Sabbatini,85,-.010
77,T78,T78,Jason Dufner,78,-.008
78,T78,T78,Bubba Watson,85,-.008
79,T80,T80,Arjun Atwal,91,-.007
80,T80,T80,Charles Howell III,108,-.007
81,T82,T82,Jason Bohn,74,E
82,T82,T82,Jonathan Byrd,83,E
83,T82,T82,Chad Campbell,99,E
84,T82,T82,Stewart Cink,72,E
85,T82,T82,Lucas Glover,74,E
86,T82,T82,Billy Horschel,75,E
87,T82,T82,Lee Janzen,62,E
88,T82,T82,Anthony Kim,72,E
89,T82,T82,Derek Lamely,65,E
90,T82,T82,Hunter Mahan,92,E
91,T82,T82,John Merrick,71,E
92,T82,T82,Kevin Stadler,88,E
93,T82,T82,Will Strickler,51,E
94,T82,T82,Bo Van Pelt,92,E
95,96,96,Spencer Levin,113,+.006
96,T97,T97,John Rollins,85,+.008
97,T97,T97,Brendan Steele,89,+.008
98,99,99,Camilo Villegas,69,+.011
99,100,100,Carl Pettersson,95,+.013
100,101,101,Marc Leishman,87,+.015
101,102,102,Robert Garrigus,83,+.017
102,103,103,Kevin Streelman,90,+.018
103,104,104,Rod Pampling,72,+.020
104,105,105,Sean O'Hair,71,+.022
