,Total_Hole_Outs_RANK THIS WEEK,Total_Hole_Outs_RANK LAST WEEK,Total_Hole_Outs_PLAYER NAME,Total_Hole_Outs_ROUNDS,Total_Hole_Outs_HOLE OUTS
0,1,1,Greg Chalmers,88,22
1,2,2,Rickie Fowler,84,21
2,3,3,Kyle Stanley,98,20
3,T4,T4,Blake Adams,116,18
4,T4,T4,Arjun Atwal,91,18
5,T4,T4,Fabián Gómez,84,18
6,T4,T4,Kevin Na,84,18
7,T4,T4,Jimmy Walker,79,18
8,9,9,Brian Gay,90,17
9,T10,T10,Kris Blanks,92,16
10,T10,T10,Charley Hoffman,93,16
11,T10,T10,Derek Lamely,65,16
12,T10,T10,Billy Mayfair,94,16
13,T14,T14,James Driscoll,71,15
14,T14,T14,Jason Dufner,78,15
15,T14,T14,Bill Haas,93,15
16,T14,T14,Marc Leishman,87,15
17,T14,T14,Nick O'Hern,89,15
18,T14,T14,Webb Simpson,98,15
19,T20,T20,Ricky Barnes,78,14
20,T20,T20,Matt Bettencourt,84,14
21,T20,T20,Keegan Bradley,91,14
22,T20,T20,Nathan Green,81,14
23,T20,T20,Charles Howell III,108,14
24,T20,T20,Dustin Johnson,72,14
25,T20,T20,Bio Kim,71,14
26,T20,T20,Zack Miller,86,14
27,T20,T20,Carl Pettersson,95,14
28,T20,T20,David Toms,78,14
29,T30,T30,Shane Bertsch,62,13
30,T30,T30,Jonathan Byrd,83,13
31,T30,T30,Steve Flesch,88,13
32,T30,T30,Freddie Jacobson,92,13
33,T30,T30,Matt Jones,71,13
34,T30,T30,Spencer Levin,113,13
35,T30,T30,Troy Matteson,91,13
36,T30,T30,Tim Petrovic,88,13
37,T30,T30,Rory Sabbatini,85,13
38,T30,T30,Cameron Tringale,110,13
39,T30,T30,Mark Wilson,89,13
40,T41,T41,Ben Crane,76,12
41,T41,T41,Tommy Gainey,104,12
42,T41,T41,Justin Leonard,82,12
43,T41,T41,Hunter Mahan,92,12
44,T41,T41,Phil Mickelson,79,12
45,T41,T41,Rod Pampling,72,12
46,T41,T41,Josh Teater,104,12
47,T41,T41,Michael Thompson,79,12
48,T41,T41,Camilo Villegas,69,12
49,T41,T41,Charlie Wi,83,12
50,T51,T51,Alex Cejka,59,11
51,T51,T51,K.J. Choi,77,11
52,T51,T51,Chris Couch,73,11
53,T51,T51,Scott Gutschewski,67,11
54,T51,T51,Brandt Jobe,100,11
55,T51,T51,Zach Johnson,79,11
56,T51,T51,Steve Marino,76,11
57,T51,T51,Ben Martin,74,11
58,T51,T51,Pat Perez,76,11
59,T51,T51,Scott Piercy,78,11
60,T51,T51,Chris Riley,76,11
61,T51,T51,John Rollins,85,11
62,T51,T51,Andres Romero,77,11
63,T51,T51,Nate Smith,66,11
64,T51,T51,Brandt Snedeker,85,11
65,T51,T51,Brendan Steele,89,11
66,T51,T51,Garrett Willis,71,11
67,T51,T51,Gary Woodland,93,11
68,T69,T69,Michael Bradley,74,10
69,T69,T69,Joseph Bramlett,73,10
70,T69,T69,Kevin Chappell,78,10
71,T69,T69,Michael Connell,76,10
72,T69,T69,Chris DiMarco,93,10
73,T69,T69,Jim Herman,69,10
74,T69,T69,Billy Horschel,75,10
75,T69,T69,Kent Jones,76,10
76,T69,T69,Jerry Kelly,85,10
77,T69,T69,Colt Knost,80,10
78,T69,T69,Martin Laird,77,10
79,T69,T69,Scott McCarron,65,10
80,T69,T69,Matt McQuillan,59,10
81,T69,T69,Shaun Micheel,77,10
82,T69,T69,Ryan Moore,79,10
83,T69,T69,Sean O'Hair,71,10
84,T69,T69,Joe Ogilvie,75,10
85,T69,T69,Jeff Overton,92,10
86,T69,T69,Chez Reavie,92,10
87,T69,T69,Tag Ridings,87,10
88,T69,T69,Justin Rose,79,10
89,T69,T69,Kevin Stadler,88,10
90,T69,T69,Marc Turnesa,54,10
91,T69,T69,Jhonattan Vegas,84,10
92,T93,T93,Robert Allenby,84,9
93,T93,T93,Stuart Appleby,65,9
94,T93,T93,Briny Baird,60,9
95,T93,T93,Jason Bohn,74,9
96,T93,T93,Brian Davis,105,9
97,T93,T93,Brendon de Jonge,105,9
98,T93,T93,Jim Furyk,87,9
99,T93,T93,Sergio Garcia,61,9
100,T93,T93,Robert Garrigus,83,9
101,T93,T93,Tom Gillis,55,9
102,T93,T93,Paul Goydos,81,9
103,T93,T93,David Hearn,88,9
104,T93,T93,Tim Herron,85,9
105,T93,T93,J.B. Holmes,57,9
106,T93,T93,Sung Kang,63,9
107,T93,T93,Chris Kirk,87,9
108,T93,T93,Kevin Kisner,70,9
109,T93,T93,Matt Kuchar,94,9
110,T93,T93,Jarrod Lyle,83,9
111,T93,T93,D.A. Points,89,9
112,T93,T93,John Senden,94,9
113,T93,T93,Heath Slocum,89,9
114,T93,T93,Vaughn Taylor,89,9
115,T93,T93,D.J. Trahan,91,9
116,T93,T93,Nick Watney,80,9
117,T93,T93,Dean Wilson,62,9
118,T119,T119,Stephen Ames,69,8
119,T119,T119,Aaron Baddeley,77,8
120,T119,T119,Steven Bowditch,86,8
