,Average_Going_for_it_Shot_Distance_in_Yards_RANK THIS WEEK,Average_Going_for_it_Shot_Distance_in_Yards_RANK LAST WEEK,Average_Going_for_it_Shot_Distance_in_Yards_PLAYER NAME,Average_Going_for_it_Shot_Distance_in_Yards_EVENTS,Average_Going_for_it_Shot_Distance_in_Yards_AVG,Average_Going_for_it_Shot_Distance_in_Yards_DISTANCE (IN INCHES),Average_Going_for_it_Shot_Distance_in_Yards_ATTEMPTS
0,1,1,Brandt Jobe,28,246.4,1304076.0,147
1,2,2,Jim Herman,22,247.9,999440.0,112
2,3,3,Robert Garrigus,26,249.4,1831280.0,204
3,4,4,Heath Slocum,29,250.4,901362.0,100
4,5,5,Lee Janzen,19,250.6,712685.0,79
5,6,6,Aaron Baddeley,22,251.0,1382364.0,153
6,T7,T7,Ian Poulter,16,251.1,560531.0,62
7,T7,T7,Alex Prugh,29,251.1,1193374.0,132
8,T7,T7,Steve Stricker,19,251.1,849871.0,94
9,T7,T7,Gary Woodland,25,251.1,1636445.0,181
10,11,11,Vijay Singh,25,251.3,1212053.0,134
11,12,12,Kent Jones,25,251.7,770061.0,85
12,13,13,Carl Pettersson,27,251.8,1541263.0,170
13,14,14,J.B. Holmes,16,252.0,1215837.0,134
14,T15,T15,K.J. Choi,22,252.2,817269.0,90
15,T15,T15,Brian Gay,26,252.2,535570.0,59
16,T17,T17,Chris Couch,21,252.3,1562202.0,172
17,T17,T17,Jimmy Walker,24,252.3,1335064.0,147
18,19,19,Matt Kuchar,24,252.5,1163424.0,128
19,T20,T20,Jason Dufner,23,252.7,927792.0,102
20,T20,T20,Camilo Villegas,25,252.7,918657.0,101
21,22,22,Lucas Glover,23,252.8,1073733.0,118
22,T23,T23,Jason Bohn,22,252.9,1101740.0,121
23,T23,T23,Robert Karlsson,18,252.9,874156.0,96
24,T25,T25,Tom Gillis,19,253.1,847376.0,93
25,T25,T25,Steve Marino,23,253.1,1148211.0,126
