,Approaches_from_50-75_yards_Rgh_RANK THIS WEEK,Approaches_from_50-75_yards_Rgh_RANK LAST WEEK,Approaches_from_50-75_yards_Rgh_PLAYER NAME,Approaches_from_50-75_yards_Rgh_ROUNDS,Approaches_from_50-75_yards_Rgh_AVG,Approaches_from_50-75_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_Rgh_# OF ATTEMPTS,Approaches_from_50-75_yards_Rgh_RELATIVE TO PAR
0,1,1,Marc Turnesa,54,"10' 2""",20.25,2,-1
1,2,2,Ricky Barnes,78,"10' 9""",129.417,12,-2
2,3,3,Chad Campbell,99,"12' 7""",113.333,9,+3
3,4,4,Phil Mickelson,79,"13' 4""",93.333,7,-1
4,5,5,Shane Bertsch,62,"13' 5""",40.25,3,-1
5,6,6,Josh Teater,104,"13' 7""",217.583,16,+1
6,7,7,Harrison Frazar,58,"14' 1""",84.5,6,+1
7,8,8,Tim Petrovic,88,"14' 3""",156.417,11,-2
8,9,9,Stewart Cink,72,"14' 4""",129.167,9,-4
9,10,10,Bobby Gates,82,"14' 9""",118.0,8,E
10,11,11,Rod Pampling,72,"14' 10""",88.75,6,-2
11,12,12,Michael Connell,76,"14' 11""",104.5,7,+5
12,13,13,Steve Stricker,70,"15' 2""",45.5,3,-1
13,14,14,Ben Curtis,66,"15' 3""",121.917,8,+1
14,T15,T15,Freddie Jacobson,92,"15' 5""",215.583,14,-1
15,T15,T15,Zach Johnson,79,"15' 5""",77.0,5,+2
16,T17,T17,Rich Beem,53,"15' 7""",46.667,3,E
17,T17,T17,Sung Kang,63,"15' 7""",140.083,9,+3
18,19,19,Billy Horschel,75,"15' 8""",109.667,7,+2
19,20,20,Justin Leonard,82,"15' 9""",110.25,7,+7
20,T21,T21,Brian Davis,105,"16' 0""",240.333,15,+4
21,T21,T21,Dustin Johnson,72,"16' 0""",95.75,6,+1
22,T21,T21,Boo Weekley,66,"16' 0""",159.917,10,E
23,24,24,Chris Couch,73,"16' 2""",162.0,10,+6
24,25,25,Tom Gillis,55,"16' 4""",179.25,11,+3
25,T26,T26,Blake Adams,116,"16' 5""",229.667,14,+1
26,T26,T26,Richard Johnson,64,"16' 5""",65.667,4,+1
27,28,28,Aaron Baddeley,77,"16' 6""",330.167,20,-1
28,T29,T29,Martin Laird,77,"16' 9""",167.667,10,-5
29,T29,T29,Alexandre Rocha,65,"16' 9""",50.333,3,E
30,T31,T31,Hunter Haas,96,"17' 0""",237.917,14,+2
31,T31,T31,D.A. Points,89,"17' 0""",170.167,10,+3
32,33,33,Paul Goydos,81,"17' 5""",243.5,14,+6
33,34,34,Brandt Snedeker,85,"17' 10""",178.083,10,+2
34,35,35,Justin Rose,79,"17' 11""",161.0,9,E
