,Going_for_the_Green_RANK THIS WEEK,Going_for_the_Green_RANK LAST WEEK,Going_for_the_Green_PLAYER NAME,Going_for_the_Green_ROUNDS,Going_for_the_Green_%,Going_for_the_Green_ATTEMPTS,Going_for_the_Green_NON-ATTEMPTS,Going_for_the_Green_RTP-GOING FOR THE GREEN,Going_for_the_Green_RTP-NOT GOING FOR THE GRN
0,1,1,Bubba Watson,85,74.04,174,61,-121,+2
1,2,2,Robert Garrigus,83,72.69,197,74,-107,+5
2,3,3,Boo Weekley,66,71.14,143,58,-76,+4
3,4,4,Jhonattan Vegas,84,70.66,183,76,-101,+4
4,5,5,Chris Couch,73,70.59,168,70,-102,-2
5,6,6,Sergio Garcia,61,69.87,109,47,-62,+3
6,7,7,Gary Woodland,93,69.84,176,76,-106,+23
7,8,8,Dustin Johnson,72,69.52,146,64,-94,+11
8,9,9,Charley Hoffman,93,69.1,208,93,-126,+13
9,10,10,Aaron Baddeley,77,68.3,153,71,-91,-6
10,11,11,Ángel Cabrera,50,68.0,85,40,-49,-4
11,12,12,Nick Watney,80,67.86,152,72,-91,-4
12,13,13,Adam Scott,60,67.08,108,53,-71,+1
13,14,14,Scott Piercy,78,66.95,158,78,-77,E
14,15,15,J.B. Holmes,57,66.32,126,64,-76,-8
15,16,16,Steven Bowditch,86,66.31,185,94,-109,-3
16,17,17,Bo Van Pelt,92,66.14,168,86,-92,-11
17,18,18,Bill Haas,93,65.17,174,93,-98,-8
18,19,19,Tag Ridings,87,65.1,166,89,-86,+9
19,20,20,D.J. Trahan,91,64.85,190,103,-104,+5
20,21,21,Kyle Stanley,98,64.69,185,101,-114,-6
21,22,22,Phil Mickelson,79,64.6,146,80,-99,E
22,23,23,Jason Day,76,63.98,135,76,-83,+3
23,24,24,Martin Laird,77,63.93,156,88,-90,-5
24,25,25,Jeff Overton,92,63.71,165,94,-83,-6
25,26,26,Webb Simpson,98,62.12,182,111,-126,-24
26,27,27,Andres Romero,77,61.85,154,95,-99,+11
27,28,28,Josh Teater,104,61.66,201,125,-129,+1
28,29,29,John Senden,94,61.33,184,116,-99,+2
29,30,30,Ryan Palmer,82,60.83,146,94,-76,+2
30,31,31,Jonathan Byrd,83,60.23,159,105,-104,-11
31,32,32,Ryan Moore,79,60.18,136,90,-59,-9
32,T33,T33,Kevin Chappell,78,60.0,135,90,-72,+9
33,T33,T33,Tom Gillis,55,60.0,93,62,-38,-4
34,T33,T33,Rod Pampling,72,60.0,120,80,-64,-3
35,36,36,Joseph Bramlett,73,59.91,130,87,-63,+2
