,GIR_Percentage_-_125-150_yards_RANK THIS WEEK,GIR_Percentage_-_125-150_yards_RANK LAST WEEK,GIR_Percentage_-_125-150_yards_PLAYER NAME,GIR_Percentage_-_125-150_yards_ROUNDS,GIR_Percentage_-_125-150_yards_%,GIR_Percentage_-_125-150_yards_GREENS HIT,GIR_Percentage_-_125-150_yards_TOTAL HOLES,GIR_Percentage_-_125-150_yards_RELATIVE TO PAR
0,1,1,William McGirt,103,81.27,256,315,-0.23
1,2,2,Rory Sabbatini,85,80.59,137,170,-0.21
2,3,3,Nick O'Hern,89,79.15,167,211,-0.24
3,4,4,Sergio Garcia,61,78.99,109,138,-0.23
4,5,5,Jim Furyk,87,78.68,155,197,-0.21
5,6,6,Luke Donald,73,78.43,120,153,-0.25
6,7,7,Briny Baird,60,78.31,130,166,-0.25
7,8,8,Retief Goosen,50,78.29,101,129,-0.27
8,9,9,Hunter Haas,96,77.87,197,253,-0.23
9,10,10,David Toms,78,77.78,140,180,-0.24
10,11,11,Adam Scott,60,77.7,115,148,-0.25
11,12,12,Alexandre Rocha,65,77.22,122,158,-0.18
12,13,13,Spencer Levin,113,77.03,218,283,-0.23
13,14,14,Jim Renner,65,76.88,133,173,-0.16
14,T15,T15,Ian Poulter,52,76.52,88,115,-0.3
15,T15,T15,John Senden,94,76.52,202,264,-0.24
16,17,17,Mark Wilson,89,75.81,141,186,-0.19
17,18,18,Aaron Baddeley,77,75.71,134,177,-0.24
18,19,19,Gary Woodland,93,75.45,169,224,-0.25
19,20,20,Ryuji Imada,83,75.44,172,228,-0.22
20,21,21,Chris Kirk,87,75.39,193,256,-0.21
21,22,22,Andres Gonzales,60,75.33,113,150,-0.19
22,23,23,Johnson Wagner,81,75.25,152,202,-0.19
23,24,24,Lucas Glover,74,75.12,154,205,-0.27
24,25,25,Michael Bradley,74,74.86,137,183,-0.17
25,26,26,Vijay Singh,79,74.67,168,225,-0.26
26,27,27,Brian Davis,105,74.62,194,260,-0.22
27,T28,T28,Brendon de Jonge,105,74.47,210,282,-0.31
28,T28,T28,Joe Durant,71,74.47,140,188,-0.14
29,30,30,Vaughn Taylor,89,74.46,172,231,-0.26
30,31,31,Phil Mickelson,79,74.4,125,168,-0.21
31,T32,T32,Jonathan Byrd,83,74.34,168,226,-0.23
32,T32,T32,Tom Gillis,55,74.34,113,152,-0.13
33,34,34,Robert Allenby,84,74.3,159,214,-0.25
34,35,35,Trevor Immelman,84,74.29,130,175,-0.15
35,36,36,Sung Kang,63,74.23,121,163,-0.17
36,37,37,Ben Crane,76,74.21,141,190,-0.23
37,38,38,Rocco Mediate,53,74.19,92,124,-0.21
38,39,39,Camilo Villegas,69,74.13,149,201,-0.17
39,T40,T40,Jason Bohn,74,74.09,143,193,-0.19
40,T40,T40,Matt Kuchar,94,74.09,143,193,-0.34
41,42,42,Chris Riley,76,74.06,157,212,-0.12
42,43,43,Chez Reavie,92,73.85,192,260,-0.26
43,44,44,Cameron Tringale,110,73.78,211,286,-0.17
44,T45,T45,Kent Jones,76,73.71,143,194,-0.15
45,T45,T45,D.J. Trahan,91,73.71,185,251,-0.21
46,47,47,John Merrick,71,73.59,170,231,-0.22
47,48,48,Jerry Kelly,85,73.58,142,193,-0.22
48,49,49,Bubba Watson,85,73.46,119,162,-0.09
49,50,50,Davis Love III,70,73.41,127,173,-0.2
50,51,51,Sean O'Hair,71,73.37,146,199,-0.16
51,52,52,Chris Stroud,88,73.36,168,229,-0.22
52,53,53,Hunter Mahan,92,73.33,165,225,-0.3
53,54,54,Brandt Jobe,100,73.29,203,277,-0.22
54,55,55,John Rollins,85,73.25,178,243,-0.26
55,56,56,Bill Haas,93,73.21,164,224,-0.26
56,57,57,Shane Bertsch,62,73.17,120,164,-0.32
57,58,58,Tim Herron,85,73.08,171,234,-0.17
58,59,59,Rod Pampling,72,73.06,160,219,-0.26
59,60,60,Woody Austin,59,72.99,100,137,-0.27
60,61,61,J.J. Henry,96,72.98,181,248,-0.21
61,62,62,Ernie Els,71,72.93,132,181,-0.14
62,63,63,Ryan Moore,79,72.88,129,177,-0.26
63,T64,T64,Anthony Kim,72,72.78,115,158,-0.24
64,T64,T64,Troy Merritt,63,72.78,115,158,-0.23
65,66,66,Y.E. Yang,63,72.73,96,132,-0.15
66,67,67,Kris Blanks,92,72.51,182,251,-0.13
67,T68,T68,Blake Adams,116,72.5,232,320,-0.22
68,T68,T68,Richard Johnson,64,72.5,116,160,-0.24
69,T68,T68,Boo Weekley,66,72.5,145,200,-0.08
70,71,71,Heath Slocum,89,72.41,168,232,-0.17
71,72,72,Chad Campbell,99,72.4,202,279,-0.21
72,73,73,Bryce Molder,82,72.28,146,202,-0.25
73,74,74,Webb Simpson,98,72.22,182,252,-0.25
74,75,75,Chris DiMarco,93,72.2,161,223,-0.22
75,76,76,Kevin Streelman,90,72.18,179,248,-0.18
76,77,77,Charlie Wi,83,72.17,153,212,-0.31
77,78,78,Shaun Micheel,77,72.09,155,215,-0.15
78,79,79,Stephen Ames,69,72.04,152,211,-0.2
79,80,80,Padraig Harrington,60,72.0,90,125,-0.21
80,81,81,Charl Schwartzel,58,71.85,97,135,-0.25
81,T82,T82,Paul Goydos,81,71.58,136,190,-0.26
82,T82,T82,Michael Putnam,67,71.58,131,183,-0.21
83,84,84,Rickie Fowler,84,71.5,143,200,-0.27
84,85,85,David Hearn,88,71.43,200,280,-0.19
85,86,86,Fabián Gómez,84,71.37,162,227,-0.18
86,87,87,Charles Howell III,108,71.33,204,286,-0.17
87,T88,T88,Stewart Cink,72,71.23,104,146,-0.21
88,T88,T88,Jason Dufner,78,71.23,151,212,-0.23
89,90,90,Michael Connell,76,71.18,163,229,-0.16
90,91,91,Billy Horschel,75,71.09,150,211,-0.2
91,92,92,David Mathis,83,70.98,159,224,-0.25
92,93,93,Tommy Gainey,104,70.95,232,327,-0.24
93,94,94,Ricky Barnes,78,70.91,156,220,-0.18
94,T95,T95,Matt Bettencourt,84,70.87,163,230,-0.2
95,T95,T95,Bobby Gates,82,70.87,146,206,-0.19
96,T95,T95,Brendan Steele,89,70.87,163,230,-0.2
97,98,98,Dean Wilson,62,70.83,119,168,-0.24
98,99,99,Justin Rose,79,70.72,128,181,-0.31
99,100,100,Steve Stricker,70,70.67,106,150,-0.37
100,101,101,Bill Lunde,92,70.52,177,251,-0.27
101,102,102,James Driscoll,71,70.47,136,193,-0.18
102,103,103,Carl Pettersson,95,70.46,198,281,-0.27
103,T104,T104,Kevin Stadler,88,70.14,155,221,-0.27
104,T104,T104,Scott Stallings,84,70.14,155,221,-0.21
105,T106,T106,Dustin Johnson,72,70.05,131,187,-0.21
106,T106,T106,Justin Leonard,82,70.05,152,217,-0.19
107,108,108,Nathan Green,81,69.85,139,199,-0.32
108,109,109,Kyle Stanley,98,69.8,171,245,-0.19
109,110,110,Scott Piercy,78,69.74,136,195,-0.25
110,111,111,Greg Chalmers,88,69.72,152,218,-0.27
111,112,112,Arjun Atwal,91,69.66,186,267,-0.28
112,113,113,D.J. Brigman,67,69.61,126,181,-0.17
113,T114,T114,J.P. Hayes,56,69.59,103,148,-0.12
114,T114,T114,George McNeill,69,69.59,119,171,-0.2
115,116,116,Jhonattan Vegas,84,69.51,155,223,-0.12
