,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,J.B. Holmes,57,24.04,25,104
1,2,2,Rickie Fowler,84,22.73,25,110
2,3,3,Bubba Watson,85,21.62,24,111
3,4,4,Aaron Baddeley,77,21.6,27,125
4,5,5,Steve Stricker,70,21.43,21,98
5,6,6,Trevor Immelman,84,21.24,24,113
6,7,7,Scott Piercy,78,20.0,23,115
7,8,8,Brandt Snedeker,85,19.85,26,131
8,9,9,Ryan Palmer,82,19.67,24,122
9,10,10,John Rollins,85,19.48,15,77
10,11,11,Vijay Singh,79,19.38,25,129
11,12,12,Steve Elkington,50,19.05,8,42
12,13,13,Matt Kuchar,94,18.9,24,127
13,14,14,Steve Marino,76,18.87,20,106
14,15,15,Steven Bowditch,86,18.78,37,197
15,T16,T16,Cameron Beckman,71,18.7,23,123
16,T16,T16,Phil Mickelson,79,18.7,23,123
17,18,18,Robert Garrigus,83,18.66,25,134
18,19,19,J.P. Hayes,56,18.42,14,76
19,20,20,Martin Laird,77,18.28,17,93
20,T21,T21,Tommy Gainey,104,18.18,30,165
21,T21,T21,Padraig Harrington,60,18.18,18,99
22,T21,T21,Andres Romero,77,18.18,24,132
23,24,24,Retief Goosen,50,18.03,11,61
24,25,25,Joseph Bramlett,73,18.0,18,100
25,26,26,Marc Turnesa,54,17.91,12,67
26,T27,T27,Ian Poulter,52,17.86,10,56
27,T27,T27,Y.E. Yang,63,17.86,15,84
28,29,29,Andres Gonzales,60,17.81,13,73
29,T30,T30,Zack Miller,86,17.8,21,118
30,T30,T30,Nick Watney,80,17.8,21,118
31,32,32,Woody Austin,59,17.72,14,79
32,33,33,Brian Davis,105,17.53,17,97
33,T34,T34,Stephen Ames,69,17.5,14,80
34,T34,T34,James Driscoll,71,17.5,21,120
35,36,36,Jim Herman,69,17.24,20,116
36,37,37,Michael Bradley,74,17.19,22,128
37,38,38,Chris Couch,73,17.14,18,105
38,39,39,D.J. Trahan,91,17.01,25,147
39,40,40,Matt Bettencourt,84,16.99,26,153
40,41,41,Hunter Mahan,92,16.96,19,112
41,42,42,Kevin Kisner,70,16.67,19,114
42,43,43,Tag Ridings,87,16.55,24,145
43,44,44,Brian Gay,90,16.46,13,79
44,45,45,Adam Scott,60,16.44,12,73
45,T46,T46,Jonathan Byrd,83,16.42,22,134
46,T46,T46,Joe Ogilvie,75,16.42,22,134
47,48,48,Lucas Glover,74,16.38,19,116
48,49,49,Jhonattan Vegas,84,16.15,26,161
49,T50,T50,Ricky Barnes,78,16.13,20,124
50,T50,T50,Justin Rose,79,16.13,15,93
51,52,52,Fabián Gómez,84,16.07,18,112
52,53,53,Ben Curtis,66,16.04,17,106
53,54,54,Rich Beem,53,16.0,12,75
54,T55,T55,Charles Howell III,108,15.87,20,126
55,T55,T55,David Toms,78,15.87,10,63
56,57,57,Kyle Stanley,98,15.83,19,120
57,58,58,Ben Crane,76,15.79,12,76
58,59,59,Kevin Na,84,15.72,25,159
59,60,60,Camilo Villegas,69,15.66,13,83
60,T61,T61,Marc Leishman,87,15.63,20,128
61,T61,T61,Matt McQuillan,59,15.63,10,64
62,63,63,Cameron Tringale,110,15.58,24,154
63,64,64,Roland Thatcher,67,15.57,19,122
64,65,65,Dustin Johnson,72,15.46,15,97
65,66,66,Alex Cejka,59,15.28,11,72
66,67,67,Lee Janzen,62,15.15,15,99
67,T68,T68,Hunter Haas,96,15.09,24,159
68,T68,T68,Rory Sabbatini,85,15.09,16,106
69,70,70,Shane Bertsch,62,15.07,11,73
70,71,71,Paul Stankowski,78,15.0,21,140
71,72,72,Chris Kirk,87,14.89,21,141
72,73,73,Davis Love III,70,14.85,15,101
73,74,74,Troy Matteson,91,14.69,21,143
74,75,75,Charley Hoffman,93,14.53,17,117
75,76,76,Sergio Garcia,61,14.46,12,83
76,77,77,William McGirt,103,14.45,25,173
77,78,78,Ryan Moore,79,14.42,15,104
78,T79,T79,Ángel Cabrera,50,14.29,13,91
79,T79,T79,Pat Perez,76,14.29,15,105
80,T79,T79,Bo Van Pelt,92,14.29,17,119
81,82,82,Heath Slocum,89,14.02,15,107
