,GIR_Percentage_from_Other_than_Fairway_RANK THIS WEEK,GIR_Percentage_from_Other_than_Fairway_RANK LAST WEEK,GIR_Percentage_from_Other_than_Fairway_PLAYER NAME,GIR_Percentage_from_Other_than_Fairway_ROUNDS,GIR_Percentage_from_Other_than_Fairway_%,GIR_Percentage_from_Other_than_Fairway_GREENS HIT,GIR_Percentage_from_Other_than_Fairway_# OF HOLES
0,1,1,Bubba Watson,85,58.82,280,476
1,2,2,Ben Crane,76,58.28,197,338
2,3,3,Bill Haas,93,57.78,271,469
3,4,4,D.J. Trahan,91,57.65,294,510
4,5,5,Dustin Johnson,72,57.61,246,427
5,6,6,Phil Mickelson,79,57.14,288,504
6,7,7,Gary Woodland,93,57.09,310,543
7,8,8,Davis Love III,70,56.42,224,397
8,9,9,Jim Herman,69,56.4,207,367
9,10,10,Steve Stricker,70,56.32,205,364
10,11,11,Boo Weekley,66,56.25,162,288
11,12,12,Robert Garrigus,83,55.94,306,547
12,13,13,William McGirt,103,55.9,303,542
13,14,14,J.B. Holmes,57,55.77,198,355
14,15,15,Billy Mayfair,94,55.65,207,372
15,16,16,Ricky Barnes,78,55.43,250,451
16,17,17,Jhonattan Vegas,84,55.42,281,507
17,18,18,Kyle Stanley,98,55.31,281,508
18,19,19,John Rollins,85,55.09,211,383
19,20,20,Charles Howell III,108,54.94,339,617
20,21,21,Sergio Garcia,61,54.9,196,357
21,22,22,Webb Simpson,98,54.81,285,520
22,23,23,Bo Van Pelt,92,54.8,251,458
23,24,24,Charley Hoffman,93,54.71,279,510
24,25,25,Martin Laird,77,54.67,240,439
25,26,26,Nick Watney,80,54.57,245,449
26,27,27,John Senden,94,54.48,237,435
27,28,28,Chad Campbell,99,54.44,270,496
28,29,29,Aaron Baddeley,77,54.41,253,465
29,30,30,Rickie Fowler,84,54.38,267,491
30,31,31,Bill Lunde,92,54.18,259,478
31,32,32,Josh Teater,104,54.08,285,527
32,33,33,Scott Stallings,84,54.06,253,468
33,34,34,Heath Slocum,89,54.05,167,309
34,T35,T35,Hunter Haas,96,53.98,251,465
35,T35,T35,Chris Kirk,87,53.98,285,528
36,37,37,Jason Dufner,78,53.91,200,371
37,38,38,Stephen Ames,69,53.9,159,295
38,39,39,Kris Blanks,92,53.78,249,463
