,Approaches_Left_Rough_RTP_Score_RANK THIS WEEK,Approaches_Left_Rough_RTP_Score_RANK LAST WEEK,Approaches_Left_Rough_RTP_Score_PLAYER NAME,Approaches_Left_Rough_RTP_Score_ROUNDS,Approaches_Left_Rough_RTP_Score_AVG RTP
0,1,1,Matt Kuchar,94,-.039
1,2,2,Rickie Fowler,84,-.036
2,3,3,Trevor Immelman,84,-.035
3,4,4,Robert Garrigus,83,-.015
4,5,5,J.B. Holmes,57,-.010
5,6,6,Charles Howell III,108,-.008
6,T7,T7,Martin Laird,77,E
7,T7,T7,Steve Marino,76,E
8,T7,T7,Phil Mickelson,79,E
9,T7,T7,Bubba Watson,85,E
10,11,11,Y.E. Yang,63,+.012
11,T12,T12,Vijay Singh,79,+.023
12,T12,T12,Brandt Snedeker,85,+.023
13,14,14,Bryce Molder,82,+.028
14,15,15,Davis Love III,70,+.030
15,16,16,Scott Piercy,78,+.035
16,17,17,Ian Poulter,52,+.036
17,18,18,John Rollins,85,+.039
18,19,19,Padraig Harrington,60,+.040
19,20,20,Steve Stricker,70,+.041
20,21,21,Chris Couch,73,+.048
21,22,22,Ryan Palmer,82,+.049
22,23,23,Brian Gay,90,+.051
23,24,24,Bill Haas,93,+.055
24,25,25,Aaron Baddeley,77,+.056
25,T26,T26,James Driscoll,71,+.058
26,T26,T26,William McGirt,103,+.058
27,28,28,Luke Donald,73,+.059
28,T29,T29,Joseph Bramlett,73,+.060
29,T29,T29,Jonathan Byrd,83,+.060
30,31,31,Bo Van Pelt,92,+.067
31,32,32,Nick Watney,80,+.068
32,T33,T33,Greg Chalmers,88,+.069
33,T33,T33,Kevin Na,84,+.069
34,T35,T35,Ryuji Imada,83,+.075
35,T35,T35,Marc Turnesa,54,+.075
36,T37,T37,J.P. Hayes,56,+.079
37,T37,T37,David Toms,78,+.079
38,T39,T39,Hunter Mahan,92,+.080
39,T39,T39,Sean O'Hair,71,+.080
40,41,41,Robert Allenby,84,+.081
41,42,42,Retief Goosen,50,+.082
42,T43,T43,Sergio Garcia,61,+.084
43,T43,T43,Camilo Villegas,69,+.084
44,45,45,Ryan Moore,79,+.087
45,46,46,Stephen Ames,69,+.088
46,T47,T47,Stewart Cink,72,+.092
47,T47,T47,Chris Kirk,87,+.092
48,T47,T47,George McNeill,69,+.092
49,50,50,Jhonattan Vegas,84,+.093
50,T51,T51,Steve Elkington,50,+.095
51,T51,T51,Jim Herman,69,+.095
52,T53,T53,Alex Cejka,59,+.097
53,T53,T53,Justin Rose,79,+.097
54,T55,T55,J.J. Henry,96,+.099
55,T55,T55,Carl Pettersson,95,+.099
56,57,57,Paul Stankowski,78,+.100
57,T58,T58,Tommy Gainey,104,+.103
58,T58,T58,Lucas Glover,74,+.103
59,T60,T60,Ricky Barnes,78,+.105
60,T60,T60,Ben Crane,76,+.105
61,62,62,Scott McCarron,65,+.107
62,63,63,Robert Karlsson,61,+.108
63,64,64,Marc Leishman,87,+.109
64,T65,T65,Geoff Ogilvy,69,+.111
65,T65,T65,John Senden,94,+.111
66,T67,T67,Jason Dufner,78,+.112
67,T67,T67,Matt Jones,71,+.112
68,T67,T67,Heath Slocum,89,+.112
69,T70,T70,Brian Davis,105,+.113
70,T70,T70,Dustin Johnson,72,+.113
71,72,72,Cameron Tringale,110,+.117
72,73,73,Charley Hoffman,93,+.120
73,74,74,Jason Day,76,+.121
74,75,75,David Mathis,83,+.124
75,76,76,Michael Bradley,74,+.125
76,77,77,Shaun Micheel,77,+.127
77,T78,T78,D.J. Trahan,91,+.129
78,T78,T78,Johnson Wagner,81,+.129
79,80,80,Gary Woodland,93,+.130
80,81,81,Kevin Kisner,70,+.132
81,82,82,Shane Bertsch,62,+.137
82,83,83,Hunter Haas,96,+.138
83,84,84,Nathan Green,81,+.140
84,85,85,Webb Simpson,98,+.142
85,86,86,Billy Mayfair,94,+.143
86,T87,T87,Matt Bettencourt,84,+.144
87,T87,T87,Freddie Jacobson,92,+.144
88,T87,T87,Zack Miller,86,+.144
89,T87,T87,Chris Stroud,88,+.144
90,91,91,Jerry Kelly,85,+.145
91,92,92,Troy Matteson,91,+.147
92,T93,T93,Richard Johnson,64,+.149
93,T93,T93,Joe Ogilvie,75,+.149
94,T93,T93,Alexandre Rocha,65,+.149
95,96,96,Kyle Stanley,98,+.150
96,T97,T97,Ben Curtis,66,+.151
97,T97,T97,Brendon de Jonge,105,+.151
98,T97,T97,Andres Gonzales,60,+.151
99,T97,T97,Rory Sabbatini,85,+.151
100,101,101,Steven Bowditch,86,+.152
101,102,102,Tim Herron,85,+.153
102,103,103,Ángel Cabrera,50,+.154
103,T104,T104,D.J. Brigman,67,+.157
104,T104,T104,Jeff Overton,92,+.157
105,106,106,Kris Blanks,92,+.159
106,107,107,Pat Perez,76,+.162
107,108,108,Adam Scott,60,+.164
108,T109,T109,Harrison Frazar,58,+.165
109,T109,T109,Chez Reavie,92,+.165
110,T111,T111,Colt Knost,80,+.167
111,T111,T111,Kevin Streelman,90,+.167
112,T111,T111,Josh Teater,104,+.167
113,114,114,Rod Pampling,72,+.168
114,115,115,Charl Schwartzel,58,+.169
115,T116,T116,Fabián Gómez,84,+.170
116,T116,T116,Kent Jones,76,+.170
117,T116,T116,Nick O'Hern,89,+.170
118,119,119,Blake Adams,116,+.171
119,T120,T120,Spencer Levin,113,+.172
120,T120,T120,Roland Thatcher,67,+.172
121,T120,T120,Garrett Willis,71,+.172
122,123,123,Jason Bohn,74,+.174
123,124,124,Bio Kim,71,+.175
124,T125,T125,Justin Leonard,82,+.178
125,T125,T125,Bill Lunde,92,+.178
126,T127,T127,Stuart Appleby,65,+.179
127,T127,T127,Briny Baird,60,+.179
128,T127,T127,Cameron Beckman,71,+.179
129,T127,T127,Chris DiMarco,93,+.179
130,131,131,Daniel Summerhays,75,+.181
131,T132,T132,Troy Merritt,63,+.183
132,T132,T132,Scott Stallings,84,+.183
133,134,134,Kevin Stadler,88,+.185
134,T135,T135,Ernie Els,71,+.186
135,T135,T135,Anthony Kim,72,+.186
