,Average_Approach_Distance_-_Par_RANK THIS WEEK,Average_Approach_Distance_-_Par_RANK LAST WEEK,Average_Approach_Distance_-_Par_PLAYER NAME,Average_Approach_Distance_-_Par_ROUNDS,Average_Approach_Distance_-_Par_AVG (YARDS),Average_Approach_Distance_-_Par_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Par_NUMBER OF APPROACH SHOTS
0,1,1,Alex Prugh,82,155.0,4345432.0,779
1,2,2,J.B. Holmes,57,156.4,2848427.0,506
2,3,3,Martin Piller,63,156.6,3224284.0,572
3,4,4,Joe Ogilvie,75,156.8,3787923.0,671
4,5,5,Chris Riley,76,157.5,4548063.0,802
5,6,6,Harrison Frazar,58,157.9,2570161.0,452
6,7,7,Scott Stallings,84,158.3,4369611.0,767
7,8,8,Heath Slocum,89,158.4,4944852.0,867
8,9,9,Bio Kim,71,158.5,3542878.0,621
9,T10,T10,Jim Renner,65,158.6,3415144.0,598
10,T10,T10,Will Strickler,51,158.6,2614288.0,458
11,12,12,Chris Kirk,87,158.9,4886631.0,854
12,13,13,Brian Gay,90,159.0,4986590.0,871
13,14,14,David Hearn,88,159.2,5102360.0,890
14,15,15,Vijay Singh,79,159.4,4607637.0,803
15,T16,T16,Michael Bradley,74,159.5,3875928.0,675
16,T16,T16,Justin Hicks,60,159.5,2813634.0,490
17,T16,T16,Chris Stroud,88,159.5,5109640.0,890
18,19,19,Jim Herman,69,159.6,3751481.0,653
19,20,20,Rocco Mediate,53,159.7,3018856.0,525
20,21,21,Billy Horschel,75,159.9,3970773.0,690
21,T22,T22,Stephen Ames,69,160.0,4082581.0,709
22,T22,T22,Dustin Johnson,72,160.0,3162456.0,549
23,T22,T22,Kevin Kisner,70,160.0,3645842.0,633
24,T22,T22,Kevin Streelman,90,160.0,4779394.0,830
25,T26,T26,Andres Gonzales,60,160.1,2934128.0,509
26,T26,T26,Paul Stankowski,78,160.1,4243217.0,736
27,T28,T28,J.P. Hayes,56,160.2,3113794.0,540
28,T28,T28,Adam Scott,60,160.2,2848644.0,494
29,T30,T30,Trevor Immelman,84,160.3,4702871.0,815
30,T30,T30,Jhonattan Vegas,84,160.3,4357971.0,755
