,Approach__275_yards_RTP_RANK THIS WEEK,Approach__275_yards_RTP_RANK LAST WEEK,Approach__275_yards_RTP_PLAYER NAME,Approach__275_yards_RTP_ROUNDS,Approach__275_yards_RTP_AVG RTP
0,1,1,Davis Love III,70,-.889
1,2,2,Pat Perez,76,-.875
2,3,3,Kevin Na,84,-.813
3,T4,T4,Ben Crane,76,-.800
4,T4,T4,J.B. Holmes,57,-.800
5,T4,T4,Trevor Immelman,84,-.800
6,T7,T7,Phil Mickelson,79,-.750
7,T7,T7,Martin Piller,63,-.750
8,9,9,Justin Rose,79,-.727
9,10,10,Hunter Haas,96,-.722
10,T11,T11,Alex Cejka,59,-.714
11,T11,T11,Heath Slocum,89,-.714
12,13,13,Keegan Bradley,91,-.708
13,14,14,D.J. Brigman,67,-.706
14,T15,T15,Andres Gonzales,60,-.700
15,T15,T15,Bubba Watson,85,-.700
16,T17,T17,Steve Flesch,88,-.692
17,T17,T17,Bio Kim,71,-.692
18,19,19,Kevin Chappell,78,-.688
19,20,20,Billy Mayfair,94,-.676
20,T21,T21,Rickie Fowler,84,-.667
21,T21,T21,Matt Kuchar,94,-.667
22,T21,T21,Justin Leonard,82,-.667
23,T21,T21,Steve Marino,76,-.667
24,T21,T21,Bryce Molder,82,-.667
25,T21,T21,Brendan Steele,89,-.667
26,T21,T21,Nick Watney,80,-.667
27,T21,T21,Y.E. Yang,63,-.667
28,T29,T29,Jason Bohn,74,-.643
29,T29,T29,Joe Ogilvie,75,-.643
30,T31,T31,Retief Goosen,50,-.636
31,T31,T31,Adam Scott,60,-.636
32,T31,T31,Brandt Snedeker,85,-.636
33,34,34,Ángel Cabrera,50,-.625
34,35,35,Lucas Glover,74,-.615
35,36,36,Rod Pampling,72,-.609
36,T37,T37,Jim Renner,65,-.600
37,T37,T37,Steve Stricker,70,-.600
38,T39,T39,Tommy Gainey,104,-.588
39,T39,T39,Bo Van Pelt,92,-.588
40,T41,T41,Sergio Garcia,61,-.583
41,T41,T41,Charles Howell III,108,-.583
42,T41,T41,Aron Price,58,-.583
43,T41,T41,Charlie Wi,83,-.583
44,T45,T45,D.A. Points,89,-.579
45,T45,T45,Roland Thatcher,67,-.579
46,T47,T47,Woody Austin,59,-.571
47,T47,T47,Sung Kang,63,-.571
48,T47,T47,Will Strickler,51,-.571
49,T47,T47,Camilo Villegas,69,-.571
50,51,51,Brendon de Jonge,105,-.565
51,T52,T52,Tom Gillis,55,-.556
52,T52,T52,Padraig Harrington,60,-.556
53,T52,T52,Matt McQuillan,59,-.556
54,T52,T52,David Toms,78,-.556
55,T56,T56,Chris Couch,73,-.545
56,T56,T56,Dean Wilson,62,-.545
