,GIR_Percentage_-_150-175_yards_RANK THIS WEEK,GIR_Percentage_-_150-175_yards_RANK LAST WEEK,GIR_Percentage_-_150-175_yards_PLAYER NAME,GIR_Percentage_-_150-175_yards_ROUNDS,GIR_Percentage_-_150-175_yards_%,GIR_Percentage_-_150-175_yards_GREENS HIT,GIR_Percentage_-_150-175_yards_TOTAL HOLES,GIR_Percentage_-_150-175_yards_RELATIVE TO PAR
0,1,1,Chad Campbell,99,73.84,271,367,-0.14
1,2,2,David Toms,78,72.94,159,218,-0.2
2,3,3,Briny Baird,60,72.14,145,201,-0.13
3,4,4,Ben Curtis,66,71.65,187,261,-0.15
4,5,5,Ernie Els,71,71.18,163,229,-0.2
5,T6,T6,Joe Durant,71,70.72,186,263,-0.16
6,T6,T6,Padraig Harrington,60,70.72,128,181,-0.2
7,8,8,Johnson Wagner,81,70.59,204,289,-0.21
8,9,9,Luke Donald,73,70.39,145,206,-0.25
9,10,10,Joseph Bramlett,73,70.27,182,259,-0.08
10,11,11,Bill Lunde,92,70.1,218,311,-0.15
11,12,12,Heath Slocum,89,69.93,200,286,-0.16
12,13,13,Bubba Watson,85,69.86,146,209,-0.14
13,14,14,Matt Kuchar,94,69.71,191,274,-0.18
14,15,15,Billy Horschel,75,69.68,154,221,-0.16
15,16,16,Paul Stankowski,78,69.55,185,266,-0.16
16,17,17,Kris Blanks,92,69.45,241,347,-0.17
17,T18,T18,John Senden,94,69.23,207,299,-0.16
18,T18,T18,Webb Simpson,98,69.23,216,312,-0.22
19,20,20,Stephen Ames,69,68.97,180,261,-0.18
20,21,21,Boo Weekley,66,68.9,144,209,-0.17
21,22,22,Brandt Jobe,100,68.63,221,322,-0.19
22,23,23,David Hearn,88,68.49,213,311,-0.16
23,24,24,Kyle Stanley,98,68.46,204,298,-0.12
24,25,25,Brendon de Jonge,105,68.41,262,383,-0.23
25,26,26,Zach Johnson,79,68.25,172,252,-0.17
26,27,27,Steve Elkington,50,68.16,122,179,-0.07
27,28,28,Steve Marino,76,68.1,158,232,-0.17
28,29,29,Aron Price,58,67.63,140,207,-0.16
29,30,30,Davis Love III,70,67.59,146,216,-0.12
30,31,31,Paul Goydos,81,67.52,210,311,-0.17
31,32,32,David Mathis,83,67.38,190,282,-0.18
32,33,33,Robert Allenby,84,67.33,202,300,-0.12
33,34,34,Brandt Snedeker,85,67.31,175,260,-0.26
34,35,35,Billy Mayfair,94,67.13,239,356,-0.1
35,36,36,Charles Howell III,108,67.03,246,367,-0.12
36,37,37,Jim Furyk,87,67.02,191,285,-0.17
37,T38,T38,Chris DiMarco,93,66.98,217,324,-0.19
38,T38,T38,Richard Johnson,64,66.98,144,215,-0.12
39,40,40,D.J. Trahan,91,66.97,219,327,-0.14
40,41,41,Michael Bradley,74,66.96,152,227,-0.13
41,42,42,K.J. Choi,77,66.95,156,233,-0.15
42,43,43,Ben Crane,76,66.93,168,251,-0.19
43,44,44,Jerry Kelly,85,66.9,192,287,-0.2
44,T45,T45,Alex Cejka,59,66.85,123,184,-0.19
45,T45,T45,William McGirt,103,66.85,248,371,-0.17
46,T47,T47,Nick O'Hern,89,66.67,206,309,-0.16
47,T47,T47,Carl Pettersson,95,66.67,230,345,-0.2
48,T47,T47,Alexandre Rocha,65,66.67,142,213,-0.18
49,50,50,Justin Hicks,60,66.47,113,170,-0.14
50,51,51,Tim Herron,85,66.35,209,315,-0.17
51,52,52,Kevin Stadler,88,66.31,187,282,-0.17
52,53,53,Martin Piller,63,66.2,141,213,-0.2
53,T54,T54,John Rollins,85,66.19,184,278,-0.17
54,T54,T54,Bo Van Pelt,92,66.19,184,278,-0.15
55,56,56,Tommy Gainey,104,66.18,225,340,-0.14
56,57,57,Trevor Immelman,84,66.06,183,277,-0.14
57,58,58,Jason Bohn,74,65.94,182,276,-0.15
58,T59,T59,Ricky Barnes,78,65.91,174,264,-0.19
59,T59,T59,Troy Merritt,63,65.91,145,220,-0.12
60,61,61,Matt McQuillan,59,65.88,139,211,-0.19
61,T62,T62,Sung Kang,63,65.87,137,208,-0.15
62,T62,T62,Chris Stroud,88,65.87,193,293,-0.19
63,64,64,Gary Woodland,93,65.71,161,245,-0.17
64,65,65,Dustin Johnson,72,65.7,113,172,-0.1
65,T66,T66,Spencer Levin,113,65.67,264,402,-0.11
66,T66,T66,Hunter Mahan,92,65.67,197,300,-0.22
67,68,68,Marc Turnesa,54,65.61,124,189,-0.2
68,69,69,Retief Goosen,50,65.58,101,154,-0.18
69,70,70,Marc Leishman,87,65.5,205,313,-0.13
70,71,71,Woody Austin,59,65.47,146,223,-0.12
71,72,72,Chez Reavie,92,65.13,226,347,-0.14
72,73,73,Justin Leonard,82,64.97,204,314,-0.12
73,74,74,Scott Stallings,84,64.93,174,268,-0.13
