,Approaches_from_inside_100_yards_Rgh_RANK THIS WEEK,Approaches_from_inside_100_yards_Rgh_RANK LAST WEEK,Approaches_from_inside_100_yards_Rgh_PLAYER NAME,Approaches_from_inside_100_yards_Rgh_ROUNDS,Approaches_from_inside_100_yards_Rgh_AVG,Approaches_from_inside_100_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_Rgh_# OF ATTEMPTS,Approaches_from_inside_100_yards_Rgh_RELATIVE TO PAR
0,1,1,Camilo Villegas,69,"15' 9""",361.417,23,E
1,2,2,Freddie Jacobson,92,"16' 9""",518.1669999999999,31,-2
2,T3,T3,Shane Bertsch,62,"17' 0""",237.667,14,E
3,T3,T3,Zach Johnson,79,"17' 0""",340.333,20,+2
4,5,5,Sung Kang,63,"17' 9""",372.167,21,+7
5,6,6,Paul Goydos,81,"17' 11""",733.0,41,+8
6,7,7,Steve Stricker,70,"18' 0""",432.0,24,-5
7,8,8,Luke Donald,73,"18' 5""",147.167,8,-2
8,9,9,Spencer Levin,113,"18' 6""",592.5,32,-1
9,10,10,Hunter Haas,96,"19' 3""",691.8330000000001,36,-2
10,11,11,Martin Laird,77,"19' 10""",495.5,25,-6
11,12,12,Nate Smith,66,"19' 11""",538.5,27,+9
12,T13,T13,Chris Couch,73,"20' 1""",642.1669999999999,32,+6
13,T13,T13,Rory Sabbatini,85,"20' 1""",682.0,34,+11
14,15,15,Rich Beem,53,"20' 6""",246.083,12,E
15,T16,T16,Davis Love III,70,"20' 7""",412.333,20,+1
16,T16,T16,Graeme McDowell,50,"20' 7""",412.417,20,-1
17,T18,T18,Pat Perez,76,"20' 10""",457.917,22,+4
18,T18,T18,Carl Pettersson,95,"20' 10""",727.9169999999999,35,E
19,T18,T18,Josh Teater,104,"20' 10""",770.6669999999999,37,+3
20,T21,T21,Brian Davis,105,"21' 0""",736.0,35,+9
21,T21,T21,David Mathis,83,"21' 0""",609.25,29,+5
22,23,23,Nathan Green,81,"21' 3""",596.0,28,+4
23,24,24,Charlie Wi,83,"21' 4""",660.75,31,+3
24,T25,T25,Steve Flesch,88,"21' 5""",450.5,21,-2
25,T25,T25,Sergio Garcia,61,"21' 5""",384.917,18,E
26,T25,T25,Robert Karlsson,61,"21' 5""",556.0,26,-1
27,28,28,Billy Mayfair,94,"21' 6""",666.0,31,+3
28,T29,T29,Cameron Beckman,71,"21' 7""",797.0830000000001,37,+5
29,T29,T29,Hunter Mahan,92,"21' 7""",713.25,33,+1
30,T31,T31,Scott Gutschewski,67,"21' 8""",542.3330000000001,25,+8
31,T31,T31,John Merrick,71,"21' 8""",346.083,16,+3
32,T33,T33,Fabián Gómez,84,"21' 9""",957.75,44,+11
33,T33,T33,Johnson Wagner,81,"21' 9""",370.417,17,+3
34,T35,T35,Ben Curtis,66,"21' 10""",523.3330000000001,24,E
35,T35,T35,Kevin Streelman,90,"21' 10""",612.3330000000001,28,+7
36,37,37,Justin Leonard,82,"21' 11""",526.75,24,+9
37,38,38,Chez Reavie,92,"22' 0""",329.583,15,+4
38,39,39,Boo Weekley,66,"22' 1""",508.75,23,+1
39,40,40,D.A. Points,89,"22' 2""",641.8330000000001,29,+10
40,41,41,Arjun Atwal,91,"22' 3""",869.3330000000001,39,+8
41,42,42,Ben Crane,76,"22' 5""",336.083,15,+2
42,T43,T43,J.P. Hayes,56,"22' 7""",429.167,19,+2
43,T43,T43,Rocco Mediate,53,"22' 7""",699.9169999999999,31,+6
44,T43,T43,Heath Slocum,89,"22' 7""",676.6669999999999,30,+13
45,T46,T46,Tom Gillis,55,"22' 8""",566.25,25,+4
46,T46,T46,Charley Hoffman,93,"22' 8""",884.0830000000001,39,E
47,T48,T48,Anthony Kim,72,"22' 9""",888.1669999999999,39,+5
48,T48,T48,Phil Mickelson,79,"22' 9""",568.5830000000001,25,+1
49,T50,T50,Chad Campbell,99,"22' 10""",593.4169999999999,26,+9
50,T50,T50,Aron Price,58,"22' 10""",342.167,15,+2
51,52,52,Daniel Summerhays,75,"22' 11""",504.5,22,+7
52,T53,T53,Jason Day,76,"23' 1""",830.0,36,+3
53,T53,T53,William McGirt,103,"23' 1""",553.9169999999999,24,+9
54,T55,T55,Michael Connell,76,"23' 2""",393.75,17,+6
55,T55,T55,Jim Furyk,87,"23' 2""",694.1669999999999,30,+4
56,T55,T55,Richard Johnson,64,"23' 2""",532.75,23,+3
57,T55,T55,Tim Petrovic,88,"23' 2""",787.1669999999999,34,+6
58,59,59,Ricky Barnes,78,"23' 3""",673.4169999999999,29,-4
59,T60,T60,Jason Bohn,74,"23' 4""",489.75,21,+4
60,T60,T60,Matt Kuchar,94,"23' 4""",653.0,28,E
61,62,62,Harrison Frazar,58,"23' 5""",538.5830000000001,23,+2
62,T63,T63,Jeff Overton,92,"23' 6""",1033.75,44,+1
63,T63,T63,Charl Schwartzel,58,"23' 6""",399.0,17,+6
64,T63,T63,Mark Wilson,89,"23' 6""",821.75,35,+7
65,66,66,Brandt Snedeker,85,"23' 7""",588.5830000000001,25,+2
66,67,67,J.B. Holmes,57,"23' 9""",901.0830000000001,38,+1
67,68,68,Steve Elkington,50,"23' 10""",357.417,15,+3
68,T69,T69,Marc Leishman,87,"23' 11""",1053.417,44,+12
69,T69,T69,Brendan Steele,89,"23' 11""",646.3330000000001,27,+8
70,71,71,Padraig Harrington,60,"24' 0""",551.1669999999999,23,+1
71,T72,T72,Steven Bowditch,86,"24' 1""",1299.167,54,+4
72,T72,T72,Jason Dufner,78,"24' 1""",578.5830000000001,24,E
73,T72,T72,Nick O'Hern,89,"24' 1""",673.8330000000001,28,+9
74,T72,T72,Ryan Palmer,82,"24' 1""",964.0,40,-2
75,T76,T76,Sean O'Hair,71,"24' 2""",555.8330000000001,23,+1
76,T76,T76,Ian Poulter,52,"24' 2""",410.833,17,-1
77,78,78,D.J. Trahan,91,"24' 3""",1236.833,51,+10
78,T79,T79,Kevin Kisner,70,"24' 4""",631.9169999999999,26,+2
79,T79,T79,Joe Ogilvie,75,"24' 4""",802.3330000000001,33,+5
80,T81,T81,Blake Adams,116,"24' 5""",1097.583,45,+3
81,T81,T81,Chris Stroud,88,"24' 5""",1198.25,49,+8
82,83,83,Stuart Appleby,65,"24' 6""",882.1669999999999,36,+7
83,T84,T84,Michael Bradley,74,"24' 7""",960.1669999999999,39,+7
84,T84,T84,Dustin Johnson,72,"24' 7""",737.0830000000001,30,+3
85,T86,T86,Matt Jones,71,"24' 8""",738.75,30,+9
86,T86,T86,Scott McCarron,65,"24' 8""",419.917,17,+6
87,88,88,Aaron Baddeley,77,"24' 9""",939.8330000000001,38,+11
88,T89,T89,Lucas Glover,74,"24' 10""",547.0830000000001,22,+9
89,T89,T89,Kevin Na,84,"24' 10""",820.25,33,+17
90,T89,T89,Alexandre Rocha,65,"24' 10""",322.41700000000003,13,+3
91,T89,T89,Vaughn Taylor,89,"24' 10""",1066.917,43,+19
92,93,93,Chris Riley,76,"24' 11""",547.25,22,+4
93,94,94,Marc Turnesa,54,"25' 0""",449.333,18,+3
94,95,95,Robert Allenby,84,"25' 1""",652.75,26,+6
95,T96,T96,Matt Bettencourt,84,"25' 2""",982.8330000000001,39,+10
96,T96,T96,Chris DiMarco,93,"25' 2""",1183.083,47,+16
97,T96,T96,Shaun Micheel,77,"25' 2""",931.5,37,+14
98,T96,T96,Vijay Singh,79,"25' 2""",1030.417,41,-1
99,T100,T100,Trevor Immelman,84,"25' 3""",632.25,25,+7
100,T100,T100,Bubba Watson,85,"25' 3""",910.3330000000001,36,-2
101,T102,T102,Charles Howell III,108,"25' 4""",937.75,37,+8
102,T102,T102,Kevin Stadler,88,"25' 4""",963.1669999999999,38,+11
103,T104,T104,Chris Kirk,87,"25' 6""",893.3330000000001,35,+5
104,T104,T104,Kyle Stanley,98,"25' 6""",842.5830000000001,33,+1
105,T104,T104,Y.E. Yang,63,"25' 6""",306.08299999999997,12,+1
106,T107,T107,Ángel Cabrera,50,"25' 11""",569.5830000000001,22,+3
107,T107,T107,Stewart Cink,72,"25' 11""",518.0,20,-1
108,T107,T107,Robert Garrigus,83,"25' 11""",984.3330000000001,38,+5
109,110,110,David Hearn,88,"26' 2""",864.0830000000001,33,+13
110,111,111,Bryce Molder,82,"26' 3""",498.417,19,-1
111,T112,T112,Brian Gay,90,"26' 5""",659.8330000000001,25,E
112,T112,T112,Ryuji Imada,83,"26' 5""",792.3330000000001,30,+8
113,114,114,Bio Kim,71,"26' 6""",979.4169999999999,37,+7
114,T115,T115,Kris Blanks,92,"26' 7""",690.5,26,-2
115,T115,T115,Paul Stankowski,78,"26' 7""",1011.25,38,+6
116,117,117,Ernie Els,71,"26' 8""",507.0,19,+4
117,118,118,Stephen Ames,69,"26' 9""",561.75,21,+2
118,T119,T119,Justin Rose,79,"26' 10""",752.25,28,+2
119,T119,T119,Adam Scott,60,"26' 10""",375.917,14,+5
120,T121,T121,Woody Austin,59,"26' 11""",591.8330000000001,22,+6
121,T121,T121,Scott Piercy,78,"26' 11""",968.25,36,+6
122,123,123,David Duval,67,"27' 0""",971.5830000000001,36,+22
123,124,124,Steve Marino,76,"27' 2""",462.25,17,E
124,T125,T125,Ryan Moore,79,"27' 3""",517.3330000000001,19,+4
125,T125,T125,Tag Ridings,87,"27' 3""",981.8330000000001,36,+8
126,127,127,Michael Thompson,79,"27' 4""",491.833,18,+2
127,T128,T128,Tim Herron,85,"27' 5""",711.9169999999999,26,+4
128,T128,T128,David Toms,78,"27' 5""",356.917,13,-3
129,T130,T130,D.J. Brigman,67,"27' 7""",661.3330000000001,24,+11
130,T130,T130,Retief Goosen,50,"27' 7""",385.75,14,+3
131,T130,T130,Roland Thatcher,67,"27' 7""",745.5830000000001,27,+10
132,133,133,Scott Stallings,84,"27' 8""",1326.3329999999999,48,+2
133,134,134,George McNeill,69,"27' 11""",837.0830000000001,30,+3
134,135,135,Bill Lunde,92,"28' 1""",1011.4169999999999,36,+11
135,136,136,Greg Chalmers,88,"28' 3""",819.4169999999999,29,+6
136,T137,T137,Brendon de Jonge,105,"28' 5""",1052.75,37,+7
137,T137,T137,Webb Simpson,98,"28' 5""",965.4169999999999,34,+9
138,139,139,Matt McQuillan,59,"28' 6""",428.083,15,+6
139,T140,T140,Rickie Fowler,84,"28' 7""",600.5,21,+7
140,T140,T140,Jim Herman,69,"28' 7""",772.0,27,+4
141,T142,T142,K.J. Choi,77,"28' 8""",630.75,22,+9
142,T142,T142,Andres Gonzales,60,"28' 8""",544.25,19,+9
143,144,144,Jimmy Walker,79,"28' 9""",1206.25,42,+8
144,145,145,Bill Haas,93,"28' 10""",1009.9169999999999,35,+1
145,146,146,Keegan Bradley,91,"29' 2""",1225.083,42,+11
146,147,147,Derek Lamely,65,"29' 3""",1052.667,36,+14
147,T148,T148,Billy Horschel,75,"29' 5""",500.25,17,+5
148,T148,T148,John Rollins,85,"29' 5""",1028.333,35,+5
149,T150,T150,Brandt Jobe,100,"29' 6""",1004.0,34,+5
150,T150,T150,Nick Watney,80,"29' 6""",795.5,27,+3
151,T152,T152,Bobby Gates,82,"29' 11""",928.25,31,+10
152,T152,T152,Troy Merritt,63,"29' 11""",837.1669999999999,28,+13
153,154,154,Cameron Tringale,110,"30' 0""",1260.25,42,+15
154,155,155,J.J. Henry,96,"30' 2""",662.75,22,+6
155,156,156,Zack Miller,86,"30' 3""",1361.5,45,+15
156,T157,T157,Rod Pampling,72,"30' 5""",608.8330000000001,20,+3
157,T157,T157,Alex Prugh,82,"30' 5""",1367.5829999999999,45,+14
158,T159,T159,James Driscoll,71,"30' 6""",883.3330000000001,29,+4
159,T159,T159,Jarrod Lyle,83,"30' 6""",1280.0,42,+19
160,161,161,Colt Knost,80,"30' 8""",797.75,26,+6
161,162,162,Lee Janzen,62,"30' 9""",800.3330000000001,26,+8
162,163,163,Troy Matteson,91,"30' 10""",1079.0,35,+10
163,164,164,Jhonattan Vegas,84,"30' 11""",988.5,32,+10
164,T165,T165,Kevin Chappell,78,"31' 0""",682.75,22,+13
165,T165,T165,Martin Piller,63,"31' 0""",929.0,30,+9
166,167,167,Gary Woodland,93,"31' 6""",1040.833,33,+7
167,T168,T168,Justin Hicks,60,"31' 7""",694.0830000000001,22,+8
168,T168,T168,Bo Van Pelt,92,"31' 7""",1074.25,34,+10
169,170,170,Joseph Bramlett,73,"32' 2""",739.0830000000001,23,+9
170,171,171,Jerry Kelly,85,"32' 4""",613.5830000000001,19,+5
171,172,172,Joe Durant,71,"32' 5""",745.0,23,+5
172,173,173,Kent Jones,76,"33' 2""",929.3330000000001,28,E
173,174,174,Jonathan Byrd,83,"33' 3""",1029.667,31,+8
174,175,175,Geoff Ogilvy,69,"33' 4""",699.3330000000001,21,+4
175,T176,T176,Andres Romero,77,"33' 5""",1268.917,38,+20
176,T176,T176,John Senden,94,"33' 5""",1102.583,33,+10
177,178,178,Will Strickler,51,"34' 8""",694.0,20,+14
178,179,179,Ben Martin,74,"34' 11""",803.0,23,+5
179,180,180,Dean Wilson,62,"35' 3""",740.5830000000001,21,+6
180,181,181,Tommy Gainey,104,"35' 8""",1318.8329999999999,37,+18
181,182,182,Garrett Willis,71,"35' 11""",1113.25,31,+15
182,183,183,Briny Baird,60,"37' 0""",629.6669999999999,17,+10
183,T184,T184,Alex Cejka,59,"37' 2""",519.8330000000001,14,+4
184,T184,T184,Jim Renner,65,"37' 2""",1003.4169999999999,27,+17
185,186,186,Michael Putnam,67,"41' 8""",917.4169999999999,22,+9
