,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
0,1,1,Steve Elkington,50,-.417
1,2,2,Jhonattan Vegas,84,-.404
2,3,3,Bubba Watson,85,-.389
3,4,4,Phil Mickelson,79,-.383
4,5,5,Rickie Fowler,84,-.351
5,6,6,Steven Bowditch,86,-.333
6,7,7,Robert Garrigus,83,-.314
7,8,8,Joseph Bramlett,73,-.300
8,9,9,Harrison Frazar,58,-.296
9,10,10,Charles Howell III,108,-.280
10,11,11,Trevor Immelman,84,-.279
11,12,12,Gary Woodland,93,-.276
12,T13,T13,Jim Herman,69,-.273
13,T13,T13,Charley Hoffman,93,-.273
14,15,15,Luke Donald,73,-.258
15,T16,T16,Chris Couch,73,-.256
16,T16,T16,J.B. Holmes,57,-.256
17,T18,T18,Alex Cejka,59,-.250
18,T18,T18,Bill Haas,93,-.250
19,T18,T18,Vijay Singh,79,-.250
20,21,21,Robert Allenby,84,-.244
21,22,22,John Rollins,85,-.222
22,23,23,Jeff Overton,92,-.220
23,T24,T24,Cameron Beckman,71,-.219
24,T24,T24,Fabián Gómez,84,-.219
25,T24,T24,Bo Van Pelt,92,-.219
26,27,27,Dustin Johnson,72,-.216
27,T28,T28,Sergio Garcia,61,-.214
28,T28,T28,Bobby Gates,82,-.214
29,30,30,Will Strickler,51,-.211
30,T31,T31,Tommy Gainey,104,-.209
31,T31,T31,Webb Simpson,98,-.209
32,T33,T33,Padraig Harrington,60,-.200
33,T33,T33,Hunter Mahan,92,-.200
34,T33,T33,Ryan Palmer,82,-.200
35,T36,T36,Justin Rose,79,-.194
36,T36,T36,Kevin Stadler,88,-.194
37,38,38,Kyle Stanley,98,-.186
38,39,39,Ian Poulter,52,-.182
39,T40,T40,Woody Austin,59,-.176
40,T40,T40,Aaron Baddeley,77,-.176
41,42,42,Billy Mayfair,94,-.171
42,T43,T43,Andres Gonzales,60,-.167
43,T43,T43,Heath Slocum,89,-.167
44,45,45,Tim Herron,85,-.163
45,46,46,Steve Stricker,70,-.150
