,GIR_Percentage_-_100-125_yards_RANK THIS WEEK,GIR_Percentage_-_100-125_yards_RANK LAST WEEK,GIR_Percentage_-_100-125_yards_PLAYER NAME,GIR_Percentage_-_100-125_yards_ROUNDS,GIR_Percentage_-_100-125_yards_%,GIR_Percentage_-_100-125_yards_GREENS HIT,GIR_Percentage_-_100-125_yards_TOTAL HOLES,GIR_Percentage_-_100-125_yards_RELATIVE TO PAR
0,1,1,Ernie Els,71,86.14,87,101,-0.18
1,2,2,Chad Campbell,99,85.9,134,156,-0.21
2,3,3,Justin Leonard,82,85.82,121,141,-0.25
3,4,4,Alex Cejka,59,85.0,68,80,-0.24
4,5,5,Justin Rose,79,83.33,80,96,-0.19
5,6,6,Zach Johnson,79,82.91,97,117,-0.35
6,7,7,K.J. Choi,77,82.08,87,106,-0.34
7,8,8,Ricky Barnes,78,81.9,86,105,-0.2
8,9,9,Heath Slocum,89,81.76,121,148,-0.21
9,10,10,Brian Gay,90,81.67,98,120,-0.23
10,11,11,Mark Wilson,89,81.54,106,130,-0.29
11,12,12,Kent Jones,76,81.29,113,139,-0.32
12,13,13,David Mathis,83,81.15,99,122,-0.25
13,T14,T14,Bill Haas,93,81.12,116,143,-0.3
14,T14,T14,J.J. Henry,96,81.12,116,143,-0.28
15,16,16,Jim Furyk,87,80.99,98,121,-0.33
16,17,17,Steve Stricker,70,80.95,85,105,-0.25
17,18,18,Geoff Ogilvy,69,80.81,80,99,-0.39
18,19,19,Kris Blanks,92,80.59,137,170,-0.28
19,20,20,Justin Hicks,60,80.49,66,82,-0.12
20,21,21,Dean Wilson,62,80.37,86,107,-0.35
21,22,22,Boo Weekley,66,80.36,90,112,-0.27
22,23,23,David Hearn,88,80.24,134,167,-0.37
23,24,24,Michael Connell,76,80.17,93,116,-0.27
24,25,25,Robert Allenby,84,80.16,101,126,-0.28
25,26,26,Johnson Wagner,81,80.15,109,136,-0.33
26,T27,T27,Jason Bohn,74,80.0,96,120,-0.28
27,T27,T27,Lucas Glover,74,80.0,84,105,-0.21
28,29,29,Michael Bradley,74,79.7,106,133,-0.31
29,T30,T30,Blake Adams,116,79.65,180,226,-0.27
30,T30,T30,Fabián Gómez,84,79.65,90,113,-0.31
31,32,32,Chris DiMarco,93,79.63,129,162,-0.26
32,33,33,Nick O'Hern,89,79.55,105,132,-0.34
33,34,34,Kevin Chappell,78,79.41,108,136,-0.22
34,35,35,Carl Pettersson,95,79.23,145,183,-0.32
35,T36,T36,Aaron Baddeley,77,79.17,95,120,-0.27
36,T36,T36,Rod Pampling,72,79.17,95,120,-0.23
37,T36,T36,Aron Price,58,79.17,76,96,-0.28
38,39,39,Spencer Levin,113,79.07,136,172,-0.28
39,40,40,Chris Kirk,87,78.98,124,157,-0.27
40,41,41,Charley Hoffman,93,78.91,116,147,-0.34
41,42,42,Vaughn Taylor,89,78.69,144,183,-0.26
42,T43,T43,Jim Herman,69,78.68,107,136,-0.29
43,T43,T43,Trevor Immelman,84,78.68,107,136,-0.27
44,45,45,Luke Donald,73,78.57,66,84,-0.38
45,46,46,Briny Baird,60,78.49,73,93,-0.25
46,47,47,Hunter Mahan,92,78.47,113,144,-0.35
47,48,48,Greg Chalmers,88,78.26,108,138,-0.42
48,49,49,Alex Prugh,82,78.21,140,179,-0.24
49,T50,T50,Cameron Beckman,71,78.2,104,133,-0.29
50,T50,T50,Jason Dufner,78,78.2,104,133,-0.33
51,52,52,Pat Perez,76,78.15,93,119,-0.32
52,53,53,Chris Riley,76,78.13,100,128,-0.18
53,54,54,Kyle Stanley,98,78.11,132,169,-0.3
54,55,55,Brandt Jobe,100,78.06,121,155,-0.23
55,56,56,Charles Howell III,108,78.02,142,182,-0.3
56,57,57,Joe Durant,71,77.88,88,113,-0.26
57,58,58,Nate Smith,66,77.78,70,90,-0.23
58,59,59,Bill Lunde,92,77.65,132,170,-0.31
