,Fairway_Approach_RTP_Score_RANK THIS WEEK,Fairway_Approach_RTP_Score_RANK LAST WEEK,Fairway_Approach_RTP_Score_PLAYER NAME,Fairway_Approach_RTP_Score_ROUNDS,Fairway_Approach_RTP_Score_AVG RTP
0,1,1,Webb Simpson,98,-.189
1,2,2,Jason Day,76,-.170
2,3,3,Steve Stricker,70,-.165
3,4,4,Nick Watney,80,-.163
4,5,5,Luke Donald,73,-.158
5,6,6,Aaron Baddeley,77,-.153
6,7,7,Matt Kuchar,94,-.146
7,8,8,Hunter Mahan,92,-.138
8,9,9,Martin Laird,77,-.129
9,10,10,Charley Hoffman,93,-.128
10,11,11,David Toms,78,-.125
11,T12,T12,Justin Rose,79,-.124
12,T12,T12,John Senden,94,-.124
13,14,14,Gary Woodland,93,-.123
14,15,15,Zach Johnson,79,-.122
15,16,16,Chris Kirk,87,-.120
16,17,17,Robert Allenby,84,-.119
17,18,18,Charles Howell III,108,-.118
18,T19,T19,Dustin Johnson,72,-.117
19,T19,T19,Brandt Snedeker,85,-.117
20,T21,T21,Phil Mickelson,79,-.116
21,T21,T21,Bo Van Pelt,92,-.116
22,23,23,Brendon de Jonge,105,-.110
23,T24,T24,K.J. Choi,77,-.109
24,T24,T24,Bill Haas,93,-.109
25,T24,T24,Scott Piercy,78,-.109
26,T27,T27,Andres Romero,77,-.108
27,T27,T27,Bubba Watson,85,-.108
28,T29,T29,Jonathan Byrd,83,-.107
29,T29,T29,Jerry Kelly,85,-.107
30,T29,T29,Adam Scott,60,-.107
31,T32,T32,Bryce Molder,82,-.106
32,T32,T32,Charl Schwartzel,58,-.106
33,T34,T34,David Hearn,88,-.105
34,T34,T34,Davis Love III,70,-.105
35,36,36,Kevin Na,84,-.104
36,T37,T37,John Rollins,85,-.103
37,T37,T37,Kevin Streelman,90,-.103
38,39,39,Ryan Moore,79,-.102
39,40,40,Mark Wilson,89,-.101
40,41,41,Woody Austin,59,-.100
41,T42,T42,Brandt Jobe,100,-.098
42,T42,T42,Spencer Levin,113,-.098
43,T44,T44,Briny Baird,60,-.097
44,T44,T44,Ernie Els,71,-.097
45,T44,T44,Rickie Fowler,84,-.097
46,T44,T44,Lucas Glover,74,-.097
47,48,48,Robert Karlsson,61,-.096
48,T49,T49,Chad Campbell,99,-.095
49,T49,T49,Brian Davis,105,-.095
