,Average_Approach_Distance_-_Birdie_or_Better_RANK THIS WEEK,Average_Approach_Distance_-_Birdie_or_Better_RANK LAST WEEK,Average_Approach_Distance_-_Birdie_or_Better_PLAYER NAME,Average_Approach_Distance_-_Birdie_or_Better_ROUNDS,Average_Approach_Distance_-_Birdie_or_Better_AVG (YARDS),Average_Approach_Distance_-_Birdie_or_Better_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Birdie_or_Better_NUMBER OF APPROACH SHOTS
0,1,1,Paul Goydos,81,149.3,1301133.0,242
1,2,2,Brian Gay,90,157.3,1500691.0,265
2,3,3,Richard Johnson,64,160.4,843176.0,146
3,4,4,Kent Jones,76,160.9,1280488.0,221
4,5,5,Colt Knost,80,161.5,1168819.0,201
5,6,6,Dean Wilson,62,162.6,1041928.0,178
6,7,7,Bryce Molder,82,163.1,1555856.0,265
7,8,8,Justin Hicks,60,163.5,735827.0,125
8,9,9,Ben Curtis,66,163.9,1185918.0,201
9,T10,T10,Shane Bertsch,62,164.3,1159539.0,196
10,T10,T10,David Hearn,88,164.3,1573031.0,266
11,12,12,Greg Chalmers,88,164.4,1591893.0,269
12,13,13,Stephen Ames,69,164.7,1150547.0,194
13,T14,T14,Chris DiMarco,93,165.5,1650534.0,277
14,T14,T14,J.P. Hayes,56,165.5,935482.0,157
15,16,16,Scott Stallings,84,165.6,1478367.0,248
16,T17,T17,Matt Kuchar,94,165.8,1742666.0,292
17,T17,T17,William McGirt,103,165.8,1796915.0,301
18,T19,T19,Nick O'Hern,89,166.0,1577621.0,264
19,T19,T19,Steve Stricker,70,166.0,1398757.0,234
20,21,21,Andres Gonzales,60,166.1,956726.0,160
21,22,22,Woody Austin,59,166.2,1082814.0,181
22,23,23,David Duval,67,166.3,1113569.0,186
23,24,24,Marc Turnesa,54,166.4,868418.0,145
24,T25,T25,Justin Leonard,82,166.7,1284337.0,214
25,T25,T25,Alex Prugh,82,166.7,1397893.0,233
26,27,27,Kevin Kisner,70,167.0,1093997.0,182
27,28,28,Briny Baird,60,167.2,1047572.0,174
28,29,29,Ben Martin,74,167.3,1385209.0,230
29,30,30,K.J. Choi,77,167.4,1271367.0,211
30,31,31,Carl Pettersson,95,167.5,2128236.0,353
31,32,32,Cameron Beckman,71,167.6,1369952.0,227
32,33,33,Jason Bohn,74,167.9,1499224.0,248
33,34,34,Michael Thompson,79,168.0,1475605.0,244
34,T35,T35,David Mathis,83,168.2,1459611.0,241
35,T35,T35,Ian Poulter,52,168.2,884279.0,146
36,T37,T37,Blake Adams,116,168.4,2400476.0,396
37,T37,T37,Arjun Atwal,91,168.4,1801066.0,297
38,T37,T37,Aron Price,58,168.4,1109538.0,183
39,40,40,Lee Janzen,62,168.5,1122290.0,185
40,41,41,Graeme McDowell,50,168.8,905510.0,149
41,42,42,Harrison Frazar,58,169.0,912355.0,150
42,T43,T43,Brian Davis,105,169.1,2143415.0,352
43,T43,T43,Luke Donald,73,169.1,1363227.0,224
44,T45,T45,Rich Beem,53,169.3,767764.0,126
45,T45,T45,Stewart Cink,72,169.3,1188673.0,195
46,T47,T47,Freddie Jacobson,92,169.4,1585181.0,260
47,T47,T47,Nate Smith,66,169.4,993765.0,163
48,T47,T47,Johnson Wagner,81,169.4,1372106.0,225
49,T50,T50,Stuart Appleby,65,169.8,1179562.0,193
50,T50,T50,Steve Flesch,88,169.8,1668451.0,273
51,T50,T50,Tom Gillis,55,169.8,996499.0,163
52,T53,T53,Michael Bradley,74,169.9,1241884.0,203
53,T53,T53,Rocco Mediate,53,169.9,929688.0,152
54,T55,T55,Heath Slocum,89,170.0,1585179.0,259
55,T55,T55,Vaughn Taylor,89,170.0,1750051.0,286
56,T55,T55,Garrett Willis,71,170.0,1395577.0,228
57,58,58,Jerry Kelly,85,170.1,1432903.0,234
58,59,59,Camilo Villegas,69,170.2,1286629.0,210
59,T60,T60,Jim Furyk,87,170.4,1508824.0,246
60,T60,T60,Zach Johnson,79,170.4,1515004.0,247
61,T60,T60,Mark Wilson,89,170.4,1540095.0,251
62,63,63,Tommy Gainey,104,170.5,2190980.0,357
63,64,64,Jim Herman,69,170.6,1203702.0,196
64,65,65,Bill Lunde,92,170.7,1745194.0,284
65,66,66,Jason Dufner,78,170.8,1512382.0,246
66,T67,T67,Joe Durant,71,170.9,1254849.0,204
67,T67,T67,Matt McQuillan,59,170.9,1058282.0,172
68,69,69,Spencer Levin,113,171.1,2001942.0,325
69,70,70,Chris Kirk,87,171.3,1831791.0,297
70,71,71,Charlie Wi,83,171.5,1735005.0,281
71,72,72,David Toms,78,171.6,1476230.0,239
