,SG_Approach-the-Green_RANK THIS WEEK,SG_Approach-the-Green_RANK LAST WEEK,SG_Approach-the-Green_PLAYER NAME,SG_Approach-the-Green_ROUNDS,SG_Approach-the-Green_AVERAGE,SG_Approach-the-Green_TOTAL SG:APP,SG_Approach-the-Green_MEASURED ROUNDS
0,1,1,Luke Donald,73,1.094,56.9,52
1,2,2,Chad Campbell,99,0.987,85.887,87
2,3,3,Phil Mickelson,79,0.9,52.18,58
3,4,4,Webb Simpson,98,0.755,62.666000000000004,83
4,5,5,Matt Kuchar,94,0.698,49.586000000000006,71
5,6,6,K.J. Choi,77,0.6890000000000001,39.951,58
6,7,7,David Toms,78,0.669,39.486,59
7,8,8,Rory Sabbatini,85,0.657,40.089,61
8,9,9,Jim Furyk,87,0.643,44.997,70
9,10,10,Ernie Els,71,0.635,37.484,59
10,11,11,Chris Kirk,87,0.611,47.031000000000006,77
11,12,12,Nick Watney,80,0.604,37.476,62
12,13,13,Woody Austin,59,0.588,29.384,50
13,14,14,Ricky Barnes,78,0.584,37.364000000000004,64
14,15,15,Kris Blanks,92,0.5760000000000001,47.846000000000004,83
15,16,16,Steve Stricker,70,0.5379999999999999,28.535,53
16,17,17,Davis Love III,70,0.528,27.453000000000003,52
17,18,18,Kyle Stanley,98,0.515,41.228,80
18,T19,T19,Spencer Levin,113,0.508,47.745,94
19,T19,T19,Justin Rose,79,0.508,32.0,63
20,T21,T21,Robert Allenby,84,0.494,34.568000000000005,70
21,T21,T21,Joe Durant,71,0.494,31.596,64
22,23,23,Brian Davis,105,0.493,45.312,92
23,24,24,Boo Weekley,66,0.49200000000000005,28.053,57
24,25,25,Chez Reavie,92,0.461,37.832,82
25,T26,T26,Aron Price,58,0.45299999999999996,22.201,49
26,T26,T26,John Senden,94,0.45299999999999996,36.674,81
27,28,28,Paul Goydos,81,0.452,33.463,74
28,29,29,Michael Bradley,74,0.44799999999999995,26.436,59
29,30,30,D.J. Trahan,91,0.405,33.626,83
30,31,31,Kevin Stadler,88,0.4,29.176,73
31,32,32,Camilo Villegas,69,0.39899999999999997,22.77,57
32,33,33,Stewart Cink,72,0.396,20.59,52
33,T34,T34,J.B. Holmes,57,0.38799999999999996,18.218,47
34,T34,T34,Robert Karlsson,61,0.38799999999999996,17.456,45
35,36,36,Chris DiMarco,93,0.38299999999999995,31.432,82
36,37,37,Gary Woodland,93,0.38,26.608,70
37,38,38,Zach Johnson,79,0.349,22.35,64
38,39,39,Bo Van Pelt,92,0.344,24.433000000000003,71
39,40,40,Heath Slocum,89,0.33899999999999997,25.113000000000003,74
40,41,41,Charles Howell III,108,0.33299999999999996,30.309,91
41,T42,T42,Brendon de Jonge,105,0.312,28.683000000000003,92
42,T42,T42,Sergio Garcia,61,0.312,14.043,45
43,44,44,Kevin Streelman,90,0.305,21.631,71
44,45,45,Charl Schwartzel,58,0.287,11.481,40
45,46,46,Kevin Na,84,0.28600000000000003,19.426,68
46,47,47,Robert Garrigus,83,0.28,19.33,69
47,48,48,Jimmy Walker,79,0.271,20.627,76
48,49,49,Brandt Jobe,100,0.262,21.215999999999998,81
49,50,50,Vijay Singh,79,0.26,18.722,72
50,51,51,Alex Cejka,59,0.259,12.185,47
51,52,52,Briny Baird,60,0.252,12.363,49
52,T53,T53,Jonathan Byrd,83,0.248,17.871,72
53,T53,T53,Jason Dufner,78,0.248,16.135,65
54,55,55,Scott Stallings,84,0.244,16.866,69
55,56,56,Arjun Atwal,91,0.24100000000000002,20.024,83
56,57,57,Scott Piercy,78,0.24,15.122,63
57,58,58,Martin Laird,77,0.23399999999999999,14.49,62
58,59,59,Chris Stroud,88,0.23,17.957,78
59,60,60,Ian Poulter,52,0.222,8.673,39
60,61,61,Retief Goosen,50,0.212,8.472000000000001,40
61,T62,T62,Padraig Harrington,60,0.209,9.404,45
62,T62,T62,Brendan Steele,89,0.209,16.123,77
63,64,64,Charley Hoffman,93,0.2,14.790999999999999,74
64,65,65,Shane Bertsch,62,0.19899999999999998,10.34,52
65,66,66,Aaron Baddeley,77,0.196,12.17,62
66,67,67,Dustin Johnson,72,0.195,10.519,54
67,68,68,Rickie Fowler,84,0.19399999999999998,12.834000000000001,66
68,69,69,Bubba Watson,85,0.193,11.397,59
69,70,70,Ryan Moore,79,0.192,11.505999999999998,60
70,T71,T71,Brandt Snedeker,85,0.191,12.783,67
71,T71,T71,Vaughn Taylor,89,0.191,15.812999999999999,83
72,73,73,Steve Marino,76,0.184,11.405999999999999,62
73,T74,T74,Jason Bohn,74,0.16699999999999998,11.17,67
74,T74,T74,Tommy Gainey,104,0.16699999999999998,15.228,91
75,76,76,Ben Crane,76,0.162,10.067,62
76,77,77,Jerry Kelly,85,0.161,10.939,68
77,78,78,Carl Pettersson,95,0.147,13.207,90
78,79,79,Sean O'Hair,71,0.14,8.422,60
79,80,80,John Merrick,71,0.134,8.019,60
80,81,81,Nick O'Hern,89,0.127,9.677,76
81,82,82,Ángel Cabrera,50,0.126,4.402,35
82,83,83,John Rollins,85,0.124,8.925,72
83,84,84,Brian Gay,90,0.11699999999999999,8.629,74
84,85,85,Billy Mayfair,94,0.11599999999999999,9.877,85
85,86,86,Freddie Jacobson,92,0.105,7.322,70
86,87,87,Anthony Kim,72,0.10300000000000001,5.956,58
87,88,88,Adam Scott,60,0.102,4.603,45
88,89,89,Trevor Immelman,84,0.085,5.728,67
89,90,90,Kevin Chappell,78,0.08199999999999999,5.006,61
90,91,91,J.J. Henry,96,0.08,6.356,79
91,92,92,Dean Wilson,62,0.073,4.148,57
92,93,93,Joseph Bramlett,73,0.068,4.157,61
93,94,94,Hunter Mahan,92,0.066,5.024,76
94,95,95,David Duval,67,0.065,3.7510000000000003,58
95,96,96,Lucas Glover,74,0.052000000000000005,3.178,61
96,97,97,Bill Haas,93,0.044000000000000004,3.139,72
97,98,98,Michael Connell,76,0.042,3.052,72
98,99,99,George McNeill,69,0.039,2.263,58
99,100,100,Marc Leishman,87,0.034,2.713,80
100,T101,T101,Stephen Ames,69,0.028999999999999998,1.7309999999999999,60
101,T101,T101,Graeme McDowell,50,0.028999999999999998,1.089,37
102,T101,T101,Geoff Ogilvy,69,0.028999999999999998,1.558,54
103,104,104,Bill Lunde,92,0.027000000000000003,2.106,77
104,105,105,Jason Day,76,0.026000000000000002,1.541,59
105,106,106,David Hearn,88,0.016,1.237,76
106,107,107,Jim Herman,69,0.011000000000000001,0.599,57
107,108,108,Alexandre Rocha,65,0.005,0.23600000000000002,49
108,109,109,David Mathis,83,0.003,0.218,70
109,110,110,Sung Kang,63,-0.003,-0.15,51
110,111,111,Kent Jones,76,-0.008,-0.535,67
111,112,112,Scott Gutschewski,67,-0.013000000000000001,-0.7290000000000001,55
112,113,113,Paul Stankowski,78,-0.013999999999999999,-0.9259999999999999,65
113,114,114,Mark Wilson,89,-0.017,-1.183,70
114,115,115,William McGirt,103,-0.021,-1.899,92
115,116,116,Harrison Frazar,58,-0.025,-1.032,42
116,117,117,Garrett Willis,71,-0.037000000000000005,-2.371,64
117,118,118,Andres Romero,77,-0.038,-2.568,68
118,119,119,Pat Perez,76,-0.048,-3.391,70
119,120,120,Greg Chalmers,88,-0.057,-4.484,79
120,121,121,Cameron Beckman,71,-0.061,-3.8930000000000002,64
121,122,122,Ben Curtis,66,-0.063,-3.886,62
122,123,123,Ryan Palmer,82,-0.064,-3.8539999999999996,60
123,124,124,Justin Leonard,82,-0.07,-5.176,74
124,125,125,Ryuji Imada,83,-0.085,-6.479,76
125,126,126,Troy Matteson,91,-0.08900000000000001,-7.207000000000001,81
126,127,127,Marc Turnesa,54,-0.092,-4.209,46
127,128,128,D.A. Points,89,-0.09699999999999999,-7.205,74
128,129,129,Alex Prugh,82,-0.109,-7.733,71
129,130,130,Y.E. Yang,63,-0.111,-4.647,42
130,T131,T131,D.J. Brigman,67,-0.11900000000000001,-6.54,55
131,T131,T131,Jeff Overton,92,-0.11900000000000001,-8.707,73
132,T131,T131,Johnson Wagner,81,-0.11900000000000001,-8.317,70
133,134,134,Tim Herron,85,-0.122,-9.371,77
134,135,135,Cameron Tringale,110,-0.133,-12.943,97
135,136,136,Bryce Molder,82,-0.138,-9.785,71
136,137,137,Hunter Haas,96,-0.141,-11.993,85
137,138,138,Fabián Gómez,84,-0.146,-10.086,69
138,139,139,Stuart Appleby,65,-0.152,-9.123,60
139,140,140,Tag Ridings,87,-0.165,-12.209000000000001,74
140,141,141,Rod Pampling,72,-0.18,-10.802,60
141,142,142,Bobby Gates,82,-0.183,-12.245,67
142,143,143,Andres Gonzales,60,-0.184,-8.468,46
143,T144,T144,Matt McQuillan,59,-0.188,-9.021,48
144,T144,T144,Jim Renner,65,-0.188,-9.982999999999999,53
145,146,146,Justin Hicks,60,-0.192,-8.435,44
146,147,147,Tom Gillis,55,-0.212,-10.591,50
147,148,148,Nathan Green,81,-0.225,-15.765999999999998,70
148,149,149,James Driscoll,71,-0.226,-13.777999999999999,61
149,150,150,Joe Ogilvie,75,-0.23600000000000002,-14.372,61
150,151,151,Jhonattan Vegas,84,-0.24600000000000002,-17.244,70
151,152,152,Tim Petrovic,88,-0.247,-19.05,77
152,153,153,Rich Beem,53,-0.257,-11.811,46
