,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Webb Simpson,98,28.74,319,1110
1,2,2,Jason Day,76,27.12,195,719
2,3,3,Dustin Johnson,72,26.94,177,657
3,4,4,Charley Hoffman,93,26.87,255,949
4,5,5,Aaron Baddeley,77,26.71,199,745
5,6,6,Nick Watney,80,26.68,210,787
6,7,7,Rickie Fowler,84,26.2,218,832
7,8,8,Hunter Mahan,92,25.96,271,1044
8,9,9,Luke Donald,73,25.79,188,729
9,10,10,Andres Romero,77,25.71,218,848
10,11,11,Steve Stricker,70,25.45,184,723
11,12,12,Matt Kuchar,94,25.26,242,958
12,13,13,Gary Woodland,93,25.0,219,876
13,T14,T14,Ángel Cabrera,50,24.82,101,407
14,T14,T14,Phil Mickelson,79,24.82,176,709
15,T16,T16,Lucas Glover,74,24.54,198,807
16,T16,T16,Chris Kirk,87,24.54,239,974
17,18,18,Martin Laird,77,24.5,197,804
18,19,19,Steve Marino,76,24.48,199,813
19,20,20,Brandt Snedeker,85,24.44,218,892
20,21,21,John Senden,94,24.33,264,1085
21,22,22,J.B. Holmes,57,24.24,135,557
22,23,23,Bubba Watson,85,24.17,175,724
23,24,24,Kyle Stanley,98,24.09,245,1017
24,25,25,Bo Van Pelt,92,24.07,226,939
25,26,26,Robert Garrigus,83,24.06,198,823
26,27,27,Kevin Na,84,23.94,209,873
27,28,28,Carl Pettersson,95,23.7,288,1215
28,29,29,Geoff Ogilvy,69,23.65,171,723
29,T30,T30,Tommy Gainey,104,23.61,280,1186
30,T30,T30,Chez Reavie,92,23.61,272,1152
31,T32,T32,Adam Scott,60,23.6,143,606
32,T32,T32,David Toms,78,23.6,202,856
33,34,34,Scott Piercy,78,23.58,182,772
34,35,35,Justin Rose,79,23.57,198,840
35,36,36,Steven Bowditch,86,23.54,217,922
36,37,37,Robert Karlsson,61,23.52,135,574
37,38,38,Ryan Moore,79,23.48,189,805
38,T39,T39,Robert Allenby,84,23.26,217,933
39,T39,T39,Camilo Villegas,69,23.26,170,731
40,T41,T41,Charl Schwartzel,58,23.22,121,521
41,T41,T41,Vijay Singh,79,23.22,215,926
42,43,43,Brandt Jobe,100,23.16,261,1127
43,44,44,Brendan Steele,89,23.05,240,1041
44,T45,T45,Jonathan Byrd,83,23.04,218,946
45,T45,T45,Pat Perez,76,23.04,221,959
46,47,47,Bill Haas,93,22.96,220,958
47,48,48,Ben Martin,74,22.91,200,873
48,49,49,Zach Johnson,79,22.88,213,931
