,Left_Rough_Proximity_RANK THIS WEEK,Left_Rough_Proximity_RANK LAST WEEK,Left_Rough_Proximity_PLAYER NAME,Left_Rough_Proximity_ROUNDS,Left_Rough_Proximity_AVG,Left_Rough_Proximity_ATTEMPTS,Left_Rough_Proximity_TOTAL DISTANCE (FEET),Left_Rough_Proximity_RELATIVE TO PAR
0,T1,T1,Davis Love III,70,"36' 2""",101,3654.417,+3.00
1,T1,T1,John Rollins,85,"36' 2""",77,2783.25,+3.00
2,T1,T1,Vijay Singh,79,"36' 2""",129,4666.667,+3.00
3,4,4,Heath Slocum,89,"36' 7""",107,3915.0,+12.00
4,5,5,J.P. Hayes,56,"37' 4""",76,2835.75,+6.00
5,6,6,Chris DiMarco,93,"37' 8""",117,4405.25,+21.00
6,7,7,Zack Miller,86,"37' 9""",118,4454.583,+17.00
7,8,8,D.J. Brigman,67,"37' 10""",108,4087.0,+17.00
8,T9,T9,Chez Reavie,92,"38' 0""",121,4595.167,+20.00
9,T9,T9,Boo Weekley,66,"38' 0""",87,3304.583,+17.00
10,T11,T11,Jason Dufner,78,"38' 3""",89,3405.333,+10.00
11,T11,T11,George McNeill,69,"38' 3""",87,3326.167,+8.00
12,T13,T13,Brian Gay,90,"38' 4""",79,3028.083,+4.00
13,T13,T13,Fabián Gómez,84,"38' 4""",112,4294.583,+19.00
14,T13,T13,Bubba Watson,85,"38' 4""",111,4252.417,E
15,16,16,David Mathis,83,"38' 6""",89,3428.083,+11.00
16,17,17,Harrison Frazar,58,"38' 7""",97,3743.75,+16.00
17,18,18,Brandt Snedeker,85,"38' 8""",131,5069.833,+3.00
18,T19,T19,David Duval,67,"38' 9""",129,4995.333,+29.00
19,T19,T19,Rocco Mediate,53,"38' 9""",72,2787.167,+17.00
20,21,21,Ricky Barnes,78,"38' 10""",124,4816.833,+13.00
21,22,22,Martin Laird,77,"39' 0""",93,3623.917,E
22,T23,T23,Charles Howell III,108,"39' 3""",126,4946.5,-1.00
23,T23,T23,D.J. Trahan,91,"39' 3""",147,5765.5,+19.00
24,T25,T25,Scott Stallings,84,"39' 4""",104,4088.167,+19.00
25,T25,T25,Y.E. Yang,63,"39' 4""",84,3307.25,+1.00
26,T27,T27,Chris Couch,73,"39' 5""",105,4141.083,+5.00
27,T27,T27,Carl Pettersson,95,"39' 5""",162,6380.1669999999995,+16.00
28,29,29,Ryuji Imada,83,"39' 6""",147,5803.9169999999995,+11.00
29,30,30,Charl Schwartzel,58,"39' 8""",65,2578.667,+11.00
30,31,31,Mark Wilson,89,"39' 10""",95,3781.917,+21.00
31,32,32,Kris Blanks,92,"39' 11""",113,4512.0,+18.00
32,T33,T33,Ángel Cabrera,50,"40' 0""",91,3641.333,+14.00
33,T33,T33,Rickie Fowler,84,"40' 0""",110,4403.583,-4.00
34,35,35,Phil Mickelson,79,"40' 2""",123,4942.917,E
35,36,36,Chris Kirk,87,"40' 3""",141,5680.8330000000005,+13.00
36,T37,T37,Chad Campbell,99,"40' 4""",118,4761.5,+24.00
37,T37,T37,Dustin Johnson,72,"40' 4""",97,3909.75,+11.00
38,T37,T37,Bill Lunde,92,"40' 4""",118,4756.0,+21.00
39,T37,T37,Will Strickler,51,"40' 4""",70,2824.25,+18.00
40,T41,T41,Matt Kuchar,94,"40' 5""",127,5135.917,-5.00
41,T41,T41,Chris Stroud,88,"40' 5""",125,5049.833,+18.00
42,T43,T43,Woody Austin,59,"40' 6""",79,3201.667,+18.00
43,T43,T43,Tom Gillis,55,"40' 6""",96,3887.333,+22.00
44,T45,T45,Sung Kang,63,"40' 7""",88,3571.417,+20.00
45,T45,T45,Shaun Micheel,77,"40' 7""",126,5110.0,+16.00
46,T47,T47,Cameron Beckman,71,"40' 8""",123,4998.583,+22.00
47,T47,T47,Brian Davis,105,"40' 8""",97,3941.667,+11.00
48,T49,T49,Steve Elkington,50,"40' 9""",42,1712.8329999999999,+4.00
49,T49,T49,Bill Haas,93,"40' 9""",145,5914.6669999999995,+8.00
50,T51,T51,Robert Garrigus,83,"40' 10""",134,5471.0,-2.00
51,T51,T51,Graeme McDowell,50,"40' 10""",52,2123.917,+12.00
52,T51,T51,Kevin Stadler,88,"40' 10""",146,5959.5830000000005,+27.00
53,54,54,Marc Leishman,87,"40' 11""",128,5241.083,+14.00
54,T55,T55,Stewart Cink,72,"41' 0""",98,4018.833,+9.00
55,T55,T55,Paul Goydos,81,"41' 0""",115,4710.333,+22.00
56,57,57,Troy Merritt,63,"41' 1""",93,3817.167,+17.00
57,T58,T58,Zach Johnson,79,"41' 2""",87,3579.0,+18.00
58,T58,T58,Sean O'Hair,71,"41' 2""",112,4607.5,+9.00
59,T60,T60,Steven Bowditch,86,"41' 3""",197,8126.0830000000005,+30.00
60,T60,T60,Jim Herman,69,"41' 3""",116,4783.25,+11.00
61,T62,T62,Joe Ogilvie,75,"41' 4""",134,5537.0830000000005,+20.00
62,T62,T62,Andres Romero,77,"41' 4""",132,5456.1669999999995,+29.00
63,T64,T64,Daniel Summerhays,75,"41' 5""",94,3894.583,+17.00
64,T64,T64,Nick Watney,80,"41' 5""",118,4888.0,+8.00
65,66,66,Jhonattan Vegas,84,"41' 6""",161,6684.25,+15.00
66,T67,T67,Ben Curtis,66,"41' 7""",106,4405.5,+16.00
67,T67,T67,Marc Turnesa,54,"41' 7""",67,2787.5,+5.00
68,T69,T69,Lucas Glover,74,"41' 10""",116,4850.333,+12.00
69,T69,T69,Scott Gutschewski,67,"41' 10""",110,4600.5,+37.00
70,T71,T71,Jim Furyk,87,"41' 11""",94,3939.083,+18.00
71,T71,T71,Troy Matteson,91,"41' 11""",143,5990.4169999999995,+21.00
72,73,73,Retief Goosen,50,"42' 0""",61,2560.667,+5.00
73,74,74,Billy Mayfair,94,"42' 1""",119,5008.417,+17.00
74,T75,T75,Shane Bertsch,62,"42' 2""",73,3080.167,+10.00
75,T75,T75,Charley Hoffman,93,"42' 2""",117,4932.917,+14.00
76,T75,T75,Aron Price,58,"42' 2""",67,2824.667,+18.00
77,T75,T75,Roland Thatcher,67,"42' 2""",122,5144.75,+21.00
78,T79,T79,Alex Cejka,59,"42' 3""",72,3044.083,+7.00
79,T79,T79,Tommy Gainey,104,"42' 3""",165,6977.5,+17.00
80,T79,T79,Hunter Haas,96,"42' 3""",159,6722.25,+22.00
81,T79,T79,Geoff Ogilvy,69,"42' 3""",90,3799.333,+10.00
82,T79,T79,Rod Pampling,72,"42' 3""",95,4017.0,+16.00
83,T84,T84,Kevin Chappell,78,"42' 4""",95,4023.667,+23.00
84,T84,T84,Andres Gonzales,60,"42' 4""",73,3090.333,+11.00
85,86,86,Bobby Gates,82,"42' 5""",115,4876.583,+31.00
86,87,87,Ben Martin,74,"42' 6""",98,4166.417,+32.00
87,T88,T88,Colt Knost,80,"42' 8""",102,4352.917,+17.00
88,T88,T88,Josh Teater,104,"42' 8""",132,5637.4169999999995,+22.00
89,T90,T90,Jason Bohn,74,"42' 10""",115,4929.917,+20.00
90,T90,T90,J.B. Holmes,57,"42' 10""",104,4451.167,-1.00
91,92,92,William McGirt,103,"42' 11""",173,7424.25,+10.00
92,T93,T93,Aaron Baddeley,77,"43' 0""",125,5377.5,+7.00
93,T93,T93,Richard Johnson,64,"43' 0""",114,4899.083,+17.00
94,T93,T93,Kevin Streelman,90,"43' 0""",84,3611.583,+14.00
95,T96,T96,Robert Allenby,84,"43' 1""",124,5339.0,+10.00
96,T96,T96,Spencer Levin,113,"43' 1""",186,8019.25,+32.00
97,T96,T96,Gary Woodland,93,"43' 1""",154,6632.0830000000005,+20.00
98,99,99,Webb Simpson,98,"43' 2""",155,6690.5830000000005,+22.00
99,100,100,Pat Perez,76,"43' 3""",105,4543.167,+17.00
100,101,101,Steve Stricker,70,"43' 4""",98,4250.417,+4.00
101,T102,T102,Derek Lamely,65,"43' 5""",150,6517.9169999999995,+30.00
102,T102,T102,John Merrick,71,"43' 5""",68,2950.75,+20.00
103,T102,T102,Paul Stankowski,78,"43' 5""",140,6084.0,+14.00
104,105,105,Brendon de Jonge,105,"43' 6""",152,6611.3330000000005,+23.00
105,T106,T106,Michael Bradley,74,"43' 7""",128,5580.8330000000005,+16.00
106,T106,T106,Brandt Jobe,100,"43' 7""",111,4833.5,+24.00
107,T106,T106,Alex Prugh,82,"43' 7""",143,6236.0,+45.00
108,T109,T109,Jonathan Byrd,83,"43' 8""",134,5847.3330000000005,+8.00
109,T109,T109,Justin Rose,79,"43' 8""",93,4058.0,+9.00
110,111,111,Vaughn Taylor,89,"43' 11""",157,6900.1669999999995,+36.00
111,112,112,Keegan Bradley,91,"44' 0""",146,6425.5830000000005,+38.00
112,113,113,Trevor Immelman,84,"44' 2""",113,4995.0,-4.00
113,114,114,Bryce Molder,82,"44' 3""",72,3184.333,+2.00
114,115,115,Justin Hicks,60,"44' 4""",72,3191.583,+21.00
115,T116,T116,Padraig Harrington,60,"44' 5""",99,4394.333,+4.00
116,T116,T116,Freddie Jacobson,92,"44' 5""",118,5239.75,+17.00
117,T116,T116,Ian Poulter,52,"44' 5""",56,2489.333,+2.00
118,T116,T116,Tag Ridings,87,"44' 5""",145,6439.75,+30.00
119,T116,T116,Nate Smith,66,"44' 5""",86,3819.75,+22.00
120,T116,T116,Camilo Villegas,69,"44' 5""",83,3683.583,+7.00
121,122,122,Matt Jones,71,"44' 6""",116,5159.167,+13.00
122,T123,T123,Sergio Garcia,61,"44' 7""",83,3697.5,+7.00
123,T123,T123,Anthony Kim,72,"44' 7""",156,6950.0830000000005,+29.00
124,T125,T125,Jason Day,76,"44' 8""",124,5536.5,+15.00
125,T125,T125,Jeff Overton,92,"44' 8""",115,5136.75,+18.00
126,T127,T127,Michael Connell,76,"44' 9""",134,6000.0830000000005,+29.00
127,T127,T127,Kevin Kisner,70,"44' 9""",114,5105.417,+15.00
128,T127,T127,John Senden,94,"44' 9""",135,6041.75,+15.00
