,Average_Approach_Distance_-_Bogey_or_Worse_RANK THIS WEEK,Average_Approach_Distance_-_Bogey_or_Worse_RANK LAST WEEK,Average_Approach_Distance_-_Bogey_or_Worse_PLAYER NAME,Average_Approach_Distance_-_Bogey_or_Worse_ROUNDS,Average_Approach_Distance_-_Bogey_or_Worse_AVG (YARDS),Average_Approach_Distance_-_Bogey_or_Worse_TOTAL DISTANCE (INCHES),Average_Approach_Distance_-_Bogey_or_Worse_NUMBER OF APPROACH SHOTS
0,1,1,Steven Bowditch,86,148.3,1473848.0,276
1,2,2,Jim Renner,65,152.5,873115.0,159
2,3,3,Bill Lunde,92,152.6,1230782.0,224
3,4,4,Derek Lamely,65,153.0,1206097.0,219
4,5,5,Stuart Appleby,65,153.3,1114753.0,202
5,6,6,Shaun Micheel,77,153.4,1121393.0,203
6,7,7,Andres Romero,77,153.6,1238645.0,224
7,8,8,Graeme McDowell,50,154.1,610111.0,110
8,T9,T9,Tom Gillis,55,154.2,893602.0,161
9,T9,T9,Josh Teater,104,154.2,1587197.0,286
10,11,11,David Duval,67,154.3,1127361.0,203
11,12,12,Zack Miller,86,154.5,1574263.0,283
12,13,13,Steve Elkington,50,154.7,640559.0,115
13,14,14,Keegan Bradley,91,155.0,1361920.0,244
14,T15,T15,Tommy Gainey,104,155.1,1574137.0,282
15,T15,T15,Trevor Immelman,84,155.1,927087.0,166
16,17,17,Will Strickler,51,155.6,918578.0,164
17,18,18,Billy Horschel,75,155.8,1082394.0,193
18,T19,T19,Andres Gonzales,60,156.1,854114.0,152
19,T19,T19,Matt McQuillan,59,156.1,825897.0,147
20,T19,T19,Bo Van Pelt,92,156.1,1118483.0,199
21,22,22,Lee Janzen,62,156.2,967140.0,172
22,T23,T23,Bobby Gates,82,156.3,1372859.0,244
23,T23,T23,Nate Smith,66,156.3,961991.0,171
24,T23,T23,Garrett Willis,71,156.3,1091482.0,194
25,T26,T26,Freddie Jacobson,92,156.4,1047327.0,186
26,T26,T26,Troy Matteson,91,156.4,1407557.0,250
27,28,28,J.B. Holmes,57,156.5,822466.0,146
28,29,29,Ryan Palmer,82,156.6,992492.0,176
29,T30,T30,Cameron Beckman,71,156.8,1224940.0,217
30,T30,T30,Michael Bradley,74,156.8,1004624.0,178
31,T30,T30,J.J. Henry,96,156.8,1208155.0,214
32,T30,T30,Cameron Tringale,110,156.8,1569708.0,278
33,T34,T34,Webb Simpson,98,156.9,1073136.0,190
34,T34,T34,Boo Weekley,66,156.9,1061704.0,188
35,36,36,Scott Stallings,84,157.1,1261142.0,223
36,T37,T37,Bio Kim,71,157.3,1279503.0,226
37,T37,T37,Troy Merritt,63,157.3,1042109.0,184
38,T37,T37,Kevin Stadler,88,157.3,1313487.0,232
39,40,40,Jonathan Byrd,83,157.5,1066034.0,188
40,T41,T41,Justin Leonard,82,157.6,1174667.0,207
41,T41,T41,Mark Wilson,89,157.6,981759.0,173
42,T43,T43,Kevin Chappell,78,157.7,1067517.0,188
43,T43,T43,Brandt Jobe,100,157.7,1231564.0,217
44,T45,T45,Shane Bertsch,62,157.8,863599.0,152
45,T45,T45,John Rollins,85,157.8,1084903.0,191
