,GIR_Percentage_-_200_yards_RANK THIS WEEK,GIR_Percentage_-_200_yards_RANK LAST WEEK,GIR_Percentage_-_200_yards_PLAYER NAME,GIR_Percentage_-_200_yards_ROUNDS,GIR_Percentage_-_200_yards_%,GIR_Percentage_-_200_yards_GREENS HIT,GIR_Percentage_-_200_yards_TOTAL HOLES,GIR_Percentage_-_200_yards_RELATIVE TO PAR
0,1,1,Jason Day,76,58.33,84,144,-0.18
1,2,2,Robert Allenby,84,58.08,97,167,-0.11
2,3,3,John Senden,94,57.65,113,196,-0.07
3,4,4,Billy Mayfair,94,57.07,109,191,-0.06
4,5,5,Boo Weekley,66,56.9,66,116,-0.06
5,6,6,Adam Scott,60,56.86,58,102,-0.03
6,7,7,Heath Slocum,89,56.59,103,182,-0.14
7,8,8,Hunter Mahan,92,55.85,105,188,-0.02
8,9,9,Bill Haas,93,55.49,91,164,-0.12
9,10,10,Justin Rose,79,55.43,102,184,-0.02
10,11,11,Chez Reavie,92,54.92,106,193,-0.14
11,12,12,Briny Baird,60,54.31,63,116,-0.16
12,13,13,Brendan Steele,89,54.22,90,166,-0.12
13,14,14,Bill Lunde,92,54.14,98,181,-0.04
14,15,15,Ian Poulter,52,54.08,53,98,-0.17
15,16,16,Charles Howell III,108,53.81,106,197,-0.07
16,17,17,Brian Davis,105,53.23,132,248,-0.06
17,18,18,Scott Stallings,84,53.19,75,141,-0.09
18,19,19,Joe Durant,71,52.91,91,172,+0.01
19,20,20,David Toms,78,52.72,97,184,-0.16
20,21,21,J.J. Henry,96,52.68,108,205,-0.08
21,22,22,Nick Watney,80,52.48,74,141,-0.14
22,23,23,Brandt Jobe,100,51.7,91,176,-0.11
23,24,24,Graeme McDowell,50,51.69,46,89,-0.09
24,25,25,Aron Price,58,51.56,66,128,-0.17
25,26,26,Mark Wilson,89,51.52,102,198,-0.15
26,27,27,Trevor Immelman,84,51.46,88,171,-0.14
27,28,28,Lucas Glover,74,51.41,73,142,-0.12
28,29,29,Webb Simpson,98,51.34,96,187,-0.11
29,30,30,Keegan Bradley,91,51.25,82,160,-0.04
30,31,31,Jonathan Byrd,83,51.12,91,178,-0.02
31,32,32,Martin Laird,77,51.06,72,141,-0.10
32,33,33,Jim Furyk,87,50.96,106,208,-0.09
33,34,34,Phil Mickelson,79,50.69,73,144,-0.16
34,35,35,Chad Campbell,99,50.49,104,206,-0.01
35,36,36,Jim Herman,69,50.43,58,115,-0.02
36,37,37,John Merrick,71,50.42,60,119,-0.03
37,38,38,Jhonattan Vegas,84,50.38,67,133,-0.03
38,39,39,Robert Garrigus,83,50.36,69,137,-0.01
39,40,40,Kevin Streelman,90,50.33,76,151,-0.13
40,T41,T41,Chris Couch,73,50.0,72,144,-0.10
41,T41,T41,Ernie Els,71,50.0,77,154,-0.06
42,T41,T41,Bubba Watson,85,50.0,68,136,-0.07
43,44,44,Brandt Snedeker,85,49.7,83,167,-0.12
44,45,45,David Hearn,88,49.67,75,151,+0.03
45,46,46,K.J. Choi,77,49.42,85,172,-0.07
46,47,47,Vijay Singh,79,49.4,82,166,-0.09
47,48,48,John Rollins,85,49.34,75,152,-0.07
48,49,49,Cameron Tringale,110,49.12,111,226,-0.12
49,50,50,D.J. Trahan,91,49.06,78,159,-0.08
50,51,51,Davis Love III,70,49.04,51,104,-0.22
51,52,52,Vaughn Taylor,89,48.84,105,215,-0.16
52,53,53,Gary Woodland,93,48.8,81,166,-0.06
53,54,54,Jason Dufner,78,48.78,80,164,-0.05
54,55,55,Dustin Johnson,72,48.7,56,115,-0.09
