,Average_Distance_to_Hole_After_Tee_Shot_RANK THIS WEEK,Average_Distance_to_Hole_After_Tee_Shot_RANK LAST WEEK,Average_Distance_to_Hole_After_Tee_Shot_PLAYER NAME,Average_Distance_to_Hole_After_Tee_Shot_ROUNDS,Average_Distance_to_Hole_After_Tee_Shot_AVG,Average_Distance_to_Hole_After_Tee_Shot_TOTAL DIST AFTER TEE SHOT,Average_Distance_to_Hole_After_Tee_Shot_TOTAL TEE SHOTS
0,1,1,J.B. Holmes,57,152.7,3517945.0,640
1,2,2,Dustin Johnson,72,156.4,4189618.0,744
2,3,3,Robert Garrigus,83,156.6,5348800.0,949
3,4,4,Bubba Watson,85,158.4,4648312.0,815
4,5,5,Steven Bowditch,86,160.2,6119694.0,1061
5,6,6,Tag Ridings,87,162.3,5865654.0,1004
6,7,7,Gary Woodland,93,162.4,5593345.0,957
7,8,8,Jhonattan Vegas,84,163.2,5669639.0,965
8,9,9,D.J. Trahan,91,163.3,6695576.0,1139
9,10,10,Josh Teater,104,163.4,7483832.0,1272
10,T11,T11,Adam Scott,60,164.4,3722340.0,629
11,T11,T11,Kyle Stanley,98,164.4,6502653.0,1099
12,13,13,Martin Laird,77,164.6,5056070.0,853
13,14,14,Nick Watney,80,164.8,5067357.0,854
14,15,15,Charley Hoffman,93,164.9,6030872.0,1016
15,T16,T16,Scott Piercy,78,165.0,5114443.0,861
16,T16,T16,Scott Stallings,84,165.0,5632775.0,948
17,18,18,Will Strickler,51,165.1,3477683.0,585
18,19,19,Harrison Frazar,58,165.2,3432063.0,577
19,20,20,Ángel Cabrera,50,165.3,2838266.0,477
20,21,21,Jeff Overton,92,165.4,6020923.0,1011
21,22,22,Alex Prugh,82,165.5,5784157.0,971
22,23,23,Bo Van Pelt,92,165.9,5889432.0,986
23,24,24,Jason Day,76,166.5,4873198.0,813
24,25,25,Davis Love III,70,166.6,4287352.0,715
25,26,26,Boo Weekley,66,166.9,4728948.0,787
26,27,27,Troy Matteson,91,167.1,6684384.0,1111
27,28,28,Ryan Palmer,82,167.3,4897487.0,813
28,29,29,Rickie Fowler,84,167.4,5489052.0,911
29,30,30,John Rollins,85,167.5,5950901.0,987
30,T31,T31,Tommy Gainey,104,167.8,7531111.0,1247
31,T31,T31,Sergio Garcia,61,167.8,3763516.0,623
32,33,33,Chris Couch,73,167.9,5653147.0,935
