,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Graeme McDowell,50,-.130
1,2,2,Luke Donald,73,-.094
2,3,3,Stewart Cink,72,-.065
3,4,4,Shane Bertsch,62,-.041
4,5,5,Sergio Garcia,61,-.034
5,T6,T6,Harrison Frazar,58,-.023
6,T6,T6,Steve Stricker,70,-.023
7,8,8,Ian Poulter,52,-.017
8,T9,T9,Chris Couch,73,E
9,T9,T9,Dustin Johnson,72,E
10,T9,T9,Gary Woodland,93,E
11,T12,T12,J.B. Holmes,57,+.010
12,T12,T12,David Toms,78,+.010
13,14,14,Padraig Harrington,60,+.013
14,15,15,Rory Sabbatini,85,+.014
15,16,16,Ben Curtis,66,+.015
16,17,17,Phil Mickelson,79,+.018
17,18,18,Ben Crane,76,+.020
18,19,19,Retief Goosen,50,+.024
19,20,20,Spencer Levin,113,+.028
20,21,21,Carl Pettersson,95,+.029
21,22,22,Hunter Haas,96,+.033
22,T23,T23,Woody Austin,59,+.038
23,T23,T23,Aaron Baddeley,77,+.038
24,25,25,Nick Watney,80,+.040
25,26,26,Charlie Wi,83,+.042
26,27,27,Charley Hoffman,93,+.043
27,28,28,Billy Mayfair,94,+.044
28,29,29,Rod Pampling,72,+.052
29,30,30,Bubba Watson,85,+.056
30,31,31,Robert Karlsson,61,+.060
31,T32,T32,Stephen Ames,69,+.061
32,T32,T32,Brendon de Jonge,105,+.061
33,T32,T32,Kyle Stanley,98,+.061
34,35,35,Bill Haas,93,+.064
35,36,36,Freddie Jacobson,92,+.070
36,37,37,Keegan Bradley,91,+.071
37,38,38,David Mathis,83,+.072
38,39,39,Tim Herron,85,+.076
39,40,40,Brandt Jobe,100,+.077
40,41,41,Joe Ogilvie,75,+.078
41,42,42,Michael Bradley,74,+.081
42,T43,T43,Steve Flesch,88,+.082
43,T43,T43,Kevin Kisner,70,+.082
44,T43,T43,Webb Simpson,98,+.082
45,T46,T46,Jason Dufner,78,+.083
46,T46,T46,Brandt Snedeker,85,+.083
47,48,48,Steven Bowditch,86,+.086
48,49,49,Martin Laird,77,+.090
49,50,50,Zach Johnson,79,+.091
50,51,51,Davis Love III,70,+.092
51,T52,T52,Kevin Streelman,90,+.093
52,T52,T52,Josh Teater,104,+.093
53,T54,T54,Anthony Kim,72,+.094
54,T54,T54,Mark Wilson,89,+.094
55,56,56,Kevin Stadler,88,+.095
56,57,57,Bill Lunde,92,+.096
57,T58,T58,Geoff Ogilvy,69,+.099
58,T58,T58,Michael Putnam,67,+.099
59,T60,T60,Jim Herman,69,+.100
60,T60,T60,Charles Howell III,108,+.100
61,T60,T60,Justin Leonard,82,+.100
62,63,63,Aron Price,58,+.101
63,64,64,Justin Rose,79,+.102
64,65,65,Robert Garrigus,83,+.104
65,T66,T66,Stuart Appleby,65,+.106
66,T66,T66,K.J. Choi,77,+.106
67,T68,T68,Rickie Fowler,84,+.107
68,T68,T68,Chris Stroud,88,+.107
69,70,70,Kris Blanks,92,+.108
70,71,71,George McNeill,69,+.111
71,72,72,Scott Stallings,84,+.112
72,73,73,Trevor Immelman,84,+.114
73,74,74,Nick O'Hern,89,+.115
74,75,75,Jim Furyk,87,+.117
75,76,76,Adam Scott,60,+.118
76,T77,T77,Jeff Overton,92,+.119
77,T77,T77,Jhonattan Vegas,84,+.119
78,79,79,Kevin Na,84,+.123
79,80,80,Pat Perez,76,+.124
80,81,81,Matt Bettencourt,84,+.125
81,T82,T82,D.A. Points,89,+.126
82,T82,T82,Chris Riley,76,+.126
83,T84,T84,Ricky Barnes,78,+.127
84,T84,T84,Chad Campbell,99,+.127
85,T84,T84,Cameron Tringale,110,+.127
86,87,87,Greg Chalmers,88,+.128
87,T88,T88,William McGirt,103,+.129
88,T88,T88,John Senden,94,+.129
89,T90,T90,Jonathan Byrd,83,+.132
90,T90,T90,Bobby Gates,82,+.132
91,92,92,Jim Renner,65,+.133
92,T93,T93,Kevin Chappell,78,+.135
93,T93,T93,Derek Lamely,65,+.135
94,95,95,John Rollins,85,+.136
95,96,96,Blake Adams,116,+.138
96,T97,T97,Bio Kim,71,+.139
97,T97,T97,John Merrick,71,+.139
98,T99,T99,Marc Leishman,87,+.140
99,T99,T99,Steve Marino,76,+.140
100,T99,T99,Boo Weekley,66,+.140
101,102,102,D.J. Trahan,91,+.145
102,T103,T103,Bo Van Pelt,92,+.150
103,T103,T103,Jimmy Walker,79,+.150
104,105,105,Cameron Beckman,71,+.153
105,T106,T106,Matt Jones,71,+.154
106,T106,T106,Ryan Palmer,82,+.154
107,108,108,Alex Cejka,59,+.159
108,109,109,Colt Knost,80,+.161
109,110,110,Andres Gonzales,60,+.165
110,111,111,Hunter Mahan,92,+.167
111,112,112,Vaughn Taylor,89,+.168
112,T113,T113,Chris Kirk,87,+.169
113,T113,T113,Vijay Singh,79,+.169
114,T115,T115,Bryce Molder,82,+.170
115,T115,T115,Dean Wilson,62,+.170
116,117,117,Scott Piercy,78,+.171
117,118,118,Matt Kuchar,94,+.174
118,T119,T119,Joseph Bramlett,73,+.175
119,T119,T119,Paul Goydos,81,+.175
120,T121,T121,Tommy Gainey,104,+.176
121,T121,T121,Fabián Gómez,84,+.176
122,T121,T121,Y.E. Yang,63,+.176
123,124,124,Tag Ridings,87,+.178
124,125,125,Steve Elkington,50,+.183
125,T126,T126,Matt McQuillan,59,+.184
126,T126,T126,Charl Schwartzel,58,+.184
127,T126,T126,Johnson Wagner,81,+.184
128,129,129,Ernie Els,71,+.185
129,130,130,J.J. Henry,96,+.186
130,131,131,Marc Turnesa,54,+.187
131,132,132,Brian Davis,105,+.188
132,T133,T133,Chris DiMarco,93,+.189
133,T133,T133,Nathan Green,81,+.189
134,135,135,Brian Gay,90,+.191
135,136,136,Martin Piller,63,+.192
136,T137,T137,Jason Day,76,+.193
137,T137,T137,Tim Petrovic,88,+.193
138,T137,T137,Chez Reavie,92,+.193
139,T140,T140,Ryan Moore,79,+.194
140,T140,T140,Sean O'Hair,71,+.194
141,142,142,David Hearn,88,+.195
142,143,143,Ben Martin,74,+.197
143,T144,T144,Michael Connell,76,+.202
144,T144,T144,Joe Durant,71,+.202
145,T144,T144,Kent Jones,76,+.202
146,T144,T144,Zack Miller,86,+.202
147,T148,T148,D.J. Brigman,67,+.203
