,GIR_Pct._-_Fairway_Bunker_RANK THIS WEEK,GIR_Pct._-_Fairway_Bunker_RANK LAST WEEK,GIR_Pct._-_Fairway_Bunker_PLAYER NAME,GIR_Pct._-_Fairway_Bunker_ROUNDS,GIR_Pct._-_Fairway_Bunker_%,GIR_Pct._-_Fairway_Bunker_GREENS HIT,GIR_Pct._-_Fairway_Bunker_# HOLES,GIR_Pct._-_Fairway_Bunker_RELATIVE/PAR
0,1,1,Adam Scott,60,67.7,21,31,-4.00
1,2,2,Kevin Na,84,67.3,35,52,-13.00
2,3,3,William McGirt,103,63.5,54,85,-8.00
3,4,4,Jason Bohn,74,61.9,26,42,-7.00
4,T5,T5,Luke Donald,73,61.0,25,41,-8.00
5,T5,T5,Steve Stricker,70,61.0,25,41,-3.00
6,7,7,D.J. Trahan,91,60.9,39,64,-5.00
7,T8,T8,Rory Sabbatini,85,59.4,38,64,-9.00
8,T8,T8,Charl Schwartzel,58,59.4,19,32,-3.00
9,10,10,Y.E. Yang,63,59.3,16,27,-5.00
10,11,11,Phil Mickelson,79,58.9,43,73,-11.00
11,T12,T12,James Driscoll,71,58.6,34,58,-3.00
12,T12,T12,Hunter Haas,96,58.6,41,70,-13.00
13,14,14,Retief Goosen,50,58.1,18,31,-4.00
14,15,15,Tim Herron,85,57.9,44,76,-8.00
15,16,16,Matt Jones,71,57.4,31,54,-6.00
16,17,17,Bubba Watson,85,56.8,25,44,-1.00
17,18,18,Ricky Barnes,78,56.7,34,60,-7.00
18,19,19,Ben Crane,76,56.6,30,53,-7.00
19,20,20,Robert Garrigus,83,56.5,26,46,-3.00
20,21,21,Richard Johnson,64,56.1,23,41,-7.00
21,22,22,Alex Cejka,59,55.3,21,38,-1.00
22,23,23,Ryuji Imada,83,55.0,33,60,-8.00
23,24,24,Charles Howell III,108,54.9,50,91,-10.00
24,T25,T25,Sergio Garcia,61,54.5,24,44,-6.00
25,T25,T25,Dean Wilson,62,54.5,18,33,-1.00
26,27,27,Kyle Stanley,98,54.4,37,68,-3.00
27,28,28,Vijay Singh,79,54.3,38,70,-9.00
28,29,29,Steve Elkington,50,54.1,20,37,-3.00
29,30,30,Ryan Palmer,82,54.0,34,63,-6.00
30,31,31,Brendan Steele,89,53.9,41,76,E
31,32,32,Brendon de Jonge,105,53.8,42,78,-11.00
32,33,33,Stewart Cink,72,53.7,29,54,-4.00
33,34,34,Rickie Fowler,84,53.2,33,62,-8.00
34,35,35,Geoff Ogilvy,69,52.5,21,40,-2.00
35,36,36,Martin Laird,77,52.0,26,50,+1.00
36,37,37,Ernie Els,71,51.9,27,52,-1.00
37,38,38,Gary Woodland,93,51.3,20,39,-5.00
38,39,39,Chris Kirk,87,51.2,44,86,-14.00
39,T40,T40,Chris Couch,73,51.1,23,45,-1.00
40,T40,T40,Billy Horschel,75,51.1,24,47,-3.00
41,42,42,Davis Love III,70,51.0,25,49,-4.00
42,43,43,Camilo Villegas,69,50.9,27,53,-1.00
43,44,44,Matt Kuchar,94,50.8,31,61,-6.00
44,T45,T45,David Duval,67,50.7,34,67,-8.00
45,T45,T45,Andres Romero,77,50.7,36,71,-3.00
46,T47,T47,Briny Baird,60,50.0,13,26,E
47,T47,T47,Chad Campbell,99,50.0,37,74,+4.00
48,T47,T47,K.J. Choi,77,50.0,26,52,-6.00
49,T47,T47,Steve Flesch,88,50.0,31,62,-7.00
50,T47,T47,Lucas Glover,74,50.0,23,46,-5.00
51,T47,T47,David Hearn,88,50.0,31,62,-6.00
52,T47,T47,Lee Janzen,62,50.0,18,36,-4.00
53,T47,T47,George McNeill,69,50.0,21,42,-2.00
54,T47,T47,John Rollins,85,50.0,26,52,-5.00
55,T47,T47,Will Strickler,51,50.0,23,46,-7.00
56,T47,T47,Vaughn Taylor,89,50.0,31,62,-12.00
57,T47,T47,Bo Van Pelt,92,50.0,33,66,-6.00
58,T47,T47,Boo Weekley,66,50.0,15,30,+1.00
59,T60,T60,Trevor Immelman,84,49.2,30,61,-6.00
60,T60,T60,Hunter Mahan,92,49.2,32,65,-8.00
61,T62,T62,Kevin Streelman,90,49.1,27,55,-8.00
62,T62,T62,Roland Thatcher,67,49.1,26,53,-3.00
63,T62,T62,Mark Wilson,89,49.1,27,55,-4.00
64,65,65,John Merrick,71,49.0,24,49,-3.00
65,66,66,Tag Ridings,87,48.9,23,47,-7.00
66,67,67,Jeff Overton,92,48.6,35,72,-8.00
67,T68,T68,Robert Karlsson,61,48.5,16,33,-1.00
68,T68,T68,Spencer Levin,113,48.5,33,68,-7.00
69,T70,T70,Steven Bowditch,86,48.1,26,54,-9.00
70,T70,T70,David Mathis,83,48.1,26,54,-4.00
71,T72,T72,Joseph Bramlett,73,47.9,23,48,-3.00
72,T72,T72,Nathan Green,81,47.9,23,48,-2.00
73,T72,T72,Billy Mayfair,94,47.9,23,48,-5.00
74,T72,T72,Michael Putnam,67,47.9,23,48,-4.00
75,T76,T76,Freddie Jacobson,92,47.7,31,65,-6.00
76,T76,T76,David Toms,78,47.7,21,44,-7.00
