,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Ian Poulter,52,96.43,81,84,-0.64
1,2,2,Steve Stricker,70,96.06,122,127,-0.67
2,3,3,Justin Leonard,82,95.5,106,111,-0.58
3,4,4,Trevor Immelman,84,94.74,126,133,-0.65
4,5,5,Woody Austin,59,94.0,94,100,-0.55
5,6,6,Dustin Johnson,72,93.85,168,179,-0.66
6,7,7,Kevin Na,84,93.79,151,161,-0.64
7,8,8,Marc Turnesa,54,93.75,60,64,-0.48
8,9,9,Charles Howell III,108,93.72,209,223,-0.64
9,10,10,David Toms,78,93.69,104,111,-0.6
10,11,11,Chez Reavie,92,93.21,151,162,-0.6
11,12,12,Kris Blanks,92,93.02,160,172,-0.59
12,13,13,Webb Simpson,98,92.96,198,213,-0.7
13,14,14,Justin Rose,79,92.77,154,166,-0.66
14,15,15,Luke Donald,73,92.52,99,107,-0.7
15,16,16,Chad Campbell,99,92.12,152,165,-0.6
16,17,17,Bobby Gates,82,91.98,149,162,-0.65
17,18,18,Jason Dufner,78,91.67,110,120,-0.63
18,19,19,Ben Crane,76,91.54,119,130,-0.55
19,20,20,Phil Mickelson,79,91.43,160,175,-0.68
20,T21,T21,Lucas Glover,74,91.41,117,128,-0.77
21,T21,T21,Hunter Mahan,92,91.41,181,198,-0.67
22,23,23,Bryce Molder,82,91.38,106,116,-0.6
23,24,24,Kent Jones,76,91.35,95,104,-0.51
24,25,25,John Merrick,71,91.34,116,127,-0.62
25,26,26,Robert Karlsson,61,91.3,105,115,-0.6
26,27,27,Aron Price,58,91.25,73,80,-0.52
27,28,28,Zach Johnson,79,91.2,114,125,-0.69
28,29,29,Bill Lunde,92,91.11,164,180,-0.59
29,30,30,Ricky Barnes,78,91.1,133,146,-0.62
30,31,31,Josh Teater,104,91.06,224,246,-0.63
31,32,32,Freddie Jacobson,92,91.03,142,156,-0.56
32,33,33,Lee Janzen,62,91.01,81,89,-0.7
33,T34,T34,Retief Goosen,50,90.91,70,77,-0.7
34,T34,T34,Tim Herron,85,90.91,140,154,-0.61
35,T34,T34,Mark Wilson,89,90.91,130,143,-0.61
36,37,37,Kevin Chappell,78,90.85,139,153,-0.62
37,38,38,Nate Smith,66,90.67,68,75,-0.66
38,39,39,Heath Slocum,89,90.65,126,139,-0.63
39,40,40,Billy Mayfair,94,90.57,192,212,-0.6
40,41,41,Scott McCarron,65,90.52,105,116,-0.62
41,42,42,Brandt Jobe,100,90.5,162,179,-0.59
42,43,43,Geoff Ogilvy,69,90.48,95,105,-0.62
43,44,44,Nick Watney,80,90.42,151,167,-0.7
44,45,45,Davis Love III,70,90.32,112,124,-0.61
45,46,46,Boo Weekley,66,90.3,149,165,-0.62
46,47,47,Charl Schwartzel,58,90.29,93,103,-0.59
47,T48,T48,Shane Bertsch,62,90.24,74,82,-0.64
48,T48,T48,Chris Kirk,87,90.24,148,164,-0.66
49,50,50,Y.E. Yang,63,90.11,82,91,-0.71
50,51,51,Spencer Levin,113,90.05,172,191,-0.6
51,52,52,Paul Goydos,81,90.0,108,120,-0.4
52,53,53,Bo Van Pelt,92,89.95,179,199,-0.6
53,54,54,Chris Couch,73,89.84,168,187,-0.7
54,55,55,Michael Bradley,74,89.83,106,118,-0.59
55,T56,T56,Ben Curtis,66,89.8,88,98,-0.52
56,T56,T56,Billy Horschel,75,89.8,132,147,-0.55
57,T58,T58,Aaron Baddeley,77,89.78,167,186,-0.63
58,T58,T58,Cameron Beckman,71,89.78,123,137,-0.59
59,60,60,Sergio Garcia,61,89.76,114,127,-0.67
60,61,61,Rory Sabbatini,85,89.74,140,156,-0.61
61,62,62,Charlie Wi,83,89.73,131,146,-0.6
62,63,63,Kevin Stadler,88,89.56,163,182,-0.52
63,64,64,Daniel Summerhays,75,89.52,111,124,-0.59
64,65,65,Ernie Els,71,89.51,128,143,-0.55
65,66,66,Graeme McDowell,50,89.47,85,95,-0.67
66,67,67,Fabián Gómez,84,89.38,143,160,-0.59
67,68,68,Brandt Snedeker,85,89.36,126,141,-0.76
68,69,69,Brendan Steele,89,89.35,151,169,-0.7
69,70,70,Andres Gonzales,60,89.29,75,84,-0.57
70,T71,T71,Arjun Atwal,91,89.24,141,158,-0.62
71,T71,T71,Tim Petrovic,88,89.24,141,158,-0.59
72,73,73,Joe Ogilvie,75,89.21,124,139,-0.67
73,74,74,J.B. Holmes,57,89.2,157,176,-0.55
74,75,75,Marc Leishman,87,89.18,173,194,-0.64
75,T76,T76,Brian Gay,90,89.16,74,83,-0.65
