,Par_5_Going_for_the_Green_RANK THIS WEEK,Par_5_Going_for_the_Green_RANK LAST WEEK,Par_5_Going_for_the_Green_PLAYER NAME,Par_5_Going_for_the_Green_ROUNDS,Par_5_Going_for_the_Green_%,Par_5_Going_for_the_Green_ATTEMPTS,Par_5_Going_for_the_Green_NON-ATTEMPTS
0,1,1,Bubba Watson,85,75.25,149,49
1,2,2,Robert Garrigus,83,72.77,163,61
2,3,3,Sergio Garcia,61,72.18,96,37
3,4,4,Boo Weekley,66,72.09,124,48
4,5,5,Chris Couch,73,71.83,153,60
5,6,6,Adam Scott,60,68.99,89,40
6,7,7,Bill Haas,93,68.16,152,71
7,8,8,Gary Woodland,93,67.91,146,69
8,9,9,Jhonattan Vegas,84,67.61,144,69
9,10,10,Aaron Baddeley,77,67.36,130,63
10,11,11,Ángel Cabrera,50,67.27,74,36
11,12,12,J.B. Holmes,57,66.88,107,53
12,T13,T13,Charley Hoffman,93,66.67,164,82
13,T13,T13,Dustin Johnson,72,66.67,116,58
14,15,15,Jason Day,76,65.71,115,60
15,16,16,Nick Watney,80,65.61,124,65
16,17,17,Bo Van Pelt,92,65.24,137,73
17,18,18,Steven Bowditch,86,64.53,151,83
18,19,19,Tag Ridings,87,64.52,140,77
19,20,20,Scott Piercy,78,64.47,127,70
20,21,21,Kyle Stanley,98,64.32,155,86
21,22,22,Phil Mickelson,79,64.25,124,69
22,23,23,D.J. Trahan,91,63.05,157,92
23,24,24,John Senden,94,62.65,161,96
24,25,25,Jeff Overton,92,62.62,134,80
25,26,26,Webb Simpson,98,61.75,155,96
26,27,27,Jonathan Byrd,83,61.64,135,84
27,28,28,Andres Romero,77,60.59,123,80
28,29,29,Robert Karlsson,61,60.58,83,54
29,30,30,Rod Pampling,72,60.57,106,69
30,31,31,Josh Teater,104,60.51,167,109
31,32,32,Will Strickler,51,60.16,77,51
32,33,33,Tom Gillis,55,59.85,79,53
33,34,34,Martin Laird,77,59.61,121,82
34,35,35,Ryan Palmer,82,59.39,117,80
35,36,36,Bobby Gates,82,59.24,125,86
36,37,37,Cameron Tringale,110,59.15,168,116
37,38,38,Charl Schwartzel,58,58.59,75,53
38,39,39,Ryan Moore,79,58.51,110,78
39,40,40,George McNeill,69,58.48,100,71
40,41,41,Jimmy Walker,79,58.45,128,91
41,42,42,Scott McCarron,65,58.23,92,66
42,43,43,Joseph Bramlett,73,58.06,108,78
43,44,44,Sung Kang,63,57.79,89,65
44,45,45,Lucas Glover,74,57.78,104,76
45,46,46,Kevin Chappell,78,57.75,108,79
46,47,47,Matt Bettencourt,84,57.58,133,98
47,48,48,Marc Leishman,87,57.09,141,106
48,49,49,D.A. Points,89,56.9,132,100
49,50,50,Jim Herman,69,56.82,100,76
50,51,51,Robert Allenby,84,56.81,121,92
51,52,52,Anthony Kim,72,56.8,96,73
52,53,53,Keegan Bradley,91,56.52,130,100
53,54,54,Rory Sabbatini,85,56.32,107,83
54,55,55,Kevin Stadler,88,56.28,130,101
55,56,56,James Driscoll,71,56.08,106,83
56,57,57,Derek Lamely,65,55.98,103,81
57,58,58,Steve Marino,76,55.96,108,85
58,59,59,Michael Putnam,67,55.84,86,68
59,60,60,Hunter Mahan,92,55.7,132,105
60,61,61,Matt Jones,71,55.66,118,94
61,62,62,John Rollins,85,55.45,122,98
62,63,63,Y.E. Yang,63,55.28,68,55
63,64,64,Troy Matteson,91,55.21,143,116
64,65,65,Kevin Streelman,90,55.2,122,99
65,66,66,Justin Rose,79,55.12,113,92
66,67,67,Ricky Barnes,78,54.79,103,85
67,68,68,Zack Miller,86,54.74,127,105
68,T69,T69,Tommy Gainey,104,54.58,149,124
69,T69,T69,J.J. Henry,96,54.58,137,114
70,71,71,Charles Howell III,108,54.55,150,125
71,72,72,Carl Pettersson,95,54.37,143,120
72,73,73,Scott Gutschewski,67,53.53,91,79
73,74,74,Chez Reavie,92,53.33,136,119
74,75,75,John Merrick,71,53.29,89,78
75,76,76,Ernie Els,71,53.07,95,84
76,77,77,Jim Renner,65,53.05,87,77
77,78,78,Vijay Singh,79,52.97,116,103
78,79,79,Hunter Haas,96,52.96,143,127
79,80,80,Harrison Frazar,58,52.89,64,57
80,81,81,Billy Horschel,75,52.88,101,90
81,82,82,Billy Mayfair,94,52.85,139,124
82,83,83,Matt Kuchar,94,52.17,108,99
83,84,84,Bio Kim,71,51.98,92,85
84,85,85,Davis Love III,70,51.92,81,75
85,86,86,Rickie Fowler,84,51.72,105,98
86,87,87,Jason Bohn,74,51.42,109,103
87,88,88,Kevin Na,84,51.39,111,105
88,T89,T89,D.J. Brigman,67,51.28,80,76
89,T89,T89,Chris Kirk,87,51.28,120,114
90,T89,T89,Graeme McDowell,50,51.28,60,57
91,92,92,Brandt Jobe,100,50.39,128,126
92,93,93,Troy Merritt,63,50.29,87,86
93,94,94,Ben Martin,74,50.25,102,101
94,95,95,Alex Prugh,82,50.23,111,110
95,96,96,Chris Stroud,88,50.21,118,117
96,97,97,Brian Davis,105,50.17,146,145
97,98,98,Brandt Snedeker,85,50.0,97,97
98,99,99,Paul Stankowski,78,49.74,97,98
99,100,100,Steve Stricker,70,49.71,85,86
100,101,101,Andres Gonzales,60,49.63,67,68
101,102,102,Fabián Gómez,84,49.54,107,109
102,103,103,Camilo Villegas,69,49.42,85,87
103,104,104,Sean O'Hair,71,49.4,82,84
104,105,105,Brendan Steele,89,49.38,119,122
105,106,106,Pat Perez,76,49.34,112,115
106,107,107,Cameron Beckman,71,48.73,96,101
107,108,108,Bill Lunde,92,48.62,123,130
108,109,109,Scott Stallings,84,48.31,100,107
109,110,110,Freddie Jacobson,92,48.26,97,104
110,T111,T111,Spencer Levin,113,48.2,134,144
111,T111,T111,Jarrod Lyle,83,48.2,107,115
112,113,113,Padraig Harrington,60,48.18,66,71
113,114,114,Roland Thatcher,67,48.13,90,97
114,115,115,Brendon de Jonge,105,48.06,136,147
115,116,116,Retief Goosen,50,48.0,60,65
116,117,117,Chad Campbell,99,47.88,124,135
117,118,118,Nathan Green,81,47.83,99,108
118,119,119,Tim Herron,85,47.79,108,118
119,120,120,Stuart Appleby,65,47.43,83,92
120,121,121,Ben Crane,76,47.25,86,96
121,122,122,Alexandre Rocha,65,47.1,65,73
122,123,123,Geoff Ogilvy,69,46.75,72,82
123,124,124,Daniel Summerhays,75,46.57,95,109
124,125,125,Luke Donald,73,46.54,74,85
125,126,126,William McGirt,103,46.3,125,145
126,127,127,Stewart Cink,72,46.29,81,94
127,128,128,Garrett Willis,71,46.11,89,104
128,129,129,Joe Ogilvie,75,45.56,82,98
129,130,130,J.P. Hayes,56,45.51,71,85
130,131,131,Zach Johnson,79,45.41,89,107
131,132,132,Jason Dufner,78,45.36,88,106
132,133,133,Kris Blanks,92,45.06,114,139
133,134,134,Lee Janzen,62,45.03,68,83
134,135,135,Michael Thompson,79,44.88,92,113
135,136,136,K.J. Choi,77,44.81,82,101
136,137,137,David Duval,67,44.62,83,103
137,138,138,Ryuji Imada,83,44.4,103,129
138,139,139,Michael Bradley,74,44.19,76,96
139,140,140,Blake Adams,116,44.1,142,180
140,141,141,Trevor Immelman,84,44.06,89,113
141,T142,T142,Alex Cejka,59,43.95,69,88
142,T142,T142,Martin Piller,63,43.95,69,88
143,144,144,Charlie Wi,83,43.93,105,134
144,145,145,Rich Beem,53,43.84,64,82
145,146,146,Mark Wilson,89,43.72,94,121
146,147,147,Steve Elkington,50,43.66,62,80
147,148,148,Steve Flesch,88,43.58,95,123
148,149,149,Arjun Atwal,91,43.37,108,141
149,150,150,Matt McQuillan,59,43.17,60,79
150,151,151,Kevin Kisner,70,43.11,72,95
151,152,152,Aron Price,58,43.07,59,78
152,153,153,Tim Petrovic,88,43.04,102,135
153,154,154,Woody Austin,59,42.95,67,89
154,155,155,Ian Poulter,52,42.86,51,68
155,156,156,Jerry Kelly,85,41.71,78,109
156,157,157,Stephen Ames,69,41.67,75,105
157,158,158,Vaughn Taylor,89,41.34,105,149
158,159,159,Greg Chalmers,88,41.28,97,138
159,160,160,Joe Durant,71,41.24,80,114
160,T161,T161,David Hearn,88,41.01,89,128
161,T161,T161,David Toms,78,41.01,73,105
162,163,163,Rocco Mediate,53,40.99,66,95
163,164,164,Kent Jones,76,40.96,77,111
164,165,165,Heath Slocum,89,40.93,88,127
165,166,166,Jim Furyk,87,40.19,84,125
166,167,167,Shane Bertsch,62,40.0,60,90
167,168,168,Chris DiMarco,93,39.92,97,146
168,169,169,Justin Hicks,60,39.37,50,77
169,170,170,Briny Baird,60,39.29,55,85
170,171,171,Shaun Micheel,77,38.5,77,123
171,172,172,Ben Curtis,66,38.04,70,114
172,T173,T173,Michael Connell,76,37.74,80,132
173,T173,T173,Chris Riley,76,37.74,80,132
174,175,175,Johnson Wagner,81,37.5,78,130
175,176,176,David Mathis,83,36.45,74,129
176,177,177,Dean Wilson,62,36.11,65,115
177,178,178,Marc Turnesa,54,35.97,50,89
178,179,179,Justin Leonard,82,35.09,80,148
179,180,180,Colt Knost,80,34.85,69,129
180,181,181,Bryce Molder,82,33.18,74,149
181,182,182,Nate Smith,66,32.08,51,108
182,183,183,Nick O'Hern,89,31.22,74,163
183,184,184,Richard Johnson,64,28.31,47,119
184,185,185,Paul Goydos,81,27.47,64,169
185,186,186,Brian Gay,90,25.68,57,165
