,Approach_125-150_yards_RTP_Score_RANK THIS WEEK,Approach_125-150_yards_RTP_Score_RANK LAST WEEK,Approach_125-150_yards_RTP_Score_PLAYER NAME,Approach_125-150_yards_RTP_Score_ROUNDS,Approach_125-150_yards_RTP_Score_AVG RTP
0,1,1,Steve Stricker,70,-0.292
1,2,2,Matt Kuchar,94,-0.257
2,3,3,Robert Allenby,84,-0.245
3,4,4,Gary Woodland,93,-0.233
4,5,5,Justin Rose,79,-0.231
5,6,6,Zach Johnson,79,-0.22399999999999998
6,7,7,Ryan Moore,79,-0.217
7,T8,T8,Shane Bertsch,62,-0.209
8,T8,T8,Brendon de Jonge,105,-0.209
9,T8,T8,Retief Goosen,50,-0.209
10,11,11,Arjun Atwal,91,-0.207
11,12,12,Bill Haas,93,-0.20600000000000002
12,13,13,Hunter Mahan,92,-0.2
13,14,14,Woody Austin,59,-0.192
14,15,15,Brian Gay,90,-0.188
15,16,16,Nathan Green,81,-0.187
16,17,17,Aaron Baddeley,77,-0.183
17,18,18,Rod Pampling,72,-0.182
18,T19,T19,Ryuji Imada,83,-0.179
19,T19,T19,Charl Schwartzel,58,-0.179
20,21,21,John Senden,94,-0.17600000000000002
21,22,22,Brandt Snedeker,85,-0.175
22,23,23,Webb Simpson,98,-0.168
23,24,24,Vaughn Taylor,89,-0.16699999999999998
24,25,25,Charlie Wi,83,-0.163
25,26,26,Adam Scott,60,-0.162
26,27,27,Andres Romero,77,-0.16
27,T28,T28,Jason Dufner,78,-0.158
28,T28,T28,Chez Reavie,92,-0.158
29,30,30,Ian Poulter,52,-0.157
30,T31,T31,Nick O'Hern,89,-0.156
31,T31,T31,John Rollins,85,-0.156
32,33,33,Ben Crane,76,-0.154
33,34,34,Jerry Kelly,85,-0.152
34,35,35,Kevin Stadler,88,-0.151
35,36,36,Jason Day,76,-0.15
36,T37,T37,William McGirt,103,-0.14800000000000002
37,T37,T37,Kevin Streelman,90,-0.14800000000000002
38,39,39,David Hearn,88,-0.146
39,40,40,Luke Donald,73,-0.14400000000000002
40,T41,T41,Lucas Glover,74,-0.14300000000000002
41,T41,T41,Tim Petrovic,88,-0.14300000000000002
42,T41,T41,Carl Pettersson,95,-0.14300000000000002
43,T44,T44,Martin Laird,77,-0.139
44,T44,T44,Pat Perez,76,-0.139
45,T44,T44,Roland Thatcher,67,-0.139
46,47,47,Spencer Levin,113,-0.138
47,T48,T48,Jeff Overton,92,-0.13699999999999998
48,T48,T48,Vijay Singh,79,-0.13699999999999998
49,T50,T50,Alex Cejka,59,-0.136
50,T50,T50,Greg Chalmers,88,-0.136
51,52,52,Lee Janzen,62,-0.135
52,53,53,Garrett Willis,71,-0.134
53,54,54,Bryce Molder,82,-0.133
54,T55,T55,Freddie Jacobson,92,-0.132
55,T55,T55,Nick Watney,80,-0.132
56,57,57,Rickie Fowler,84,-0.13
57,T58,T58,Rich Beem,53,-0.126
58,T58,T58,Sergio Garcia,61,-0.126
59,60,60,Anthony Kim,72,-0.125
60,T61,T61,Joseph Bramlett,73,-0.124
61,T61,T61,Tim Herron,85,-0.124
62,T63,T63,Chris Kirk,87,-0.12300000000000001
63,T63,T63,Scott Stallings,84,-0.12300000000000001
64,T65,T65,Brandt Jobe,100,-0.121
65,T65,T65,Bill Lunde,92,-0.121
66,T67,T67,Robert Karlsson,61,-0.12
67,T67,T67,Rory Sabbatini,85,-0.12
68,T69,T69,Ben Curtis,66,-0.11900000000000001
69,T69,T69,Tommy Gainey,104,-0.11900000000000001
70,71,71,Phil Mickelson,79,-0.11699999999999999
71,72,72,Troy Merritt,63,-0.11599999999999999
72,73,73,Josh Teater,104,-0.115
73,74,74,Chad Campbell,99,-0.114
74,75,75,Ernie Els,71,-0.113
75,T76,T76,Davis Love III,70,-0.11199999999999999
76,T76,T76,Billy Mayfair,94,-0.11199999999999999
77,78,78,Johnson Wagner,81,-0.11
78,T79,T79,John Merrick,71,-0.109
79,T79,T79,D.J. Trahan,91,-0.109
80,T81,T81,Jonathan Byrd,83,-0.10800000000000001
81,T81,T81,David Duval,67,-0.10800000000000001
82,T81,T81,Chris Stroud,88,-0.10800000000000001
83,84,84,David Toms,78,-0.107
84,T85,T85,Hunter Haas,96,-0.106
85,T85,T85,Scott Piercy,78,-0.106
86,T85,T85,Alexandre Rocha,65,-0.106
87,T88,T88,Matt Bettencourt,84,-0.105
88,T88,T88,Ángel Cabrera,50,-0.105
89,T88,T88,Michael Thompson,79,-0.105
90,T91,T91,Blake Adams,116,-0.10300000000000001
91,T91,T91,Steve Marino,76,-0.10300000000000001
92,T91,T91,Nate Smith,66,-0.10300000000000001
93,T91,T91,Bo Van Pelt,92,-0.10300000000000001
94,95,95,Padraig Harrington,60,-0.102
95,96,96,Kevin Chappell,78,-0.10099999999999999
96,97,97,Billy Horschel,75,-0.1
97,98,98,Jim Furyk,87,-0.099
98,T99,T99,K.J. Choi,77,-0.098
99,T99,T99,Ryan Palmer,82,-0.098
100,T99,T99,Aron Price,58,-0.098
101,T102,T102,Chris DiMarco,93,-0.096
102,T102,T102,Troy Matteson,91,-0.096
103,T102,T102,Kyle Stanley,98,-0.096
104,105,105,Rocco Mediate,53,-0.094
105,T106,T106,Cameron Beckman,71,-0.09300000000000001
106,T106,T106,Stewart Cink,72,-0.09300000000000001
107,T106,T106,Steve Elkington,50,-0.09300000000000001
108,T106,T106,J.B. Holmes,57,-0.09300000000000001
109,110,110,Jhonattan Vegas,84,-0.092
110,T111,T111,Chris Couch,73,-0.09
111,T111,T111,Harrison Frazar,58,-0.09
112,113,113,Michael Bradley,74,-0.08900000000000001
113,T114,T114,J.P. Hayes,56,-0.08800000000000001
114,T114,T114,Mark Wilson,89,-0.08800000000000001
115,116,116,Paul Goydos,81,-0.085
116,117,117,George McNeill,69,-0.083
117,118,118,Cameron Tringale,110,-0.08199999999999999
118,T119,T119,Trevor Immelman,84,-0.081
119,T119,T119,Michael Putnam,67,-0.081
120,121,121,Charley Hoffman,93,-0.079
121,T122,T122,Briny Baird,60,-0.078
122,T122,T122,Paul Stankowski,78,-0.078
123,T124,T124,Ricky Barnes,78,-0.077
124,T124,T124,Charles Howell III,108,-0.077
125,T124,T124,Justin Leonard,82,-0.077
126,T124,T124,Joe Ogilvie,75,-0.077
127,T124,T124,Dean Wilson,62,-0.077
128,129,129,Michael Connell,76,-0.076
129,T130,T130,Joe Durant,71,-0.07400000000000001
130,T130,T130,Robert Garrigus,83,-0.07400000000000001
131,T130,T130,Jim Renner,65,-0.07400000000000001
132,T130,T130,Chris Riley,76,-0.07400000000000001
133,134,134,Jimmy Walker,79,-0.07200000000000001
134,T135,T135,Scott Gutschewski,67,-0.071
135,T135,T135,Matt McQuillan,59,-0.071
136,137,137,David Mathis,83,-0.07
137,T138,T138,Keegan Bradley,91,-0.068
138,T138,T138,Andres Gonzales,60,-0.068
139,140,140,Alex Prugh,82,-0.067
140,141,141,Shaun Micheel,77,-0.065
141,142,142,Derek Lamely,65,-0.064
142,143,143,D.A. Points,89,-0.063
143,T144,T144,Brian Davis,105,-0.061
144,T144,T144,Kevin Na,84,-0.061
145,T146,T146,J.J. Henry,96,-0.059000000000000004
146,T146,T146,Ben Martin,74,-0.059000000000000004
147,148,148,Dustin Johnson,72,-0.055999999999999994
148,149,149,Jarrod Lyle,83,-0.054000000000000006
149,150,150,Kris Blanks,92,-0.051
150,T151,T151,Richard Johnson,64,-0.05
151,T151,T151,Brendan Steele,89,-0.05
152,T153,T153,Stephen Ames,69,-0.049
153,T153,T153,Bobby Gates,82,-0.049
154,155,155,Scott McCarron,65,-0.048
155,156,156,Jason Bohn,74,-0.045
156,157,157,Steve Flesch,88,-0.044000000000000004
157,158,158,Y.E. Yang,63,-0.043
158,T159,T159,Kent Jones,76,-0.042
159,T159,T159,Geoff Ogilvy,69,-0.042
160,161,161,Colt Knost,80,-0.040999999999999995
161,T162,T162,Stuart Appleby,65,-0.04
162,T162,T162,D.J. Brigman,67,-0.04
163,164,164,Steven Bowditch,86,-0.039
164,165,165,Bubba Watson,85,-0.038
165,166,166,James Driscoll,71,-0.037000000000000005
166,167,167,Fabián Gómez,84,-0.036000000000000004
167,168,168,Boo Weekley,66,-0.035
168,T169,T169,Matt Jones,71,-0.034
169,T169,T169,Sung Kang,63,-0.034
170,171,171,Jim Herman,69,-0.033
171,172,172,Heath Slocum,89,-0.032
172,173,173,Bio Kim,71,-0.028999999999999998
173,T174,T174,Kevin Kisner,70,-0.027999999999999997
174,T174,T174,Tag Ridings,87,-0.027999999999999997
175,176,176,Marc Leishman,87,-0.026000000000000002
176,177,177,Camilo Villegas,69,-0.022000000000000002
177,178,178,Marc Turnesa,54,-0.019
178,179,179,Sean O'Hair,71,-0.015
179,180,180,Daniel Summerhays,75,-0.013999999999999999
180,181,181,Martin Piller,63,-0.01
181,182,182,Zack Miller,86,0.026000000000000002
182,T183,T183,Graeme McDowell,50,0.027000000000000003
183,T183,T183,Will Strickler,51,0.027000000000000003
184,185,185,Justin Hicks,60,0.044000000000000004
