,Approach_50-75_yards_RTP_Score_RANK THIS WEEK,Approach_50-75_yards_RTP_Score_RANK LAST WEEK,Approach_50-75_yards_RTP_Score_PLAYER NAME,Approach_50-75_yards_RTP_Score_ROUNDS,Approach_50-75_yards_RTP_Score_AVG RTP
0,1,1,Ian Poulter,52,-.529
1,2,2,Luke Donald,73,-.412
2,3,3,Jim Herman,69,-.385
3,4,4,Brian Gay,90,-.364
4,T5,T5,Arjun Atwal,91,-.353
5,T5,T5,Bo Van Pelt,92,-.353
6,T7,T7,Chris Kirk,87,-.333
7,T7,T7,Rocco Mediate,53,-.333
8,T7,T7,Joe Ogilvie,75,-.333
9,T7,T7,Mark Wilson,89,-.333
10,11,11,Martin Laird,77,-.313
11,12,12,Charley Hoffman,93,-.304
12,13,13,Hunter Mahan,92,-.300
13,T14,T14,Ryan Moore,79,-.286
14,T14,T14,Jimmy Walker,79,-.286
15,16,16,Phil Mickelson,79,-.278
16,17,17,Davis Love III,70,-.273
17,18,18,Charles Howell III,108,-.265
18,19,19,Jim Furyk,87,-.261
19,T20,T20,Tommy Gainey,104,-.250
20,T20,T20,Padraig Harrington,60,-.250
21,T20,T20,Charl Schwartzel,58,-.250
22,23,23,Troy Matteson,91,-.238
23,24,24,Jhonattan Vegas,84,-.235
24,25,25,Steve Stricker,70,-.226
25,26,26,Jerry Kelly,85,-.222
26,27,27,Billy Horschel,75,-.208
27,28,28,Carl Pettersson,95,-.205
28,29,29,David Toms,78,-.190
29,T30,T30,Keegan Bradley,91,-.188
30,T30,T30,James Driscoll,71,-.188
31,32,32,Camilo Villegas,69,-.176
32,T33,T33,Ben Crane,76,-.167
33,T33,T33,Lucas Glover,74,-.167
34,T33,T33,Webb Simpson,98,-.167
35,36,36,Steve Flesch,88,-.161
36,37,37,Spencer Levin,113,-.160
37,T38,T38,Michael Connell,76,-.158
38,T38,T38,John Senden,94,-.158
39,40,40,Colt Knost,80,-.154
40,T41,T41,Jason Day,76,-.150
41,T41,T41,Sung Kang,63,-.150
42,T41,T41,Brandt Snedeker,85,-.150
43,44,44,Matt Bettencourt,84,-.148
44,T45,T45,Joseph Bramlett,73,-.143
45,T45,T45,Greg Chalmers,88,-.143
46,T45,T45,Scott Stallings,84,-.143
47,T45,T45,Brendan Steele,89,-.143
48,49,49,Fabián Gómez,84,-.136
49,50,50,Jim Renner,65,-.133
50,T51,T51,Dustin Johnson,72,-.125
51,T51,T51,Alexandre Rocha,65,-.125
52,T51,T51,Paul Stankowski,78,-.125
53,54,54,Blake Adams,116,-.120
54,55,55,Brian Davis,105,-.119
55,T56,T56,Rich Beem,53,-.118
56,T56,T56,Kevin Chappell,78,-.118
57,58,58,Paul Goydos,81,-.116
58,T59,T59,Matt Kuchar,94,-.115
59,T59,T59,Heath Slocum,89,-.115
60,T61,T61,Billy Mayfair,94,-.111
61,T61,T61,Kevin Na,84,-.111
62,63,63,Pat Perez,76,-.108
63,64,64,Stephen Ames,69,-.105
64,65,65,Dean Wilson,62,-.100
65,66,66,Harrison Frazar,58,-.091
66,T67,T67,Brendon de Jonge,105,-.087
67,T67,T67,J.B. Holmes,57,-.087
68,T69,T69,Ryuji Imada,83,-.083
69,T69,T69,Freddie Jacobson,92,-.083
70,T69,T69,Kevin Streelman,90,-.083
71,T72,T72,J.P. Hayes,56,-.077
72,T72,T72,Justin Hicks,60,-.077
73,T72,T72,Graeme McDowell,50,-.077
74,T75,T75,Woody Austin,59,-.067
75,T75,T75,Chris Couch,73,-.067
76,T75,T75,Roland Thatcher,67,-.067
77,T75,T75,D.J. Trahan,91,-.067
78,T79,T79,Chad Campbell,99,-.059
79,T79,T79,Robert Garrigus,83,-.059
80,T81,T81,John Merrick,71,-.056
81,T81,T81,Martin Piller,63,-.056
82,T83,T83,Cameron Beckman,71,-.053
83,T83,T83,Boo Weekley,66,-.053
84,T85,T85,Scott Piercy,78,-.050
85,T85,T85,Vijay Singh,79,-.050
86,87,87,Sean O'Hair,71,-.048
87,88,88,Zach Johnson,79,-.045
88,89,89,Tim Herron,85,-.043
89,T90,T90,Matt Jones,71,-.040
90,T90,T90,Justin Rose,79,-.040
91,92,92,Steven Bowditch,86,-.038
92,T93,T93,Michael Bradley,74,E
93,T93,T93,D.J. Brigman,67,E
94,T93,T93,K.J. Choi,77,E
95,T93,T93,Stewart Cink,72,E
96,T93,T93,Ben Curtis,66,E
97,T93,T93,Chris DiMarco,93,E
98,T93,T93,Joe Durant,71,E
99,T93,T93,Steve Elkington,50,E
100,T93,T93,Bobby Gates,82,E
101,T93,T93,Andres Gonzales,60,E
102,T93,T93,Retief Goosen,50,E
103,T93,T93,Scott Gutschewski,67,E
104,T93,T93,Hunter Haas,96,E
105,T93,T93,Brandt Jobe,100,E
106,T93,T93,Richard Johnson,64,E
107,T93,T93,Robert Karlsson,61,E
108,T93,T93,Jarrod Lyle,83,E
109,T93,T93,Troy Merritt,63,E
110,T93,T93,Bryce Molder,82,E
111,T93,T93,Nick O'Hern,89,E
112,T93,T93,D.A. Points,89,E
113,T93,T93,John Rollins,85,E
114,T93,T93,Kevin Stadler,88,E
115,T93,T93,Kyle Stanley,98,E
116,T93,T93,Nick Watney,80,E
117,T93,T93,Bubba Watson,85,E
118,T93,T93,Y.E. Yang,63,E
119,120,120,Josh Teater,104,+.033
120,121,121,Jason Bohn,74,+.034
121,T122,T122,Alex Prugh,82,+.040
122,T122,T122,Vaughn Taylor,89,+.040
123,124,124,Anthony Kim,72,+.042
124,125,125,Tim Petrovic,88,+.045
125,126,126,Rory Sabbatini,85,+.048
126,T127,T127,Jonathan Byrd,83,+.050
127,T127,T127,Charlie Wi,83,+.050
128,T129,T129,Aaron Baddeley,77,+.056
129,T129,T129,Derek Lamely,65,+.056
130,T129,T129,Garrett Willis,71,+.056
131,T132,T132,Ryan Palmer,82,+.059
132,T132,T132,Johnson Wagner,81,+.059
133,T134,T134,Briny Baird,60,+.063
134,T134,T134,Andres Romero,77,+.063
135,T136,T136,Kris Blanks,92,+.067
136,T136,T136,Gary Woodland,93,+.067
137,138,138,Ben Martin,74,+.071
138,T139,T139,Jeff Overton,92,+.077
139,T139,T139,Rod Pampling,72,+.077
140,141,141,David Duval,67,+.083
141,142,142,Ernie Els,71,+.087
142,T143,T143,Chez Reavie,92,+.091
143,T143,T143,Chris Stroud,88,+.091
144,145,145,Geoff Ogilvy,69,+.095
145,146,146,Adam Scott,60,+.100
146,147,147,Trevor Immelman,84,+.103
147,148,148,Steve Marino,76,+.105
148,149,149,Scott McCarron,65,+.111
149,150,150,William McGirt,103,+.120
150,151,151,Marc Turnesa,54,+.125
151,T152,T152,David Hearn,88,+.130
152,T152,T152,Chris Riley,76,+.130
153,154,154,Cameron Tringale,110,+.136
154,T155,T155,George McNeill,69,+.143
155,T155,T155,Matt McQuillan,59,+.143
156,T157,T157,Bill Lunde,92,+.150
157,T157,T157,Michael Thompson,79,+.150
158,159,159,Nate Smith,66,+.158
159,160,160,Bio Kim,71,+.167
160,161,161,Stuart Appleby,65,+.172
161,162,162,Daniel Summerhays,75,+.176
162,163,163,Will Strickler,51,+.182
163,164,164,Alex Cejka,59,+.200
164,165,165,Kent Jones,76,+.214
165,T166,T166,Shane Bertsch,62,+.222
166,T166,T166,Tag Ridings,87,+.222
167,T168,T168,Rickie Fowler,84,+.231
168,T168,T168,Sergio Garcia,61,+.231
169,T170,T170,Jason Dufner,78,+.263
170,T170,T170,Marc Leishman,87,+.263
171,T172,T172,Robert Allenby,84,+.267
172,T172,T172,Shaun Micheel,77,+.267
173,T174,T174,Bill Haas,93,+.286
174,T174,T174,Kevin Kisner,70,+.286
175,176,176,Ricky Barnes,78,+.294
176,T177,T177,J.J. Henry,96,+.304
177,T177,T177,David Mathis,83,+.304
178,179,179,Lee Janzen,62,+.308
179,T180,T180,Nathan Green,81,+.333
180,T180,T180,Michael Putnam,67,+.333
181,182,182,Aron Price,58,+.364
182,183,183,Zack Miller,86,+.370
