,Approach__125_yards_RTP_Score_RANK THIS WEEK,Approach__125_yards_RTP_Score_RANK LAST WEEK,Approach__125_yards_RTP_Score_PLAYER NAME,Approach__125_yards_RTP_Score_ROUNDS,Approach__125_yards_RTP_Score_AVG RTP
0,1,1,Luke Donald,73,-.288
1,2,2,Greg Chalmers,88,-.283
2,3,3,Charley Hoffman,93,-.267
3,4,4,Webb Simpson,98,-.262
4,5,5,Brian Davis,105,-.252
5,T6,T6,Woody Austin,59,-.248
6,T6,T6,Phil Mickelson,79,-.248
7,8,8,Aaron Baddeley,77,-.241
8,9,9,Chris Kirk,87,-.232
9,10,10,Nick Watney,80,-.231
10,11,11,Robert Garrigus,83,-.223
11,12,12,Mark Wilson,89,-.217
12,13,13,Dean Wilson,62,-.210
13,14,14,Zach Johnson,79,-.206
14,15,15,Hunter Mahan,92,-.203
15,16,16,Ben Martin,74,-.201
16,17,17,Steve Stricker,70,-.200
17,18,18,Bryce Molder,82,-.198
18,T19,T19,K.J. Choi,77,-.196
19,T19,T19,Scott Piercy,78,-.196
20,T21,T21,J.P. Hayes,56,-.195
21,T21,T21,Jerry Kelly,85,-.195
22,23,23,Davis Love III,70,-.194
23,24,24,Charles Howell III,108,-.191
24,T25,T25,Chris DiMarco,93,-.188
25,T25,T25,David Hearn,88,-.188
26,27,27,Matt Kuchar,94,-.186
27,28,28,Fabián Gómez,84,-.185
28,29,29,Brian Gay,90,-.184
29,30,30,Graeme McDowell,50,-.176
30,31,31,Blake Adams,116,-.175
31,T32,T32,Robert Allenby,84,-.174
32,T32,T32,Kevin Streelman,90,-.174
33,34,34,David Toms,78,-.173
34,T35,T35,Spencer Levin,113,-.171
35,T35,T35,Brendan Steele,89,-.171
36,37,37,Heath Slocum,89,-.168
37,38,38,Briny Baird,60,-.167
38,T39,T39,Stewart Cink,72,-.164
39,T39,T39,Ben Crane,76,-.164
40,T41,T41,Jason Bohn,74,-.161
41,T41,T41,Troy Matteson,91,-.161
42,T43,T43,Brandt Snedeker,85,-.159
43,T43,T43,Camilo Villegas,69,-.159
44,T45,T45,Bill Haas,93,-.157
45,T45,T45,Anthony Kim,72,-.157
46,47,47,Rory Sabbatini,85,-.155
47,48,48,Bo Van Pelt,92,-.154
48,49,49,Jim Herman,69,-.153
49,T50,T50,Kyle Stanley,98,-.152
50,T50,T50,Roland Thatcher,67,-.152
51,T50,T50,Bubba Watson,85,-.152
52,53,53,Andres Romero,77,-.149
53,54,54,Dustin Johnson,72,-.147
54,55,55,Jason Dufner,78,-.146
55,56,56,Boo Weekley,66,-.142
56,57,57,Jimmy Walker,79,-.140
57,58,58,Kent Jones,76,-.139
58,T59,T59,Chad Campbell,99,-.137
59,T59,T59,Steve Flesch,88,-.137
60,61,61,David Duval,67,-.136
61,62,62,Marc Leishman,87,-.134
62,T63,T63,Michael Connell,76,-.130
63,T63,T63,Pat Perez,76,-.130
64,T65,T65,James Driscoll,71,-.129
65,T65,T65,Johnson Wagner,81,-.129
66,T67,T67,Joe Ogilvie,75,-.128
67,T67,T67,Justin Rose,79,-.128
68,T67,T67,Adam Scott,60,-.128
69,70,70,Kris Blanks,92,-.127
70,71,71,Jim Furyk,87,-.126
71,72,72,Nick O'Hern,89,-.124
72,73,73,Steve Marino,76,-.123
73,74,74,Geoff Ogilvy,69,-.122
74,75,75,Arjun Atwal,91,-.121
75,76,76,Vaughn Taylor,89,-.119
76,77,77,Scott Stallings,84,-.118
77,T78,T78,Jason Day,76,-.117
78,T78,T78,Rod Pampling,72,-.117
79,T78,T78,Carl Pettersson,95,-.117
80,T78,T78,Chez Reavie,92,-.117
81,82,82,Jonathan Byrd,83,-.114
82,T83,T83,Bill Lunde,92,-.113
83,T83,T83,Martin Piller,63,-.113
84,T85,T85,Paul Goydos,81,-.112
85,T85,T85,Sung Kang,63,-.112
86,87,87,Garrett Willis,71,-.110
87,T88,T88,Ryuji Imada,83,-.109
88,T88,T88,Martin Laird,77,-.109
89,90,90,Paul Stankowski,78,-.107
90,91,91,Rocco Mediate,53,-.105
91,T92,T92,Padraig Harrington,60,-.103
92,T92,T92,Alex Prugh,82,-.103
93,94,94,Tag Ridings,87,-.102
94,95,95,Hunter Haas,96,-.100
95,96,96,Lucas Glover,74,-.099
96,97,97,Cameron Beckman,71,-.098
97,T98,T98,Michael Thompson,79,-.095
98,T98,T98,Cameron Tringale,110,-.095
99,T98,T98,Gary Woodland,93,-.095
100,101,101,William McGirt,103,-.094
101,102,102,Tommy Gainey,104,-.093
102,T103,T103,Stephen Ames,69,-.092
103,T103,T103,Matt Jones,71,-.092
104,T105,T105,D.A. Points,89,-.091
105,T105,T105,Chris Stroud,88,-.091
106,T105,T105,Charlie Wi,83,-.091
107,108,108,Chris Couch,73,-.089
108,109,109,Kevin Kisner,70,-.088
109,T110,T110,Shane Bertsch,62,-.087
110,T110,T110,Ian Poulter,52,-.087
111,112,112,Harrison Frazar,58,-.086
112,113,113,Aron Price,58,-.085
113,114,114,Freddie Jacobson,92,-.084
114,115,115,Ben Curtis,66,-.081
115,116,116,John Senden,94,-.080
116,T117,T117,Kevin Na,84,-.079
117,T117,T117,John Rollins,85,-.079
118,T119,T119,Alex Cejka,59,-.078
119,T119,T119,Steve Elkington,50,-.078
120,T119,T119,Billy Horschel,75,-.078
121,122,122,Brendon de Jonge,105,-.077
122,T123,T123,Joe Durant,71,-.076
123,T123,T123,J.B. Holmes,57,-.076
124,T125,T125,Lee Janzen,62,-.074
125,T125,T125,Josh Teater,104,-.074
126,T127,T127,Brandt Jobe,100,-.072
127,T127,T127,Ryan Moore,79,-.072
128,T129,T129,Steven Bowditch,86,-.071
129,T129,T129,Tim Petrovic,88,-.071
130,131,131,Justin Leonard,82,-.070
131,132,132,Matt Bettencourt,84,-.069
132,T133,T133,Ernie Els,71,-.068
