,Greens_or_Fringe_in_Regulation_RANK THIS WEEK,Greens_or_Fringe_in_Regulation_RANK LAST WEEK,Greens_or_Fringe_in_Regulation_PLAYER NAME,Greens_or_Fringe_in_Regulation_ROUNDS,Greens_or_Fringe_in_Regulation_%,Greens_or_Fringe_in_Regulation_TOTAL HIT,Greens_or_Fringe_in_Regulation_TOTAL ATTEMPTS,Greens_or_Fringe_in_Regulation_RTP SCORE
0,1,1,Webb Simpson,98,76.31,1140,1494,-348.0
1,T2,T2,Ernie Els,71,75.99,807,1062,-179.0
2,T2,T2,John Senden,94,75.99,1108,1458,-276.0
3,4,4,Chad Campbell,99,75.54,1183,1566,-239.0
4,5,5,Heath Slocum,89,75.38,1004,1332,-226.0
5,6,6,Boo Weekley,66,75.05,770,1026,-158.0
6,7,7,Briny Baird,60,74.94,661,882,-152.0
7,8,8,David Toms,78,74.76,794,1062,-218.0
8,9,9,Kris Blanks,92,74.7,1116,1494,-247.0
9,10,10,Bubba Watson,85,74.67,793,1062,-234.0
10,11,11,Billy Mayfair,94,74.64,1142,1530,-249.0
11,12,12,Bill Haas,93,74.31,963,1296,-261.0
12,13,13,John Rollins,85,74.15,961,1296,-242.0
13,14,14,Brandt Jobe,100,74.14,1081,1458,-251.0
14,15,15,Joe Durant,71,74.05,853,1152,-152.0
15,16,16,Nick Watney,80,74.01,826,1116,-260.0
16,17,17,Gary Woodland,93,73.97,932,1260,-251.0
17,18,18,Robert Allenby,84,73.89,931,1260,-219.0
18,19,19,Dustin Johnson,72,73.87,718,972,-214.0
19,20,20,Adam Scott,60,73.83,598,810,-161.0
20,21,21,D.J. Trahan,91,73.76,1102,1494,-238.0
21,22,22,William McGirt,103,73.73,1221,1656,-254.0
22,23,23,Justin Rose,79,73.72,836,1134,-224.0
23,24,24,Kyle Stanley,98,73.68,1061,1440,-290.0
24,25,25,John Merrick,71,73.61,795,1080,-184.0
25,26,26,Charles Howell III,108,73.57,1205,1638,-295.0
26,27,27,Trevor Immelman,84,73.47,886,1206,-194.0
27,28,28,Hunter Mahan,92,73.46,1005,1368,-290.0
28,29,29,Michael Bradley,74,73.45,780,1062,-180.0
29,30,30,Davis Love III,70,73.4,687,936,-167.0
30,31,31,David Hearn,88,73.39,1004,1368,-226.0
31,T32,T32,J.J. Henry,96,73.35,1043,1422,-229.0
32,T32,T32,Spencer Levin,113,73.35,1241,1692,-281.0
33,34,34,Bo Van Pelt,92,73.32,937,1278,-231.0
34,35,35,Jim Herman,69,73.29,752,1026,-155.0
35,36,36,Woody Austin,59,73.22,659,900,-154.0
36,37,37,Jim Furyk,87,73.17,922,1260,-224.0
37,38,38,Matt Kuchar,94,73.16,935,1278,-269.0
38,39,39,Jason Bohn,74,73.05,881,1206,-219.0
39,40,40,Bill Lunde,92,72.87,1010,1386,-240.0
40,41,41,Chez Reavie,92,72.76,1074,1476,-273.0
41,T42,T42,Alexandre Rocha,65,72.68,641,882,-118.0
42,T42,T42,Kevin Stadler,88,72.68,955,1314,-225.0
43,44,44,Nick O'Hern,89,72.66,994,1368,-225.0
44,45,45,Lucas Glover,74,72.59,797,1098,-220.0
45,46,46,Steve Stricker,70,72.54,692,954,-223.0
46,47,47,Brian Davis,105,72.4,1199,1656,-307.0
47,48,48,Cameron Tringale,110,72.34,1263,1746,-296.0
48,T49,T49,Aron Price,58,72.22,637,882,-154.0
49,T49,T49,Johnson Wagner,81,72.22,910,1260,-187.0
50,51,51,Brendon de Jonge,105,72.16,1195,1656,-317.0
51,52,52,Vijay Singh,79,72.15,935,1296,-235.0
52,T53,T53,Zach Johnson,79,72.14,831,1152,-231.0
53,T53,T53,Scott Stallings,84,72.14,896,1242,-210.0
54,55,55,Martin Laird,77,72.13,805,1116,-233.0
55,56,56,J.B. Holmes,57,71.95,608,845,-176.0
56,T57,T57,K.J. Choi,77,71.93,751,1044,-184.0
57,T57,T57,Phil Mickelson,79,71.93,751,1044,-221.0
58,59,59,Luke Donald,73,71.9,673,936,-216.0
59,60,60,Ricky Barnes,78,71.88,828,1152,-175.0
60,61,61,Aaron Baddeley,77,71.86,802,1116,-251.0
