,Greens_in_Regulation_Percentage_RANK THIS WEEK,Greens_in_Regulation_Percentage_RANK LAST WEEK,Greens_in_Regulation_Percentage_PLAYER NAME,Greens_in_Regulation_Percentage_ROUNDS,Greens_in_Regulation_Percentage_%,Greens_in_Regulation_Percentage_GREENS HIT,Greens_in_Regulation_Percentage_# HOLES,Greens_in_Regulation_Percentage_RELATIVE/PAR
0,1,1,Boo Weekley,66,71.68,800,1116,-0.23
1,2,2,Heath Slocum,89,71.4,1131,1584,-0.23
2,3,3,Joe Durant,71,71.26,885,1242,-0.18
3,4,4,Chad Campbell,99,71.13,1242,1746,-0.22
4,5,5,John Senden,94,70.86,1199,1692,-0.26
5,6,6,David Toms,78,70.2,935,1332,-0.27
6,7,7,Ernie Els,71,69.89,868,1242,-0.22
7,8,8,Webb Simpson,98,69.84,1232,1764,-0.32
8,9,9,Bubba Watson,85,69.83,993,1422,-0.29
9,10,10,Justin Rose,79,69.48,963,1386,-0.26
10,11,11,Bill Haas,93,69.44,1150,1656,-0.27
11,12,12,Gary Woodland,93,69.41,1162,1674,-0.28
12,13,13,Bill Lunde,92,69.38,1099,1584,-0.25
13,14,14,Brandt Jobe,100,69.16,1195,1728,-0.26
14,15,15,Briny Baird,60,69.14,672,972,-0.24
15,16,16,John Rollins,85,69.08,1032,1494,-0.26
16,17,17,D.J. Trahan,91,68.99,1130,1638,-0.23
17,18,18,J.J. Henry,96,68.96,1142,1656,-0.24
18,19,19,Charles Howell III,108,68.91,1290,1872,-0.25
19,20,20,Kris Blanks,92,68.89,1116,1620,-0.24
20,21,21,David Hearn,88,68.82,991,1440,-0.23
21,22,22,Hunter Mahan,92,68.79,1102,1602,-0.29
22,23,23,Billy Mayfair,94,68.77,1114,1620,-0.24
23,24,24,John Merrick,71,68.69,779,1134,-0.25
24,25,25,William McGirt,103,68.63,1223,1782,-0.23
25,26,26,Chez Reavie,92,68.6,1136,1656,-0.26
26,27,27,Dustin Johnson,72,68.39,874,1278,-0.3
27,28,28,Davis Love III,70,68.25,860,1260,-0.25
28,29,29,Alexandre Rocha,65,68.23,700,1026,-0.19
29,30,30,Kyle Stanley,98,68.21,1105,1620,-0.28
30,31,31,Trevor Immelman,84,68.12,1030,1512,-0.24
31,32,32,Adam Scott,60,68.08,723,1062,-0.28
32,33,33,Kevin Stadler,88,68.06,980,1440,-0.26
33,34,34,Bo Van Pelt,92,68.02,1102,1620,-0.26
34,35,35,Spencer Levin,113,67.99,1334,1962,-0.26
35,36,36,Jim Herman,69,67.94,746,1098,-0.21
36,37,37,Michael Bradley,74,67.62,852,1260,-0.25
37,38,38,Jim Furyk,87,67.57,1046,1548,-0.24
38,39,39,Robert Allenby,84,67.54,1009,1494,-0.24
39,40,40,Brian Davis,105,67.35,1273,1890,-0.27
40,41,41,Luke Donald,73,67.33,812,1206,-0.33
41,T42,T42,Jason Bohn,74,67.3,848,1260,-0.26
42,T42,T42,Cameron Tringale,110,67.3,1284,1908,-0.25
43,44,44,Jhonattan Vegas,84,67.22,968,1440,-0.25
44,45,45,Johnson Wagner,81,67.17,931,1386,-0.22
45,46,46,Aron Price,58,67.09,628,936,-0.25
46,47,47,Billy Horschel,75,67.07,833,1242,-0.24
47,T48,T48,Tommy Gainey,104,67.0,1206,1800,-0.27
48,T48,T48,Chris Stroud,88,67.0,1013,1512,-0.25
49,50,50,Matt Kuchar,94,66.98,1061,1584,-0.3
50,51,51,Phil Mickelson,79,66.96,928,1386,-0.28
51,52,52,Jason Dufner,78,66.95,940,1404,-0.26
52,53,53,Josh Teater,104,66.89,1180,1764,-0.27
53,T54,T54,Woody Austin,59,66.88,638,954,-0.26
54,T54,T54,Nick Watney,80,66.88,927,1386,-0.32
55,56,56,Sergio Garcia,61,66.85,734,1098,-0.26
56,57,57,Charley Hoffman,93,66.79,1106,1656,-0.3
57,T58,T58,Chris Kirk,87,66.67,1044,1566,-0.29
58,T58,T58,Nick O'Hern,89,66.67,1020,1530,-0.24
59,60,60,Scott Stallings,84,66.6,935,1404,-0.26
60,61,61,Martin Laird,77,66.59,911,1368,-0.3
61,62,62,Ricky Barnes,78,66.52,934,1404,-0.24
62,T63,T63,J.B. Holmes,57,66.46,634,954,-0.31
63,T63,T63,Vijay Singh,79,66.46,945,1422,-0.26
64,65,65,Brendon de Jonge,105,66.45,1208,1818,-0.28
65,66,66,Steve Elkington,50,66.44,598,900,-0.23
66,67,67,Zach Johnson,79,66.38,932,1404,-0.27
