,Average_Approach_Shot_Distance_RANK THIS WEEK,Average_Approach_Shot_Distance_RANK LAST WEEK,Average_Approach_Shot_Distance_PLAYER NAME,Average_Approach_Shot_Distance_ROUNDS,Average_Approach_Shot_Distance_AVG,Average_Approach_Shot_Distance_TOTAL DIST OF APPR SHOT,Average_Approach_Shot_Distance_TOTAL HOLES
0,1,1,Alex Prugh,82,157.7,7194454.0,1267
1,T2,T2,Paul Goydos,81,159.5,7624644.0,1328
2,T2,T2,Scott Stallings,84,159.5,7109120.0,1238
3,4,4,Brian Gay,90,159.8,7634981.0,1327
4,5,5,David Hearn,88,160.0,7847366.0,1362
5,6,6,Andres Gonzales,60,160.5,4744968.0,821
6,7,7,Harrison Frazar,58,160.6,4329575.0,749
7,8,8,Joe Ogilvie,75,160.7,6324477.0,1093
8,T9,T9,Michael Bradley,74,161.0,6122436.0,1056
9,T9,T9,David Duval,67,161.0,6029124.0,1040
10,T9,T9,Chris Riley,76,161.0,7065116.0,1219
11,T12,T12,Justin Hicks,60,161.1,4540879.0,783
12,T12,T12,Martin Piller,63,161.1,5393509.0,930
13,14,14,Heath Slocum,89,161.2,7682678.0,1324
14,15,15,J.B. Holmes,57,161.3,4912997.0,846
15,T16,T16,Stephen Ames,69,161.4,6234413.0,1073
16,T16,T16,Shane Bertsch,62,161.4,5413971.0,932
17,18,18,Lee Janzen,62,161.5,5221323.0,898
18,19,19,Jim Herman,69,161.7,5943805.0,1021
19,20,20,Justin Leonard,82,161.8,7717717.0,1325
20,T21,T21,Cameron Beckman,71,161.9,6685139.0,1147
21,T21,T21,Bio Kim,71,161.9,6075010.0,1042
22,T21,T21,Rocco Mediate,53,161.9,4994775.0,857
23,T21,T21,Jim Renner,65,161.9,5513310.0,946
24,25,25,J.P. Hayes,56,162.0,5003615.0,858
25,26,26,Chris DiMarco,93,162.1,8582003.0,1471
26,27,27,Will Strickler,51,162.2,4489302.0,769
27,T28,T28,Kevin Kisner,70,162.3,5965575.0,1021
28,T28,T28,Nate Smith,66,162.3,5538642.0,948
29,T30,T30,Steve Elkington,50,162.4,4401156.0,753
30,T30,T30,Tim Herron,85,162.4,8063836.0,1379
31,T30,T30,Nick O'Hern,89,162.4,7965059.0,1362
32,T33,T33,Steven Bowditch,86,162.5,8145000.0,1392
33,T33,T33,Vaughn Taylor,89,162.5,8679819.0,1484
34,T35,T35,Keegan Bradley,91,162.6,8049015.0,1375
35,T35,T35,Colt Knost,80,162.6,7008052.0,1197
36,37,37,William McGirt,103,162.7,9632775.0,1645
37,T38,T38,Blake Adams,116,162.8,11008249.0,1878
38,T38,T38,Kent Jones,76,162.8,7039482.0,1201
39,T38,T38,Chris Kirk,87,162.8,8078065.0,1378
40,T41,T41,Billy Horschel,75,162.9,6511143.0,1110
41,T41,T41,Brandt Jobe,100,162.9,8489335.0,1448
42,T41,T41,Richard Johnson,64,162.9,5670383.0,967
43,T41,T41,Troy Matteson,91,162.9,8497471.0,1449
44,T41,T41,Michael Thompson,79,162.9,7250266.0,1236
45,T46,T46,Bryce Molder,82,163.0,7458744.0,1271
46,T46,T46,Steve Stricker,70,163.0,5593070.0,953
47,T46,T46,Chris Stroud,88,163.0,8193754.0,1396
48,T49,T49,Briny Baird,60,163.1,5156031.0,878
49,T49,T49,John Rollins,85,163.1,7545332.0,1285
50,T51,T51,Tommy Gainey,104,163.2,9589669.0,1632
51,T51,T51,Pat Perez,76,163.2,7373462.0,1255
52,53,53,Shaun Micheel,77,163.3,6820844.0,1160
53,T54,T54,Woody Austin,59,163.4,5294044.0,900
54,T54,T54,Jason Bohn,74,163.4,7051383.0,1199
55,T54,T54,Ian Poulter,52,163.4,4129213.0,702
56,T54,T54,Vijay Singh,79,163.4,7593179.0,1291
57,T54,T54,Josh Teater,104,163.4,9690633.0,1647
58,T59,T59,Stuart Appleby,65,163.5,6319852.0,1074
59,T59,T59,Trevor Immelman,84,163.5,7062110.0,1200
60,T59,T59,Matt McQuillan,59,163.5,5079667.0,863
61,T62,T62,Tom Gillis,55,163.6,5258552.0,893
62,T62,T62,David Mathis,83,163.6,7369689.0,1251
63,T62,T62,Graeme McDowell,50,163.6,3881511.0,659
64,T62,T62,Paul Stankowski,78,163.6,6842527.0,1162
65,T62,T62,Kevin Streelman,90,163.6,7503614.0,1274
66,T67,T67,Bill Lunde,92,163.7,8145190.0,1382
67,T67,T67,Carl Pettersson,95,163.7,9507196.0,1613
68,69,69,Roland Thatcher,67,163.8,6445831.0,1093
69,T70,T70,Jason Dufner,78,163.9,6856867.0,1162
70,T70,T70,Derek Lamely,65,163.9,6105835.0,1035
71,T70,T70,John Merrick,71,163.9,6349230.0,1076
72,T70,T70,Aron Price,58,163.9,5204208.0,882
73,T74,T74,Steve Flesch,88,164.0,8238590.0,1395
74,T74,T74,Sung Kang,63,164.0,5406708.0,916
75,T76,T76,Kris Blanks,92,164.1,8789711.0,1488
76,T76,T76,Zack Miller,86,164.1,7917119.0,1340
77,T76,T76,Sean O'Hair,71,164.1,6361801.0,1077
78,T79,T79,Anthony Kim,72,164.2,6160254.0,1042
79,T79,T79,Marc Turnesa,54,164.2,4875887.0,825
80,T79,T79,Charlie Wi,83,164.2,8134861.0,1376
81,T82,T82,Arjun Atwal,91,164.3,8805072.0,1489
82,T82,T82,Matt Bettencourt,84,164.3,8118695.0,1373
83,T82,T82,Ben Curtis,66,164.3,6581312.0,1113
84,T82,T82,Steve Marino,76,164.3,6584179.0,1113
85,T82,T82,Tim Petrovic,88,164.3,8167970.0,1381
86,87,87,Padraig Harrington,60,164.4,4775815.0,807
87,T88,T88,Kevin Chappell,78,164.5,6429602.0,1086
88,T88,T88,Jim Furyk,87,164.5,7436078.0,1256
89,T90,T90,Rich Beem,53,164.6,4882018.0,824
90,T90,T90,Jarrod Lyle,83,164.6,7624659.0,1287
91,T90,T90,Kevin Stadler,88,164.6,7728446.0,1304
92,T93,T93,Joe Durant,71,164.7,6789471.0,1145
93,T93,T93,Freddie Jacobson,92,164.7,7433577.0,1254
94,T93,T93,Michael Putnam,67,164.7,5598832.0,944
95,T93,T93,D.J. Trahan,91,164.7,8817777.0,1487
96,T97,T97,Brendon de Jonge,105,164.8,9750339.0,1643
