,Approaches_from__200_yards_RANK THIS WEEK,Approaches_from__200_yards_RANK LAST WEEK,Approaches_from__200_yards_PLAYER NAME,Approaches_from__200_yards_ROUNDS,Approaches_from__200_yards_AVG,Approaches_from__200_yards_TOTAL DISTANCE (FEET),Approaches_from__200_yards_# OF ATTEMPTS,Approaches_from__200_yards_RELATIVE TO PAR
0,1,1,Rickie Fowler,84,"41' 7""",7904.4169999999995,190,-42
1,2,2,Ian Poulter,52,"42' 3""",5028.083,119,-18
2,3,3,Robert Garrigus,83,"43' 8""",8904.5,204,-21
3,4,4,Chris Couch,73,"43' 10""",10178.25,232,-57
4,5,5,Gary Woodland,93,"44' 3""",9875.917,223,-43
5,6,6,Davis Love III,70,"44' 4""",6422.5830000000005,145,-32
6,T7,T7,Dustin Johnson,72,"44' 6""",6980.4169999999995,157,-34
7,T7,T7,Brendan Steele,89,"44' 6""",10419.25,234,-52
8,T7,T7,David Toms,78,"44' 6""",9614.333,216,-47
9,10,10,Y.E. Yang,63,"44' 7""",6064.3330000000005,136,-25
10,11,11,Jason Dufner,78,"44' 8""",9022.917,202,-32
11,12,12,Ángel Cabrera,50,"44' 10""",4659.417,104,-30
12,13,13,Jim Furyk,87,"45' 0""",10573.5,235,-37
13,14,14,Bubba Watson,85,"45' 2""",9307.417,206,-37
14,15,15,Kyle Stanley,98,"45' 3""",10868.667,240,-38
15,16,16,D.J. Trahan,91,"45' 4""",10651.75,235,-47
16,17,17,Mark Wilson,89,"45' 10""",11142.0,243,-45
17,18,18,Tom Gillis,55,"45' 11""",7068.5,154,-13
18,19,19,Kris Blanks,92,"46' 0""",11231.75,244,-41
19,20,20,Vijay Singh,79,"46' 1""",10235.25,222,-45
20,T21,T21,Heath Slocum,89,"46' 4""",10605.417,229,-40
21,T21,T21,Nick Watney,80,"46' 4""",9409.583,203,-54
22,23,23,Brandt Jobe,100,"46' 5""",11371.083,245,-54
23,24,24,Zack Miller,86,"46' 6""",10837.417,233,-29
24,25,25,Marc Leishman,87,"46' 7""",10807.0,232,-33
25,26,26,Sean O'Hair,71,"46' 8""",7513.5830000000005,161,-21
26,T27,T27,Alex Cejka,59,"46' 9""",7387.6669999999995,158,-6
27,T27,T27,Scott Stallings,84,"46' 9""",8832.417,189,-21
28,T29,T29,Sergio Garcia,61,"46' 10""",7353.25,157,-30
29,T29,T29,Martin Laird,77,"46' 10""",9498.75,203,-48
