,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Fabián Gómez,84,247,Wyndham Championship,1,15
1,2,2,Nate Smith,66,221,Travelers Championship,3,5
2,3,3,Scott Stallings,84,214,Transitions Championship,3,8
3,4,4,J.B. Holmes,57,213,Wells Fargo Championship,3,15
4,T5,5,Sung Kang,63,209,AT&T Pebble Beach National Pro-Am,3,12
5,T5,6,Nick O'Hern,89,209,AT&T Pebble Beach National Pro-Am,2,12
6,T7,7,Jim Furyk,87,204,Crowne Plaza Invitational at Colonial,4,8
7,T7,8,Cameron Tringale,110,204,Transitions Championship,1,8
8,9,9,Scott Gutschewski,67,199,Frys.com Open,2,14
9,10,10,Shaun Micheel,77,198,Sony Open in Hawaii,2,17
10,11,11,Skip Kendall,14,196,Arnold Palmer Invitational presented by MasterCard,1,15
11,12,12,Robert Allenby,84,195,AT&T National,4,14
12,13,13,Steve Stricker,70,189,the Memorial Tournament presented by Nationwide Insurance,2,8
13,14,7,Jim Furyk,87,188,World Golf Championships-Bridgestone Invitational,3,5
14,15,15,Jason Day,76,187,THE PLAYERS Championship,4,14
15,16,16,Trevor Immelman,84,186,Arnold Palmer Invitational presented by MasterCard,3,1
16,17,17,Darren Clarke,10,184,World Golf Championships-Bridgestone Invitational,1,8
17,T18,18,Marc Turnesa,54,179,FedEx St. Jude Classic,1,17
18,T18,19,Vaughn Taylor,89,179,Shell Houston Open,3,5
19,20,20,Daniel Summerhays,75,177,The Heritage,2,17
20,21,21,Brendan Steele,89,175,Waste Management Phoenix Open,2,12
21,T22,22,Rory Sabbatini,85,173,Wells Fargo Championship,3,16
22,T22,23,Phil Mickelson,79,173,Deutsche Bank Championship,3,12
23,T24,24,Jeff Overton,92,171,The Honda Classic,2,11
24,T24,25,Brandt Jobe,100,171,Shell Houston Open,4,7
25,26,8,Cameron Tringale,110,170,Sony Open in Hawaii,2,1
26,27,27,Chris Couch,73,166,Bob Hope Classic,5,13
27,28,28,Justin Rose,79,164,Farmers Insurance Open,4,15
28,29,29,Stuart Appleby,65,163,Sony Open in Hawaii,1,16
29,30,30,David Toms,78,161,Transitions Championship,3,7
30,T31,31,Will Strickler,51,160,HP Byron Nelson Championship,2,1
31,T31,32,Heath Slocum,89,160,Travelers Championship,2,17
32,T33,33,Derek Lamely,65,159,Wyndham Championship,2,16
33,T33,34,Hunter Haas,96,159,the Memorial Tournament presented by Nationwide Insurance,2,13
34,35,35,Ricky Barnes,78,158,Frys.com Open,1,4
35,T36,36,George McNeill,69,157,Wyndham Championship,1,6
36,T36,4,J.B. Holmes,57,157,Travelers Championship,4,11
37,38,38,Richard Johnson,64,155,FedEx St. Jude Classic,1,12
38,39,39,Boo Weekley,66,152,Wells Fargo Championship,3,12
39,T40,40,D.J. Brigman,67,150,Travelers Championship,3,11
40,T40,41,Jarrod Lyle,83,150,Waste Management Phoenix Open,2,16
41,T42,12,Robert Allenby,84,148,World Golf Championships-Cadillac Championship,4,11
42,T42,2,Nate Smith,66,148,Frys.com Open,2,18
43,T44,44,Greg Chalmers,88,146,Deutsche Bank Championship,2,16
44,T44,45,Brandt Snedeker,85,146,Deutsche Bank Championship,2,16
45,T44,46,Jonathan Byrd,83,146,Transitions Championship,2,7
46,T44,47,Steven Bowditch,86,146,Valero Texas Open,4,9
47,48,48,Kenny Perry,36,143,THE PLAYERS Championship,4,6
48,49,49,Bo Van Pelt,92,141,Crowne Plaza Invitational at Colonial,4,10
49,50,50,Rickie Fowler,84,133,the Memorial Tournament presented by Nationwide Insurance,1,15
