,Right_Rough_Proximity_RANK THIS WEEK,Right_Rough_Proximity_RANK LAST WEEK,Right_Rough_Proximity_PLAYER NAME,Right_Rough_Proximity_ROUNDS,Right_Rough_Proximity_AVG,Right_Rough_Proximity_ATTEMPTS,Right_Rough_Proximity_TOTAL DISTANCE (FEET),Right_Rough_Proximity_RELATIVE TO PAR
0,1,1,Graeme McDowell,50,"33' 4""",54,1798.0829999999999,-7.00
1,2,2,Woody Austin,59,"35' 1""",78,2734.333,+3.00
2,3,3,Shane Bertsch,62,"36' 5""",73,2657.083,-3.00
3,4,4,Michael Bradley,74,"36' 9""",111,4077.0,+9.00
4,5,5,Shaun Micheel,77,"37' 2""",131,4867.75,+29.00
5,T6,T6,Sergio Garcia,61,"37' 7""",87,3267.25,-3.00
6,T6,T6,Carl Pettersson,95,"37' 7""",140,5262.1669999999995,+4.00
7,8,8,Brandt Snedeker,85,"38' 5""",109,4185.583,+9.00
8,9,9,Joe Durant,71,"38' 6""",84,3235.917,+17.00
9,10,10,Davis Love III,70,"38' 7""",76,2933.75,+7.00
10,11,11,Stewart Cink,72,"38' 10""",93,3608.667,-6.00
11,T12,T12,Stuart Appleby,65,"39' 2""",123,4821.75,+13.00
12,T12,T12,Rory Sabbatini,85,"39' 2""",138,5410.5,+2.00
13,14,14,Michael Connell,76,"39' 6""",89,3512.333,+18.00
14,15,15,Charley Hoffman,93,"39' 7""",140,5539.3330000000005,+6.00
15,16,16,Bubba Watson,85,"39' 8""",124,4922.167,+7.00
16,T17,T17,Chad Campbell,99,"40' 0""",142,5684.75,+18.00
17,T17,T17,Jim Herman,69,"40' 0""",120,4798.917,+12.00
18,19,19,Bill Lunde,92,"40' 1""",146,5855.0830000000005,+14.00
19,T20,T20,Jason Bohn,74,"40' 2""",81,3250.417,+17.00
20,T20,T20,Geoff Ogilvy,69,"40' 2""",101,4057.333,+10.00
21,T22,T22,David Duval,67,"40' 3""",102,4109.083,+21.00
22,T22,T22,Bobby Gates,82,"40' 3""",144,5791.8330000000005,+19.00
23,24,24,David Toms,78,"40' 7""",99,4018.667,+1.00
24,T25,T25,Kevin Stadler,88,"40' 8""",95,3863.833,+9.00
25,T25,T25,Vaughn Taylor,89,"40' 8""",143,5813.25,+24.00
26,T27,T27,Steven Bowditch,86,"40' 9""",139,5668.5830000000005,+12.00
27,T27,T27,Hunter Mahan,92,"40' 9""",120,4892.333,+20.00
28,T29,T29,Stephen Ames,69,"40' 10""",99,4043.25,+6.00
29,T29,T29,Dustin Johnson,72,"40' 10""",112,4572.333,E
30,T31,T31,Kris Blanks,92,"40' 11""",148,6053.4169999999995,+16.00
31,T31,T31,Billy Mayfair,94,"40' 11""",136,5562.3330000000005,+6.00
32,33,33,Kevin Na,84,"41' 0""",114,4675.583,+14.00
33,34,34,Chris DiMarco,93,"41' 1""",148,6075.25,+28.00
34,T35,T35,David Hearn,88,"41' 2""",164,6747.9169999999995,+32.00
35,T35,T35,Brandt Jobe,100,"41' 2""",143,5884.1669999999995,+11.00
36,T35,T35,Ian Poulter,52,"41' 2""",59,2430.917,-1.00
37,T35,T35,Webb Simpson,98,"41' 2""",134,5513.9169999999995,+11.00
38,T39,T39,Scott Piercy,78,"41' 3""",152,6268.4169999999995,+26.00
39,T39,T39,Alex Prugh,82,"41' 3""",137,5646.75,+32.00
40,T41,T41,Retief Goosen,50,"41' 4""",84,3475.0,+2.00
41,T41,T41,Padraig Harrington,60,"41' 4""",80,3306.75,+1.00
42,43,43,Ricky Barnes,78,"41' 5""",118,4887.5,+15.00
43,T44,T44,J.B. Holmes,57,"41' 6""",103,4275.833,+1.00
44,T44,T44,Scott Stallings,84,"41' 6""",170,7051.4169999999995,+19.00
45,T44,T44,Johnson Wagner,81,"41' 6""",103,4271.5,+19.00
46,47,47,Hunter Haas,96,"41' 7""",152,6321.75,+5.00
47,48,48,Marc Turnesa,54,"41' 8""",91,3793.25,+17.00
48,49,49,Chez Reavie,92,"41' 10""",135,5644.9169999999995,+26.00
49,50,50,Chris Couch,73,"41' 11""",122,5116.833,E
50,T51,T51,Aaron Baddeley,77,"42' 0""",156,6550.8330000000005,+6.00
51,T51,T51,Harrison Frazar,58,"42' 0""",86,3608.583,-2.00
52,T51,T51,Tommy Gainey,104,"42' 0""",182,7640.1669999999995,+32.00
53,T51,T51,Robert Garrigus,83,"42' 0""",163,6845.6669999999995,+17.00
54,55,55,Steve Elkington,50,"42' 1""",71,2985.333,+13.00
55,56,56,Chris Kirk,87,"42' 2""",177,7457.5830000000005,+30.00
56,57,57,Justin Rose,79,"42' 3""",127,5370.8330000000005,+13.00
57,T58,T58,Keegan Bradley,91,"42' 4""",126,5337.75,+9.00
58,T58,T58,Chris Stroud,88,"42' 4""",178,7542.1669999999995,+19.00
59,T58,T58,Y.E. Yang,63,"42' 4""",68,2875.917,+12.00
60,T61,T61,Chris Riley,76,"42' 5""",95,4027.917,+12.00
61,T61,T61,Nate Smith,66,"42' 5""",100,4238.5,+30.00
62,T61,T61,D.J. Trahan,91,"42' 5""",172,7290.8330000000005,+25.00
63,T61,T61,Nick Watney,80,"42' 5""",126,5348.8330000000005,+5.00
64,T65,T65,Bill Haas,93,"42' 7""",109,4639.083,+7.00
65,T65,T65,Mark Wilson,89,"42' 7""",117,4983.75,+11.00
66,T67,T67,Briny Baird,60,"42' 8""",75,3202.75,+17.00
67,T67,T67,Ernie Els,71,"42' 8""",108,4607.25,+20.00
68,T67,T67,Ryan Palmer,82,"42' 8""",123,5249.0,+19.00
69,T70,T70,Kent Jones,76,"42' 9""",129,5518.9169999999995,+26.00
70,T70,T70,Jeff Overton,92,"42' 9""",160,6838.6669999999995,+19.00
71,T70,T70,Jim Renner,65,"42' 9""",113,4828.333,+15.00
72,T73,T73,Paul Goydos,81,"42' 10""",103,4412.0,+18.00
73,T73,T73,Cameron Tringale,110,"42' 10""",204,8740.167,+26.00
74,T75,T75,Matt Kuchar,94,"42' 11""",109,4678.167,+19.00
75,T75,T75,D.A. Points,89,"42' 11""",127,5449.1669999999995,+16.00
76,T77,T77,Kevin Chappell,78,"43' 0""",126,5418.75,+17.00
77,T77,T77,Brendan Steele,89,"43' 0""",124,5328.0,+43.00
78,79,79,Martin Piller,63,"43' 1""",99,4263.083,+19.00
79,T80,T80,J.P. Hayes,56,"43' 2""",83,3582.833,+18.00
80,T80,T80,Spencer Levin,113,"43' 2""",142,6125.9169999999995,+4.00
81,T80,T80,Aron Price,58,"43' 2""",69,2976.833,+7.00
82,83,83,Ben Curtis,66,"43' 3""",65,2810.167,+1.00
83,84,84,Dean Wilson,62,"43' 4""",94,4074.417,+16.00
84,T85,T85,Cameron Beckman,71,"43' 6""",111,4830.25,+17.00
85,T85,T85,Lucas Glover,74,"43' 6""",104,4526.833,+25.00
86,T85,T85,Tag Ridings,87,"43' 6""",169,7355.1669999999995,+30.00
87,T88,T88,Adam Scott,60,"43' 8""",68,2969.833,+8.00
88,T88,T88,Kevin Streelman,90,"43' 8""",140,6109.0,+13.00
89,90,90,Alexandre Rocha,65,"43' 10""",98,4295.75,+24.00
90,91,91,Kyle Stanley,98,"43' 11""",180,7911.0,+11.00
91,92,92,Michael Thompson,79,"44' 0""",133,5847.1669999999995,+27.00
92,93,93,John Rollins,85,"44' 1""",132,5818.75,+18.00
93,T94,T94,Phil Mickelson,79,"44' 3""",109,4824.417,+2.00
94,T94,T94,Heath Slocum,89,"44' 3""",91,4030.167,+20.00
95,T96,T96,Rickie Fowler,84,"44' 5""",140,6224.0,+15.00
96,T96,T96,Ryan Moore,79,"44' 5""",103,4576.083,+20.00
97,T98,T98,Brendon de Jonge,105,"44' 6""",164,7302.1669999999995,+10.00
98,T98,T98,Camilo Villegas,69,"44' 6""",139,6189.4169999999995,+29.00
99,100,100,Ben Crane,76,"44' 7""",99,4412.75,+2.00
100,101,101,John Senden,94,"44' 8""",140,6251.75,+18.00
101,T102,T102,Steve Flesch,88,"44' 9""",134,5994.4169999999995,+11.00
102,T102,T102,Jimmy Walker,79,"44' 9""",187,8373.167,+28.00
103,T102,T102,Boo Weekley,66,"44' 9""",107,4790.75,+15.00
104,105,105,Vijay Singh,79,"44' 10""",142,6370.1669999999995,+24.00
105,106,106,Fabián Gómez,84,"44' 11""",131,5881.4169999999995,+23.00
106,T107,T107,Tim Herron,85,"45' 0""",157,7060.1669999999995,+12.00
107,T107,T107,Nick O'Hern,89,"45' 0""",96,4317.917,+11.00
108,T107,T107,Pat Perez,76,"45' 0""",113,5089.5,+14.00
109,110,110,Jim Furyk,87,"45' 2""",103,4654.333,+12.00
110,111,111,Luke Donald,73,"45' 3""",64,2896.0,-6.00
111,112,112,David Mathis,83,"45' 4""",125,5670.25,+9.00
112,T113,T113,Nathan Green,81,"45' 5""",143,6500.1669999999995,+27.00
113,T113,T113,Freddie Jacobson,92,"45' 5""",129,5856.9169999999995,+9.00
114,T113,T113,Jhonattan Vegas,84,"45' 5""",151,6858.3330000000005,+18.00
115,T116,T116,Greg Chalmers,88,"45' 6""",180,8184.1669999999995,+23.00
116,T116,T116,Jason Dufner,78,"45' 6""",120,5458.5830000000005,+10.00
117,T116,T116,Rocco Mediate,53,"45' 6""",79,3593.583,+18.00
118,T116,T116,Michael Putnam,67,"45' 6""",111,5052.083,+11.00
119,T120,T120,Ángel Cabrera,50,"45' 7""",68,3097.75,+14.00
120,T120,T120,Scott Gutschewski,67,"45' 7""",101,4606.667,+24.00
121,T120,T120,Gary Woodland,93,"45' 7""",145,6612.0830000000005,E
122,T123,T123,George McNeill,69,"45' 8""",144,6573.5,+16.00
123,T123,T123,Josh Teater,104,"45' 8""",194,8862.25,+18.00
124,T125,T125,Joseph Bramlett,73,"45' 9""",126,5759.3330000000005,+22.00
125,T125,T125,Roland Thatcher,67,"45' 9""",114,5218.167,+38.00
126,T127,T127,Robert Allenby,84,"45' 10""",126,5771.25,+32.00
127,T127,T127,Anthony Kim,72,"45' 10""",127,5825.5830000000005,+12.00
128,T129,T129,Martin Laird,77,"45' 11""",111,5099.417,+10.00
129,T129,T129,Joe Ogilvie,75,"45' 11""",129,5922.8330000000005,+10.00
130,T129,T129,Garrett Willis,71,"45' 11""",89,4088.917,+31.00
131,132,132,Zack Miller,86,"46' 0""",168,7731.1669999999995,+34.00
132,T133,T133,Arjun Atwal,91,"46' 1""",139,6404.25,+36.00
133,T133,T133,Paul Stankowski,78,"46' 1""",119,5487.9169999999995,+27.00
134,135,135,Steve Stricker,70,"46' 2""",86,3967.833,-2.00
135,T136,T136,Blake Adams,116,"46' 3""",210,9712.75,+29.00
136,T136,T136,K.J. Choi,77,"46' 3""",104,4809.167,+11.00
137,T136,T136,Andres Gonzales,60,"46' 3""",79,3656.75,+13.00
138,T139,T139,Matt Bettencourt,84,"46' 5""",152,7054.6669999999995,+19.00
139,T139,T139,Jarrod Lyle,83,"46' 5""",154,7145.75,+35.00
140,T139,T139,Troy Merritt,63,"46' 5""",114,5289.4169999999995,+35.00
141,T139,T139,Bo Van Pelt,92,"46' 5""",120,5567.5,+18.00
142,T143,T143,Bio Kim,71,"46' 9""",158,7392.6669999999995,+22.00
143,T143,T143,Marc Leishman,87,"46' 9""",215,10048.417,+30.00
144,145,145,Robert Karlsson,61,"46' 10""",83,3884.583,+5.00
145,T146,T146,William McGirt,103,"46' 11""",163,7650.0830000000005,+21.00
146,T146,T146,Matt McQuillan,59,"46' 11""",87,4079.75,+16.00
147,148,148,Alex Cejka,59,"47' 0""",69,3241.0,+11.00
148,T149,T149,Brian Gay,90,"47' 2""",94,4434.083,+18.00
149,T149,T149,Ben Martin,74,"47' 2""",117,5520.1669999999995,+23.00
