,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Bubba Watson,85,82.83,521,629
1,2,2,Ernie Els,71,82.68,482,583
2,3,3,Bill Lunde,92,82.42,619,751
3,4,4,Charles Howell III,108,81.44,680,835
4,5,5,J.B. Holmes,57,81.09,313,386
5,T6,T6,Chad Campbell,99,80.96,693,856
6,T6,T6,David Hearn,88,80.96,574,709
7,8,8,Rory Sabbatini,85,80.94,518,640
8,9,9,Kris Blanks,92,80.81,640,792
9,10,10,Justin Rose,79,80.65,550,682
10,11,11,Boo Weekley,66,80.62,466,578
11,12,12,J.J. Henry,96,80.49,685,851
12,13,13,Alex Prugh,82,80.45,502,624
13,14,14,William McGirt,103,80.36,675,840
14,15,15,Webb Simpson,98,80.14,678,846
15,16,16,John Merrick,71,79.76,473,593
16,17,17,John Senden,94,79.68,698,876
17,18,18,Dustin Johnson,72,79.65,454,570
18,19,19,Andres Romero,77,79.64,481,604
19,20,20,Hunter Mahan,92,79.62,625,785
20,21,21,Sergio Garcia,61,79.51,392,493
21,22,22,Jim Herman,69,79.42,386,486
22,23,23,Adam Scott,60,79.28,421,531
23,T24,T24,Spencer Levin,113,79.27,765,965
24,T24,T24,John Rollins,85,79.27,612,772
25,26,26,Gary Woodland,93,79.26,596,752
26,27,27,Brandt Jobe,100,79.25,699,882
27,28,28,Alexandre Rocha,65,79.23,393,496
28,29,29,David Toms,78,79.16,585,739
29,30,30,Derek Lamely,65,79.15,353,446
30,31,31,Bill Haas,93,79.0,647,819
31,32,32,Phil Mickelson,79,78.88,452,573
32,T33,T33,Trevor Immelman,84,78.84,570,723
33,T33,T33,Kevin Stadler,88,78.84,555,704
34,35,35,Jhonattan Vegas,84,78.72,481,611
35,36,36,Woody Austin,59,78.69,384,488
36,37,37,Robert Allenby,84,78.66,575,731
37,T38,T38,Michael Bradley,74,78.6,437,556
38,T38,T38,Cameron Tringale,110,78.6,709,902
39,40,40,Joe Durant,71,78.54,571,727
40,41,41,Ángel Cabrera,50,78.53,278,354
41,42,42,Matt Jones,71,78.47,430,548
42,43,43,Kyle Stanley,98,78.45,586,747
43,T44,T44,Tommy Gainey,104,78.35,644,822
44,T44,T44,Davis Love III,70,78.35,456,582
45,T44,T44,Sean O'Hair,71,78.35,427,545
46,47,47,Scott Stallings,84,78.32,484,618
47,48,48,Aaron Baddeley,77,78.25,457,584
48,49,49,Josh Teater,104,78.12,657,841
49,50,50,Luke Donald,73,78.11,471,603
50,51,51,Chris Kirk,87,78.1,535,685
51,52,52,Robert Garrigus,83,78.08,481,616
52,53,53,Bo Van Pelt,92,78.0,624,800
53,T54,T54,Padraig Harrington,60,77.98,340,436
54,T54,T54,Chez Reavie,92,77.98,673,863
55,56,56,Lucas Glover,74,77.94,491,630
56,57,57,Nick Watney,80,77.88,486,624
57,58,58,Billy Horschel,75,77.86,496,637
58,59,59,Charley Hoffman,93,77.84,604,776
59,60,60,Anthony Kim,72,77.61,364,469
60,61,61,Matt Bettencourt,84,77.56,515,664
61,62,62,Jim Furyk,87,77.51,634,818
62,63,63,David Duval,67,77.48,375,484
63,64,64,Fabián Gómez,84,77.4,517,668
64,65,65,Scott Piercy,78,77.38,455,588
65,66,66,Heath Slocum,89,77.36,714,923
66,67,67,Tag Ridings,87,77.33,498,644
67,T68,T68,Kent Jones,76,77.22,505,654
68,T68,T68,Matt Kuchar,94,77.22,617,799
69,70,70,Carl Pettersson,95,77.19,626,811
70,71,71,Steve Marino,76,77.13,499,647
71,72,72,Chris Stroud,88,77.1,542,703
72,73,73,Jim Renner,65,77.07,363,471
73,74,74,Steve Stricker,70,77.06,467,606
74,75,75,Rod Pampling,72,77.05,460,597
75,76,76,Brian Davis,105,76.87,791,1029
76,77,77,Marc Leishman,87,76.82,507,660
77,78,78,D.J. Trahan,91,76.81,583,759
78,79,79,Graeme McDowell,50,76.77,337,439
79,80,80,Ryan Palmer,82,76.71,461,601
80,81,81,Brendon de Jonge,105,76.69,691,901
81,82,82,Keegan Bradley,91,76.68,572,746
82,83,83,Justin Leonard,82,76.64,571,745
83,84,84,K.J. Choi,77,76.58,497,649
84,85,85,Sung Kang,63,76.47,390,510
85,86,86,Charl Schwartzel,58,76.45,370,484
86,87,87,Kevin Chappell,78,76.39,453,593
87,88,88,Briny Baird,60,76.3,396,519
88,89,89,Steve Elkington,50,76.29,370,485
89,90,90,Vijay Singh,79,76.26,501,657
90,91,91,Shaun Micheel,77,76.15,431,566
91,92,92,Robert Karlsson,61,76.12,357,469
92,93,93,Johnson Wagner,81,76.1,551,724
93,94,94,Martin Laird,77,76.09,471,619
94,95,95,Tim Herron,85,76.08,493,648
95,96,96,Jeff Overton,92,76.07,585,769
96,97,97,Tom Gillis,55,76.06,375,493
97,T98,T98,Vaughn Taylor,89,76.04,606,797
98,T98,T98,Marc Turnesa,54,76.04,346,455
99,100,100,Arjun Atwal,91,75.91,545,718
100,101,101,Brendan Steele,89,75.86,597,787
101,102,102,Jason Day,76,75.85,424,559
102,T103,T103,Jason Dufner,78,75.77,541,714
103,T103,T103,Zach Johnson,79,75.77,588,776
104,T105,T105,Blake Adams,116,75.75,778,1027
105,T105,T105,Jason Bohn,74,75.75,503,664
106,107,107,Rickie Fowler,84,75.74,487,643
107,T108,T108,Jonathan Byrd,83,75.72,524,692
108,T108,T108,Harrison Frazar,58,75.72,315,416
109,T110,T110,Steven Bowditch,86,75.71,477,630
110,T110,T110,Bryce Molder,82,75.71,561,741
111,112,112,Cameron Beckman,71,75.7,433,572
