,Fairway_Proximity_RANK THIS WEEK,Fairway_Proximity_RANK LAST WEEK,Fairway_Proximity_PLAYER NAME,Fairway_Proximity_ROUNDS,Fairway_Proximity_AVG,Fairway_Proximity_ATTEMPTS,Fairway_Proximity_TOTAL DISTANCE (FEET),Fairway_Proximity_RELATIVE TO PAR
0,T1,T1,Paul Goydos,81,"28' 8""",1052,30155.667,-14.00
1,T1,T1,Dustin Johnson,72,"28' 8""",657,18853.75,-77.00
2,3,3,Chad Campbell,99,"28' 9""",1205,34666.083,-114.00
3,4,4,Heath Slocum,89,"28' 10""",1072,30922.0,-91.00
4,T5,T5,Alex Cejka,59,"29' 0""",644,18668.667,-32.00
5,T5,T5,Rickie Fowler,84,"29' 0""",832,24138.5,-81.00
6,T7,T7,Luke Donald,73,"29' 1""",729,21176.667,-115.00
7,T7,T7,Ernie Els,71,"29' 1""",780,22699.583,-76.00
8,T7,T7,Kyle Stanley,98,"29' 1""",1017,29542.75,-93.00
9,10,10,David Hearn,88,"29' 3""",1022,29905.583,-107.00
10,T11,T11,Jim Furyk,87,"29' 4""",1011,29671.917,-90.00
11,T11,T11,Tom Gillis,55,"29' 4""",658,19278.25,-22.00
12,T13,T13,Kris Blanks,92,"29' 5""",1120,32936.833,-95.00
13,T13,T13,Robert Garrigus,83,"29' 5""",823,24228.75,-62.00
14,T13,T13,Chris Kirk,87,"29' 5""",974,28625.75,-117.00
15,T13,T13,David Toms,78,"29' 5""",856,25155.583,-107.00
16,17,17,Shane Bertsch,62,"29' 6""",742,21859.25,-43.00
17,T18,T18,Brandt Jobe,100,"29' 7""",1127,33307.25,-110.00
18,T18,T18,Scott Stallings,84,"29' 7""",883,26134.917,-58.00
19,T20,T20,Briny Baird,60,"29' 9""",693,20616.75,-67.00
20,T20,T20,Jason Dufner,78,"29' 9""",893,26594.333,-75.00
21,T20,T20,Joe Durant,71,"29' 9""",951,28287.833,-32.00
22,T20,T20,Sean O'Hair,71,"29' 9""",756,22482.083,-43.00
23,T20,T20,Scott Piercy,78,"29' 9""",772,22984.417,-84.00
24,T20,T20,Ian Poulter,52,"29' 9""",535,15924.833,-37.00
25,T20,T20,Kevin Stadler,88,"29' 9""",975,28991.583,-60.00
26,T20,T20,Gary Woodland,93,"29' 9""",876,26052.833,-108.00
27,T28,T28,Kevin Chappell,78,"29' 11""",769,23004.333,-33.00
28,T28,T28,Alex Prugh,82,"29' 11""",906,27100.417,-37.00
29,T28,T28,D.J. Trahan,91,"29' 11""",1058,31612.583,-77.00
30,T31,T31,K.J. Choi,77,"30' 0""",791,23734.25,-86.00
31,T31,T31,John Rollins,85,"30' 0""",994,29780.833,-102.00
32,T31,T31,Webb Simpson,98,"30' 0""",1110,33281.833,-210.00
33,T31,T31,Nick Watney,80,"30' 0""",787,23593.75,-128.00
34,T35,T35,Ricky Barnes,78,"30' 1""",818,24619.417,-47.00
35,T35,T35,Chris Stroud,88,"30' 1""",1007,30255.083,-47.00
36,T37,T37,Tommy Gainey,104,"30' 2""",1186,35743.167,-92.00
37,T37,T37,Sung Kang,63,"30' 2""",661,19935.083,-47.00
38,T37,T37,Davis Love III,70,"30' 2""",678,20478.917,-71.00
39,T40,T40,Matt Kuchar,94,"30' 3""",958,28984.5,-140.00
40,T40,T40,Brendan Steele,89,"30' 3""",1041,31498.833,-89.00
41,T42,T42,Brian Davis,105,"30' 4""",1328,40280.083,-126.00
42,T42,T42,Brian Gay,90,"30' 4""",1096,33264.167,-87.00
43,T42,T42,Lucas Glover,74,"30' 4""",807,24491.083,-78.00
44,T42,T42,Steve Stricker,70,"30' 4""",723,21953.417,-119.00
45,T46,T46,Robert Allenby,84,"30' 5""",933,28373.083,-111.00
46,T46,T46,Troy Matteson,91,"30' 5""",1028,31277.583,-74.00
47,T46,T46,Chez Reavie,92,"30' 5""",1152,35046.583,-105.00
48,T49,T49,Arjun Atwal,91,"30' 6""",1035,31577.0,-79.00
49,T49,T49,Harrison Frazar,58,"30' 6""",507,15483.667,-8.00
50,T49,T49,Andres Gonzales,60,"30' 6""",625,19061.167,-31.00
51,T49,T49,Jim Renner,65,"30' 6""",686,20895.667,-56.00
52,T49,T49,Michael Thompson,79,"30' 6""",933,28470.167,-73.00
53,T49,T49,Bo Van Pelt,92,"30' 6""",939,28629.167,-109.00
54,T55,T55,Stephen Ames,69,"30' 7""",854,26091.333,-26.00
55,T55,T55,Woody Austin,59,"30' 7""",691,21139.667,-69.00
56,T55,T55,Jason Bohn,74,"30' 7""",947,28980.417,-83.00
57,T55,T55,Padraig Harrington,60,"30' 7""",563,17236.833,-41.00
58,T55,T55,Jerry Kelly,85,"30' 7""",990,30288.917,-106.00
59,T55,T55,Justin Leonard,82,"30' 7""",1063,32534.0,-30.00
60,T55,T55,Pat Perez,76,"30' 7""",959,29327.417,-71.00
61,T62,T62,Stewart Cink,72,"30' 8""",672,20609.25,-52.00
62,T62,T62,Spencer Levin,113,"30' 8""",1269,38875.75,-124.00
63,T62,T62,David Mathis,83,"30' 8""",975,29939.417,-36.00
64,T62,T62,Matt McQuillan,59,"30' 8""",675,20698.917,-38.00
65,T62,T62,Phil Mickelson,79,"30' 8""",709,21755.5,-82.00
66,T62,T62,Rory Sabbatini,85,"30' 8""",768,23577.75,-66.00
67,T62,T62,Vaughn Taylor,89,"30' 8""",1105,33881.083,-85.00
68,T62,T62,Camilo Villegas,69,"30' 8""",731,22401.75,-57.00
