,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Luke Donald,73,33.53,57,170
1,2,2,Hunter Mahan,92,30.04,85,283
2,3,3,Bryce Molder,82,29.67,81,273
3,4,4,Webb Simpson,98,29.61,98,331
4,5,5,Brian Davis,105,29.24,100,342
5,6,6,Steve Stricker,70,29.18,68,233
6,7,7,Charley Hoffman,93,29.14,88,302
7,8,8,K.J. Choi,77,29.11,62,213
8,9,9,Matt Kuchar,94,28.62,79,276
9,10,10,Greg Chalmers,88,28.57,84,294
10,11,11,Graeme McDowell,50,28.48,45,158
11,12,12,Ben Martin,74,28.02,65,232
12,13,13,Paul Goydos,81,27.95,90,322
13,14,14,Robert Garrigus,83,27.74,81,292
14,15,15,Zach Johnson,79,27.62,66,239
15,16,16,Blake Adams,116,27.46,117,426
16,17,17,Scott Piercy,78,27.35,67,245
17,18,18,Kyle Stanley,98,27.24,82,301
18,19,19,Camilo Villegas,69,26.88,50,186
19,20,20,Woody Austin,59,26.87,54,201
20,21,21,Aaron Baddeley,77,26.72,62,232
21,22,22,Brandt Snedeker,85,26.69,63,236
22,T23,T23,Boo Weekley,66,26.57,55,207
23,T23,T23,Dean Wilson,62,26.57,55,207
24,25,25,Geoff Ogilvy,69,26.5,53,200
25,26,26,Pat Perez,76,26.37,72,273
26,27,27,Freddie Jacobson,92,26.32,65,247
27,28,28,Kent Jones,76,26.17,67,256
28,29,29,Rory Sabbatini,85,26.16,62,237
29,30,30,Jason Bohn,74,25.84,69,267
30,31,31,Jimmy Walker,79,25.63,71,277
31,32,32,David Toms,78,25.62,52,203
32,33,33,Tommy Gainey,104,25.6,96,375
33,T34,T34,Phil Mickelson,79,25.57,56,219
34,T34,T34,Mark Wilson,89,25.57,67,262
35,36,36,Carl Pettersson,95,25.48,92,361
