,Approaches_from__275_yards_Rgh_RANK THIS WEEK,Approaches_from__275_yards_Rgh_RANK LAST WEEK,Approaches_from__275_yards_Rgh_PLAYER NAME,Approaches_from__275_yards_Rgh_ROUNDS,Approaches_from__275_yards_Rgh_AVG,Approaches_from__275_yards_Rgh_TOTAL DISTANCE (FEET),Approaches_from__275_yards_Rgh_# OF ATTEMPTS,Approaches_from__275_yards_Rgh_RELATIVE TO PAR
0,1,1,Chris Riley,76,"10' 10""",10.833,1,-2
1,2,2,Alex Cejka,59,"14' 4""",14.333,1,-1
2,3,3,Billy Horschel,75,"20' 2""",20.167,1,E
3,4,4,Alexandre Rocha,65,"30' 7""",61.167,2,-1
4,5,5,Kevin Streelman,90,"32' 8""",32.667,1,-1
5,6,6,Steve Marino,76,"42' 1""",42.083,1,-1
6,7,7,Joe Durant,71,"44' 8""",89.333,2,-1
7,T8,T8,Rich Beem,53,"45' 1""",45.083,1,-1
8,T8,T8,Martin Piller,63,"45' 1""",90.083,2,-1
9,T10,T10,Ángel Cabrera,50,"47' 2""",47.167,1,E
10,T10,T10,Scott Piercy,78,"47' 2""",188.75,4,-3
11,12,12,Kevin Stadler,88,"48' 2""",96.25,2,-1
12,13,13,Marc Turnesa,54,"49' 10""",49.833,1,E
13,14,14,Rocco Mediate,53,"52' 5""",52.417,1,E
14,15,15,Keegan Bradley,91,"56' 2""",112.25,2,-1
15,16,16,Zack Miller,86,"58' 7""",58.583,1,-1
16,17,17,Chez Reavie,92,"59' 9""",119.5,2,-1
17,18,18,Jim Renner,65,"60' 6""",242.083,4,+1
18,19,19,Tommy Gainey,104,"61' 11""",123.75,2,-1
19,20,20,Shaun Micheel,77,"63' 3""",63.25,1,E
20,T21,T21,Tag Ridings,87,"65' 1""",130.167,2,E
21,T21,T21,Justin Rose,79,"65' 1""",195.333,3,-2
22,23,23,Matt McQuillan,59,"65' 6""",130.917,2,E
23,24,24,Jhonattan Vegas,84,"67' 1""",134.167,2,-2
24,25,25,Stewart Cink,72,"67' 5""",67.417,1,-1
25,26,26,Ryuji Imada,83,"68' 11""",68.917,1,E
26,27,27,Vijay Singh,79,"72' 6""",217.417,3,-1
27,28,28,Troy Merritt,63,"72' 11""",145.833,2,E
28,29,29,Dustin Johnson,72,"74' 0""",370.0,5,-1
29,30,30,Luke Donald,73,"76' 4""",76.333,1,E
30,31,31,Harrison Frazar,58,"77' 7""",388.083,5,-5
31,32,32,George McNeill,69,"78' 8""",235.917,3,-1
32,33,33,Troy Matteson,91,"78' 10""",630.4169999999999,8,-3
33,34,34,Bubba Watson,85,"79' 0""",157.917,2,E
34,35,35,Charl Schwartzel,58,"79' 1""",237.25,3,-3
35,36,36,Jonathan Byrd,83,"79' 7""",159.167,2,-1
36,37,37,Charles Howell III,108,"81' 1""",486.417,6,-2
37,38,38,Kevin Na,84,"81' 6""",325.83299999999997,4,-1
38,T39,T39,Justin Leonard,82,"81' 8""",81.667,1,E
39,T39,T39,Billy Mayfair,94,"81' 8""",81.667,1,E
40,41,41,Spencer Levin,113,"82' 0""",164.0,2,-1
41,42,42,D.J. Brigman,67,"82' 5""",164.833,2,-1
42,43,43,D.A. Points,89,"83' 6""",584.75,7,E
43,44,44,Ben Crane,76,"86' 11""",173.75,2,+1
44,45,45,Gary Woodland,93,"87' 8""",262.91700000000003,3,-1
45,46,46,John Senden,94,"88' 0""",528.1669999999999,6,-1
46,47,47,Brendon de Jonge,105,"89' 0""",445.167,5,-2
47,48,48,Jeff Overton,92,"89' 3""",178.5,2,E
48,49,49,David Mathis,83,"89' 8""",269.08299999999997,3,-2
49,50,50,Matt Bettencourt,84,"90' 10""",272.41700000000003,3,-2
50,T51,T51,Bill Haas,93,"91' 0""",91.0,1,+1
51,T51,T51,Charley Hoffman,93,"91' 0""",273.0,3,-2
52,53,53,Anthony Kim,72,"91' 8""",458.333,5,-2
53,54,54,Kyle Stanley,98,"91' 11""",643.1669999999999,7,-4
54,55,55,Hunter Mahan,92,"92' 5""",184.833,2,-1
55,56,56,Ryan Palmer,82,"92' 8""",370.75,4,+1
56,57,57,Joseph Bramlett,73,"92' 10""",742.75,8,-1
57,58,58,Chris Stroud,88,"93' 0""",278.91700000000003,3,-3
58,59,59,Brandt Snedeker,85,"94' 1""",188.083,2,-1
59,60,60,Steven Bowditch,86,"96' 5""",289.16700000000003,3,E
60,61,61,Josh Teater,104,"96' 10""",484.167,5,E
61,62,62,Ben Curtis,66,"97' 6""",195.0,2,-1
62,63,63,David Toms,78,"97' 7""",195.083,2,E
63,64,64,Camilo Villegas,69,"98' 1""",196.167,2,-1
64,65,65,Cameron Tringale,110,"99' 1""",396.25,4,-3
65,66,66,Trevor Immelman,84,"99' 6""",397.833,4,-3
66,67,67,Chris Couch,73,"99' 11""",399.667,4,E
67,68,68,Sergio Garcia,61,"100' 4""",401.25,4,-2
68,69,69,Rod Pampling,72,"101' 2""",303.58299999999997,3,-4
69,70,70,Jerry Kelly,85,"101' 7""",101.583,1,-1
