,Percentage_of_potential_money_won_RANK THIS WEEK,Percentage_of_potential_money_won_RANK LAST WEEK,Percentage_of_potential_money_won_PLAYER NAME,Percentage_of_potential_money_won_EVENTS,Percentage_of_potential_money_won_%,Percentage_of_potential_money_won_OFFICIAL MONEY WON,Percentage_of_potential_money_won_POTENTIAL MONEY
0,1,1,Tiger Woods,15,58.63,"$9,941,563","$16,957,480"
1,2,2,Jim Furyk,24,27.61,"$7,213,315","$26,128,480"
2,3,3,Anthony Kim,2,26.83,"$338,066","$1,260,000"
3,4,4,Adam Scott,19,23.11,"$4,978,857","$21,547,480"
4,5,5,Phil Mickelson,19,20.34,"$4,256,505","$20,931,480"
5,6,6,Geoff Ogilvy,20,19.59,"$4,354,969","$22,227,480"
6,7,7,Vijay Singh,27,15.86,"$4,602,416","$29,017,480"
7,8,8,Trevor Immelman,24,15.76,"$3,844,188","$24,399,000"
8,9,9,Luke Donald,18,15.5,"$3,177,408","$20,494,480"
9,10,10,Stuart Appleby,23,13.7,"$3,470,457","$25,327,480"
10,11,11,Retief Goosen,18,12.63,"$2,617,452","$20,719,480"
11,12,12,David Toms,22,12.19,"$2,911,186","$23,890,000"
12,13,13,Hideto Tanihara,2,12.13,"$310,830","$2,562,480"
13,14,14,Brett Wetterich,25,12.11,"$3,023,184","$24,962,480"
14,15,15,Steve Stricker,17,11.46,"$1,811,811","$15,805,000"
15,16,16,Ernie Els,18,11.27,"$2,326,220","$20,638,480"
16,17,17,Davis Love III,23,11.1,"$2,747,205","$24,738,480"
17,18,18,Rory Sabbatini,24,10.94,"$2,861,750","$26,155,480"
18,19,19,Joe Durant,28,10.74,"$2,811,139","$26,172,000"
19,20,20,José María Olazábal,18,10.55,"$2,120,422","$20,089,480"
20,21,21,Chad Campbell,25,10.47,"$2,811,067","$26,848,480"
21,22,22,Stephen Ames,21,10.4,"$2,395,155","$23,032,480"
22,23,23,Rod Pampling,24,10.14,"$2,664,673","$26,281,480"
23,24,24,Stewart Cink,26,9.99,"$2,755,911","$27,586,480"
24,25,25,Arron Oberholser,23,9.87,"$2,467,771","$25,012,480"
25,26,26,Ian Poulter,15,9.06,"$1,553,906","$17,155,480"
26,27,27,Carl Pettersson,28,8.83,"$2,647,982","$29,989,480"
27,28,28,K.J. Choi,26,8.67,"$2,376,547","$27,424,480"
28,29,29,Zach Johnson,27,8.56,"$2,452,250","$28,648,480"
29,30,30,Ben Curtis,26,8.43,"$2,256,325","$26,768,480"
30,31,31,Tim Clark,22,8.21,"$1,974,931","$24,067,480"
31,32,32,Sergio Garcia,17,8.08,"$1,560,733","$19,311,480"
32,33,33,Lucas Glover,31,7.89,"$2,587,982","$32,815,480"
33,34,34,Brett Quigley,33,7.85,"$2,617,418","$33,347,480"
34,35,35,J.J. Henry,28,7.84,"$2,301,480","$29,373,480"
35,T36,T36,Padraig Harrington,15,7.73,"$1,339,675","$17,326,480"
36,T36,T36,Tom Lehman,20,7.73,"$1,692,080","$21,876,480"
37,38,38,Dean Wilson,34,7.58,"$2,509,857","$33,111,000"
38,39,39,Roland Thatcher,1,7.5,"$74,250","$990,000"
39,40,40,Jonathan Byrd,20,7.44,"$1,408,418","$18,918,000"
40,41,41,Mike Weir,24,7.43,"$1,883,724","$25,341,480"
41,42,42,Tom Pernice Jr.,33,7.25,"$2,396,547","$33,077,480"
42,43,43,Ángel Cabrera,12,7.13,"$1,021,420","$14,320,480"
43,44,44,Andres Romero,2,6.92,"$177,224","$2,562,480"
44,45,45,Henrik Stenson,10,6.7,"$821,677","$12,259,480"
45,46,46,Scott Verplank,25,6.67,"$1,729,318","$25,912,480"
46,47,47,Vaughn Taylor,26,6.66,"$1,783,944","$26,794,480"
47,48,48,Frank Lickliter II,29,6.56,"$1,655,678","$25,227,000"
48,49,49,Ken Duke,2,6.51,"$138,230","$2,124,000"
49,50,50,Robert Allenby,22,6.38,"$1,503,581","$23,554,480"
50,51,51,Colin Montgomerie,8,6.34,"$638,749","$10,077,480"
51,T52,T52,Tim Herron,27,6.27,"$1,776,142","$28,324,480"
52,T52,T52,Troy Matteson,32,6.27,"$1,778,597","$28,377,000"
53,T54,T54,Mikko Ilonen,1,6.25,"$83,655","$1,338,480"
54,T54,T54,Robert Rock,1,6.25,"$83,655","$1,338,480"
55,T54,T54,Brett Rumford,1,6.25,"$83,655","$1,338,480"
56,57,57,Camilo Villegas,29,6.21,"$1,742,111","$28,054,000"
57,58,58,Aaron Baddeley,25,6.1,"$1,516,512","$24,877,480"
58,59,59,Justin Rose,28,6.09,"$1,629,288","$26,766,000"
