,Money_per_Event_Leaders_RANK THIS WEEK,Money_per_Event_Leaders_RANK LAST WEEK,Money_per_Event_Leaders_PLAYER NAME,Money_per_Event_Leaders_EVENTS,Money_per_Event_Leaders_MONEY PER EVENT,Money_per_Event_Leaders_TOTAL MONEY
0,1,1,Tiger Woods,15,"$662,770","$9,941,563"
1,2,2,Jim Furyk,24,"$300,554","$7,213,315"
2,3,3,Adam Scott,19,"$262,045","$4,978,857"
3,4,4,Phil Mickelson,19,"$224,026","$4,256,505"
4,5,5,Geoff Ogilvy,20,"$217,748","$4,354,969"
5,6,6,Luke Donald,18,"$176,522","$3,177,408"
6,7,7,Vijay Singh,27,"$170,459","$4,602,416"
7,8,8,Anthony Kim,2,"$169,033","$338,066"
8,9,9,Trevor Immelman,24,"$160,174","$3,844,188"
9,10,10,Hideto Tanihara,2,"$155,415","$310,830"
10,11,11,Stuart Appleby,23,"$150,889","$3,470,457"
11,12,12,Retief Goosen,18,"$145,414","$2,617,452"
12,13,13,David Toms,22,"$132,326","$2,911,186"
13,14,14,Ernie Els,18,"$129,234","$2,326,220"
14,15,15,Brett Wetterich,25,"$120,927","$3,023,184"
15,16,16,Davis Love III,23,"$119,443","$2,747,205"
16,17,17,Rory Sabbatini,24,"$119,239","$2,861,750"
17,18,18,José María Olazábal,18,"$117,801","$2,120,422"
18,19,19,Stephen Ames,21,"$114,055","$2,395,155"
19,20,20,Chad Campbell,25,"$112,442","$2,811,067"
20,21,21,Rod Pampling,24,"$111,028","$2,664,673"
21,22,22,Arron Oberholser,23,"$107,294","$2,467,771"
22,23,23,Steve Stricker,17,"$106,577","$1,811,811"
23,24,24,Stewart Cink,26,"$105,996","$2,755,911"
24,25,25,Ian Poulter,15,"$103,593","$1,553,906"
25,26,26,Joe Durant,28,"$100,397","$2,811,139"
26,27,27,Carl Pettersson,28,"$94,570","$2,647,982"
27,28,28,Sergio Garcia,17,"$91,807","$1,560,733"
28,29,29,K.J. Choi,26,"$91,405","$2,376,547"
29,30,30,Zach Johnson,27,"$90,824","$2,452,250"
30,31,31,Tim Clark,22,"$89,769","$1,974,931"
31,32,32,Padraig Harrington,15,"$89,311","$1,339,675"
