,Official_Money_RANK THIS WEEK,Official_Money_RANK LAST WEEK,Official_Money_PLAYER NAME,Official_Money_EVENTS,Official_Money_MONEY,Official_Money_YTD VICTORIES
0,1,1,Tiger Woods,15,"$9,941,563",8.0
1,2,2,Jim Furyk,24,"$7,213,316",2.0
2,3,3,Adam Scott,19,"$4,978,858",1.0
3,4,4,Vijay Singh,27,"$4,602,416",1.0
4,5,5,Geoff Ogilvy,20,"$4,354,969",2.0
5,6,6,Phil Mickelson,19,"$4,256,505",2.0
6,7,7,Trevor Immelman,24,"$3,844,189",1.0
7,8,8,Stuart Appleby,23,"$3,470,457",2.0
8,9,9,Luke Donald,18,"$3,177,408",1.0
9,10,10,Brett Wetterich,25,"$3,023,185",1.0
10,11,11,David Toms,22,"$2,911,187",1.0
11,12,12,Rory Sabbatini,24,"$2,861,751",1.0
12,13,13,Joe Durant,28,"$2,811,139",1.0
13,14,14,Chad Campbell,25,"$2,811,067",1.0
14,15,15,Stewart Cink,26,"$2,755,911",
15,16,16,Davis Love III,23,"$2,747,206",1.0
16,17,17,Rod Pampling,24,"$2,664,673",1.0
17,18,18,Carl Pettersson,28,"$2,647,982",1.0
18,19,19,Retief Goosen,18,"$2,617,453",
19,20,20,Brett Quigley,33,"$2,617,419",
20,21,21,Lucas Glover,31,"$2,587,982",
21,22,22,Dean Wilson,34,"$2,509,857",1.0
22,23,23,Arron Oberholser,23,"$2,467,772",1.0
23,24,24,Zach Johnson,27,"$2,452,250",
24,25,25,Tom Pernice Jr.,33,"$2,396,548",
25,26,26,Stephen Ames,21,"$2,395,155",1.0
26,27,27,K.J. Choi,26,"$2,376,548",1.0
27,28,28,Ernie Els,18,"$2,326,220",
28,29,29,J.J. Henry,28,"$2,301,480",1.0
29,30,30,Ben Curtis,26,"$2,256,326",2.0
30,31,31,José María Olazábal,18,"$2,120,422",
31,32,32,Tim Clark,22,"$1,974,931",
32,33,33,Mike Weir,24,"$1,883,724",
33,34,34,Steve Stricker,17,"$1,811,811",
34,35,35,Vaughn Taylor,26,"$1,783,945",
35,36,36,Troy Matteson,32,"$1,778,597",1.0
36,37,37,Tim Herron,27,"$1,776,142",1.0
37,38,38,Camilo Villegas,29,"$1,742,112",
38,39,39,Jerry Kelly,31,"$1,737,800",
39,40,40,Scott Verplank,25,"$1,729,319",
40,41,41,Nathan Green,30,"$1,700,803",
41,42,42,Tom Lehman,20,"$1,692,081",
42,43,43,Jason Bohn,29,"$1,676,893",
43,44,44,Frank Lickliter II,29,"$1,655,678",
44,45,45,John Senden,28,"$1,650,674",1.0
45,46,46,Shaun Micheel,29,"$1,632,842",
46,47,47,Justin Rose,28,"$1,629,288",
47,48,48,Fred Funk,29,"$1,579,837",
48,49,49,Sergio Garcia,17,"$1,560,733",
49,50,50,Richard Johnson,29,"$1,555,376",
50,51,51,Ian Poulter,15,"$1,553,906",
51,52,52,Charles Howell III,30,"$1,553,105",
52,53,53,Chris DiMarco,26,"$1,537,926",
53,54,54,Daniel Chopra,33,"$1,530,455",
54,55,55,Aaron Baddeley,25,"$1,516,513",1.0
55,56,56,Robert Allenby,22,"$1,503,581",
56,57,57,John Rollins,28,"$1,498,828",1.0
57,58,58,Ben Crane,26,"$1,489,093",
58,59,59,J.B. Holmes,26,"$1,487,604",1.0
59,60,60,Jeff Maggert,26,"$1,430,376",1.0
60,61,61,Steve Flesch,33,"$1,417,615",
61,62,62,Sean O'Hair,30,"$1,411,387",
62,63,63,Jonathan Byrd,20,"$1,408,418",
63,64,64,Bo Van Pelt,28,"$1,389,927",
64,65,65,Billy Mayfair,29,"$1,367,998",
65,66,66,Chris Couch,27,"$1,356,731",1.0
66,67,67,Bob Estes,25,"$1,340,244",
67,68,68,Padraig Harrington,15,"$1,339,675",
68,69,69,Greg Owen,24,"$1,316,685",
69,70,70,Bart Bryant,26,"$1,316,131",
70,71,71,Jesper Parnevik,24,"$1,308,310",
71,72,72,Corey Pavin,23,"$1,308,084",1.0
72,73,73,Eric Axley,29,"$1,274,580",1.0
73,74,74,Jeff Sluman,29,"$1,252,025",
74,75,75,Nick Watney,29,"$1,243,816",
75,76,76,Ted Purdy,33,"$1,216,428",
76,77,77,Heath Slocum,30,"$1,180,681",
77,78,78,Woody Austin,31,"$1,179,321",
78,79,79,Shigeki Maruyama,30,"$1,154,115",
79,80,80,Steve Lowery,31,"$1,124,950",
80,81,81,Ryan Moore,22,"$1,122,118",
81,82,82,Charley Hoffman,29,"$1,115,193",
82,83,83,Hunter Mahan,29,"$1,107,457",
83,84,84,Ryan Palmer,30,"$1,092,853",
84,85,85,Mathew Goggin,26,"$1,076,142",
85,86,86,Joe Ogilvie,29,"$1,073,111",
86,87,87,Billy Andrade,24,"$1,057,927",
87,88,88,Brian Gay,31,"$1,037,600",
88,89,89,D.J. Trahan,33,"$1,035,242",1.0
89,90,90,Bubba Watson,27,"$1,019,264",
90,91,91,Charles Warren,27,"$1,018,841",
91,92,92,Ryuji Imada,31,"$1,018,140",
92,93,93,Craig Barlow,22,"$1,006,538",
93,94,94,Nick O'Hern,15,"$995,235",
94,95,95,Daisuke Maruyama,25,"$956,874",
95,96,96,David Howell,14,"$912,437",
96,97,97,Paul Goydos,24,"$890,392",
97,98,98,Harrison Frazar,29,"$889,022",
98,99,99,Bill Haas,30,"$887,024",
99,100,100,Will MacKenzie,29,"$879,965",1.0
100,101,101,Kent Jones,32,"$860,766",
101,102,102,Briny Baird,25,"$844,547",
102,103,103,Peter Lonard,22,"$837,017",
103,104,104,Kenny Perry,22,"$818,698",
104,105,105,Joey Sindelar,29,"$802,507",
105,106,106,Brandt Jobe,28,"$802,432",
106,107,107,Jeff Gove,29,"$793,477",
107,108,108,Freddie Jacobson,18,"$788,764",
108,109,109,Justin Leonard,26,"$781,756",
109,110,110,Fred Couples,17,"$780,361",
110,111,111,Kirk Triplett,18,"$766,593",1.0
111,112,112,Dudley Hart,29,"$762,736",
112,113,113,Brian Davis,28,"$762,281",
113,114,114,Olin Browne,30,"$754,061",
114,115,115,Kevin Sutherland,29,"$751,626",
115,116,116,Stephen Leaney,27,"$746,747",
116,117,117,Pat Perez,19,"$719,507",
117,118,118,Jason Gore,29,"$717,005",
118,119,119,David Branshaw,29,"$706,346",
119,120,120,Mark Calcavecchia,27,"$705,315",
120,121,121,Paul Azinger,30,"$702,090",
121,122,122,J.P. Hayes,19,"$701,433",
122,123,123,Shane Bertsch,34,"$697,059",
123,124,124,Mathias Grönberg,30,"$674,002",
124,125,125,Darren Clarke,11,"$660,898",
125,126,126,Rich Beem,27,"$658,225",
126,127,127,Bubba Dickerson,32,"$650,314",
127,128,128,Brian Bateman,26,"$645,153",
128,129,129,John Cook,22,"$644,505",
129,130,130,Lee Westwood,14,"$630,566",
130,131,131,Duffy Waldorf,28,"$625,513",
131,132,132,Tim Petrovic,30,"$601,928",
132,133,133,Brent Geiberger,30,"$590,478",
133,134,134,Omar Uresti,22,"$583,704",
134,135,135,Jonathan Kaye,32,"$578,714",
135,136,136,Jeff Overton,28,"$577,132",
136,137,137,Jerry Smith,29,"$568,213",
137,138,138,Bernhard Langer,24,"$561,513",
138,139,139,Jeff Brehaut,33,"$558,594",
139,140,140,Arjun Atwal,33,"$550,535",
140,141,141,Bob May,21,"$548,712",
141,142,142,Marco Dawson,27,"$545,076",
142,143,143,Brad Faxon,26,"$543,681",
143,144,144,Robert Garrigus,28,"$537,595",
144,145,145,Alex Cejka,30,"$525,484",
145,146,146,Lee Janzen,28,"$524,198",
146,147,147,José Coceres,13,"$522,592",
147,148,148,Kris Cox,28,"$517,836",
148,149,149,Tag Ridings,33,"$498,242",
149,150,150,Chris Riley,27,"$495,314",
150,151,151,Robert Gamez,30,"$493,641",
151,152,152,Henrik Bjornstad,31,"$491,043",
152,153,153,Michael Allen,25,"$470,946",
153,154,154,Carlos Franco,29,"$454,385",
154,155,155,Robert Damron,31,"$451,299",
155,156,156,Mark Wilson,24,"$444,318",
156,157,157,Skip Kendall,22,"$439,934",
157,158,158,J.L. Lewis,17,"$438,669",
158,159,159,John Huston,27,"$431,025",
159,160,160,David McKenzie,28,"$425,228",
160,161,161,"Wes Short, Jr.",33,"$422,506",
161,162,162,D.A. Points,28,"$405,984",
162,163,163,Todd Fischer,35,"$395,817",
163,164,164,Doug Barron,28,"$388,226",
164,165,165,Patrick Sheehan,34,"$386,797",
165,166,166,Danny Ellis,23,"$382,500",
166,167,167,Scott Gutschewski,19,"$379,488",
167,168,168,Ian Leggatt,29,"$377,903",
168,169,169,Graeme McDowell,15,"$357,902",
169,170,170,Tommy Armour III,25,"$352,446",
170,171,171,Paul Stankowski,22,"$319,597",
171,172,172,David Duval,24,"$318,276",
172,173,173,Steve Jones,27,"$308,360",
173,174,174,Ron Whittaker,28,"$300,033",
174,175,175,Bob Tway,25,"$299,726",
175,176,176,Cameron Beckman,16,"$288,427",
176,177,177,Craig Parry,15,"$283,282",
177,178,178,Jay Delsing,14,"$276,447",
178,179,179,Greg Kraft,26,"$273,734",
179,180,180,Nicholas Thompson,32,"$264,717",
180,181,181,Steve Elkington,17,"$255,197",
181,182,182,B.J. Staten,18,"$253,088",
182,183,183,Mark Hensby,16,"$251,883",
183,184,184,Gabriel Hjertstedt,16,"$251,235",
184,185,185,Tjaart van der Walt,21,"$234,918",
185,186,186,John Riegger,20,"$230,765",
186,187,187,James Driscoll,29,"$219,904",
187,188,188,Larry Mize,18,"$217,971",
188,189,189,Nick Price,16,"$208,938",
189,190,190,Mark Brooks,36,"$207,958",
190,191,191,Vance Veazey,20,"$207,077",
191,192,192,Mark O'Meara,18,"$203,667",
192,193,193,John Daly,21,"$192,134",
193,194,194,Matt Hansen,25,"$187,252",
194,195,195,Chris Smith,21,"$183,411",
195,196,196,Scott McCarron,15,"$175,727",
196,197,197,Dicky Pride,9,"$174,674",
197,198,198,Todd Hamilton,27,"$165,152",
198,199,199,Jay Haas,7,"$163,399",
199,200,200,Thomas Levet,18,"$163,110",
200,201,201,Darron Stiles,15,"$157,559",
201,202,202,Jimmy Walker,21,"$153,950",
202,203,203,Greg Chalmers,28,"$151,265",
203,204,204,Jason Schultz,28,"$147,424",
