,Percentage_of_Available_Purse_Won_RANK THIS WEEK,Percentage_of_Available_Purse_Won_RANK LAST WEEK,Percentage_of_Available_Purse_Won_PLAYER NAME,Percentage_of_Available_Purse_Won_EVENTS,Percentage_of_Available_Purse_Won_%,Percentage_of_Available_Purse_Won_OFFICIAL MONEY WON,Percentage_of_Available_Purse_Won_TOTAL PURSE AVAILABLE
0,1,1,Tiger Woods,15,10.63,"$9,941,563","$93,500,000"
1,2,2,Jim Furyk,24,5.01,"$7,213,314","$143,850,000"
2,3,3,Anthony Kim,2,4.83,"$338,066","$7,000,000"
3,4,4,Adam Scott,19,4.18,"$4,978,855","$119,000,000"
4,5,5,Phil Mickelson,19,3.69,"$4,256,503","$115,300,000"
5,6,6,Geoff Ogilvy,20,3.57,"$4,354,968","$121,900,000"
6,7,7,Vijay Singh,27,2.88,"$4,602,414","$159,900,000"
7,8,8,Trevor Immelman,24,2.84,"$3,844,187","$135,250,000"
8,9,9,Luke Donald,18,2.81,"$3,177,404","$113,150,000"
9,10,10,Stuart Appleby,23,2.49,"$3,470,455","$139,400,000"
10,11,11,Hideto Tanihara,2,2.35,"$310,830","$13,250,000"
11,12,12,Retief Goosen,18,2.29,"$2,617,451","$114,400,000"
12,13,13,David Toms,22,2.2,"$2,911,185","$132,100,000"
13,14,14,Brett Wetterich,25,2.19,"$3,023,184","$138,250,000"
14,15,15,Steve Stricker,17,2.08,"$1,811,808","$86,950,000"
15,16,16,Ernie Els,18,2.04,"$2,326,219","$113,950,000"
16,17,17,Davis Love III,23,2.01,"$2,747,204","$136,450,000"
17,18,18,Rory Sabbatini,24,1.98,"$2,861,747","$144,600,000"
18,19,19,Joe Durant,28,1.93,"$2,811,138","$145,400,000"
19,20,20,José María Olazábal,18,1.91,"$2,120,421","$110,900,000"
20,21,21,Chad Campbell,25,1.89,"$2,811,065","$148,450,000"
21,22,22,Stephen Ames,21,1.88,"$2,395,152","$127,250,000"
22,23,23,Rod Pampling,24,1.83,"$2,664,670","$145,300,000"
23,24,24,Stewart Cink,26,1.81,"$2,755,910","$152,550,000"
24,25,25,Arron Oberholser,23,1.79,"$2,467,769","$138,250,000"
25,26,26,Ian Poulter,15,1.64,"$1,553,906","$94,600,000"
26,27,27,Carl Pettersson,28,1.6,"$2,647,980","$165,300,000"
27,28,28,K.J. Choi,26,1.57,"$2,376,545","$151,050,000"
28,29,29,Zach Johnson,27,1.55,"$2,452,247","$158,450,000"
29,30,30,Ben Curtis,26,1.53,"$2,256,322","$147,450,000"
30,T31,T31,Tim Clark,22,1.48,"$1,974,927","$133,000,000"
31,T31,T31,Sergio Garcia,17,1.48,"$1,560,732","$105,700,000"
32,33,33,Lucas Glover,31,1.43,"$2,587,981","$181,000,000"
33,T34,T34,J.J. Henry,28,1.42,"$2,301,478","$162,200,000"
34,T34,T34,Brett Quigley,33,1.42,"$2,617,415","$184,000,000"
35,T36,T36,Padraig Harrington,15,1.4,"$1,339,673","$95,550,000"
36,T36,T36,Tom Lehman,20,1.4,"$1,692,077","$120,550,000"
37,38,38,Dean Wilson,34,1.37,"$2,509,854","$183,650,000"
38,T39,T39,Roland Thatcher,1,1.35,"$74,250","$5,500,000"
39,T39,T39,Mike Weir,24,1.35,"$1,883,722","$139,800,000"
40,T41,T41,Jonathan Byrd,20,1.34,"$1,408,416","$104,800,000"
41,T41,T41,Andres Romero,2,1.34,"$177,224","$13,250,000"
42,43,43,Tom Pernice Jr.,33,1.31,"$2,396,545","$182,500,000"
43,44,44,Ángel Cabrera,12,1.3,"$1,021,420","$78,850,000"
44,T45,T45,Mikko Ilonen,1,1.24,"$83,655","$6,750,000"
45,T45,T45,Robert Rock,1,1.24,"$83,655","$6,750,000"
46,T45,T45,Brett Rumford,1,1.24,"$83,655","$6,750,000"
47,48,48,Henrik Stenson,10,1.22,"$821,677","$67,400,000"
48,T49,T49,Vaughn Taylor,26,1.21,"$1,783,940","$147,550,000"
49,T49,T49,Scott Verplank,25,1.21,"$1,729,317","$143,250,000"
50,51,51,Frank Lickliter II,29,1.18,"$1,655,676","$140,150,000"
51,52,52,Ken Duke,2,1.17,"$138,230","$11,800,000"
52,T53,T53,Robert Allenby,22,1.16,"$1,503,580","$130,150,000"
53,T53,T53,Colin Montgomerie,8,1.16,"$638,749","$55,000,000"
54,T55,T55,Tim Herron,27,1.13,"$1,776,142","$156,650,000"
55,T55,T55,Troy Matteson,32,1.13,"$1,778,596","$157,650,000"
56,57,57,Camilo Villegas,29,1.12,"$1,742,111","$155,000,000"
57,T58,T58,Aaron Baddeley,25,1.1,"$1,516,511","$137,500,000"
58,T58,T58,Jason Bohn,29,1.1,"$1,676,890","$152,300,000"
59,T58,T58,Justin Rose,28,1.1,"$1,629,285","$148,400,000"
60,61,61,John Senden,28,1.09,"$1,650,671","$151,600,000"
61,T62,T62,Nathan Green,30,1.08,"$1,700,800","$158,150,000"
62,T62,T62,Nick O'Hern,15,1.08,"$995,234","$92,000,000"
63,T64,T64,Jerry Kelly,31,1.06,"$1,737,798","$163,350,000"
64,T64,T64,Shaun Micheel,29,1.06,"$1,632,840","$154,550,000"
65,66,66,Bob Estes,25,1.05,"$1,340,243","$127,800,000"
66,T67,T67,Chris DiMarco,26,1.03,"$1,537,924","$149,500,000"
67,T67,T67,J.B. Holmes,26,1.03,"$1,487,602","$143,900,000"
68,T67,T67,David Howell,14,1.03,"$912,437","$88,800,000"
69,T67,T67,Thongchai Jaidee,2,1.03,"$150,000","$14,500,000"
70,T67,T67,Corey Pavin,23,1.03,"$1,308,082","$126,900,000"
71,T67,T67,John Rollins,28,1.03,"$1,498,826","$145,550,000"
72,T73,T73,Richard Johnson,29,1.02,"$1,555,373","$152,750,000"
73,T73,T73,Jesper Parnevik,24,1.02,"$1,308,307","$127,700,000"
74,T75,T75,David Hearn,1,1.01,"$50,437","$5,000,000"
75,T75,T75,Ryan Moore,22,1.01,"$1,122,117","$111,250,000"
76,77,77,Greg Owen,24,1.0,"$1,316,682","$132,100,000"
77,T78,T78,Paul Casey,8,0.99,"$529,150","$53,250,000"
78,T78,T78,Jeff Maggert,26,0.99,"$1,430,374","$143,850,000"
79,T80,T80,Ben Crane,26,0.98,"$1,489,090","$151,600,000"
80,T80,T80,Fred Funk,29,0.98,"$1,579,831","$160,550,000"
81,T82,T82,Chris Couch,27,0.97,"$1,356,729","$140,500,000"
82,T82,T82,S.K. Ho,2,0.97,"$128,890","$13,250,000"
83,T84,T84,Kenneth Ferrie,3,0.94,"$183,255","$19,500,000"
84,T84,T84,Charles Howell III,30,0.94,"$1,553,103","$165,150,000"
85,T84,T84,Bo Van Pelt,28,0.94,"$1,389,923","$147,800,000"
86,87,87,Eric Axley,29,0.93,"$1,274,578","$137,100,000"
87,88,88,José Coceres,13,0.92,"$522,591","$56,500,000"
88,89,89,Darren Clarke,11,0.91,"$660,897","$72,300,000"
89,90,90,Daniel Chopra,33,0.9,"$1,530,452","$170,950,000"
90,T91,T91,Bart Bryant,26,0.88,"$1,316,127","$149,450,000"
91,T91,T91,Billy Mayfair,29,0.88,"$1,367,993","$155,250,000"
92,93,93,Craig Barlow,22,0.86,"$1,006,536","$116,700,000"
93,94,94,Nick Watney,29,0.85,"$1,243,814","$146,550,000"
94,95,95,Miguel Angel Jiménez,8,0.84,"$458,511","$54,800,000"
95,T96,T96,Steve Flesch,33,0.83,"$1,417,612","$171,500,000"
96,T96,T96,Sean O'Hair,30,0.83,"$1,411,385","$169,400,000"
97,T96,T96,Anthony Wall,3,0.83,"$172,890","$20,750,000"
98,T99,T99,Anders Hansen,1,0.82,"$53,100","$6,500,000"
99,T99,T99,J.P. Hayes,19,0.82,"$701,432","$85,150,000"
100,T101,T101,Daisuke Maruyama,25,0.81,"$956,872","$117,850,000"
101,T101,T101,Jeff Sluman,29,0.81,"$1,252,021","$153,900,000"
102,T101,T101,Kirk Triplett,18,0.81,"$766,592","$94,850,000"
103,T104,T104,Billy Andrade,24,0.8,"$1,057,926","$131,650,000"
104,T104,T104,Freddie Jacobson,18,0.8,"$788,762","$98,050,000"
105,T104,T104,Lee Slattery,1,0.8,"$54,096","$6,750,000"
106,107,107,Mathew Goggin,26,0.79,"$1,076,141","$136,450,000"
107,T108,T108,Charley Hoffman,29,0.77,"$1,115,191","$144,900,000"
108,T108,T108,Heath Slocum,30,0.77,"$1,180,680","$153,750,000"
109,T110,T110,Michael Campbell,10,0.76,"$515,982","$67,900,000"
110,T110,T110,Paul Goydos,24,0.76,"$890,391","$116,950,000"
111,T110,T110,Bubba Watson,27,0.76,"$1,019,261","$134,000,000"
112,T113,T113,Fred Couples,17,0.75,"$780,361","$103,400,000"
113,T113,T113,Hunter Mahan,29,0.75,"$1,107,453","$146,800,000"
114,T115,T115,Woody Austin,31,0.74,"$1,179,321","$159,650,000"
115,T115,T115,Shigeki Maruyama,30,0.74,"$1,154,114","$157,000,000"
116,117,117,Pat Perez,19,0.72,"$719,507","$100,300,000"
117,118,118,Joe Ogilvie,29,0.71,"$1,073,107","$150,200,000"
118,T119,T119,Briny Baird,25,0.7,"$844,544","$120,450,000"
119,T119,T119,Ryan Palmer,30,0.7,"$1,092,850","$156,800,000"
120,T119,T119,Ted Purdy,33,0.7,"$1,216,427","$174,800,000"
121,T119,T119,Charles Warren,27,0.7,"$1,018,839","$145,050,000"
122,T119,T119,Lee Westwood,14,0.7,"$630,565","$89,900,000"
123,124,124,Robert Karlsson,5,0.69,"$234,282","$33,750,000"
124,125,125,Steve Lowery,31,0.68,"$1,124,948","$165,350,000"
125,126,126,Kenny Perry,22,0.67,"$818,697","$121,650,000"
126,127,127,Brian Gay,31,0.66,"$1,037,595","$156,550,000"
127,T128,T128,Ryuji Imada,31,0.65,"$1,018,138","$157,700,000"
128,T128,T128,Peter Lonard,22,0.65,"$837,015","$128,150,000"
129,T130,T130,Jason Day,7,0.62,"$174,508","$28,100,000"
130,T130,T130,Will MacKenzie,29,0.62,"$879,962","$142,050,000"
131,T130,T130,Jyoti Randhawa,2,0.62,"$85,000","$13,750,000"
132,T130,T130,D.J. Trahan,33,0.62,"$1,035,241","$166,300,000"
133,T134,T134,John Cook,22,0.61,"$644,505","$105,750,000"
134,T134,T134,Harrison Frazar,29,0.61,"$889,020","$146,200,000"
135,T136,T136,Bill Haas,30,0.59,"$887,022","$149,250,000"
136,T136,T136,Tetsuji Hiratsuka,1,0.59,"$44,000","$7,500,000"
137,T138,T138,Bob May,21,0.58,"$548,710","$94,700,000"
138,T138,T138,Omar Uresti,22,0.58,"$583,703","$101,400,000"
139,T140,T140,Jason Allred,2,0.57,"$52,500","$9,250,000"
140,T140,T140,Peter Hedblom,2,0.57,"$74,252","$13,000,000"
141,T142,T142,Jeff Gove,29,0.56,"$793,475","$141,350,000"
142,T142,T142,Loren Roberts,4,0.56,"$134,571","$24,150,000"
143,T144,T144,Brian Davis,28,0.54,"$762,279","$142,300,000"
144,T144,T144,Simon Dyson,2,0.54,"$77,577","$14,250,000"
145,T144,T144,Marcus Fraser,1,0.54,"$36,482","$6,750,000"
146,T144,T144,Stephen Leaney,27,0.54,"$746,744","$138,950,000"
147,T148,T148,Jason Caron,1,0.53,"$29,260","$5,500,000"
148,T148,T148,Kent Jones,32,0.53,"$860,763","$163,200,000"
149,T148,T148,Justin Leonard,26,0.53,"$781,754","$146,300,000"
150,T148,T148,Joey Sindelar,29,0.53,"$802,506","$150,750,000"
151,T152,T152,Brandt Jobe,28,0.52,"$802,428","$155,600,000"
152,T152,T152,Kevin Sutherland,29,0.52,"$751,624","$144,950,000"
153,T154,T154,Brian Bateman,26,0.51,"$645,151","$125,900,000"
154,T154,T154,Dudley Hart,29,0.51,"$762,733","$150,450,000"
155,T154,T154,Shingo Katayama,6,0.51,"$207,262","$40,800,000"
156,157,157,David Branshaw,29,0.5,"$706,344","$140,200,000"
157,158,158,Scott Piercy,6,0.49,"$132,041","$26,800,000"
158,T159,T159,Stephen Gangluff,2,0.48,"$53,584","$11,250,000"
159,T159,T159,Kevin Stadler,6,0.48,"$170,972","$35,600,000"
160,T161,T161,Thomas Bjørn,7,0.47,"$234,273","$49,500,000"
161,T161,T161,Grégory Bourdy,1,0.47,"$35,500","$7,500,000"
162,T161,T161,Paul Broadhurst,4,0.47,"$133,096","$28,250,000"
163,T161,T161,Chad Collins,1,0.47,"$29,459","$6,250,000"
164,T161,T161,Jason Gore,29,0.47,"$717,003","$153,900,000"
165,T161,T161,WC Liang,1,0.47,"$25,850","$5,500,000"
